date,open,high,low,close,volume,adjusted
2014-10-09,50.330002,50.470001,50.330002,50.450001,5000,43.001133
2014-10-10,50.389999,50.41,50.290001,50.34,1900,42.907379
2014-10-13,50.459999,50.459999,50.349998,50.349998,5600,42.915882
2014-10-14,50.57,50.668999,50.43,50.48,30800,43.026699
2014-10-15,51.040001,51.259998,50.790001,50.918999,17900,43.400875
2014-10-16,50.950001,50.950001,50.549999,50.68,9800,43.19717
2014-10-17,51.18,51.18,50.603001,50.630001,3600,43.154564
2014-10-20,50.810001,50.810001,50.68,50.740002,4700,43.248318
2014-10-21,50.75,50.75,50.669998,50.75,1300,43.256836
2014-10-22,50.66,50.66,50.549999,50.650002,3900,43.171593
2014-10-23,50.700001,50.700001,50.349998,50.529999,4500,43.069317
2014-10-24,50.650002,50.650002,50.360001,50.540001,2600,43.077854
2014-10-27,50.650002,50.650002,50.424,50.424,4700,42.978977
2014-10-28,50.5,50.52,50.380001,50.509998,3000,43.117252
2014-10-29,51.490002,53.220001,50.264,50.280998,4800,42.92178
2014-10-30,50.5,50.5,50.220001,50.220001,2500,42.869698
2014-10-31,50.509998,50.509998,50.23,50.23,3100,42.878242
2014-11-03,50.32,50.32,50.169998,50.169998,2300,42.827023
2014-11-04,50.32,50.32,50.169998,50.18,33400,42.835556
2014-11-05,50.259998,50.259998,50.18,50.200001,3200,42.852615
2014-11-06,50.189999,50.220001,50.119999,50.119999,2400,42.784351
2014-11-07,50.200001,50.220001,50.16,50.16,2300,42.818489
2014-11-10,50.389999,50.389999,50.220001,50.240002,2100,42.886776
2014-11-11,50.169998,50.169998,50.126999,50.126999,2000,42.790318
2014-11-12,50.169998,50.200001,50.124001,50.145,2500,42.805698
2014-11-13,50.23,50.240002,50.16,50.220001,3200,42.869698
2014-11-14,50.220001,50.220001,50.220001,50.220001,0,42.869698
2014-11-17,50.119999,50.209999,50.119999,50.136002,1700,42.798
2014-11-18,50.150002,50.150002,50.150002,50.150002,2300,42.809944
2014-11-19,50.07,50.098999,50,50.043999,7000,42.719448
2014-11-20,50.049999,50.049999,50.049999,50.049999,1200,42.724583
2014-11-21,50.18,50.18,50.049999,50.108002,4100,42.774097
2014-11-24,50.150002,50.200001,50.120998,50.200001,6700,42.852615
2014-11-25,50.330002,50.330002,50.16,50.27,13100,42.912399
2014-11-26,50.310001,50.310001,50.200001,50.310001,3000,43.045002
2014-11-28,50.400002,50.400002,50.330002,50.380001,5800,43.104897
2014-12-01,50.59,50.59,50.308998,50.308998,5500,43.044155
2014-12-02,50.279999,50.279999,49.91,50.09,7000,42.856766
2014-12-03,50.09,50.09,50.009998,50.09,3800,42.856766
2014-12-04,49.98,50.099998,49.950001,50,5000,42.779778
2014-12-05,50.09,50.150002,49.889999,49.950001,4600,42.737007
2014-12-08,50.119999,50.119999,49.91,49.950001,7600,42.737007
2014-12-09,50,50.220001,49.970001,50.097,34900,42.862766
2014-12-10,50.099998,50.099998,50.07,50.07,6900,42.839657
2014-12-11,50.209999,50.209999,50.009998,50.07,3200,42.839657
2014-12-12,50.209999,50.400002,50.080002,50.400002,7500,43.122013
2014-12-15,50.240002,50.240002,50.049999,50.049999,900,42.822556
2014-12-16,50.09,50.099998,49.959999,50.060001,4300,42.831104
2014-12-17,50.099998,50.099998,50.029999,50.029999,6100,42.805439
2014-12-18,50.040001,50.040001,49.900002,49.939999,6100,42.728432
2014-12-19,49.939999,50,49.91,49.914001,6800,42.706192
2014-12-22,49.939999,49.950001,49.923,49.923,5700,42.713882
2014-12-23,50.16,50.200001,50,50.080002,26600,42.848217
2014-12-24,49.880001,50.029999,49.880001,50.02,700,42.796879
2014-12-26,49.959999,50.029999,49.959999,50.029999,900,42.805439
2014-12-29,50.080002,50.080002,50.029999,50.056,3300,42.93668
2014-12-30,50.23,50.23,50.099998,50.200001,2400,43.060188
2014-12-31,50.299999,50.326,50.200001,50.209999,12300,43.06879
2015-01-02,50.360001,50.360001,50.208,50.208,2100,43.067062
2015-01-05,50.099998,50.240002,50.099998,50.200001,23500,43.060188
2015-01-06,50.32,50.459999,50.32,50.400002,60800,43.231743
2015-01-07,50.639999,50.639999,50.490002,50.529999,6400,43.343266
2015-01-08,50.57,50.59,50.52,50.540001,5500,43.351845
2015-01-09,50.470001,50.599998,50.470001,50.599998,4500,43.403305
2015-01-12,50.630001,50.735001,50.618999,50.639999,84500,43.437618
2015-01-13,50.740002,50.75,50.664001,50.720001,40100,43.506245
2015-01-14,50.82,50.891998,50.790001,50.849998,9400,43.617741
2015-01-15,50.869999,50.98,50.689999,50.98,8500,43.729248
2015-01-16,51.009998,51.009998,50.759998,50.810001,13400,43.583447
2015-01-20,50.740002,50.860001,50.740002,50.860001,3300,43.626335
2015-01-21,50.919998,50.93,50.709999,50.77,6100,43.549126
2015-01-22,50.950001,50.950001,50.668999,50.700001,4100,43.489117
2015-01-23,51.02,51.02,50.860001,50.869999,6300,43.634911
2015-01-26,51.049999,51.049999,50.970001,51.009998,2400,43.755001
2015-01-27,51.119999,51.119999,51,51.040001,5800,43.780716
2015-01-28,51.009998,51.046001,50.91,50.990002,7500,43.86245
2015-01-29,51.09,51.09,50.919998,51.019001,4400,43.887383
2015-01-30,51.18,51.299999,51.18,51.23,4800,44.068905
2015-02-02,51.16,51.540001,51.16,51.5,72100,44.301155
2015-02-03,51.41,51.41,51.040001,51.240002,7200,44.077507
2015-02-04,51.139999,51.220001,51.07,51.220001,3200,44.060295000000004
2015-02-05,51.240002,51.240002,51.099998,51.209999,3200,44.051697
2015-02-06,51.040001,51.040001,50.799999,50.830002,10000,43.724808
2015-02-09,50.849998,50.939999,50.720001,50.939999,9600,43.819427
2015-02-10,50.939999,50.98,50.720001,50.900002,3600,43.785046
2015-02-11,50.73,50.950001,50.73,50.919998,3000,43.802227
2015-02-12,50.756001,50.990002,50.756001,50.98,1400,43.853832
2015-02-13,50.93,50.93,50.599998,50.599998,8100,43.526966
2015-02-17,50.389999,50.459999,50.32,50.360001,9100,43.320511
2015-02-18,50.259998,50.59,50.259998,50.59,7900,43.518356
2015-02-19,50.619999,50.639999,50.5,50.599998,1300,43.526966
2015-02-20,50.799999,50.799999,50.599998,50.599998,3300,43.526966
2015-02-23,50.720001,50.830002,50.616001,50.830002,5600,43.724808
2015-02-24,50.830002,51.049999,50.75,50.990002,6300,43.86245
2015-02-25,50.810001,51.099998,50.810001,51.049999,4500,44.027168
2015-02-26,51.060001,51.063999,50.849998,50.970001,6500,43.958183
2015-02-27,51,51.049999,50.812,51.049999,8800,44.027168
2015-03-02,51.099998,51.099998,50.810001,50.91,6800,43.906429
2015-03-03,50.720001,50.900002,50.720001,50.849998,2900,43.854679
2015-03-04,50.900002,50.900002,50.610001,50.610001,4400,43.647701
2015-03-05,50.610001,50.849998,50.610001,50.799999,4700,43.811562
2015-03-06,50.650002,50.689999,50.5,50.560001,15800,43.604576
2015-03-09,50.509998,50.549999,50.43,50.549999,4400,43.595951
2015-03-10,50.66,50.669998,50.59,50.619999,8000,43.656326
2015-03-11,50.75,50.75,50.689999,50.689999,800,43.716682
2015-03-12,50.860001,50.860001,50.740002,50.810001,4000,43.820194
2015-03-13,50.720001,50.757,50.549999,50.549999,2800,43.595951
2015-03-16,50.57,50.650002,50.549999,50.57,5600,43.613213
2015-03-17,50.529999,50.68,50.509998,50.647999,2700,43.680481
2015-03-18,50.639999,50.779999,50.59,50.779999,13600,43.794319
2015-03-19,50.889999,50.889999,50.619999,50.66,2600,43.690823
2015-03-20,50.990002,50.990002,50.900002,50.900002,3400,43.897808
2015-03-23,51.009998,51.049999,50.900002,50.91,4000,43.906429
2015-03-24,51.110001,51.110001,51.030998,51.09,10700,44.061661
2015-03-25,51.27,51.27,51.032001,51.032001,2200,44.011665
2015-03-26,50.919998,50.93,50.777,50.777,1100,43.791721
2015-03-27,50.619999,50.82,50.619999,50.82,2900,43.938709
2015-03-30,50.860001,50.889999,50.73,50.799999,2600,43.921425
2015-03-31,50.849998,50.880001,50.844002,50.844002,800,43.95945
2015-04-01,51.040001,51.220001,51.040001,51.150002,7700,44.224018
2015-04-02,51,51.099998,50.990002,51.07,2200,44.154842
2015-04-06,51.200001,51.209999,50.970001,51.130001,5000,44.206734
2015-04-07,51.119999,51.18,51.060001,51.18,7300,44.249962
2015-04-08,51.27,51.27,51.134998,51.209999,3000,44.275898
2015-04-09,51.259998,51.259998,51,51.099998,8400,44.18079
2015-04-10,51.060001,51.169998,51.009998,51.009998,4000,44.102982
2015-04-13,51.07,51.07,51.060001,51.060001,1900,44.146198
2015-04-14,51.130001,51.279999,51.110001,51.119999,4400,44.198101
2015-04-15,51.27,51.27,51.189999,51.25,14500,44.310474
2015-04-16,51.224998,51.224998,51.083,51.189999,2000,44.25861
