date,open,high,low,close,volume,adjusted
2015-11-04,25.139999,25.190001,25.139999,25.190001,200,23.303032
2015-11-05,25.190001,25.190001,25.190001,25.190001,0,23.303032
2015-11-06,25.24,25.24,25.24,25.24,1000,23.349289
2015-11-09,25.24,25.24,25.24,25.24,0,23.349289
2015-11-10,25.24,25.24,25.24,25.24,0,23.349289
2015-11-11,25.24,25.24,25.24,25.24,0,23.349289
2015-11-12,25.1,25.1,25.1,25.1,100,23.21977
2015-11-13,25.219999,25.23,25.059999,25.23,900,23.340042
2015-11-16,25.23,25.23,25.23,25.23,0,23.340042
2015-11-17,25.07,25.923,25.07,25.923,300,23.981123
2015-11-18,25.923,25.923,25.923,25.923,0,23.981123
2015-11-19,25.923,25.923,25.923,25.923,5000,23.981123
2015-11-20,25.08,25.08,25.08,25.08,300,23.201273
2015-11-23,25.08,25.08,25.08,25.08,0,23.201273
2015-11-24,24.940001,24.940001,24.940001,24.940001,100,23.071762
2015-11-25,25.139999,25.139999,25,25.01,300,23.136518
2015-11-27,25.01,25.01,25.01,25.01,0,23.136518
2015-11-30,25.040001,25.040001,25.040001,25.040001,900,23.164272
2015-12-01,25.040001,25.040001,25.040001,25.040001,0,23.164272
2015-12-02,25.190001,25.190001,25.18,25.18,800,23.293783
2015-12-03,25.030001,25.030001,25.02,25.02,900,23.145767
2015-12-04,24.93,24.950001,24.93,24.940001,5000,23.071762
2015-12-07,25.040001,25.07,24.938,24.938,1600,23.069918
2015-12-08,24.938,24.938,24.938,24.938,0,23.069918
2015-12-09,24.938,24.938,24.938,24.938,0,23.069918
2015-12-10,24.940001,24.940001,24.75,24.75,2200,22.895987
2015-12-11,24.790001,24.790001,24.610001,24.77,2100,22.914497
2015-12-14,24.77,24.77,24.77,24.77,0,22.914497
2015-12-15,24.77,24.77,24.77,24.77,15000,22.914497
2015-12-16,24.84,24.84,24.84,24.84,100,22.979248
2015-12-17,24.84,25.73,24.83,25.73,1000,23.802584
2015-12-18,24.700001,24.700001,24.52,24.700001,1000,22.849737
2015-12-21,24.43,24.530001,24.43,24.475,1800,22.64159
2015-12-22,24.440001,24.51,24.440001,24.51,400,22.673973
2015-12-23,24.51,24.51,24.51,24.51,0,22.808905
2015-12-24,24.51,24.51,24.51,24.51,0,22.808905
2015-12-28,24.51,24.51,24.51,24.51,0,22.808905
2015-12-29,24.51,24.51,24.51,24.51,0,22.808905
2015-12-30,24.51,24.51,24.51,24.51,0,22.808905
2015-12-31,24.549999,24.65,24.549999,24.549999,1400,22.846136
2016-01-04,24.58,24.58,24.5,24.5,1000,22.799603
2016-01-05,24.5,24.5,24.5,24.5,800,22.799603
2016-01-06,24.5,27.91,24.42,24.52,3000,22.818214
2016-01-07,24.33,24.34,24.18,24.18,4100,22.501816
2016-01-08,24.110001,24.110001,23.940001,23.940001,200,22.278477
2016-01-11,23.92,23.940001,23.91,23.93,1400,22.269161
2016-01-12,23.93,23.93,23.93,23.93,0,22.269161
2016-01-13,23.860001,23.860001,23.85,23.85,1600,22.194717
2016-01-14,23.639999,23.639999,23.604,23.604,1000,21.965786
2016-01-15,23.604,23.604,23.604,23.604,0,21.965786
2016-01-19,23.440001,23.440001,23.440001,23.440001,1100,21.813173
2016-01-20,23.15,23.26,23.15,23.26,300,21.64566
2016-01-21,23.26,23.26,23.26,23.26,0,21.673616
2016-01-22,23.299999,23.299999,23.191999,23.191999,900,21.61025
2016-01-25,23.191999,23.191999,23.191999,23.191999,0,21.61025
2016-01-26,23.43,23.43,23.4,23.4,1000,21.804064
2016-01-27,23.4,23.4,23.4,23.4,0,21.804064
2016-01-28,23.4,23.4,23.4,23.4,0,21.804064
2016-01-29,23.4,23.4,23.4,23.4,0,21.804064
2016-02-01,23.5,23.52,23.5,23.52,1300,21.91589
2016-02-02,23.360001,24.68,23.360001,24.68,1900,22.996775
2016-02-03,23.51,23.82,23.51,23.82,500,22.195423
2016-02-04,23.16,23.370001,23.16,23.290001,800,21.701574
2016-02-05,23.379999,23.379999,23.379999,23.379999,100,21.785427
2016-02-08,22.85,23.33,22.85,23.33,500,21.73885
2016-02-09,23.33,23.33,23.33,23.33,0,21.73885
2016-02-10,23.33,23.33,23.33,23.33,0,21.73885
2016-02-11,22.48,22.6,22.24,22.6,6900,21.058638
2016-02-12,22.77,22.77,22.4,22.4,1000,20.872269
2016-02-16,22.58,22.58,22.51,22.51,500,20.974764
2016-02-17,23.320999,23.320999,23.320999,23.320999,100,21.730455
2016-02-18,22.5,22.5,22.5,22.5,1200,20.965446
2016-02-19,22.5,22.5,22.5,22.5,0,20.965446
2016-02-22,22.5,22.5,22.5,22.5,0,20.965446
2016-02-23,23.190001,23.190001,23.190001,23.190001,400,21.637243
2016-02-24,23.190001,23.190001,23.190001,23.190001,0,21.637243
2016-02-25,23.549999,23.549999,23.549999,23.549999,900,21.973137
2016-02-26,23.549999,23.549999,23.549999,23.549999,0,21.973137
2016-02-29,23.355,23.355,23.355,23.355,100,21.791197
2016-03-01,23.355,23.355,23.355,23.355,0,21.791197
2016-03-02,23.355,23.355,23.355,23.355,0,21.791197
2016-03-03,23.355,23.355,23.355,23.355,0,21.791197
2016-03-04,23.355,23.355,23.355,23.355,0,21.791197
2016-03-07,23.355,23.355,23.355,23.355,0,21.791197
2016-03-08,23.355,23.355,23.355,23.355,0,21.791197
2016-03-09,24.879999,27,23.75,23.75,3000,22.15975
2016-03-10,23.75,23.75,23.75,23.75,0,22.15975
2016-03-11,23.75,23.75,23.75,23.75,0,22.15975
2016-03-14,23.889999,23.889999,23.4,23.42,1000,21.851845
2016-03-15,24.120001,24.120001,24.120001,24.120001,300,22.504971
2016-03-16,24.120001,24.120001,24.120001,24.120001,0,22.504971
2016-03-17,23.950001,23.950001,23.948,23.948,400,22.344488
2016-03-18,23.948,23.948,23.948,23.948,0,22.344488
2016-03-21,23.948,23.948,23.948,23.948,0,22.344488
2016-03-22,24.190001,24.200001,24.190001,24.200001,200,22.579613
2016-03-23,24.01,24.01,23.99,23.99,300,22.383678
2016-03-24,23.99,23.99,23.99,23.99,0,22.383678
2016-03-28,23.99,23.99,23.99,23.99,0,22.383678
2016-03-29,23.99,23.99,23.99,23.99,0,22.383678
2016-03-30,23.99,23.99,23.99,23.99,0,22.383678
2016-03-31,24.120001,24.120001,24.120001,24.120001,400,22.504971
2016-04-01,24.059999,24.1,24.059999,24.1,1500,22.486315
2016-04-04,24.1,24.1,24.1,24.1,0,22.486315
2016-04-05,24.209999,24.209999,24.209999,24.209999,500,22.588953
2016-04-06,24.209999,24.209999,24.209999,24.209999,0,22.588953
2016-04-07,24.209999,24.209999,24.209999,24.209999,0,22.588953
2016-04-08,24.209999,24.209999,24.209999,24.209999,0,22.588953
2016-04-11,24.209999,24.209999,24.209999,24.209999,0,22.588953
2016-04-12,24.209999,24.209999,24.209999,24.209999,0,22.588953
2016-04-13,24.280001,24.636,24.280001,24.636,1900,22.986422
2016-04-14,24.636,24.636,24.636,24.636,0,22.986422
2016-04-15,24.636,24.636,24.636,24.636,0,22.986422
2016-04-18,24.636,24.636,24.636,24.636,0,22.986422
2016-04-19,24.636,24.636,24.636,24.636,0,22.986422
2016-04-20,24.610001,24.73,24.610001,24.73,1100,23.074127
2016-04-21,24.6,24.6,24.6,24.6,700,22.980709
2016-04-22,24.6,24.6,24.6,24.6,0,22.980709
2016-04-25,24.6,24.6,24.6,24.6,0,22.980709
2016-04-26,24.6,24.6,24.6,24.6,0,22.980709
2016-04-27,24.6,24.6,24.6,24.6,0,22.980709
2016-04-28,24.6,24.6,24.6,24.6,0,22.980709
2016-04-29,24.6,24.6,24.6,24.6,0,22.980709
2016-05-02,24.6,24.6,24.6,24.6,0,22.980709
2016-05-03,24.34,24.34,24.34,24.34,800,22.737822
2016-05-04,24.190001,24.219999,23.67,23.67,3500,22.111923
2016-05-05,23.67,23.67,23.67,23.67,0,22.111923
2016-05-06,23.9,23.9,23.9,23.9,300,22.326786
2016-05-09,23.9,23.9,23.9,23.9,0,22.326786
2016-05-10,24.049999,24.25,24.049999,24.07,1100,22.4856
2016-05-11,24.07,24.07,24.07,24.07,0,22.4856
2016-05-12,24.299999,24.299999,24.299999,24.299999,200,22.700447
2016-05-13,24.299999,24.299999,24.299999,24.299999,100,22.700447
2016-05-16,24.299999,24.299999,24.299999,24.299999,0,22.700447
2016-05-17,24.16,24.18,24.110001,24.110001,2700,22.522964
2016-05-18,24.110001,24.110001,24.110001,24.110001,0,22.522964
2016-05-19,24.110001,24.110001,24.110001,24.110001,0,22.522964
