date,open,high,low,close,volume,adjusted
2016-08-30,101.239998,101.239998,101.050003,101.186996,2600,91.85849
2016-08-31,101.259003,101.285004,101.148003,101.148003,1200,91.82309
2016-09-01,100.891998,100.891998,100.891998,100.891998,100,91.590698
2016-09-02,101.019997,101.019997,101.019997,101.019997,300,91.706879
2016-09-06,101.127998,101.127998,101.127998,101.127998,200,91.804916
2016-09-07,101.260002,101.260002,101.129997,101.133003,1200,91.809486
2016-09-08,101.150002,101.150002,100.93,100.992996,1500,91.682396
2016-09-09,100.900002,100.900002,100.750999,100.779999,3500,91.489006
2016-09-12,100.716003,100.813004,100.716003,100.730003,900,91.443626
2016-09-13,100.608002,100.608002,100.507004,100.507004,700,91.241188
2016-09-14,100.837997,100.837997,100.747002,100.747002,600,91.459053
2016-09-15,100.995003,101,100.989998,101,700,91.688728
2016-09-16,100.839996,100.839996,100.786003,100.805,1700,91.511688
2016-09-19,100.894997,100.919998,100.894997,100.917999,800,91.614288
2016-09-20,100.879997,100.889999,100.819,100.830002,700,91.534393
2016-09-21,100.860001,101.07,100.860001,101.07,800,91.752289
2016-09-22,101.220001,101.220001,101.190002,101.199997,1200,91.870285
2016-09-23,101.188004,101.209999,100.989998,101.206001,1200,91.875755
2016-09-26,101.209999,101.25,101.149002,101.230003,3800,91.897514
2016-09-27,101.230003,103.580002,101.230003,103.580002,2700,94.030876
2016-09-28,101.324997,101.324997,101.279999,101.279999,3200,91.942894
2016-09-29,101.339996,101.339996,101.193001,101.221001,2600,91.889366
2016-09-30,101.32,101.32,101.272003,101.32,700,91.979218
2016-10-03,100.977997,100.989998,100.977997,100.989998,1000,91.913704
2016-10-04,100.924004,100.924004,100.803001,100.803001,2700,91.7435
2016-10-05,100.800003,100.870003,100.800003,100.806,1400,91.746246
2016-10-06,100.839996,100.860001,100.839996,100.860001,500,91.79538
2016-10-07,100.919998,100.919998,100.919998,100.919998,100,91.849991
2016-10-10,100.900002,103.269997,100.800003,100.888,3900,91.820854
2016-10-11,100.900002,100.900002,100.730003,100.790001,1800,91.731667
2016-10-12,100.790001,100.860001,100.779999,100.860001,1200,91.79538
2016-10-13,100.940002,100.947998,100.902,100.902,1700,91.833618
2016-10-14,100.970001,101.010002,100.955002,100.955002,400,91.881836
2016-10-17,100.915001,100.970001,100.894997,100.894997,2100,91.827248
2016-10-18,100.800003,101.042,100.800003,101.009003,900,91.931007
2016-10-19,101.110001,101.192001,101.029999,101.029999,4300,91.950089
2016-10-20,101.150002,101.150002,101.07,101.080002,8700,91.995621
2016-10-21,101.088997,103.445,101.069,101.150002,12800,92.059319
2016-10-24,101.154999,101.154999,101.040001,101.040001,26400,91.959213
2016-10-25,101.080002,101.080002,101.051003,101.072998,1700,91.989243
2016-10-26,100.839996,100.989998,100.839996,100.945,6200,91.872749
2016-10-27,100.800003,100.800003,100.678001,100.779999,1300,91.722565
2016-10-28,100.779999,100.839996,100.755997,100.809998,21000,91.74987
2016-10-31,100.830002,100.830002,100.723999,100.75,2600,91.695274
2016-11-01,100.489998,100.489998,100.309998,100.349998,18100,91.566612
2016-11-02,100.43,100.43,100.330002,100.419998,1600,91.630486
2016-11-03,100.398003,100.400002,100.389999,100.399002,1400,91.611336
2016-11-04,100.339996,100.529999,100.330002,100.529999,700,91.730858
2016-11-07,100.579002,100.579002,100.470001,100.513,800,91.715347
2016-11-08,100.18,100.18,99.736,99.736,1000,91.006355
2016-11-09,99.620003,99.620003,99.25,99.269997,2700,90.581146
2016-11-10,99.589996,99.610001,99.5,99.5,1300,90.791008
2016-11-11,99.095001,99.209999,99.07,99.07,1000,90.398659
2016-11-14,98.919998,99,98.800003,98.907997,2400,90.250816
2016-11-15,98.922997,99.098999,98.922997,99.059998,1700,90.389519
2016-11-16,98.93,99.109001,98.93,99.069,400,90.397728
2016-11-17,99.010002,99.142998,99,99,4700,90.33477
2016-11-18,98.57,98.668999,98.57,98.629997,225100,89.997169
2016-11-21,98.739998,98.739998,98.529999,98.614998,1700,89.983475
2016-11-22,98.830002,98.919998,98.709999,98.884003,2000,90.22892
2016-11-23,98.32,98.730003,98.32,98.586998,5100,89.957924
2016-11-25,98.510002,98.540001,98.445,98.529999,1700,89.905907
