date,open,high,low,close,volume,adjusted
2016-10-05,25.08,25.08,25.08,25.08,700,22.781645
2016-10-06,25.08,25.08,25.08,25.08,0,22.781645
2016-10-07,25.08,25.08,25.08,25.08,0,22.781645
2016-10-10,25.08,25.08,25.08,25.08,0,22.781645
2016-10-11,25.08,25.08,25.08,25.08,0,22.781645
2016-10-12,25.08,25.08,25.08,25.08,0,22.781645
2016-10-13,25.08,25.08,25.08,25.08,0,22.781645
2016-10-14,24.9,24.9,24.9,24.9,200,22.618143
2016-10-17,24.9,24.9,24.9,24.9,0,22.618143
2016-10-18,24.9,24.9,24.9,24.9,0,22.618143
2016-10-19,24.9,24.9,24.9,24.9,0,22.618143
2016-10-20,24.9,24.9,24.9,24.9,0,22.618143
2016-10-21,24.9,24.9,24.9,24.9,0,22.618143
2016-10-24,24.969999,24.969999,24.958,24.958,900,22.67083
2016-10-25,24.969999,24.969999,24.969999,24.969999,120000,22.68173
2016-10-26,24.969999,24.969999,24.969999,24.969999,0,22.68173
2016-10-27,24.969999,24.969999,24.969999,24.969999,0,22.68173
2016-10-28,24.969999,24.969999,24.969999,24.969999,0,22.68173
2016-10-31,24.74,24.74,24.719999,24.719999,412100,22.454638
2016-11-01,24.719999,24.719999,24.719999,24.719999,0,22.454638
2016-11-02,24.73,24.73,24.73,24.73,9000,22.463722
2016-11-03,24.73,24.73,24.73,24.73,0,22.463722
2016-11-04,24.73,24.73,24.73,24.73,0,22.463722
2016-11-07,24.719999,24.719999,24.719999,24.719999,100,22.454638
2016-11-08,24.719999,24.719999,24.719999,24.719999,0,22.454638
2016-11-09,24.719999,24.719999,24.719999,24.719999,0,22.454638
2016-11-10,24.4,24.4,24.35,24.35,412000,22.118547
2016-11-11,24.35,24.35,24.35,24.35,0,22.118547
2016-11-14,24.35,24.35,24.35,24.35,0,22.118547
2016-11-15,24.35,24.35,24.35,24.35,0,22.118547
2016-11-16,24.35,24.35,24.35,24.35,0,22.118547
2016-11-17,24.35,24.35,24.35,24.35,0,22.118547
2016-11-18,24.35,24.35,24.35,24.35,0,22.118547
2016-11-21,24.07,24.07,24.07,24.07,400000,21.864204
2016-11-22,24.07,24.07,24.07,24.07,0,21.864204
2016-11-23,24.07,24.07,24.07,24.07,0,21.864204
2016-11-25,24.044001,24.049999,24.044001,24.049999,2000,21.846035
2016-11-28,24.049999,24.049999,24.049999,24.049999,0,21.846035
2016-11-29,24.049999,24.049999,24.049999,24.049999,0,21.846035
2016-11-30,24.030001,24.030001,24.030001,24.030001,9000,21.827871
2016-12-01,23.950001,23.959999,23.950001,23.959999,1200,21.764282
2016-12-02,23.959999,23.959999,23.959999,23.959999,0,21.764282
2016-12-05,24.01,24.110001,24.01,24.09,800,21.882372
2016-12-06,24.09,24.09,24.09,24.09,0,21.882372
2016-12-07,24.17,24.17,24.17,24.17,900,21.955044
2016-12-08,24.17,24.17,24.17,24.17,0,21.955044
2016-12-09,24.17,24.17,24.17,24.17,0,21.955044
2016-12-12,24.049999,24.059999,24.049999,24.059999,600,21.855124
2016-12-13,24.059999,24.059999,24.059999,24.059999,900,21.855124
2016-12-14,24.059999,24.059999,24.059999,24.059999,0,21.855124
2016-12-15,23.98,23.98,23.98,23.98,750000,21.782454
2016-12-16,23.98,23.98,23.98,23.98,0,21.782454
2016-12-19,23.98,23.98,23.98,23.98,0,21.782454
2016-12-20,23.98,23.98,23.98,23.98,0,21.782454
2016-12-21,23.98,23.98,23.98,23.98,0,21.782454
2016-12-22,23.98,23.98,23.98,23.98,0,21.782454
2016-12-23,23.98,23.98,23.98,23.98,0,21.782454
2016-12-27,23.98,23.98,23.98,23.98,0,21.782454
2016-12-28,23.98,23.98,23.98,23.98,0,21.823406
2016-12-29,24.091999,24.091999,24.082001,24.082001,400,21.916237
2016-12-30,24.16,24.18,24.16,24.18,200,22.005417
2017-01-03,24.1,24.1,24.1,24.1,100,21.932615
2017-01-04,24.1,24.1,24.1,24.1,0,21.932615
2017-01-05,24.1,24.1,24.1,24.1,0,21.932615
2017-01-06,24.242001,24.242001,24.242001,24.242001,200,22.061842
2017-01-09,24.242001,24.242001,24.242001,24.242001,0,22.061842
2017-01-10,24.242001,24.242001,24.242001,24.242001,0,22.061842
2017-01-11,24.316999,24.316999,24.316999,24.316999,100,22.130095
2017-01-12,24.316999,24.316999,24.316999,24.316999,0,22.130095
2017-01-13,24.25,24.27,24.25,24.27,200,22.087322
2017-01-17,24.27,24.27,24.27,24.27,0,22.087322
2017-01-18,24.27,24.27,24.27,24.27,0,22.087322
2017-01-19,24.17,24.17,24.17,24.17,100,21.996323
2017-01-20,24.17,24.17,24.17,24.17,0,21.996323
2017-01-23,24.17,24.17,24.17,24.17,0,21.996323
2017-01-24,24.17,24.17,24.17,24.17,0,21.996323
2017-01-25,24.17,24.17,24.17,24.17,0,21.996323
2017-01-26,24.17,24.17,24.17,24.17,0,21.996323
2017-01-27,24.190001,24.190001,24.190001,24.190001,2700,22.014517
2017-01-30,24.190001,24.190001,24.190001,24.190001,0,22.014517
2017-01-31,24.190001,24.190001,24.190001,24.190001,0,22.076578
2017-02-01,24.1,24.1,24.1,24.1,100,21.994442
2017-02-02,24.190001,24.190001,24.131001,24.131001,1000,22.022734
2017-02-03,24.131001,24.131001,24.131001,24.131001,0,22.022734
2017-02-06,24.190001,24.219999,24.190001,24.219999,3800,22.103956
2017-02-07,24.219999,24.219999,24.219999,24.219999,0,22.103956
2017-02-08,24.309999,24.309999,24.309999,24.309999,200,22.18609
2017-02-09,24.290001,24.290001,24.280001,24.280001,200,22.158716
2017-02-10,24.209999,24.209999,24.209999,24.209999,7800,22.094831
2017-02-13,24.24,24.25,24.24,24.25,800,22.131338
2017-02-14,24.25,24.25,24.25,24.25,0,22.131338
2017-02-15,24.16,24.16,24.16,24.16,18000,22.049198
2017-02-16,24.16,24.16,24.16,24.16,0,22.049198
2017-02-17,24.26,24.27,24.26,24.27,3800,22.149588
2017-02-21,24.27,24.27,24.27,24.27,0,22.149588
2017-02-22,24.27,24.27,24.27,24.27,0,22.149588
2017-02-23,24.305,24.305,24.305,24.305,300,22.181532
2017-02-24,24.389999,24.389999,24.389999,24.389999,19500,22.259102
2017-02-27,24.4,24.4,24.4,24.4,100,22.268236
2017-02-28,24.367001,24.389999,24.367001,24.370001,800,22.296591
2017-03-01,24.233999,24.24,24.233999,24.24,800,22.177652
2017-03-02,24.24,24.24,24.24,24.24,0,22.177652
2017-03-03,24.209999,24.219999,24.209999,24.209999,900,22.150202
2017-03-06,24.190001,24.200001,24.190001,24.200001,500,22.14106
2017-03-07,24.129999,24.129999,24.129999,24.129999,1000,22.077015
2017-03-08,24.030001,24.030001,24.030001,24.030001,5000,21.985521
2017-03-09,23.969999,23.969999,23.879999,23.885,3800,21.852859
2017-03-10,23.885,23.885,23.885,23.885,0,21.852859
2017-03-13,23.997999,23.997999,23.997999,23.997999,400,21.95624
2017-03-14,23.997999,23.997999,23.997999,23.997999,0,21.95624
2017-03-15,23.997999,23.997999,23.997999,23.997999,0,21.95624
2017-03-16,24.09,24.09,24.09,24.09,100,22.040424
2017-03-17,24.139999,24.15,24.127001,24.127001,4300,22.074268
2017-03-20,24.190001,24.190001,24.190001,24.190001,400,22.131908
2017-03-21,24.190001,24.190001,24.190001,24.190001,0,22.131908
2017-03-22,24.306999,24.309,24.292999,24.309,1000,22.240786
2017-03-23,24.275,24.280001,24.257,24.257,3000,22.193207
2017-03-24,24.309999,24.309999,24.309999,24.309999,1000,22.241699
2017-03-27,24.32,24.33,24.32,24.33,300,22.259998
2017-03-28,24.33,24.33,24.33,24.33,0,22.259998
2017-03-29,24.33,24.34,24.33,24.33,600,22.259998
2017-03-30,24.309999,24.32,24.309999,24.309999,1000,22.241699
2017-03-31,24.24,24.24,24.190001,24.24,2300,22.249954
2017-04-03,24.24,24.24,24.24,24.24,0,22.249954
2017-04-04,24.24,24.24,24.24,24.24,0,22.249954
2017-04-05,24.280001,24.280001,24.280001,24.280001,8900,22.286684
2017-04-06,24.32,24.32,24.32,24.32,300,22.323397
2017-04-07,24.379999,24.389999,24.370001,24.389999,9000,22.387648
2017-04-10,24.33,24.34,24.33,24.34,600,22.341753
2017-04-11,24.379999,24.450001,24.379999,24.450001,23300,22.442717
2017-04-12,24.450001,24.450001,24.450001,24.450001,0,22.442717
2017-04-13,24.450001,24.450001,24.450001,24.450001,0,22.442717
2017-04-17,24.5,24.540001,24.5,24.540001,900,22.525331
2017-04-18,24.540001,24.540001,24.540001,24.540001,0,22.525331
2017-04-19,24.530001,24.530001,24.530001,24.530001,41900,22.51615
2017-04-20,24.518999,24.549999,24.518999,24.549999,700,22.534512
2017-04-21,24.535,24.548,24.535,24.548,1300,22.532679
2017-04-24,24.49,24.518,24.483,24.483,3000,22.473005
2017-04-25,24.469999,24.469999,24.424999,24.424999,14800,22.419773
2017-04-26,24.42,24.48,24.42,24.450001,1200,22.442717
2017-04-27,24.5,24.51,24.476999,24.51,2100,22.497793
2017-04-28,24.35,24.35,24.35,24.35,500,22.404861
2017-05-01,24.450001,24.469999,24.450001,24.469999,800,22.515276
2017-05-02,24.389999,24.450001,24.389999,24.450001,1100,22.496872
2017-05-03,24.450001,24.450001,24.450001,24.450001,0,22.496872
2017-05-04,24.370001,24.389999,24.370001,24.389999,1500,22.441668
2017-05-05,24.4,24.4,24.4,24.4,100,22.450867
2017-05-08,24.370001,24.370001,24.370001,24.370001,300,22.423269
2017-05-09,24.370001,24.370001,24.370001,24.370001,0,22.423269
2017-05-10,24.386,24.386,24.386,24.386,300,22.437984
2017-05-11,24.43,24.43,24.43,24.43,600,22.478476
2017-05-12,24.52,24.52,24.52,24.52,100,22.561281
2017-05-15,24.530001,24.530001,24.502001,24.502001,5300,22.54472
2017-05-16,24.502001,24.502001,24.502001,24.502001,0,22.54472
2017-05-17,24.629999,24.67,24.629999,24.67,200,22.699301
2017-05-18,24.66,24.66,24.66,24.66,400,22.690098
2017-05-19,24.639999,24.639999,24.611,24.611,800,22.645012
2017-05-22,24.611,24.611,24.611,24.611,0,22.645012
2017-05-23,24.66,24.66,24.66,24.66,900,22.690098
2017-05-24,24.66,24.66,24.66,24.66,0,22.690098
2017-05-25,24.629999,24.639999,24.559999,24.608999,2200,22.643173
2017-05-26,24.648001,24.648001,24.648001,24.648001,200,22.67906
2017-05-30,24.673,24.68,24.666,24.666,900,22.69562
2017-05-31,24.606001,24.606001,24.606001,24.606001,400,22.702082
2017-06-01,24.606001,24.606001,24.606001,24.606001,0,22.702082
2017-06-02,24.73,24.74,24.693001,24.693001,3000,22.782347
2017-06-05,24.700001,24.709999,24.677,24.677,2700,22.767584
2017-06-06,24.75,24.77,24.75,24.77,900,22.853386
2017-06-07,24.77,24.77,24.77,24.77,0,22.853386
2017-06-08,24.77,24.77,24.77,24.77,0,22.853386
2017-06-09,24.77,24.77,24.77,24.77,0,22.853386
2017-06-12,24.684999,24.73,24.68,24.68,2400,22.770355
2017-06-13,24.719999,24.719999,24.698999,24.698999,400,22.787886
2017-06-14,24.85,24.860001,24.77,24.77,900,22.853386
2017-06-15,24.82,24.82,24.809999,24.82,1200,22.899523
2017-06-16,24.82,24.82,24.809999,24.809999,500,22.890293
2017-06-19,24.74,24.799999,24.74,24.799999,500,22.881067
2017-06-20,24.82,24.82,24.82,24.82,500,22.899523
2017-06-21,24.809999,24.82,24.809999,24.82,3400,22.899523
2017-06-22,24.82,24.82,24.82,24.82,0,22.899523
2017-06-23,24.82,24.82,24.82,24.82,0,22.899523
2017-06-26,24.82,24.82,24.82,24.82,0,22.899523
2017-06-27,24.83,24.83,24.781,24.781,400,22.863539
2017-06-28,24.809999,24.82,24.75,24.82,3000,22.899523
