date,open,high,low,close,volume,adjusted
2006-05-24,18.77,18.959999,18.67,18.809999,8500,16.863451
2006-05-25,18.809999,19.059999,18.809999,19.059999,10800,17.087582
2006-05-26,19.219999,19.23,19.1,19.23,11000,17.239988
2006-05-30,19.25,19.25,18.870001,18.870001,8200,16.917238
2006-05-31,19.049999,19.059999,18.9,19.040001,7900,17.069653
2006-06-01,19.030001,19.389999,19.030001,19.379999,10300,17.37446
2006-06-02,19.530001,19.530001,19.389999,19.52,4600,17.499979
2006-06-05,19.48,19.48,18.98,18.98,10800,17.015852
2006-06-06,18.879999,18.879999,18.719999,18.799999,3100,16.854485
2006-06-07,18.969999,18.969999,18.790001,18.790001,1900,16.845528
2006-06-08,18.780001,18.790001,18.389999,18.790001,14400,16.845528
2006-06-09,18.860001,18.940001,18.75,18.75,2200,16.809658
2006-06-12,18.700001,18.700001,18.290001,18.290001,16900,16.397264
2006-06-13,18.110001,18.299999,17.91,17.950001,13000,16.092451
2006-06-14,18.01,18.049999,17.85,17.92,156600,16.065557
2006-06-15,18.74,18.74,18.030001,18.5,6000,16.585529
2006-06-16,18.5,18.5,18.33,18.370001,3700,16.468983
2006-06-19,18.530001,18.530001,18.280001,18.290001,3200,16.397264
2006-06-20,18.26,18.299999,18.25,18.25,3600,16.361403
2006-06-21,18.25,18.700001,18.25,18.68,2000,16.746904
2006-06-22,18.68,18.68,18.530001,18.530001,2300,16.612431
2006-06-23,18.450001,18.690001,18.450001,18.690001,1000,16.755871
2006-06-26,18.74,18.83,18.68,18.83,1200,16.881378
2006-06-27,18.9,18.9,18.620001,18.620001,1900,16.693117
2006-06-28,18.67,18.67,18.51,18.6,6900,16.675188
2006-06-29,18.889999,19.23,18.870001,19.23,2100,17.239988
2006-06-30,19.25,19.370001,19.25,19.370001,3900,17.365501
2006-07-03,19.469999,19.540001,19.43,19.540001,12800,17.517912
2006-07-05,19.42,19.42,19.209999,19.370001,7500,17.365501
2006-07-06,19.360001,19.389999,19.25,19.25,2900,17.257919
2006-07-07,19.15,19.24,19.040001,19.059999,43400,17.087582
2006-07-10,19.120001,19.139999,18.969999,19.030001,18300,17.060684
2006-07-11,19,19.09,18.84,19.07,12200,17.096546
2006-07-12,19.040001,19.040001,18.91,18.91,1500,16.9531
2006-07-13,18.65,18.700001,18.459999,18.51,6800,16.5945
2006-07-14,18.440001,18.440001,18.219999,18.35,8600,16.451052
2006-07-17,18.290001,18.370001,18.290001,18.309999,1800,16.415194
2006-07-18,18.370001,18.370001,18.07,18.26,9400,16.370361
2006-07-19,18.25,18.700001,18.25,18.700001,73000,16.764833
2006-07-20,18.780001,18.780001,18.43,18.43,5400,16.522778
2006-07-21,18.15,18.15,18.040001,18.040001,2300,16.173136
2006-07-24,18.18,18.389999,18.139999,18.389999,2000,16.486912
2006-07-25,18.360001,18.49,18.360001,18.49,2000,16.576569
2006-07-26,18.43,18.48,18.43,18.48,600,16.5676
2006-07-27,18.4,18.4,18.209999,18.209999,2200,16.325539
2006-07-28,18.33,18.48,18.33,18.48,2900,16.5676
2006-07-31,18.41,18.52,18.41,18.52,2900,16.603458
2006-08-01,18.25,18.26,18.219999,18.24,1400,16.352444
2006-08-02,18.379999,18.43,18.309999,18.309999,5800,16.415194
2006-08-03,18.209999,18.4,18.209999,18.4,63200,16.495882
2006-08-04,18.57,18.57,18.34,18.34,400,16.442089
2006-08-07,18.23,18.34,18.23,18.280001,5600,16.388296
2006-08-08,18.360001,18.370001,18.190001,18.190001,13800,16.307611
2006-08-09,18.309999,18.32,18,18,8300,16.137276
2006-08-10,18.01,18.139999,18.01,18.139999,62900,16.262791
2006-08-11,18.1,18.1,17.950001,17.969999,3500,16.11038
2006-08-14,18.07,18.15,17.959999,17.98,3300,16.119347
2006-08-15,18.15,18.309999,18.15,18.309999,7700,16.415194
2006-08-16,18.42,18.58,18.42,18.58,2400,16.657248
2006-08-17,18.58,18.65,18.559999,18.58,6300,16.657248
2006-08-18,18.540001,18.610001,18.540001,18.610001,3100,16.684147
2006-08-21,18.530001,18.530001,18.450001,18.469999,4600,16.558636
2006-08-22,18.42,18.469999,18.42,18.440001,700,16.53174
2006-08-23,18.41,18.41,18.280001,18.290001,62400,16.397264
2006-08-24,18.33,18.33,18.200001,18.290001,2700,16.397264
2006-08-25,18.34,18.34,18.25,18.299999,4900,16.406227
2006-08-28,18.389999,18.4,18.379999,18.379999,1700,16.477949
2006-08-29,18.35,18.52,18.35,18.52,600,16.603458
2006-08-30,18.6,18.610001,18.6,18.610001,700,16.684147
2006-08-31,18.610001,18.610001,18.610001,18.610001,0,16.684147
2006-09-01,18.77,18.85,18.76,18.809999,4300,16.863451
2006-09-05,18.809999,18.85,18.74,18.85,5600,16.899309
2006-09-06,18.58,18.58,18.51,18.51,700,16.5945
2006-09-07,18.34,18.43,18.34,18.43,300,16.522778
2006-09-08,18.559999,18.559999,18.450001,18.5,5100,16.585529
2006-09-11,18.610001,18.700001,18.530001,18.639999,2500,16.71104
2006-09-12,18.870001,18.940001,18.870001,18.940001,1800,16.980003
2006-09-13,18.940001,19.120001,18.940001,19.120001,19300,17.141373
2006-09-14,19.07,19.07,19.030001,19.07,10600,17.096546
2006-09-15,19.209999,19.25,19.18,19.25,5300,17.257919
2006-09-18,19.290001,19.450001,19.290001,19.379999,20900,17.37446
2006-09-19,19.41,19.41,19.120001,19.280001,27600,17.284815
2006-09-20,19.360001,19.360001,19.309999,19.309999,500,17.311708
2006-09-21,19.299999,19.4,19.24,19.280001,2400,17.284815
2006-09-22,19.129999,19.190001,19.129999,19.190001,1800,17.204128
2006-09-25,19.25,19.309999,19.139999,19.309999,1700,17.311708
2006-09-26,19.290001,19.43,19.290001,19.43,5400,17.419292
2006-09-27,19.35,19.52,19.35,19.48,2600,17.464113
2006-09-28,19.559999,19.58,19.43,19.51,3700,17.491009
2006-09-29,19.52,19.559999,19.5,19.5,1200,17.482046
2006-10-02,19.459999,19.48,19.33,19.33,7900,17.329638
2006-10-03,19.33,19.469999,19.33,19.43,5000,17.419292
2006-10-04,19.35,19.639999,19.35,19.639999,3800,17.607555
2006-10-05,19.75,19.85,19.719999,19.85,3400,17.795832
2006-10-06,19.860001,19.950001,19.74,19.950001,10500,17.885479
2006-10-09,19.91,20.059999,19.91,20.02,5200,17.948238
2006-10-10,20.09,20.09,19.959999,20.030001,11700,17.957203
2006-10-11,19.969999,19.99,19.940001,19.969999,800,17.903402
2006-10-12,20.049999,20.139999,20.049999,20.139999,2900,18.055819
2006-10-13,20.17,20.190001,20.110001,20.16,19400,18.073751
2006-10-16,20.26,20.33,20.26,20.309999,8700,18.208225
2006-10-17,20.190001,20.200001,20.18,20.200001,2300,18.109612
2006-10-18,20.26,20.32,20.24,20.26,12400,18.163403
2006-10-19,20.299999,20.549999,20.26,20.530001,13500,18.405457
2006-10-20,20.57,20.57,20.42,20.440001,10700,18.324772
2006-10-23,20.48,20.59,20.42,20.58,8700,18.450285
2006-10-24,20.540001,20.559999,20.5,20.559999,3600,18.432352
