date,open,high,low,close,volume,adjusted
2003-08-27,15,15,15,15,835400,7.344181
2003-08-28,15,15.01,15,15,414500,7.344181
2003-08-29,14.95,15.02,14.95,15,118900,7.344181
2003-09-02,15.01,15.01,15,15.01,105800,7.349079
2003-09-03,15,15.01,14.97,15.01,64300,7.349079
2003-09-04,15.01,15.02,15,15.02,17000,7.353973
2003-09-05,15.02,15.02,15,15.01,26100,7.349079
2003-09-08,15.02,15.1,15,15.02,21100,7.353973
2003-09-09,15.04,15.04,15,15.01,30900,7.349079
2003-09-10,15,15.07,15,15.04,34600,7.363768
2003-09-11,15.01,15.07,15,15,36000,7.344181
2003-09-12,15,15.08,15,15.04,33400,7.363768
2003-09-15,15.04,15.04,15,15,8300,7.344181
2003-09-16,15.03,15.03,14.68,14.99,40500,7.339286
2003-09-17,15,15,14.7,14.8,85300,7.246263
2003-09-18,14.75,14.9,14.7,14.76,43300,7.226675
2003-09-19,14.75,14.88,14.75,14.75,26500,7.221778
2003-09-22,14.89,14.89,14.75,14.79,43500,7.241362
2003-09-23,14.85,14.85,14.4,14.6,55000,7.148337
2003-09-24,14.5,14.65,14.5,14.6,43700,7.148337
2003-09-25,14.6,14.65,14.5,14.5,61500,7.099377
2003-09-26,14.5,14.59,14.5,14.59,85600,7.143439
2003-09-29,14.58,14.58,14.1,14.15,154300,6.928013
2003-09-30,14.1,14.1,13.9,14,160100,6.854571
2003-10-01,14.25,14.34,14.25,14.33,54500,7.016142
2003-10-02,14.25,14.55,14.25,14.5,25200,7.099377
2003-10-03,14.7,14.79,14.5,14.5,35700,7.099377
2003-10-06,14.5,14.55,14.3,14.3,22000,7.001454
2003-10-07,14.3,14.5,14.3,14.4,32500,7.050416
2003-10-08,14.45,14.5,14.3,14.35,18700,7.025936
2003-10-09,14.35,14.6,14.35,14.5,58400,7.099377
2003-10-10,14.5,14.65,14.5,14.55,75400,7.123856
2003-10-13,14.53,14.65,14.5,14.65,58400,7.172815
2003-10-14,14.63,14.75,14.45,14.45,81200,7.074897
2003-10-15,14.55,14.55,14.05,14.2,57700,6.952493
2003-10-16,14.05,14.25,13.85,13.95,83400,6.830089
2003-10-17,13.99,14,13.8,13.95,37700,6.830089
2003-10-20,13.95,14.05,13.7,13.9,59500,6.805611
2003-10-21,13.88,14.25,13.6,14,74600,6.854571
2003-10-22,14,14.05,13.75,13.95,97600,6.830089
2003-10-23,13.95,13.99,13.75,13.85,81500,6.781128
2003-10-24,13.8,13.8,13.63,13.65,66500,6.683204
