date,open,high,low,close,volume,adjusted
2007-03-23,53.450001,53.619999,53.450001,53.549999,10600,42.398972
2007-03-26,54.099998,54.099998,53.799999,54,2500,42.755264
2007-03-27,53.799999,53.810001,53.299999,53.580002,11600,42.422722
2007-03-28,53.09,53.150002,52.599998,52.849998,14900,41.844723
2007-03-29,54,54.049999,53.5,54.049999,7000,42.794849
2007-03-30,54.25,54.25,53.599998,53.599998,11900,42.438553
2007-04-02,54.150002,54.639999,54,54.59,16800,43.222401
2007-04-03,54.650002,55.200001,54.650002,55.099998,21700,43.62619
2007-04-04,55.380001,55.5,55.299999,55.360001,900,43.832058
2007-04-05,55.5,55.619999,55.470001,55.619999,4700,44.037914
2007-04-09,55.84,56.099998,55.84,55.98,8300,44.322956
2007-04-10,56.18,56.41,56.130001,56.25,7800,44.536724
2007-04-11,56.490002,56.5,55.650002,55.830002,27000,44.204193
2007-04-12,56.139999,57.009998,55.990002,57,40000,45.130554
2007-04-13,56.599998,56.799999,56.349998,56.799999,5100,44.972191
2007-04-16,57.25,57.98,57.25,57.900002,22200,45.843136
2007-04-17,57.889999,58,57.41,57.580002,28200,45.589775
2007-04-18,57.439999,57.68,57.27,57.310001,40400,45.375999
2007-04-19,55.450001,56.650002,55.450001,56.360001,24200,44.623825
2007-04-20,57.07,57.400002,57.060001,57.310001,20200,45.375999
2007-04-23,57,57,56.130001,56.720001,5300,44.908855
2007-04-24,56.75,56.75,56.299999,56.720001,8300,44.908855
2007-04-25,56.75,57.099998,56.57,57.099998,8400,45.209724
2007-04-26,57.060001,57.060001,56.68,56.900002,6000,45.05138
2007-04-27,56.400002,56.599998,56.07,56.240002,4700,44.528805
2007-04-30,56.049999,56.200001,54.799999,55.09,27500,43.618286
2007-05-01,55.400002,55.490002,54.950001,55.490002,5600,43.934998
2007-05-02,55.900002,56.48,55.900002,56.360001,13500,44.623825
2007-05-03,56.900002,57.450001,56.900002,57.32,27500,45.383911
2007-05-04,57.950001,58.080002,57.700001,57.700001,16000,45.684776
2007-05-07,58.299999,58.299999,57.75,58.099998,14400,46.001488
2007-05-08,57.59,57.650002,57.169998,57.450001,10400,45.486839
2007-05-09,57.98,58.630001,57.98,58.560001,27300,46.365704
2007-05-10,58.400002,58.400002,57.130001,57.130001,49100,45.233486
2007-05-11,59.060001,60.75,58.740002,60.200001,77300,47.664204
2007-05-14,60.700001,60.75,59.900002,60.110001,17500,47.592934
2007-05-15,60.110001,60.68,59.900002,59.900002,5600,47.426674
2007-05-16,60.419998,60.900002,60.279999,60.900002,6500,48.218441
2007-05-17,60.75,60.82,60.470001,60.700001,6500,48.060081
2007-05-18,60.450001,60.549999,60.290001,60.369999,5800,47.79879
2007-05-21,60.700001,66.400002,60.549999,60.75,22000,48.099667
2007-05-22,60.700001,60.700001,60.360001,60.439999,84300,47.854221
2007-05-23,60.830002,61.099998,59.950001,59.950001,15400,47.466251
2007-05-24,59.790001,60.299999,58,58.07,31500,45.977741
2007-05-25,59.27,59.580002,59.139999,59.52,12000,47.125801
2007-05-29,59.5,60,58.52,59.150002,35100,46.832836
2007-05-30,58.099998,59.360001,57.900002,59.360001,36400,46.999119
2007-05-31,60.299999,60.349998,59.59,59.919998,25900,47.442505
2007-06-01,60.779999,60.950001,60.560001,60.810001,24700,48.147171
2007-06-04,60.259998,60.700001,60.18,60.700001,17000,48.060081
2007-06-05,61.5,61.5,60.580002,61.080002,25600,48.36095
2007-06-06,60.799999,60.799999,60.07,60.25,8400,47.703789
