date,open,high,low,close,volume,adjusted
2010-12-01,50.049999,50.150002,50.049999,50.150002,300,24.951145
2010-12-02,50.150002,50.200001,50.139999,50.200001,1400,24.976032
2010-12-03,50.049999,50.099998,50.049999,50.099998,400,24.926268
2010-12-06,50.07,50.07,50.07,50.07,800,24.911335
2010-12-07,50.110001,50.110001,50.099998,50.110001,5100,24.931236
2010-12-08,50.080002,50.150002,50.080002,50.150002,49600,24.951145
2010-12-09,50.150002,50.150002,50.150002,50.150002,1000,24.951145
2010-12-10,50.150002,50.150002,50.099998,50.099998,4500,24.926268
2010-12-13,49.950001,50.150002,49.950001,50.080002,4500,24.916306
2010-12-14,50.029999,50.119999,50.029999,50.119999,2000,24.936209
2010-12-15,50.060001,50.060001,49.98,50.009998,10800,24.881485
2010-12-16,50.119999,50.119999,50.119999,50.119999,12000,24.936209
2010-12-17,50.150002,50.150002,50.150002,50.150002,400,24.951145
2010-12-20,50.169998,50.169998,50.169998,50.169998,64000,24.961092
2010-12-21,50.169998,50.169998,50.169998,50.169998,0,24.961092
2010-12-22,50.200001,50.349998,50.200001,50.349998,3100,25.050657
2010-12-23,50.209999,50.209999,50.189999,50.189999,2700,25.087641
2010-12-27,50.23,50.279999,50.23,50.279999,700,25.132633
2010-12-28,50.200001,50.279999,50.200001,50.279999,3100,25.132633
2010-12-29,50.279999,50.279999,50.279999,50.279999,0,25.132633
2010-12-30,50.419998,50.419998,50.419998,50.419998,500,25.2026
2010-12-31,50.310001,50.310001,50.310001,50.310001,700,25.147621
2011-01-03,50.459999,50.459999,50.459999,50.459999,2000,25.222601
2011-01-04,50.549999,50.549999,50.549999,50.549999,1000,25.267576
2011-01-05,50.66,50.66,50.630001,50.630001,1000,25.307571
2011-01-06,50.849998,50.849998,50.849998,50.849998,200,25.417543
2011-01-07,50.75,50.799999,50.75,50.799999,6300,25.392553
2011-01-10,50.740002,50.740002,50.740002,50.740002,6800,25.362556
2011-01-11,50.84,50.84,50.790001,50.82,14700,25.402542
2011-01-12,50.84,51.07,50.84,51.07,6300,25.527521
2011-01-13,51.099998,51.099998,51.099998,51.099998,2200,25.542507
2011-01-14,51.139999,51.209999,51.139999,51.209999,2300,25.597475
2011-01-18,51.220001,51.290001,51.220001,51.290001,1700,25.637484
2011-01-19,51.27,51.32,51.23,51.32,73600,25.652475
2011-01-20,51.349998,51.349998,51.299999,51.299999,1000,25.642469
2011-01-21,51.389999,51.41,51.389999,51.41,7100,25.697458
2011-01-24,51.419998,51.57,51.419998,51.57,10200,25.777433
2011-01-25,51.380001,51.450001,51.380001,51.450001,33800,25.816572
2011-01-26,51.48,51.549999,51.380001,51.380001,13600,25.781443
2011-01-27,51.400002,51.59,51.380001,51.59,12900,25.886816
2011-01-28,51.52,51.52,51.52,51.52,500,25.851702
2011-01-31,51.52,51.52,51.52,51.52,11700,25.851702
2011-02-01,51.529999,51.669998,51.529999,51.669998,7600,25.926964
2011-02-02,51.400002,51.599998,51.400002,51.599998,1200,25.891838
2011-02-03,51.450001,51.599998,51.450001,51.599998,200,25.891838
2011-02-04,51.790001,51.82,51.700001,51.82,5400,26.002224
2011-02-07,51.790001,51.790001,51.790001,51.790001,100,25.987185
2011-02-08,51.880001,51.919998,51.73,51.919998,2000,26.052401
2011-02-09,51.889999,51.889999,51.75,51.849998,1600,26.017281
2011-02-10,52.029999,52.029999,51.990002,51.990002,500,26.087542
2011-02-11,52,52,51.950001,51.950001,3200,26.067478
2011-02-14,52.099998,52.099998,52.099998,52.099998,400,26.142738
2011-02-15,51.919998,51.959999,51.919998,51.959999,1000,26.072491
