date,open,high,low,close,volume,adjusted
2015-11-12,50.25,50.25,50.25,50.25,100,46.103714
2015-11-13,50.25,50.25,50.25,50.25,0,46.103714
2015-11-16,50.099998,50.099998,50.099998,50.099998,200,45.966091
2015-11-17,50.130001,50.130001,50.130001,50.130001,1500,45.993618
2015-11-18,50.130001,50.130001,50.130001,50.130001,0,45.993618
2015-11-19,50.34,50.34,50.34,50.34,3000,46.186272
2015-11-20,50.389999,50.389999,50.360001,50.360001,1500,46.204639
2015-11-23,50.360001,50.360001,50.360001,50.360001,0,46.204639
2015-11-24,50.43,50.599998,50.369999,50.419998,35300,46.25967
2015-11-25,50.5,50.509998,50.439999,50.5,46900,46.333076
2015-11-27,50.560001,50.650002,50.25,50.48,492900,46.31472
2015-11-30,50.59,50.59,50.48,50.490002,17500,46.323898
2015-12-01,50.459999,50.549999,50.419998,50.419998,18000,46.25967
2015-12-02,50.509998,50.560001,50.509998,50.560001,4800,46.388126
2015-12-03,50.389999,50.389999,50.18,50.18,64600,46.039478
2015-12-04,50.040001,50.040001,50.029999,50.035,3100,45.906448
2015-12-07,50.110001,50.119999,50.110001,50.119999,9300,45.984436
2015-12-08,50.119999,50.119999,50.119999,50.119999,0,45.984436
2015-12-09,50.34,50.34,50.34,50.34,600,46.186272
2015-12-10,50.299999,50.900002,50.02,50.150002,14700,46.011944
2015-12-11,50.389999,50.389999,50.326,50.369999,1600,46.213806
2015-12-14,50.299999,50.299999,50.220001,50.240002,1100,46.09454
2015-12-15,50.240002,50.240002,50.240002,50.240002,0,46.09454
2015-12-16,50.110001,50.110001,50.110001,50.110001,700,45.975266
2015-12-17,50.110001,50.110001,50.110001,50.110001,0,45.975266
2015-12-18,50.360001,50.360001,50.345001,50.345001,800,46.190868
2015-12-21,50.257,50.34,50.23,50.339001,900,46.185349
2015-12-22,50.339001,50.339001,50.339001,50.339001,0,46.185349
2015-12-23,50.150002,50.150002,50.130001,50.134998,1900,45.998192
2015-12-24,50.092999,50.092999,50.09,50.09,300,45.956917
2015-12-28,50.119999,50.169998,50.119999,50.169998,400,46.030304
2015-12-29,50.119999,50.119999,50.09,50.099998,2100,45.966091
2015-12-30,50.07,50.09,50.060001,50.07,2800,45.938557
2015-12-31,50.130001,50.139999,50.047001,50.139999,5900,46.002785
2016-01-04,50.23,50.248001,50.182999,50.23,1000,46.085354
2016-01-05,50.310001,50.310001,50.310001,50.310001,2300,46.158756
2016-01-06,50.386002,50.389999,50.306,50.306,2200,46.155079
2016-01-07,50.34,50.34,50.330002,50.330002,2900,46.177101
2016-01-08,50.396,50.41,50.279999,50.311001,9700,46.159672
2016-01-11,50.169998,50.310001,50.169998,50.308998,2500,46.157833
2016-01-12,50.279999,50.369999,50.27,50.369999,1600,46.213806
2016-01-13,50.404999,50.408001,50.404999,50.408001,1300,46.248665
2016-01-14,50.66,50.669998,50.66,50.66,2500,46.479874
2016-01-15,50.738998,50.759998,50.738998,50.759998,1000,46.571629
2016-01-19,50.759998,50.759998,50.759998,50.759998,0,46.571629
2016-01-20,50.73,50.73,50.605,50.605,1800,46.429405
2016-01-21,50.610001,50.810001,50.610001,50.779999,1700,46.58997
2016-01-22,50.688999,50.700001,50.688999,50.700001,300,46.516575
2016-01-25,50.709999,50.709999,50.709999,50.709999,300,46.525749
2016-01-26,50.709999,50.709999,50.709999,50.709999,0,46.525749
2016-01-27,50.794998,50.810001,50.674999,50.810001,2300,46.617496
2016-01-28,50.875,51.099998,50.875,51.080002,50700,46.865219
2016-01-29,51.09,51.119999,51.060001,51.060001,5000,46.846867
2016-02-01,51.23,51.23,50.77,50.799999,91200,46.608315
2016-02-02,50.768002,51,50.709999,50.77,3200,46.580799
2016-02-03,51,51.130001,50.779999,50.779999,144200,46.58997
2016-02-04,50.869999,50.93,50.650002,50.93,30200,46.727596
2016-02-05,50.91,50.93,50.84,50.849998,5500,46.654194
2016-02-08,50.990002,51.02,50.900002,51.02,3200,46.810177
2016-02-09,50.93,50.93,50.93,50.93,200,46.727596
2016-02-10,50.900002,50.950001,50.860001,50.880001,5500,46.681725
2016-02-11,51.060001,51.060001,51.049999,51.049999,500,46.837688
2016-02-12,50.875,50.924,50.720001,50.720001,1400,46.534935
