date,open,high,low,close,volume,adjusted
2017-07-05,4.6,4.81,4.51,4.79,52700,4.559812
2017-07-06,5,5.03,4.61,4.78,193300,4.550294
2017-07-07,4.72,5.08,4.55,4.87,264500,4.635969
2017-07-10,4.95,5.85,4.8,5.04,1187200,4.7978
2017-07-11,25.1,25.1,24.91,25.1,200,23.893801
2017-07-12,25.049999,25.09,25.049999,25.09,300,23.884279
2017-07-13,25.09,25.110001,25.09,25.110001,700,23.903318
2017-07-14,25.16,25.23,25.15,25.15,427400,23.941391
2017-07-17,25.24,25.83,25.120001,25.16,58200,23.950918
2017-07-18,25.24,25.27,25.059999,25.27,9100,24.055632
2017-07-19,25.24,25.24,25.215,25.24,1100,24.027077
2017-07-20,25.24,25.24,25.24,25.24,700,24.027077
2017-07-21,25.27,25.27,25.27,25.27,500,24.055632
2017-07-24,25.27,25.27,25.190001,25.254999,10100,24.041348
2017-07-25,25.27,25.728001,25.26,25.27,4800,24.055632
2017-07-26,25.191999,25.33,25.191999,25.33,600,24.112749
2017-07-27,25.26,25.26,25.26,25.26,100,24.046108
2017-07-28,25.26,25.26,25.26,25.26,0,24.046108
2017-07-31,25.35,29.299999,25.25,25.25,2100,24.036591
2017-08-01,25.219999,25.559999,25.219999,25.405001,1400,24.184145
2017-08-02,25.249001,25.26,25.212,25.26,8400,24.046108
2017-08-03,25.27,25.299999,25.27,25.299999,12600,24.084192
2017-08-04,25.193001,25.299999,25.193001,25.27,51200,24.055632
2017-08-07,25.24,25.24,25.120001,25.120001,3500,23.91284
2017-08-08,25.208,25.208,25.208,25.208,600,23.996607
2017-08-09,25.208,25.208,25.208,25.208,0,23.996607
2017-08-10,25.208,25.208,25.208,25.208,0,23.996607
2017-08-11,25.27,25.27,25.25,25.25,700,24.036591
2017-08-14,25.25,25.26,25.209999,25.209999,2700,23.99851
2017-08-15,25.219999,25.25,25.200001,25.219999,1900,24.008032
2017-08-16,25.169001,25.280001,25.152,25.24,11400,24.066198
2017-08-17,25.110001,25.299999,25.110001,25.290001,1200,24.113867
2017-08-18,25.290001,25.290001,25.290001,25.290001,0,24.113867
2017-08-21,25.25,25.25,25.236,25.236,3000,24.062384
2017-08-22,25.1,25.27,25.1,25.27,1200,24.094801
