date,open,high,low,close,volume,adjusted
2014-06-12,49.880001,49.950001,49.880001,49.950001,10200,42.96146
2014-06-13,49.91,49.91,49.849998,49.91,2600,42.927048
2014-06-16,49.650002,49.669998,49.650002,49.669998,1000,42.720623
2014-06-17,49.380001,49.669998,49.380001,49.669998,1500,42.720623
2014-06-18,49.790001,50.43,49.790001,50.43,25700,43.374298
2014-06-19,50.349998,50.689999,50.349998,50.507999,14700,43.441387
2014-06-20,50.150002,50.349998,50.150002,50.349998,2300,43.305489
2014-06-23,49.950001,50.240002,49.860001,50.240002,5400,43.210892
2014-06-24,50.310001,50.310001,49.799999,49.82,79800,42.849644
2014-06-25,49.279999,49.599998,49.279999,49.599998,7200,42.660416
2014-06-26,49.41,49.43,49.080002,49.43,3800,42.514206
2014-06-27,49.360001,49.360001,49.360001,49.360001,600,42.453995
2014-06-30,49.66,49.66,49.66,49.66,300,42.712029
2014-07-01,49.91,50.130001,49.91,50.130001,2000,43.116272
2014-07-02,50,50.220001,49.970001,50.178001,4000,43.157555
2014-07-03,50.369999,50.41,50.369999,50.41,2000,43.357094
2014-07-07,50.009998,50.009998,49.650002,49.82,99200,42.849644
2014-07-08,49.299999,49.299999,49.150002,49.150002,5300,42.273384
2014-07-09,49.18,49.18,49.153,49.153,3600,42.275963
2014-07-10,48.400002,48.619999,48.380001,48.580002,4800,41.783134
2014-07-11,48.560001,48.620998,48.560001,48.620998,900,41.818394
2014-07-14,49.082001,49.150002,49.049999,49.049999,1200,42.18737
2014-07-15,49.07,49.07,48.759998,48.759998,2900,41.937943
2014-07-16,49.529999,49.529999,49.529999,49.529999,300,42.60022
2014-07-17,48.91,48.91,48.519001,48.519001,2400,41.730663
2014-07-18,48.73,48.790001,48.73,48.790001,1500,41.963749
2014-07-21,48.790001,48.790001,48.790001,48.790001,0,41.963749
2014-07-22,48.900002,48.950001,48.810001,48.82,3000,41.989552
2014-07-23,49.110001,49.110001,49.02,49.02,900,42.161572
2014-07-24,49.169998,49.193001,49.169998,49.193001,600,42.310368
