date,open,high,low,close,volume,adjusted
2001-10-26,8.32,8.32,8.32,8.32,5000,5.777233
2001-10-29,8.3,8.3,8.3,8.3,11500,5.763346
2001-10-30,8.3,8.3,8.3,8.3,0,5.763346
2001-10-31,8.1,8.1,8.1,8.1,5000,5.62447
2001-11-01,8.22,8.22,8.22,8.22,10000,5.707796
2001-11-02,8.28,8.28,8.28,8.28,16500,5.749456
2001-11-05,8.28,8.28,8.28,8.28,0,5.749456
2001-11-06,8.52,8.59,8.52,8.59,38000,5.964715
2001-11-07,8.62,8.68,8.62,8.68,9500,6.027209
2001-11-08,8.68,8.68,8.68,8.68,16500,6.027209
2001-11-09,8.68,8.68,8.68,8.68,0,6.027209
2001-11-12,8.49,8.49,8.49,8.49,19000,5.895276
2001-11-13,8.68,8.684,8.64,8.64,6500,5.999434
2001-11-14,8.66,8.742,8.66,8.742,17500,6.070261
2001-11-15,8.706,8.728,8.67,8.67,8500,6.020265
2001-11-16,8.66,8.66,8.66,8.66,5000,6.013322
2001-11-19,8.752,8.752,8.752,8.752,11000,6.077204
2001-11-20,8.738,8.738,8.738,8.738,500,6.067482
2001-11-21,8.738,8.738,8.738,8.738,0,6.067482
2001-11-23,8.738,8.738,8.738,8.738,0,6.067482
2001-11-26,8.9,9.034,8.9,9.034,4000,6.273018
2001-11-27,8.98,9.078,8.98,9.064,6000,6.29385
2001-11-28,9.04,9.04,8.93,8.93,8500,6.200805
2001-11-29,8.87,8.87,8.74,8.74,4500,6.068871
2001-11-30,8.756,8.758,8.756,8.758,10500,6.081371
2001-12-03,8.916,8.916,8.916,8.916,1000,6.191083
2001-12-04,9.06,9.06,9.06,9.06,500,6.291072
2001-12-05,9.09,9.236,9.09,9.236,1500,6.413283
2001-12-06,9.22,9.22,9.22,9.22,4500,6.402173
2001-12-07,9.22,9.22,9.22,9.22,0,6.402173
2001-12-10,9.36,9.396,9.36,9.396,3500,6.524383
2001-12-11,9.56,9.56,9.56,9.56,4500,6.638264
2001-12-12,9.356,9.356,9.356,9.356,500,6.496609
2001-12-13,9.202,9.202,9.202,9.202,1000,6.389676
2001-12-14,9.202,9.202,9.202,9.202,0,6.389676
2001-12-17,9.202,9.202,9.202,9.202,0,6.389676
2001-12-18,9.202,9.202,9.202,9.202,0,6.389676
2001-12-19,9.428,9.44,9.426,9.43,8500,6.547993
2001-12-20,9.43,9.43,9.43,9.43,0,6.547993
2001-12-21,9.476,9.476,9.476,9.476,10000,6.579935
2001-12-24,9.46,9.46,9.46,9.46,5000,6.568826
2001-12-26,9.474,9.474,9.474,9.474,500,6.578545
2001-12-27,9.526,9.526,9.526,9.526,2500,6.614654
2001-12-28,9.668,9.668,9.668,9.668,500,6.713255
2001-12-31,9.538,9.538,9.538,9.538,5500,6.622986
2002-01-02,9.65,9.65,9.65,9.65,1500,6.700755
2002-01-03,9.858,9.906,9.858,9.906,9000,6.878517
2002-01-04,9.93,9.94,9.906,9.908,8000,6.879908
2002-01-07,9.886,9.886,9.828,9.828,2500,6.824358
2002-01-08,9.846,9.846,9.8,9.8,2000,6.804914
2002-01-09,9.8,9.8,9.8,9.8,0,6.804914
2002-01-10,9.58,9.58,9.476,9.476,2000,6.579935
2002-01-11,9.446,9.446,9.446,9.446,12500,6.559103
2002-01-14,9.446,9.446,9.446,9.446,0,6.559103
2002-01-15,9.446,9.446,9.446,9.446,0,6.559103
2002-01-16,9.42,9.42,9.38,9.38,1000,6.513275
2002-01-17,9.534,9.558,9.534,9.558,6000,6.636873
2002-01-18,9.556,9.556,9.556,9.556,2500,6.635484
2002-01-22,9.52,9.52,9.52,9.52,500,6.610489
2002-01-23,9.446,9.676,9.446,9.676,8500,6.71881
2002-01-24,9.8,9.8,9.716,9.716,3000,6.746587
