date,open,high,low,close,volume,adjusted
2016-11-07,50.060001,50.060001,50.009998,50.009998,1400,45.811169
2016-11-08,50.060001,50.060001,50.040001,50.040001,1300,45.838654
2016-11-09,49.889999,49.889999,49.73,49.75,500,45.572998
2016-11-10,49.75,49.75,49.75,49.75,0,45.572998
2016-11-11,49.34,49.34,49.34,49.34,100,45.197414
2016-11-14,49.27,49.32,49.220001,49.32,6400,45.179104
2016-11-15,49.080002,49.16,49.080002,49.16,6000,45.032539
2016-11-16,49.189999,49.189999,49.189999,49.189999,400,45.060009
2016-11-17,49.189999,49.189999,49.189999,49.189999,0,45.060009
2016-11-18,49.139999,49.139999,48.967999,48.985001,800,44.872219
2016-11-21,48.98,49,48.950001,48.950001,1700,44.84016
2016-11-22,49.02,49.029999,48.942001,49,5300,44.885971
2016-11-23,49,49,49,49,0,44.885971
2016-11-25,49,49,49,49,0,44.885971
2016-11-28,48.91,48.91,48.810001,48.889999,7400,44.785198
2016-11-29,48.889999,48.889999,48.889999,48.889999,8100,44.785198
2016-11-30,48.942001,48.942001,48.915001,48.915001,500,44.808105
2016-12-01,48.720001,48.740002,48.692001,48.692001,2100,44.686962
2016-12-02,48.748001,48.757,48.748001,48.757,2400,44.746609
2016-12-05,48.740002,48.740002,48.650002,48.671001,1100,44.667694
2016-12-06,48.84,48.860001,48.817001,48.817001,3000,44.801682
2016-12-07,48.950001,48.950001,48.898998,48.898998,1800,44.876926
2016-12-08,48.889,48.889,48.889,48.889,300,44.867771
2016-12-09,48.959999,48.959999,48.894001,48.914001,3400,44.890709
2016-12-12,48.914001,48.914001,48.914001,48.914001,0,44.890709
2016-12-13,48.77,48.77,48.720001,48.759998,800,44.749355
2016-12-14,48.849998,48.849998,48.849998,48.849998,1300,44.831963
2016-12-15,48.48,48.599998,48.400002,48.400002,8400,44.418983
2016-12-16,48.389999,48.443001,48.359001,48.443001,800,44.458447
2016-12-19,48.419998,48.52,48.419998,48.48,8800,44.492393
2016-12-20,48.459999,48.459999,48.452,48.459999,2700,44.474041
2016-12-21,48.509998,48.560001,48.417999,48.509998,10700,44.519928
2016-12-22,48.509998,48.549999,48.507,48.549999,1000,44.65144
2016-12-23,48.43,48.439999,48.43,48.439999,3900,44.550285
2016-12-27,48.41,48.436001,48.41,48.436001,400,44.5466
2016-12-28,48.41,48.48,48.41,48.48,9900,44.587067
2016-12-29,48.48,48.48,48.48,48.48,0,44.587067
2016-12-30,48.599998,48.723999,48.549999,48.723999,2000,44.811474
2017-01-03,48.700001,48.82,48.700001,48.727001,800,44.81424
2017-01-04,48.849998,48.849998,48.792,48.799,500,44.880447
2017-01-05,48.860001,49.060001,48.820999,49.029999,2700,45.092903
2017-01-06,48.919998,48.919998,48.917999,48.917999,800,44.989891
2017-01-09,49.029999,49.029999,48.98,49.009998,1900,45.074501
2017-01-10,49.009998,49.009998,48.970001,48.970001,8400,45.037716
2017-01-11,49.029999,49.080002,49.029999,49.080002,600,45.138885
2017-01-12,49.130001,49.130001,49.071999,49.071999,300,45.131519
2017-01-13,49.049999,49.099998,48.988998,49.099998,3500,45.157288
2017-01-17,49.200001,49.200001,49.060001,49.130001,4600,45.184868
2017-01-18,49.09,49.095001,48.994999,48.994999,2300,45.060722
2017-01-19,48.82,48.869999,48.82,48.869999,600,44.945747
2017-01-20,48.888,48.888,48.830002,48.830002,400,44.90897
2017-01-23,48.98,49.009998,48.959999,49.009998,1100,45.074501
2017-01-24,48.970001,48.970001,48.889999,48.889999,1800,44.964134
2017-01-25,48.84,48.84,48.810001,48.810001,1800,44.890572
2017-01-26,48.75,48.799999,48.682999,48.734001,6200,44.820683
2017-01-27,48.734001,48.734001,48.734001,48.734001,0,44.820683
2017-01-30,48.84,48.84,48.783001,48.811001,1500,44.891491
2017-01-31,48.880001,48.938999,48.880001,48.93,5500,45.000938
2017-02-01,48.810001,48.880001,48.810001,48.869999,1400,45.03688
2017-02-02,48.790001,48.868999,48.73,48.789001,7500,44.962238
