date,open,high,low,close,volume,adjusted
2014-06-12,50.040001,50.084999,50.040001,50.084999,24400,43.941132
2014-06-13,50.025002,50.025002,50.025002,50.025002,12000,43.888485
2014-06-16,50.044998,50.084999,50.044998,50.064999,4400,43.923584
2014-06-17,50.025002,50.025002,50.025002,50.025002,1000,43.888485
2014-06-18,50.02,50.060001,50.009998,50.060001,34000,43.919197
2014-06-19,50.075001,50.084999,50.005001,50.005001,8600,43.870949
2014-06-20,50.095001,50.095001,50.064999,50.064999,1000,43.923584
2014-06-23,50.165001,50.165001,50.060001,50.060001,800,43.919197
2014-06-24,50.080002,50.119999,50.080002,50.119999,5800,43.971848
2014-06-25,50.174999,50.174999,50.169998,50.174999,4800,44.020088
2014-06-26,50.205002,50.209999,50.205002,50.209999,3800,44.050812
2014-06-27,50.235001,50.235001,50.235001,50.235001,4000,44.072739
2014-06-30,50.259998,50.259998,50.259998,50.259998,4000,44.094666
2014-07-01,50.259998,50.259998,50.259998,50.259998,0,44.094666
2014-07-02,50.145,50.145,50.145,50.145,1000,43.993778
2014-07-03,49.974998,50,49.974998,50,800,43.86655
2014-07-07,50,50,50,50,0,43.86655
2014-07-08,50,50,50,50,0,43.86655
2014-07-09,50.174999,50.209999,50.174999,50.209999,16000,44.050812
2014-07-10,50.25,50.259998,50.224998,50.224998,12000,44.063961
2014-07-11,50.305,50.305,50.279999,50.279999,1400,44.112206
2014-07-14,50.255001,50.255001,50.195,50.200001,8400,44.042023
2014-07-15,50.200001,50.224998,50.189999,50.189999,23200,44.033249
2014-07-16,50.200001,50.200001,50.200001,50.200001,2000,44.042023
2014-07-17,50.279999,50.314999,50.25,50.314999,30600,44.142918
2014-07-18,50.404999,50.404999,50.25,50.25,2200,44.085888
2014-07-21,50.275002,50.275002,50.275002,50.275002,6000,44.107838
2014-07-22,50.294998,50.294998,50.294998,50.294998,1400,44.125359
2014-07-23,50.34,50.349998,50.34,50.349998,2400,44.173637
2014-07-24,50.349998,50.349998,50.349998,50.349998,0,44.173637
2014-07-25,50.314999,50.314999,50.314999,50.314999,800,44.142918
2014-07-28,50.314999,50.314999,50.314999,50.314999,0,44.142918
2014-07-29,50.305,50.305,50.279999,50.279999,1000,44.112206
2014-07-30,50.224998,50.224998,50.224998,50.224998,600,44.063961
2014-07-31,50.049999,50.080002,50.049999,50.080002,1200,43.936752
2014-08-01,49.939999,50.060001,49.939999,50.040001,3400,44.007107
2014-08-04,50.040001,50.040001,50.040001,50.040001,0,44.007107
2014-08-05,50.040001,50.040001,50.040001,50.040001,0,44.007107
2014-08-06,50.110001,50.110001,50.110001,50.110001,2000,44.068661
