date,open,high,low,close,volume,adjusted
2000-05-19,142.65625,142.65625,140.25,140.6875,775500,97.330566
2000-05-22,140.59375,140.59375,136.8125,139.8125,1850600,96.725273
2000-05-23,140.21875,140.21875,137.6875,137.6875,373900,95.255142
2000-05-24,137.75,140.0625,136.65625,139.75,400300,96.681984
2000-05-25,140.03125,140.9375,137.875,138.46875,69600,95.795609
2000-05-26,138.484375,138.75,137,137.84375,237000,95.363213
2000-05-30,139.28125,142.4375,139.28125,142.375,118100,98.498093
2000-05-31,141.875,143.625,141.875,142.78125,216900,98.779106
2000-06-01,143.90625,145.0625,143.625,145.0625,128700,100.357338
2000-06-02,148.3125,148.78125,147.46875,147.9375,108400,102.346268
2000-06-05,147,147.65625,146.6875,146.96875,192100,101.676102
2000-06-06,146.4375,147.1875,145.6875,146.21875,209300,101.157196
2000-06-07,146.21875,147.5,145.65625,147.1875,85400,101.827454
2000-06-08,147.8125,147.8125,145.9375,146.65625,248400,101.45993
2000-06-09,147.515625,147.515625,145.875,146.125,20200,101.092392
2000-06-12,146.625,146.625,144.859375,144.859375,17600,100.216766
2000-06-13,145,147.25,144.5,146.75,40300,101.524765
2000-06-14,147.75,148.375,147.125,147.65625,353900,102.151718
2000-06-15,147.6875,148.25,146.609375,147.65625,338500,102.151718
2000-06-16,148.625,148.625,146.46875,147.0625,855900,101.740982
2000-06-19,146.5625,149.03125,146.5,148.515625,160000,102.746239
2000-06-20,148.625,148.640625,147.296875,147.703125,182600,102.184113
2000-06-21,146.875,148.15625,146.875,147.859375,137500,102.374771
2000-06-22,147.4375,147.4375,145,145.4375,182900,100.69783
2000-06-23,145.5,145.875,144,144.390625,238200,99.97303
2000-06-26,145.03125,146.0625,144.8125,146.0625,26000,101.130608
2000-06-27,145.8125,146.296875,145.25,145.25,40900,100.56804700000001
2000-06-28,145.3125,146.90625,145.3125,145.921875,51200,101.033226
2000-06-29,144.640625,145.25,143.5625,144.15625,48500,99.810738
2000-06-30,143.984375,145.484375,143.984375,145.484375,16800,100.730316
2000-07-03,145.5,147.140625,145.46875,147.140625,7100,101.877068
2000-07-05,146.265625,146.359375,144.625,145.09375,27400,100.459877
2000-07-06,144.875,146.125,144.21875,145.8125,40100,100.957512
2000-07-07,146.375,148.5,146.375,147.96875,65500,102.4505
2000-07-10,147.65625,148.65625,147.65625,147.71875,77500,102.277359
2000-07-11,147.25,149,147.25,148.28125,40700,102.666824
2000-07-12,149.25,149.9375,148.875,149.09375,2642100,103.229378
2000-07-13,149.71875,150.28125,149.140625,149.59375,971600,103.5756
2000-07-14,150.25,151.125,149.8125,150.984375,158800,104.538406
2000-07-17,150.734375,151.90625,150.59375,150.890625,430100,104.473495
2000-07-18,150.46875,150.5,149.375,149.8125,763600,103.727036
2000-07-19,149.34375,149.578125,148.40625,148.40625,120000,102.753387
2000-07-20,148.875,150.421875,148.765625,150.421875,96500,104.148933
2000-07-21,149.40625,149.4375,147.71875,147.71875,601300,102.277359
2000-07-24,148.25,148.59375,146.59375,146.59375,251700,101.498451
2000-07-25,147.46875,147.515625,146.8125,147.421875,116700,102.071846
2000-07-26,146.875,146.890625,145.75,146,474800,101.087326
