date,open,high,low,close,volume,adjusted
2015-12-29,25.17,25.24,25.17,25.24,300,22.566662
2015-12-30,NA,NA,NA,NA,NA,NA
2015-12-31,24.9,24.940001,24.85,24.85,5500,22.21797
2016-01-04,24.5,24.52,24.42,24.42,500,21.833513
2016-01-05,24.549999,24.66,24.5,24.66,5000,22.048092
2016-01-06,24.34,24.639999,24.34,24.6,900,21.99445
2016-01-07,24.360001,24.360001,24.188999,24.188999,500,21.62698
2016-01-08,24.190001,24.209999,24,24,2300,21.457996
2016-01-11,24.040001,24.040001,24.040001,24.040001,4200,21.493763
2016-01-12,25.389999,25.389999,23.98,24,7900,21.457996
2016-01-13,24.09,24.09,24.09,24.09,900,21.538465
2016-01-14,23.809999,23.809999,23.809999,23.809999,100,21.288122
2016-01-15,23.58,23.58,23.51,23.51,1300,21.019897
2016-01-19,23.700001,23.700001,23.66,23.690001,1900,21.180828
2016-01-20,23.690001,23.690001,23.690001,23.690001,0,21.180828
2016-01-21,23.23,23.433001,23.23,23.433001,600,20.951056
2016-01-22,23.610001,23.799999,23.591999,23.799999,1700,21.279175
2016-01-25,23.799999,23.799999,23.799999,23.799999,0,21.279175
2016-01-26,23.9,23.9,23.68,23.9,1100,21.368589
2016-01-27,24.08,24.08,23.825001,23.825001,500,21.301535
2016-01-28,24.030001,24.138,24.030001,24.138,1300,21.581383
2016-01-29,24.4,24.65,24.360001,24.65,9400,22.039152
2016-02-01,24.82,24.84,24.57,24.84,13600,22.209028
2016-02-02,24.476,24.620001,24.440001,24.57,5100,21.967627
2016-02-03,24.49,24.82,24.49,24.75,7300,22.128559
2016-02-04,24.809,24.84,24.789,24.84,2700,22.209028
2016-02-05,25.040001,25.040001,24.74,24.77,12300,22.146439
2016-02-08,24.5,24.66,24.33,24.66,6400,22.048092
2016-02-09,24.51,24.549,24.4,24.549,1700,21.948851
2016-02-10,24.51,24.51,24.51,24.51,300,21.913982
2016-02-11,24.200001,24.23,24.049999,24.23,3400,21.663637
2016-02-12,24.27,24.389999,24.27,24.389999,1200,21.80669
