date,open,high,low,close,volume,adjusted
2017-09-14,25.16,25.16,25.136,25.15,1400,22.508354
2017-09-15,25.17,25.17,25.110001,25.139999,2100,22.499405
2017-09-18,25.190001,25.190001,25.18,25.18,400,22.5352
2017-09-19,25.16,25.18,25.16,25.167,4100,22.523569
2017-09-20,25.124001,25.15,25.124001,25.15,3400,22.508354
2017-09-21,25.129999,25.17,25.129999,25.15,5000,22.508354
2017-09-22,25.149,25.15,25.149,25.15,600,22.508354
2017-09-25,25.18,25.18,25.18,25.18,300,22.5352
2017-09-26,25.190001,25.190001,25.16,25.18,10900,22.5352
2017-09-27,25.15,25.17,25.139999,25.17,18800,22.526251
2017-09-28,25.17,25.17,25.072001,25.09,13500,22.454653
2017-09-29,25.139999,25.139999,25.082001,25.1,4800,22.463604
2017-10-02,25.139999,25.139999,25.049999,25.07,7100,22.542732
2017-10-03,25.09,25.09,25.02,25.040001,15200,22.515757
2017-10-04,25.059999,25.08,25.059,25.059999,5000,22.533739
2017-10-05,25.1,25.1,25.02,25.02,15600,22.497776000000002
2017-10-06,25,25,24.889999,24.924,18200,22.411451
2017-10-09,24.955,24.966,24.889,24.9,10200,22.389868
2017-10-10,24.92,24.940001,24.915001,24.938,2400,22.424038
2017-10-11,24.950001,24.959999,24.924,24.940001,3900,22.42584
2017-10-12,25,25.01,24.950001,25.01,1700,22.488779
2017-10-13,25.040001,25.040001,25.035999,25.040001,4600,22.515757
2017-10-16,25.040001,25.040001,25.01,25.040001,1600,22.515757
2017-10-17,25.1,25.1,25.017,25.030001,4800,22.506769
2017-10-18,25.07,25.07,25.030001,25.040001,7400,22.515757
2017-10-19,25.059999,25.059999,25.035,25.040001,9300,22.515757
2017-10-20,25.059999,25.09,25.049999,25.07,11200,22.542732
2017-10-23,25.120001,25.129999,25.115999,25.115999,8600,22.584095
2017-10-24,25.17,25.17,25.117001,25.120001,1600,22.587694
2017-10-25,25.1,25.1,25.049999,25.049999,3700,22.52475
2017-10-26,25.049999,25.063999,25.030001,25.040001,7000,22.515757
2017-10-27,25.110001,25.110001,25.110001,25.110001,100,22.578703
2017-10-30,25.07,25.120001,25.02,25.02,9900,22.497776000000002
2017-10-31,25.049999,25.059999,25.048,25.052,3100,22.526545
2017-11-01,25.110001,25.110001,24.91,24.955,3000,22.439323
2017-11-02,24.950001,25,24.9,24.965,10800,22.448317
2017-11-03,24.965,24.965,24.965,24.965,100,22.448317
2017-11-06,24.9,25.004999,24.899,24.99,3200,22.4708
2017-11-07,24.940001,24.959999,24.940001,24.940001,3700,22.42584
2017-11-08,24.945,24.945,24.934999,24.940001,1900,22.42584
2017-11-09,24.91,24.92,24.889999,24.9,5200,22.389868
2017-11-10,24.9,24.9,24.830999,24.841,3400,22.336819
2017-11-13,24.944,25.02,24.934999,24.950001,1600,22.434832
2017-11-14,24.83,25.030001,24.790001,25.030001,5600,22.506769
2017-11-15,24.93,24.93,24.879999,24.9,2400,22.389868
2017-11-16,24.959999,24.969999,24.927999,24.969999,1800,22.452818
2017-11-17,24.950001,25.01,24.950001,25.000999,3900,22.480686
2017-11-20,25.006001,25.1,25.006001,25.07,5800,22.542732
2017-11-21,25.07,25.07,25.052999,25.07,1200,22.542732
2017-11-22,25.084999,25.16,25.084999,25.16,1100,22.623659
2017-11-24,25.209999,25.209999,25.17,25.200001,2000,22.659626
2017-11-27,25.32,26.219999,25.216999,25.219999,28600,22.677607
2017-11-28,25.110001,25.219999,25.110001,25.15,1400,22.614672
2017-11-29,25.15,25.169001,25.118999,25.120001,4500,22.587694
2017-11-30,25.139999,25.200001,25.129999,25.188,9000,22.648836
2017-12-01,24.99,25.08,24.950001,25.018,11300,22.601858
2017-12-04,25.139999,25.15,25.08,25.08,1000,22.657869
2017-12-05,25.110001,25.110001,25.049999,25.049999,2600,22.630768
2017-12-06,25.07,25.139999,25.07,25.128,4600,22.701237
2017-12-07,25.15,25.17,25.120001,25.15,1400,22.721111
2017-12-08,25.200001,25.200001,25.120001,25.190001,1400,22.757248
2017-12-11,25.1,25.195,25.1,25.1,4400,22.675945
2017-12-12,25.198999,25.198999,25.1,25.17,5700,22.739178
2017-12-13,25.139999,25.139999,24.99,25.139999,8900,22.712076
2017-12-14,25.049999,25.049999,25.025999,25.030001,2600,22.612701
2017-12-15,25,25.110001,25,25.1,5400,22.675945
2017-12-18,25,25.059999,25,25.059999,1500,22.639803
2017-12-19,25.046,25.046,25.02,25.02,900,22.603668
2017-12-20,25.049999,25.1,24.99,25.089001,47100,22.666004
2017-12-21,25.049999,25.059999,25.049999,25.059999,43300,22.639803
2017-12-22,25.040001,25.040001,25,25,4800,22.5856
2017-12-26,25.190001,25.190001,25,25,7100,22.5856
2017-12-27,25.040001,25.056999,25,25.056999,1600,22.637093
2017-12-28,25.77,25.77,24.889999,24.924999,14500,22.633463
2017-12-29,24.950001,24.959999,24.860001,24.879999,44600,22.592596
2018-01-02,24.98,24.98,24.559999,24.559999,17700,22.302015
2018-01-03,24.608999,24.75,24.59,24.700001,3600,22.429148
2018-01-04,24.809999,24.809999,24.66,24.700001,11400,22.429148
2018-01-05,24.73,24.76,24.709999,24.742001,4500,22.467287
2018-01-08,24.809999,24.809999,24.75,24.799999,6600,22.519953
2018-01-09,24.73,24.809999,24.73,24.75,3500,22.474556
2018-01-10,24.754999,24.76,24.719999,24.76,5000,22.483629
2018-01-11,24.77,24.77,24.738001,24.738001,3400,22.463655
2018-01-12,24.780001,24.785,24.745001,24.745001,17000,22.470011
2018-01-16,24.82,24.829,24.719999,24.719999,29600,22.447308
2018-01-17,24.809999,24.809999,24.700001,24.700001,16000,22.429148
2018-01-18,24.629999,24.700001,24.6,24.6,19100,22.338343
2018-01-19,24.6,24.620001,24.59,24.599001,5600,22.337431
2018-01-22,24.66,24.67,24.610001,24.610001,24600,22.347422
2018-01-23,24.549999,24.700001,24.5,24.629999,26900,22.365582
2018-01-24,24.662001,24.68,24.6,24.610001,20400,22.347422
2018-01-25,24.6,24.610001,24.566999,24.610001,16600,22.347422
2018-01-26,24.629999,24.629999,24.530001,24.559999,27800,22.302015
2018-01-29,24.549999,24.610001,24.280001,24.35,25600,22.11133
2018-01-30,24.299999,24.299999,24.201,24.25,4500,22.020521
2018-01-31,24.309999,24.360001,24.299999,24.360001,6400,22.120411
2018-02-01,24.41,24.41,24.32,24.32,11900,22.084085
2018-02-02,24.15,24.292,24.1,24.16,62900,21.938791
2018-02-05,24.16,24.16,23.950001,24,8900,21.900469
2018-02-06,23.700001,24,23.700001,24,18900,21.900469
2018-02-07,24.02,24.030001,24,24.021,5600,21.91963
2018-02-08,24.01,24.01,23.860001,23.878,11800,21.789141
2018-02-09,23.893999,23.940001,23.76,23.93,8100,21.836592
2018-02-12,23.959,24.01,23.959,23.99,4300,21.89134
2018-02-13,24.059999,24.059999,23.978001,24.049999,4400,21.946096
2018-02-14,24.040001,24.040001,23.950001,24,10800,21.900469
2018-02-15,24.52,24.52,23.940001,23.982,9800,21.884045
2018-02-16,24.003,24.111,24.003,24.103001,3000,21.994457
2018-02-20,24.129999,24.16,24.1,24.155001,19000,22.041908
2018-02-21,24.190001,24.26,24.162001,24.18,31700,22.06472
2018-02-22,24.17,24.27,24.169001,24.209999,12800,22.092096
2018-02-23,24.25,24.35,24.188,24.35,9400,22.219852
2018-02-26,24.35,24.429001,24.35,24.4,17600,22.265476
2018-02-27,24.434999,24.51,24.4,24.43,11900,22.29285
2018-02-28,24.440001,24.49,24.43,24.48,10600,22.33848
2018-03-01,24.48,24.49,24.389999,24.459999,14600,22.320221
2018-03-02,24.450001,24.57,24.389999,24.469999,10500,22.329351
2018-03-05,24.49,24.49,24.368999,24.417,16800,22.388952
2018-03-06,24.27,24.5,24.27,24.5,28600,22.465063
2018-03-07,24.52,24.52,24.299999,24.48,17900,22.446722
2018-03-08,24.459999,24.52,24.459999,24.52,3600,22.483398
2018-03-09,24.521,24.57,24.521,24.548,15100,22.509071
2018-03-12,24.57,24.57,24.450001,24.540001,22900,22.50174
2018-03-13,24.5,24.540001,24.459999,24.530001,2400,22.492567
2018-03-14,24.549999,24.549999,24.496,24.549999,1500,22.510904
2018-03-15,24.52,24.639,24.52,24.620001,14400,22.575094
2018-03-16,24.620001,24.629999,24.580999,24.6,9100,22.556753
2018-03-19,24.6,24.65,24.549999,24.549999,3400,22.510904
2018-03-20,24.48,24.6,24.48,24.5,8600,22.465063
2018-03-21,24.700001,24.700001,24.530001,24.559999,3300,22.520077
2018-03-22,24.540001,24.542,24.48,24.48,14700,22.446722
2018-03-23,24.49,24.5,24.41,24.469999,17100,22.43755
2018-03-26,24.52,24.52,24.455,24.49,2800,22.455893
2018-03-27,24.474001,24.49,24.474001,24.48,4200,22.446722
2018-03-28,24.450001,24.52,24.450001,24.518999,15200,22.482483
2018-03-29,24.454,24.51,24.454,24.502001,2300,22.466896
2018-04-02,24.549999,24.57,24.478001,24.49,18700,22.455893
2018-04-03,24.57,24.57,24.379999,24.434999,16800,22.40546
2018-04-04,24.34,24.34,24.23,24.33,3000,22.417435
2018-04-05,24.35,24.35,24.274,24.309999,16200,22.399008
2018-04-06,24.34,24.34,24.23,24.26,10700,22.35294
2018-04-09,24.370001,24.370001,24.271999,24.290001,6500,22.380579
2018-04-10,24.285999,24.35,24.280001,24.309999,11600,22.399008
2018-04-11,24.309,24.309999,24.200001,24.27,29400,22.36215
2018-04-12,24.283001,24.309999,24.25,24.263,6500,22.355701
2018-04-13,24.337999,24.337999,24.25,24.27,7200,22.36215
2018-04-16,24.305,24.327,24.305,24.32,4600,22.408222
2018-04-17,24.33,24.35,24.219999,24.261,6800,22.353861
2018-04-18,24.370001,24.370001,24.299999,24.330999,10000,22.41836
2018-04-19,24.33,24.360001,24.235001,24.280001,8400,22.371365
2018-04-20,24.299999,24.34,24.200001,24.200001,16400,22.297657
2018-04-23,24.309999,24.309999,24.249001,24.249001,7100,22.342804
2018-04-24,24.190001,24.290001,24.18,24.290001,10700,22.380579
2018-04-25,24.290001,24.290001,24.030001,24.129,7000,22.232235
2018-04-26,24.232,24.280001,24.16,24.216,10200,22.312397
2018-04-27,24.209999,24.209999,24.09,24.129999,22600,22.233156
2018-04-30,24.27,24.27,24.16,24.16,9800,22.260801
2018-05-01,24.200001,24.280001,24.059999,24.09,7900,22.196306
2018-05-02,24.136999,24.219999,24.136999,24.205,11300,22.302259
2018-05-03,24.09,24.145,24,24,47600,22.221708
2018-05-04,24.18,24.18,24.089001,24.120001,9900,22.332815
2018-05-07,24.209999,24.209999,24.110001,24.115,6300,22.328186
2018-05-08,24.15,24.16,24,24,11400,22.221708
2018-05-09,24.139999,24.139999,23.98,24.063999,9000,22.280968
2018-05-10,24.15,24.15,24.01,24.01,7500,22.230968
2018-05-11,24.200001,24.200001,24.068001,24.15,7800,22.360594
2018-05-14,24.27,24.27,24.120001,24.129999,8100,22.342075
2018-05-15,24.08,24.148001,24.040001,24.141001,5700,22.352262
2018-05-16,24.16,24.16,23.98,24,24000,22.221708
2018-05-17,24.17,24.17,24.02,24.02,11600,22.240229
2018-05-18,24.049999,24.059999,23.969999,24.049999,6100,22.268005
2018-05-21,24.049999,24.09,24.040001,24.040001,7000,22.258747
2018-05-22,24.070999,24.070999,23.988001,23.99,7000,22.212452
2018-05-23,24.049999,24.09,24.021,24.055,14200,22.272633
2018-05-24,24.1,24.125,24.1,24.125,1700,22.337444
2018-05-25,24.200001,24.233,24.200001,24.209999,43100,22.416151
2018-05-29,24.09,24.18,24.09,24.17,1821200,22.379114
2018-05-30,24.25,24.25,24.132999,24.25,73600,22.45319
2018-05-31,24.07,24.200001,24.07,24.200001,1181200,22.406891
2018-06-01,24.25,24.25,24.129999,24.200001,33900,22.406891
2018-06-04,24.25,24.32,24.18,24.32,37600,22.517998
2018-06-05,24.35,24.35,24.150999,24.34,32100,22.646397
2018-06-06,24.459999,24.459999,24.32,24.32,39500,22.627787
2018-06-07,24.370001,24.42,24.32,24.370001,33200,22.674313
2018-06-08,24.34,24.42,24.34,24.42,22200,22.720833
2018-06-11,24.35,24.41,24.35,24.360001,27400,22.665005
2018-06-12,24.4,24.4,24.290001,24.360001,24200,22.665005
2018-06-13,24.49,24.49,24.280001,24.309999,34100,22.618484
2018-06-14,24.35,24.405001,24.309,24.32,35300,22.627787
2018-06-15,24.35,24.459999,24.332001,24.360001,41100,22.665005
2018-06-18,24.32,24.405001,24.32,24.379999,27000,22.683611
2018-06-19,24.35,24.370001,24.309999,24.356001,22300,22.661285
2018-06-20,24.43,24.43,24.370001,24.370001,21700,22.674313
2018-06-21,24.370001,24.370001,24.329,24.34,22300,22.646397
2018-06-22,24.389999,24.389999,24.280001,24.370001,19800,22.674313
2018-06-25,24.41,24.41,24.35,24.370001,36600,22.674313
2018-06-26,24.43,24.43,24.35,24.389999,32500,22.692919
2018-06-27,24.299999,24.41,24.26,24.35,26500,22.655701
2018-06-28,24.360001,24.370001,24.290001,24.309999,28400,22.618484
2018-06-29,24.43,24.43,24.281,24.400999,22900,22.70315
2018-07-02,24.49,24.49,24.292,24.49,31000,22.785957
2018-07-03,24.25,24.629999,24.25,24.587999,22100,22.87714
2018-07-05,24.541,24.6,24.5,24.51,21600,22.913599
2018-07-06,24.67,24.690001,24.502001,24.620001,20100,23.016436
2018-07-09,24.645,24.690001,24.58,24.58,31700,22.979042
2018-07-10,24.690001,24.690001,24.6,24.605,37900,23.002409
2018-07-11,24.65,24.65,24.51,24.618999,22400,23.015505
2018-07-12,24.51,24.59,24.51,24.531,18200,22.933235
2018-07-13,24.5,24.554001,24.450001,24.51,18700,22.913599
2018-07-16,24.6,24.6,24.402,24.469999,22400,22.876207
2018-07-17,24.434999,24.459999,24.354,24.379999,21800,22.792065
2018-07-18,24.51,24.51,24.360001,24.360001,18000,22.773369
2018-07-19,24.41,24.459999,24.360001,24.436001,51700,22.844419
2018-07-20,24.419001,24.629999,24.381001,24.629999,62900,23.025784
2018-07-23,24.59,24.59,24.464001,24.48,58800,22.885555
2018-07-24,24.530001,24.549999,24.375,24.530001,77200,22.932299
2018-07-25,24.469999,24.75,24.4,24.530001,66600,22.932299
2018-07-26,24.49,24.549999,24.4,24.495001,59700,22.899574
2018-07-27,24.950001,24.999001,24.43,24.49,82900,22.894903
2018-07-30,26.219999,26.219999,24.4,24.549999,32100,22.950994
2018-07-31,24.48,24.49,24.406,24.450001,20100,22.857512
2018-08-01,24.43,24.458,24.364,24.370001,24900,22.782719
2018-08-02,24.35,24.4,24.319,24.4,23500,22.810766
2018-08-03,24.440001,24.440001,24.33,24.33,16400,22.854914
2018-08-06,24.311001,24.370001,24.25,24.25,37800,22.779768
2018-08-07,24.268,24.389999,24.268,24.27,55200,22.798553
2018-08-08,24.25,24.292999,24.25,24.290001,29500,22.817345
2018-08-09,24.23,24.309999,24.23,24.301001,21900,22.827675
2018-08-10,24.280001,24.309999,24.24,24.24,35000,22.770376
2018-08-13,24.309999,24.309999,24.23,24.290001,30500,22.817345
2018-08-14,24.219999,24.34,24.219999,24.299999,20200,22.826735
2018-08-15,24.43,24.43,24.291,24.32,24000,22.845516
2018-08-16,24.360001,24.6,24.25,24.25,26100,22.779768
2018-08-17,24.25,24.5,24.25,24.33,12300,22.854914
2018-08-20,24.52,24.52,24.43,24.450001,27500,22.967642
2018-08-21,24.35,24.49,24.35,24.472,43700,22.988308
2018-08-22,24.52,24.52,24.448,24.450001,15600,22.967642
2018-08-23,24.440001,24.52,24.440001,24.473,34700,22.989244
2018-08-24,24.540001,24.540001,24.452999,24.488001,26600,23.003338
2018-08-27,24.601,24.649,24.450001,24.523001,22000,23.036215
2018-08-28,24.58,24.610001,24.5,24.569,25200,23.079426
2018-08-29,24.67,24.67,24.573,24.621,47700,23.128273
2018-08-30,24.690001,24.690001,24.549999,24.65,63300,23.155516
2018-08-31,24.67,24.67,24.549999,24.66,60000,23.164909
2018-09-04,24.66,24.66,24.549999,24.549999,39100,23.061577
2018-09-05,24.450001,24.66,24.42,24.465,55900,22.981733
2018-09-06,24.540001,24.540001,24.360001,24.370001,74100,23.002493
2018-09-07,24.48,24.51,24.25,24.370001,108500,23.002493
2018-09-10,24.469999,24.469999,24.299999,24.32,233500,22.955297
2018-09-11,24.440001,24.440001,24.301001,24.337999,27400,22.97229
