date,open,high,low,close,volume,adjusted
2005-12-06,15.24,15.54,15.24,15.5,1157200,14.263446
2005-12-07,15.38,15.38,15.25,15.26,589700,14.042593
2005-12-08,15.24,15.33,15.13,15.23,592500,14.014985
2005-12-09,15.68,15.68,15.25,15.45,2376000,14.217431
2005-12-12,15.59,15.59,15.47,15.52,957800,14.281849
2005-12-13,15.65,15.71,15.52,15.7,1037300,14.447494
2005-12-14,15.66,15.82,15.65,15.78,768900,14.521107
2005-12-15,15.78,15.78,15.55,15.61,569000,14.364667
2005-12-16,15.88,15.88,15.6,15.61,535100,14.370192
2005-12-19,15.62,15.62,15.26,15.27,407300,14.057199
2005-12-20,15.36,15.45,15.25,15.3,219600,14.084818
2005-12-21,15.35,15.39,15.26,15.31,305600,14.094018
2005-12-22,15.54,15.54,15.33,15.4,229800,14.176873
2005-12-23,15.45,15.55,15.36,15.53,240200,14.296548
2005-12-27,15.6,15.6,15.3,15.37,282600,14.149259
2005-12-28,15.42,15.46,15.3,15.46,259100,14.232108
2005-12-29,15.42,15.42,15.27,15.31,172200,14.094018
2005-12-30,15.3,15.32,15.15,15.2,215300,14.017476
2006-01-03,15.31,15.48,15.06,15.41,482900,14.211139
2006-01-04,15.42,15.7,15.35,15.7,756100,14.478582
2006-01-05,15.63,15.71,15.57,15.66,508300,14.44169
2006-01-06,15.7,15.8,15.6,15.79,563300,14.561579
2006-01-09,15.83,16,15.79,15.96,630500,14.718352
2006-01-10,15.95,16.120001,15.91,16.08,457600,14.829015
2006-01-11,16.15,16.200001,16.040001,16.200001,456700,14.939682
2006-01-12,16.200001,16.309999,16.120001,16.209999,1032200,14.948905
2006-01-13,16.24,16.309999,16.15,16.309999,623000,15.041121
2006-01-17,16.4,16.450001,16.059999,16.16,595700,14.902791
2006-01-18,16.16,16.219999,16.1,16.190001,463600,14.930459
2006-01-19,16.24,16.5,16.200001,16.49,899800,15.207118
2006-01-20,16.5,16.59,16.1,16.17,474300,14.912014
2006-01-23,16.219999,16.32,16.200001,16.209999,408300,14.948905
2006-01-24,16.299999,16.459999,16.26,16.459999,585300,15.179455
2006-01-25,16.5,16.57,16.41,16.48,630600,15.197897
2006-01-26,16.6,16.68,16.530001,16.67,862700,15.373114
2006-01-27,16.68,16.950001,16.68,16.950001,1058200,15.631337
2006-01-30,17.450001,17.52,16.959999,17.18,1374200,15.843436
2006-01-31,17,17.15,16.790001,17.040001,1158900,15.714334
2006-02-01,17,17.040001,16.85,16.99,639200,15.668222
2006-02-02,16.950001,16.959999,16.700001,16.84,592700,15.529892
2006-02-03,16.82,16.93,16.59,16.75,554300,15.446892
