date,open,high,low,close,volume,adjusted
2012-02-02,51.5,51.919998,51.5,51.919998,200,38.718811
2012-02-03,52.32,52.540001,52.259998,52.5,2000,39.151337
2012-02-06,52.32,52.380001,52.32,52.360001,1400,39.046932
2012-02-07,56,56,52.240002,52.240002,300,38.957451
2012-02-08,52.240002,52.779999,52.240002,52.779999,200,39.360138
2012-02-09,51.939999,52.279999,51.939999,52.279999,500,38.987282
2012-02-10,51.32,51.32,50.599998,50.599998,900,37.734428
2012-02-13,51.48,51.48,51.48,51.48,0,38.390686
2012-02-14,51.860001,51.860001,49.639999,49.639999,1200,37.018517
2012-02-15,51.380001,51.380001,50,50.060001,2000,37.331741
2012-02-16,50.119999,50.119999,49.419998,49.720001,400,37.078182
2012-02-17,49.720001,49.720001,49.720001,49.720001,0,37.078182
2012-02-21,50.880001,50.880001,50.560001,50.560001,300,37.704605
2012-02-22,50.599998,50.599998,50.599998,50.599998,100,37.734428
2012-02-23,50.84,50.84,50.84,50.84,600,37.91341
2012-02-24,51.380001,51.380001,51.380001,51.380001,0,38.316113
2012-02-27,51.5,51.5,50.740002,50.740002,400,37.83884
2012-02-28,51.200001,51.200001,51.200001,51.200001,0,38.181881
2012-02-29,51.099998,51.099998,51.099998,51.099998,100,38.107304
2012-03-01,51.540001,51.540001,51,51,100,38.032726
2012-03-02,50.939999,50.939999,50.560001,50.740002,2400,37.83884
2012-03-05,49.360001,49.360001,49.02,49.32,700,36.779888
2012-03-06,48,48,46.459999,46.880001,1900,34.960285
2012-03-07,46.799999,46.799999,46.799999,46.799999,12500,34.90062
2012-03-08,46.599998,47.66,46.599998,47.52,1300,35.437557
2012-03-09,48.259998,48.599998,48,48.400002,1500,36.093811
2012-03-12,48.959999,48.959999,47.939999,48.16,500,35.914829
2012-03-13,48.119999,48.32,48,48.099998,20200,35.870087
2012-03-14,47.900002,47.900002,47.900002,47.900002,100,35.72094
2012-03-15,48.439999,48.439999,48.439999,48.439999,100,36.123634
2012-03-16,49.099998,49.16,49.099998,49.16,300,36.660564
2012-03-19,49.200001,49.759998,49.18,49.759998,900,37.108006
2012-03-20,47.900002,48.16,47.900002,48.16,1600,35.914829
2012-03-21,48.040001,48.32,48.040001,48.32,200,36.034142
2012-03-22,47.459999,47.459999,46.939999,47.02,900,35.06469
2012-03-23,47.5,47.52,47.400002,47.400002,2700,35.348061
2012-03-26,48.360001,48.360001,47.880001,48,400,35.795506
2012-03-27,48.119999,48.119999,48.060001,48.060001,200,35.840256
2012-03-28,46.700001,46.82,46.700001,46.82,500,34.915535
2012-03-29,46.34,46.599998,46.34,46.599998,600,34.751465
2012-03-30,47.759998,47.759998,47.200001,47.200001,300,35.198921
2012-04-02,47.200001,47.200001,47.200001,47.200001,0,35.198921
2012-04-03,47.540001,47.540001,47.540001,47.540001,200,35.452461
2012-04-04,46.200001,46.48,46.200001,46.380001,300,34.58741
2012-04-05,46.599998,46.599998,46.5,46.5,300,34.676895
2012-04-09,45.900002,45.919998,45.900002,45.919998,400,34.244362
2012-04-10,45.759998,45.759998,44.860001,44.860001,900,33.453888
2012-04-11,44.860001,44.860001,44.860001,44.860001,0,33.453888
2012-04-12,46,46.5,46,46.5,4500,34.676895
2012-04-13,46.599998,46.599998,46.599998,46.599998,200,34.751465
2012-04-16,45.720001,46.060001,45.619999,46.060001,1700,34.348774
2012-04-17,46.82,46.98,46.82,46.98,300,35.034855
2012-04-18,46.720001,46.720001,46.720001,46.720001,0,34.840958
2012-04-19,46.720001,46.720001,46.720001,46.720001,0,34.840958
2012-04-20,46.799999,46.799999,46.540001,46.540001,3500,34.706726
2012-04-23,46.900002,46.900002,45.02,45.200001,22400,33.707436
2012-04-24,46.32,46.32,45.560001,45.959999,2400,34.2742
2012-04-25,46,46.380001,46,46.34,600,34.557583
2012-04-26,46.400002,46.400002,46.400002,46.400002,100,34.602318
2012-04-27,46.66,46.860001,46.619999,46.740002,1100,34.855873
2012-04-30,46.52,46.52,46.299999,46.299999,900,34.527748
2012-05-01,46.759998,47.040001,46.700001,47.040001,600,35.079597
2012-05-02,45.919998,45.919998,45.919998,45.919998,100,34.244362
2012-05-03,46.299999,46.299999,45.400002,45.400002,2100,33.856586
2012-05-04,44.619999,44.700001,44.599998,44.700001,700,33.334572
2012-05-07,43.700001,44.799999,43.700001,44.360001,43500,33.081017
2012-05-08,43.099998,43.48,42.459999,43.240002,64900,32.245789
2012-05-09,42.439999,43.240002,42.32,43.240002,11000,32.245789
2012-05-10,43.52,43.52,43.200001,43.279999,4600,32.27562
2012-05-11,42.619999,43,42.52,42.599998,1500,31.768517
2012-05-14,41.580002,41.82,41.220001,41.220001,13100,30.739397
2012-05-15,41.080002,41.299999,40.299999,40.299999,83500,30.053312
2012-05-16,40.400002,40.700001,39.360001,39.540001,38700,29.486553
2012-05-17,39.439999,39.740002,38.84,38.860001,44400,28.979446
2012-05-18,39.439999,39.799999,38.439999,39.099998,50900,29.158426
2012-05-21,39.560001,40.279999,39.299999,40.279999,9800,30.038395
2012-05-22,40.400002,40.759998,39.759998,39.799999,10900,29.680447
2012-05-23,39.02,39.5,38.720001,39.279999,1900,29.292658
2012-05-24,39.360001,39.5,38.68,38.82,17700,28.949617
2012-05-25,38.919998,39.040001,38.459999,38.459999,1200,28.68115
2012-05-29,39.68,39.68,39.68,39.68,300,29.590952
2012-05-30,38.779999,39.060001,38.779999,38.779999,1300,28.919786
2012-05-31,39.279999,39.279999,38.119999,38.720001,1800,28.875048
2012-06-01,37.720001,38.099998,37.720001,37.98,3600,28.323196
2012-06-04,37.919998,38.18,37.700001,37.82,600,28.20388
2012-06-05,38.599998,38.599998,38.48,38.48,300,28.696068
2012-06-06,39.720001,39.939999,39.720001,39.880001,600,29.740105
2012-06-07,41.580002,41.82,39.98,40,6100,29.829596
2012-06-08,40.139999,40.139999,39.32,39.619999,1800,29.546207
2012-06-11,40.400002,41.720001,40.34,41.400002,6300,30.873623
2012-06-12,42.32,42.32,40.400002,40.98,1100,30.560421
2012-06-13,40.040001,40.040001,40.040001,40.040001,0,29.859425
2012-06-14,40.540001,42.02,40.540001,41.060001,1900,30.620075
2012-06-15,41.200001,41.220001,40.759998,41.080002,1600,30.634989
2012-06-18,40.580002,41.459999,40.5,41.259998,3400,30.769226
2012-06-19,42.279999,42.919998,42.119999,42.240002,1100,31.500051
2012-06-20,42.48,42.48,42.380001,42.380001,400,31.604446
2012-06-21,40.880001,40.880001,40.880001,40.880001,100,30.674026
2012-06-22,40.32,40.32,39.200001,39.200001,600,29.413458
2012-06-25,41.619999,41.619999,38.060001,38.060001,2300,28.558067
2012-06-26,38.639999,38.66,38.639999,38.66,100,29.008265
2012-06-27,38.48,38.48,38.48,38.48,100,28.873203
2012-06-28,37.48,37.98,37.48,37.98,200,28.498028
2012-06-29,39.900002,39.900002,39.900002,39.900002,0,29.938692
2012-07-02,40.34,40.34,39.919998,40,2000,30.013721
2012-07-03,40.759998,41.099998,40.599998,40.599998,1600,30.463934
2012-07-05,40.799999,40.900002,40.799999,40.82,600,30.629005
2012-07-06,39.700001,39.700001,39.700001,39.700001,100,29.78862
2012-07-09,39.360001,39.360001,39.360001,39.360001,100,29.533506
2012-07-10,39.360001,39.360001,39.360001,39.360001,0,29.533506
2012-07-11,39.200001,39.799999,39.02,39.799999,2900,29.863657
2012-07-12,38.02,38.279999,37.779999,38.279999,3000,28.723133
2012-07-13,38.279999,38.279999,38.279999,38.279999,0,28.723133
2012-07-16,39,39,38.32,38.32,300,28.753149
2012-07-17,38.02,38.040001,37.939999,37.939999,300,28.468023
2012-07-18,37.939999,37.939999,37.939999,37.939999,0,28.468023
2012-07-19,38.82,39.220001,38.599998,39.220001,3700,29.428459
2012-07-20,38.619999,38.619999,38.619999,38.619999,100,28.978247
2012-07-23,38.619999,38.619999,38.619999,38.619999,0,28.978247
2012-07-24,36.599998,36.639999,36.580002,36.619999,600,27.477566
2012-07-25,36.700001,36.700001,36.560001,36.599998,5300,27.462553
2012-07-26,37.200001,37.200001,37.200001,37.200001,0,27.912766
2012-07-27,37.200001,37.200001,37.200001,37.200001,0,27.912766
2012-07-30,38.880001,39.040001,38.880001,39.040001,600,29.293394
2012-07-31,39.040001,39.040001,39.040001,39.040001,0,29.293394
2012-08-01,39.040001,39.040001,39.040001,39.040001,0,29.293394
2012-08-02,38.68,38.68,37.259998,37.66,7600,28.257925
2012-08-03,39.34,39.459999,38.860001,39.16,6500,29.383434
2012-08-06,39.32,40.139999,39.32,40.139999,400,30.118773
2012-08-07,40.700001,40.700001,40.700001,40.700001,100,30.538965
2012-08-08,40.700001,40.700001,40.700001,40.700001,0,30.538965
2012-08-09,41.68,41.68,40.799999,41.259998,2100,30.959156
2012-08-10,41.259998,41.259998,41.259998,41.259998,0,30.959156
2012-08-13,40.34,40.34,40.34,40.34,500,30.268847
2012-08-14,40.759998,40.759998,40.759998,40.759998,100,30.583979
2012-08-15,40.48,40.580002,39.900002,40.380001,3300,30.298857
2012-08-16,40.419998,40.66,40.419998,40.66,200,30.508955
2012-08-17,40.459999,40.459999,40.459999,40.459999,100,30.358883
2012-08-20,40.740002,40.740002,40.740002,40.740002,600,30.568981
2012-08-21,41.32,41.32,41.32,41.32,200,31.004173
2012-08-22,40.380001,40.400002,39.939999,40.279999,12200,30.22382
2012-08-23,40.279999,40.279999,40.279999,40.279999,0,30.22382
2012-08-24,39.919998,39.919998,39.299999,39.299999,4700,29.488482
2012-08-27,39.200001,39.299999,39.099998,39.240002,1400,29.443464
2012-08-28,39.080002,39.18,39,39.060001,1500,29.308409
2012-08-29,38.759998,38.759998,38.759998,38.759998,300,29.0833
