date,open,high,low,close,volume,adjusted
2000-02-01,45.9375,45.9375,45,45.59375,1538400,25.125753
2000-02-02,45.875,46.15625,45.53125,45.5625,312400,25.108534
2000-02-03,46.125,46.125,45.03125,45.71875,305600,25.194658
2000-02-04,45.8125,45.84375,45.125,45.3125,442800,24.970768
2000-02-07,45.46875,45.71875,45.09375,45.5625,183600,25.108534
2000-02-08,46.0625,46.21875,45.6875,46.1875,173800,25.452946
2000-02-09,46.0625,46.0625,44.78125,44.875,257200,24.729694
2000-02-10,44.5,44.5,43.4375,43.75,176800,24.109707
2000-02-11,43.4375,43.65625,42.1875,42.25,261000,23.307072
2000-02-14,42.1875,43.125,42.1875,43.125,144200,23.789749
2000-02-15,43,43.75,42.6875,43.5625,160400,24.031111
2000-02-16,43.5,43.53125,42.78125,43.0625,159200,23.755257
2000-02-17,43.25,43.5,42.34375,42.53125,172200,23.462208
2000-02-18,42.5625,42.5625,41.0625,41.25,267800,22.75539
2000-02-22,41.5,42.15625,41.125,41.9375,209000,23.134672
2000-02-23,42.15625,42.15625,41.15625,41.4375,127400,22.858854
2000-02-24,41.375,41.46875,40.28125,40.6875,293200,22.445116
2000-02-25,40.46875,40.625,39.3125,39.6875,230600,21.893475
2000-02-28,39.6875,40.375,39.4375,40.09375,203600,22.117575
2000-02-29,40.46875,40.875,40.03125,40.21875,131000,22.186527
2000-03-01,40.3125,40.40625,39.1875,39.5,272800,21.790024
2000-03-02,39.125,39.96875,39.125,39.5625,304400,21.824492
2000-03-03,39.53125,39.9375,39.25,39.25,333000,21.669668
2000-03-06,39.375,39.375,38.03125,38.125,356200,21.048515
2000-03-07,37.9375,37.9375,36.03125,36.15625,585200,19.961575
2000-03-08,37.1875,39.21875,36.9375,38.625,848800,21.324575
2000-03-09,39.3125,41.1875,38.6875,41.15625,766600,22.722084
2000-03-10,41.75,41.9375,40.3125,40.78125,679800,22.515038
2000-03-13,39.375,40.46875,39.15625,39.5,246400,21.807665
2000-03-14,39.8125,39.8125,38.8125,39,299000,21.531605
2000-03-15,38.9375,41.71875,38.9375,41.46875,578400,22.8946
2000-03-16,42.625,43.9375,42.3125,43.71875,899600,24.136793
2000-03-17,43.8125,43.8125,42.375,42.4375,230800,23.429447
2000-03-20,42.375,42.375,41.75,42.125,213000,23.256914
2000-03-21,42.625,43.375,42.25,43.375,332000,23.947033
2000-03-22,42.75,43.46875,42.40625,43.25,160600,23.878281
2000-03-23,43.25,43.46875,42.78125,43.09375,184600,23.792
2000-03-24,42.125,42.8125,41.5,41.75,266000,23.05014
