date,open,high,low,close,volume,adjusted
2016-02-25,25.132999,25.245001,25.1,25.245001,4600,22.485033
2016-02-26,25.309999,25.32,25.253,25.27,11900,22.507300999999998
2016-02-29,25.290001,25.290001,25.16,25.209999,8500,22.453859
2016-03-01,25.280001,25.41,25.280001,25.41,14100,22.631994
2016-03-02,25.41,25.43,25.379999,25.43,19000,22.649809
2016-03-03,25.450001,25.450001,25.42,25.440001,8300,22.658712
2016-03-04,25.49,25.49,25.459999,25.48,23100,22.694342
2016-03-07,25.5,25.5,25.464001,25.469999,23100,22.685434
2016-03-08,25.459999,25.466,25.459999,25.466,4900,22.681873
2016-03-09,25.51,25.51,25.450001,25.48,14700,22.694342
2016-03-10,25.530001,25.530001,25.454,25.5,10900,22.712152
2016-03-11,25.530001,25.530001,25.48,25.5,17700,22.712152
2016-03-14,25.559999,25.68,25.48,25.5,6100,22.712152
2016-03-15,25.559999,25.559999,25.48,25.487,8000,22.700577
2016-03-16,25.549999,25.549999,25.459999,25.514,15700,22.724623
2016-03-17,25.65,25.65,25.48,25.51,12500,22.72106
2016-03-18,25.440001,25.631001,25.440001,25.530001,15100,22.738876
2016-03-21,26.639999,26.639999,25.528,25.559999,20500,22.765594
2016-03-22,25.549999,25.620001,25.540001,25.59,19600,22.792316
2016-03-23,25.59,25.59,25.478001,25.478001,11200,22.69256
2016-03-24,25.48,25.48,25.35,25.48,4900,22.694342
2016-03-28,25.492001,25.504,25.476,25.504,1100,22.715715
2016-03-29,25.5,25.65,25.5,25.632999,3000,22.830614
2016-03-30,25.65,25.74,25.530001,25.73,16700,22.917009
2016-03-31,25.74,25.75,25.700001,25.709999,4500,22.899197
2016-04-01,25.77,25.780001,25.639999,25.780001,5200,22.961544
2016-04-04,25.809999,25.84,25.709999,25.75,5100,22.93482
2016-04-05,25.629999,25.67,25.58,25.610001,16700,22.810129
2016-04-06,25.690001,25.780001,25.67,25.780001,3000,22.961544
2016-04-07,25.780001,25.780001,25.57,25.65,16000,22.845757
2016-04-08,25.780001,25.780001,25.693001,25.698999,6100,22.889397
2016-04-11,25.809999,25.809999,25.709,25.73,4500,22.917009
2016-04-12,25.77,25.84,25.708,25.82,13300,22.997169
2016-04-13,25.860001,25.870001,25.837,25.870001,12000,23.041704
2016-04-14,25.83,25.879999,25.83,25.879999,12500,23.05061
2016-04-15,25.85,25.889999,25.84,25.863001,9000,23.035469
2016-04-18,25.889999,25.889999,25.709999,25.709999,5200,22.899197
2016-04-19,26.006001,26.950001,25.91,25.91,10900,23.07733
2016-04-20,26.040001,26.046,26.014,26.014,3800,23.16996
2016-04-21,26.040001,26.040001,25.91,25.979,22700,23.138786
2016-04-22,25.950001,25.98,25.91,25.969999,4000,23.13077
2016-04-25,25.92,25.941,25.91,25.913,12100,23.080004
2016-04-26,26.02,26.028999,25.92,25.99,4600,23.148582
2016-04-27,26,26.01,25.9,26.01,4100,23.166397
2016-04-28,26.01,26.049999,25.84,25.870001,19500,23.041704
2016-04-29,25.870001,25.969999,25.709999,25.74,8000,22.925915
2016-05-02,25.860001,25.940001,25.780001,25.879999,4100,23.05061
2016-05-03,25.91,25.91,25.719999,25.799999,8700,22.979355
2016-05-04,25.719999,25.719999,25.636999,25.709999,5900,22.899197
2016-05-05,25.75,25.75,25.700001,25.700001,2000,22.890289
2016-05-06,25.67,25.799999,25.66,25.799999,3100,22.979355
2016-05-09,25.862,25.862,25.76,25.849001,1700,23.022999
2016-05-10,25.889999,26.09,25.889999,26.09,2400,23.237652
2016-05-11,25.921,26.030001,25.921,25.959,3700,23.120974
2016-05-12,25.950001,25.969999,25.885,25.969999,2300,23.13077
2016-05-13,25.927999,25.969999,25.743999,25.780001,5300,22.961544
2016-05-16,25.921,26.030001,25.921,26.030001,5000,23.18421
2016-05-17,25.934999,25.934999,25.860001,25.860001,500,23.032797
2016-05-18,25.864,26,25.700001,25.74,7800,22.925915
2016-05-19,25.77,25.77,25.68,25.700001,1600,22.890289
2016-05-20,25.75,25.799999,25.75,25.799999,9700,22.979355
2016-05-23,25.715,25.76,25.700001,25.73,4400,22.917009
2016-05-24,25.801001,25.879999,25.790001,25.879999,5200,23.05061
2016-05-25,26.059999,26.07,26,26,2400,23.15749
2016-05-26,25.99,26.059999,25.99,26.059999,1400,23.210932
2016-05-27,26.120001,26.120001,26.075001,26.1,1000,23.246559
2016-05-31,26.117001,26.118999,26.059999,26.097,2900,23.243887
2016-06-01,26.09,26.120001,26.08,26.110001,5300,23.255466
2016-06-02,26.112,26.112,26.112,26.112,100,23.257244
2016-06-03,26.112,26.129999,26.084999,26.1,5900,23.246559
2016-06-06,26.1,26.17,26.1,26.138,2600,23.280405
2016-06-07,26.166,26.190001,26.160999,26.160999,4900,23.30089
