date,open,high,low,close,volume,adjusted
2012-02-16,50.18,50.189999,50.18,50.189999,600,41.047665
2012-02-17,49.68,49.919998,49.68,49.919998,1800,40.826862
2012-02-21,50.040001,50.200001,50.040001,50.150002,700,41.014961
2012-02-22,50.110001,50.110001,50.110001,50.110001,500,40.982243
2012-02-23,50.220001,50.220001,50.200001,50.200001,900,41.055862
2012-02-24,50.23,50.240002,50.23,50.240002,300,41.088573
2012-02-27,50.279999,50.5,50.279999,50.5,1500,41.301205
2012-02-28,50.599998,50.599998,50.599998,50.599998,300,41.382992
2012-02-29,50.950001,50.950001,50.52,50.599998,3400,41.382992
2012-03-01,50.599998,50.599998,50.599998,50.599998,400,41.382992
2012-03-02,50.5,50.5,50.360001,50.41,1900,41.227585
2012-03-05,50.630001,50.639999,50.509998,50.509998,800,41.309387
2012-03-06,50.490002,50.490002,50.490002,50.490002,100,41.29303
2012-03-07,50.439999,50.439999,50.439999,50.439999,200,41.252151
2012-03-08,50.439999,50.48,50.439999,50.48,1300,41.284836
2012-03-09,50.549999,50.549999,50.439999,50.470001,8900,41.276661
2012-03-12,50.540001,50.540001,50.299999,50.459999,8300,41.268497000000004
2012-03-13,50.209999,50.25,50.169998,50.25,8600,41.096764
2012-03-14,50.110001,50.110001,49.98,49.98,2200,40.875938
2012-03-15,49.799999,49.799999,49.68,49.77,3900,40.704159
2012-03-16,49.630001,49.700001,49.57,49.700001,9400,40.646942
2012-03-19,49.830002,49.84,49.759998,49.84,2700,40.76141
2012-03-20,49.73,49.73,49.73,49.73,1000,40.671467
2012-03-21,49.540001,49.75,49.540001,49.75,1600,40.687824
2012-03-22,49.939999,49.950001,49.93,49.950001,4500,40.851391
2012-03-23,49.98,49.98,49.93,49.93,800,40.835052
2012-03-26,49.82,49.93,49.82,49.93,15300,40.835052
2012-03-27,50.02,50.040001,49.970001,50.040001,5200,40.924988
2012-03-28,50.040001,50.040001,49.98,50.029999,1600,40.916828
2012-03-29,49.959999,49.959999,49.900002,49.950001,2000,40.851391
2012-03-30,50.029999,50.029999,49.779999,49.779999,5200,40.712357
2012-04-02,49.650002,49.779999,49.650002,49.779999,800,40.837051
2012-04-03,49.689999,49.790001,49.580002,49.580002,4900,40.672989
2012-04-04,49.669998,49.669998,49.599998,49.599998,2800,40.689373
2012-04-05,49.779999,49.779999,49.779999,49.779999,200,40.837051
2012-04-09,49.779999,49.779999,49.779999,49.779999,0,40.837051
2012-04-10,49.799999,50.07,49.799999,50.07,3300,41.074955
2012-04-11,49.889999,49.950001,49.889999,49.950001,2400,40.976517
2012-04-12,49.950001,49.950001,49.950001,49.950001,0,40.976517
2012-04-13,49.950001,49.950001,49.950001,49.950001,0,40.976517
2012-04-16,49.950001,49.950001,49.950001,49.950001,0,40.976517
2012-04-17,49.939999,49.939999,49.889999,49.889999,500,40.927261
2012-04-18,49.860001,50.07,49.860001,50.07,1000,41.074955
2012-04-19,50.130001,50.130001,49.970001,49.970001,1200,40.992916
2012-04-20,50.09,50.09,50.09,50.09,1200,41.091362
2012-04-23,50.09,50.119999,50,50.119999,800,41.115967
2012-04-24,50.18,50.18,50.18,50.18,300,41.165199
2012-04-25,50.130001,50.130001,50.130001,50.130001,2400,41.124165
2012-04-26,50.279999,50.279999,50.139999,50.16,1100,41.148773
2012-04-27,50.450001,50.450001,50.290001,50.290001,800,41.255432
2012-04-30,50.400002,50.400002,50.400002,50.400002,1400,41.345673
2012-05-01,50.369999,50.369999,50.369999,50.369999,500,41.406502
2012-05-02,50.360001,50.369999,50.360001,50.369999,800,41.406502
2012-05-03,50.240002,50.330002,50.200001,50.279999,233000,41.332516
2012-05-04,50.349998,50.41,50.25,50.380001,275700,41.414738
2012-05-07,50.380001,50.509998,50.34,50.490002,16000,41.505135
2012-05-08,50.490002,50.5,50.290001,50.5,41400,41.513351
2012-05-09,50.52,50.52,50.299999,50.439999,167300,41.464046
2012-05-10,50.43,50.43,50.330002,50.43,29200,41.455803
2012-05-11,50.41,50.459999,50.330002,50.459999,11000,41.480476
2012-05-14,50.57,50.57,50.450001,50.57,15100,41.570911
2012-05-15,50.509998,50.549999,50.41,50.549999,16000,41.554462
2012-05-16,50.490002,50.5,50.18,50.32,56400,41.365387
2012-05-17,50.07,50.220001,50.049999,50.07,14600,41.159904
2012-05-18,50.07,50.220001,49.91,50.220001,17300,41.283188
2012-05-21,47.439999,50.169998,47.439999,50.080002,4700,41.168121
2012-05-22,50.09,50.09,49.869999,50.040001,15800,41.135223
2012-05-23,50.029999,50.200001,49.970001,50.119999,28000,41.200977
2012-05-24,50.080002,50.150002,49.93,50.110001,25300,41.192749
2012-05-25,49.900002,50.099998,49.900002,50.099998,8700,41.184559
2012-05-29,50.110001,50.25,49.959999,50.25,15200,41.30785
2012-05-30,50.299999,50.330002,50.200001,50.310001,28900,41.357170000000004
2012-05-31,50.529999,50.59,50.349998,50.380001,14200,41.414738
2012-06-01,50.48,50.580002,50.369999,50.369999,28300,41.495449
2012-06-04,50.68,50.68,50.389999,50.389999,60500,41.511925
2012-06-05,50.450001,50.540001,50.369999,50.439999,11600,41.553123
2012-06-06,50.43,50.439999,50.220001,50.220001,16600,41.371891
2012-06-07,50.5,50.509998,50.5,50.509998,400,41.610798
2012-06-08,50.529999,50.560001,50.529999,50.560001,700,41.651958
2012-06-11,50.490002,50.549999,50.41,50.48,12200,41.58606
2012-06-12,50.540001,50.549999,50.369999,50.369999,4500,41.495449
2012-06-13,50.259998,50.470001,50.259998,50.470001,12000,41.577835
2012-06-14,50.380001,50.52,50.380001,50.400002,3500,41.520157
2012-06-15,50.400002,50.549999,50.400002,50.52,14300,41.61903
2012-06-18,50.810001,50.810001,50.52,50.599998,8300,41.684929
2012-06-19,50.959999,50.959999,50.529999,50.540001,19800,41.635513
2012-06-20,50.82,50.82,50.549999,50.669998,6300,41.742584
2012-06-21,50.77,50.91,50.77,50.91,7500,41.940304
2012-06-22,50.880001,51.049999,50.610001,50.630001,26700,41.709648
2012-06-25,50.849998,50.900002,50.75,50.77,35300,41.825001
2012-06-26,50.68,50.889999,50.68,50.790001,35300,41.841442
2012-06-27,50.799999,50.799999,50.799999,50.799999,100,41.849705
2012-06-28,51.09,51.09,50.84,51.02,2700,42.030937
2012-06-29,51.029999,51.080002,50.700001,50.91,22600,41.940304
2012-07-02,50.75,51,50.75,50.880001,1100,42.003868
2012-07-03,50.740002,51.099998,50.740002,51.099998,500,42.185509
2012-07-05,51.099998,51.25,51.040001,51.099998,8400,42.185509
2012-07-06,51.330002,51.330002,51.110001,51.209999,5200,42.276306
2012-07-09,51.040001,51.459999,51.040001,51.299999,8400,42.350609
2012-07-10,51.360001,51.419998,51.310001,51.310001,2100,42.358868
2012-07-11,51.139999,51.48,51.139999,51.310001,1100,42.358868
2012-07-12,51.740002,51.740002,51.599998,51.610001,1600,42.606525
