date,open,high,low,close,volume,adjusted
2007-05-04,49.150002,49.150002,48.880001,48.880001,10000,29.437969
2007-05-07,49.07,49.07,49.07,49.07,2000,29.552391
2007-05-08,49.16,49.16,49.16,49.16,200,29.606604
2007-05-09,49.09,49.09,49.09,49.09,2000,29.564444
2007-05-10,49.700001,49.700001,49.389999,49.389999,8000,29.745119
2007-05-11,51.029999,51.189999,50.84,51.189999,3000,30.829166
2007-05-14,51.189999,51.189999,51.189999,51.189999,0,30.829166
2007-05-15,51.560001,51.560001,51.560001,51.560001,1000,31.051994
2007-05-16,51.560001,51.560001,51.560001,51.560001,0,31.051994
2007-05-17,51.560001,51.560001,51.560001,51.560001,0,31.051994
2007-05-18,51.560001,51.560001,51.560001,51.560001,0,31.051994
2007-05-21,51.560001,51.560001,51.560001,51.560001,0,31.051994
2007-05-22,49.439999,49.439999,49.439999,49.439999,1000,29.775223
2007-05-23,49.599998,49.599998,49.599998,49.599998,400,29.871593
2007-05-24,49.599998,49.599998,49.599998,49.599998,0,29.871593
2007-05-25,50.790001,50.790001,50.439999,50.439999,7000,30.377483
2007-05-29,52.490002,52.919998,52.400002,52.919998,32000,31.871052
2007-05-30,52.919998,53.889999,52.919998,53.889999,3300,32.455235
2007-05-31,54.119999,54.119999,53.439999,53.439999,6900,32.184231
2007-06-01,53.740002,53.790001,53.32,53.32,10100,32.111954
2007-06-04,53.650002,53.650002,53.59,53.59,5700,32.274563
2007-06-05,53.290001,53.290001,53.290001,53.290001,2000,32.093903
2007-06-06,53.290001,53.290001,53.290001,53.290001,0,32.093903
2007-06-07,51.450001,51.450001,51.290001,51.290001,7000,30.889393
2007-06-08,51.290001,51.290001,51.290001,51.290001,0,30.889393
2007-06-11,50.360001,51.349998,50.360001,51.349998,300,30.925522
2007-06-12,51.349998,51.349998,51.349998,51.349998,0,30.925522
2007-06-13,52.169998,52.169998,50.619999,50.91,6100,30.660538
2007-06-14,50.91,50.91,50.91,50.91,0,30.660538
2007-06-15,50.91,50.91,50.91,50.91,0,30.660538
2007-06-18,50.91,50.91,50.91,50.91,0,30.660538
2007-06-19,50.91,50.91,50.91,50.91,100,30.660538
2007-06-20,50.91,50.91,50.91,50.91,0,30.660538
2007-06-21,49.610001,49.610001,49.610001,49.610001,2000,29.877615
2007-06-22,49.610001,49.610001,49.610001,49.610001,0,29.877615
2007-06-25,49.990002,50.080002,49.470001,49.470001,44000,29.793299
2007-06-26,49.470001,49.470001,49.470001,49.470001,0,29.793299
2007-06-27,49.470001,49.470001,49.470001,49.470001,0,29.793299
2007-06-28,50.400002,50.400002,50.400002,50.400002,2000,30.353394
2007-06-29,50.400002,50.400002,50.400002,50.400002,0,30.543066
2007-07-02,50.400002,50.400002,50.400002,50.400002,0,30.543066
2007-07-03,50.400002,50.400002,50.400002,50.400002,0,30.543066
2007-07-05,50.400002,50.400002,50.400002,50.400002,0,30.543066
2007-07-06,50.400002,50.400002,50.400002,50.400002,0,30.543066
2007-07-09,50.400002,50.400002,50.400002,50.400002,0,30.543066
2007-07-10,50.27,50.27,50.27,50.27,1000,30.464287
2007-07-11,49.369999,49.369999,49.369999,49.369999,400,29.918888
2007-07-12,49.75,50,49.650002,50,2800,30.300671
2007-07-13,50,50,50,50,0,30.300671
2007-07-16,50,50,50,50,0,30.300671
2007-07-17,50,50,50,50,0,30.300671
2007-07-18,50,50,50,50,0,30.300671
2007-07-19,50.110001,50.110001,50.110001,50.110001,100,30.367336
2007-07-20,49.66,49.66,49,49.16,800,29.79162
2007-07-23,49.18,49.18,48.389999,48.389999,2900,29.324986
2007-07-24,48.150002,49.099998,48.150002,49.099998,600,29.755266
2007-07-25,46.84,47.23,46.84,47.009998,1300,28.488689
2007-07-26,45.98,46.23,45.950001,46.029999,8300,27.894793
2007-07-27,45.09,45.23,44.740002,44.740002,400,27.113041
2007-07-30,44.290001,44.919998,44.290001,44.919998,6000,27.22212
