date,open,high,low,close,volume,adjusted
2006-03-07,51.18,51.18,50.990002,51.009998,21300,47.963661
2006-03-08,51.009998,51.009998,51.009998,51.009998,0,47.963661
2006-03-09,51.080002,51.080002,50.639999,50.639999,21000,47.615768
2006-03-10,51.060001,51.060001,51.060001,51.060001,200,48.010681
2006-03-13,51.419998,51.419998,51.419998,51.419998,1300,48.349178
2006-03-14,51.16,51.16,51.16,51.16,5900,48.104691
2006-03-15,51.650002,51.830002,51.650002,51.830002,2000,48.734688
2006-03-16,51.830002,51.830002,51.830002,51.830002,0,48.734688
2006-03-17,51.900002,52.07,51.900002,52.07,2700,48.960354
2006-03-20,52.029999,52.029999,51.950001,51.950001,300,48.847519
2006-03-21,51.799999,51.799999,51.799999,51.799999,900,48.706486
2006-03-22,51.529999,51.529999,51.529999,51.529999,1000,48.45261
2006-03-23,52.049999,52.049999,52.049999,52.049999,700,48.941544
2006-03-24,52.200001,52.200001,52.200001,52.200001,1800,49.082603
2006-03-27,52.259998,52.259998,52.16,52.16,700,49.044983
2006-03-28,52.16,52.16,52.16,52.16,0,49.044983
2006-03-29,52.16,52.16,52.16,52.16,0,49.044983
2006-03-30,52.57,52.57,52.57,52.57,100,49.430508
2006-03-31,52.57,52.57,52.57,52.57,0,49.430508
2006-04-03,52.619999,52.619999,52.619999,52.619999,1100,49.477516
2006-04-04,52.619999,52.619999,52.619999,52.619999,0,49.477516
2006-04-05,52.91,52.91,52.91,52.91,200,49.750191
2006-04-06,53.279999,53.310001,53.139999,53.310001,5400,50.126308
2006-04-07,53.310001,53.310001,53.310001,53.310001,0,50.126308
2006-04-10,52.5,52.580002,52.5,52.580002,1300,49.439899
2006-04-11,52.580002,52.580002,52.580002,52.580002,0,49.439899
2006-04-12,52.580002,52.580002,52.580002,52.580002,0,49.439899
2006-04-13,52.580002,52.580002,52.580002,52.580002,0,49.439899
2006-04-17,52.580002,52.580002,52.580002,52.580002,0,49.439899
2006-04-18,52.439999,53.119999,52.439999,53.119999,700,49.947655
2006-04-19,53.200001,53.490002,53.200001,53.490002,7200,50.295559
2006-04-20,53.490002,53.490002,53.490002,53.490002,0,50.295559
2006-04-21,53.490002,53.490002,53.490002,53.490002,0,50.295559
2006-04-24,52.900002,52.900002,52.740002,52.740002,300,49.590336
2006-04-25,52.740002,52.740002,52.740002,52.740002,0,49.590336
2006-04-26,52.740002,52.740002,52.740002,52.740002,0,49.590336
2006-04-27,52.740002,52.740002,52.740002,52.740002,0,49.590336
2006-04-28,52.529999,52.529999,52.400002,52.400002,200,49.270657
2006-05-01,52.400002,52.400002,52.400002,52.400002,0,49.270657
2006-05-02,52.139999,52.240002,52.119999,52.240002,500,49.120209
2006-05-03,52.240002,52.240002,52.240002,52.240002,0,49.120209
2006-05-04,52.240002,52.240002,52.240002,52.240002,0,49.120209
2006-05-05,52.240002,52.240002,52.240002,52.240002,0,49.120209
2006-05-08,52.240002,52.240002,52.240002,52.240002,0,49.120209
2006-05-09,52.240002,52.240002,52.240002,52.240002,0,49.120209
2006-05-10,52.369999,52.369999,52.369999,52.369999,100,49.242435
2006-05-11,52.32,52.32,52.32,52.32,4200,49.195427
2006-05-12,51.450001,51.450001,50.799999,50.799999,200,47.766205
2006-05-15,50.799999,50.799999,50.799999,50.799999,0,47.766205
2006-05-16,50.799999,50.799999,50.799999,50.799999,0,47.766205
2006-05-17,50.799999,50.799999,50.799999,50.799999,0,47.766205
2006-05-18,50.799999,50.799999,50.799999,50.799999,0,47.766205
2006-05-19,50.799999,50.799999,50.799999,50.799999,0,47.766205
2006-05-22,50.799999,50.799999,50.799999,50.799999,0,47.766205
2006-05-23,49.470001,49.470001,48.84,48.84,16100,45.923248
2006-05-24,48.84,48.84,48.84,48.84,0,45.923248
2006-05-25,48.84,48.84,48.84,48.84,0,45.923248
2006-05-26,49.419998,49.419998,49.419998,49.419998,300,46.468613
2006-05-30,49.139999,49.139999,48.619999,48.619999,500,45.716389
2006-05-31,49.18,49.18,49.18,49.18,100,46.242962
2006-06-01,49.18,49.18,49.18,49.18,0,46.242962
2006-06-02,50.049999,50.049999,50.049999,50.049999,100,47.060982
2006-06-05,50.049999,50.049999,50.049999,50.049999,0,47.060982
2006-06-06,48.5,48.66,48.5,48.66,300,45.754009
2006-06-07,48.66,48.66,48.66,48.66,0,45.754009
2006-06-08,48.139999,48.32,48.139999,48.32,5200,45.434315
2006-06-09,48.290001,48.290001,48.169998,48.169998,300,45.293274
2006-06-12,47.610001,47.610001,46.970001,46.970001,2600,44.16494
2006-06-13,46.970001,46.970001,46.970001,46.970001,0,44.16494
2006-06-14,46.470001,46.470001,46.220001,46.220001,700,43.459728
2006-06-15,46.220001,46.220001,46.220001,46.220001,0,43.459728
2006-06-16,46.220001,46.220001,46.220001,46.220001,0,43.459728
