date,open,high,low,close,volume,adjusted
2010-01-04,26.25,26.48,26.25,26.450001,60100,23.74346
2010-01-05,26.5,26.559999,26.370001,26.52,46500,23.806297
2010-01-06,26.52,26.6,26.49,26.5,36200,23.78834
2010-01-07,26.51,26.59,26.379999,26.58,64300,23.860157
2010-01-08,26.559999,26.76,26.48,26.75,59400,24.012762
2010-01-11,26.870001,26.870001,26.6,26.76,88200,24.021738
2010-01-12,26.58,26.58,26.299999,26.379999,98700,23.680624
2010-01-13,26.450001,26.68,26.280001,26.65,36000,23.923
2010-01-14,26.6,26.719999,26.57,26.709999,67000,23.976851
2010-01-15,26.73,26.73,26.34,26.43,87900,23.725504
2010-01-19,26.5,26.76,26.43,26.76,122700,24.021738
2010-01-20,26.610001,26.610001,26.23,26.440001,99500,23.734482
2010-01-21,26.5,26.58,26,26.059999,91200,23.393364
2010-01-22,25.969999,25.969999,25.360001,25.41,115900,22.809883
2010-01-25,25.6,25.68,25.440001,25.51,68900,22.899651
2010-01-26,25.41,25.719999,25.309999,25.459999,81500,22.854765
2010-01-27,25.469999,25.59,25.219999,25.57,27200,22.953508
2010-01-28,25.57,25.58,25,25.17,42400,22.594431
2010-01-29,25.290001,25.389999,24.799999,24.870001,40600,22.325134
2010-02-01,24.969999,25.18,24.959999,25.18,29800,22.603411
2010-02-02,25.290001,25.51,25.219999,25.51,306100,22.899651
2010-02-03,25.41,25.51,25.360001,25.43,37400,22.827833
2010-02-04,25.23,25.23,24.57,24.610001,62100,22.09174
2010-02-05,24.68,24.719999,24.200001,24.719999,138600,22.190483
2010-02-08,24.74,24.889999,24.6,24.6,56000,22.082766
2010-02-09,24.879999,25.08,24.690001,24.879999,60900,22.33411
2010-02-10,24.9,24.950001,24.629999,24.809999,34700,22.271273
2010-02-11,24.83,25.209999,24.68,25.190001,86600,22.612392
2010-02-12,24.98,25.17,24.860001,25.17,26100,22.594431
2010-02-16,25.4,25.57,25.280001,25.530001,26500,22.917603
2010-02-17,25.690001,25.719999,25.58,25.719999,37400,23.088158
2010-02-18,25.690001,25.91,25.690001,25.870001,134900,23.222811
2010-02-19,25.799999,26,25.76,25.950001,23000,23.294622
2010-02-22,26.07,26.08,25.83,25.860001,48900,23.213827
2010-02-23,25.809999,25.83,25.48,25.549999,50300,22.935551
2010-02-24,25.639999,25.780001,25.610001,25.75,39000,23.115086
2010-02-25,25.459999,25.780001,25.35,25.780001,55800,23.142017
2010-02-26,25.82,25.879999,25.690001,25.85,34300,23.204855
2010-03-01,25.950001,26.200001,25.950001,26.200001,33500,23.519041
2010-03-02,26.299999,26.389999,26.209999,26.26,60100,23.572908
2010-03-03,26.34,26.440001,26.26,26.34,30000,23.644714
2010-03-04,26.379999,26.41,26.26,26.35,32400,23.653694
2010-03-05,26.530001,26.74,26.5,26.700001,48300,23.967876
2010-03-08,26.74,26.77,26.68,26.74,42900,24.00378
2010-03-09,26.65,26.9,26.65,26.77,52100,24.030716
2010-03-10,26.77,26.93,26.74,26.879999,23400,24.129456
2010-03-11,26.85,26.959999,26.75,26.959999,35800,24.201271
2010-03-12,27.09,27.09,26.879999,27.01,45200,24.246153
2010-03-15,26.99,26.99,26.74,26.93,32200,24.174341
2010-03-16,27.030001,27.17,26.940001,27.17,40200,24.389786
2010-03-17,27.24,27.389999,27.209999,27.280001,59900,24.488535
2010-03-18,27.299999,27.32,27.18,27.25,44000,24.461596
2010-03-19,27.07,27.34,27,27.07,60400,24.300018
2010-03-22,26.92,27.26,26.82,27.17,50300,24.434919
2010-03-23,27.25,27.4,27.16,27.389999,58200,24.632774
2010-03-24,27.309999,27.309999,27.16,27.209999,53900,24.470892
2010-03-25,27.42,27.48,27.120001,27.120001,42400,24.389954
2010-03-26,27.25,27.280001,27.049999,27.15,25800,24.416935
2010-03-29,27.290001,27.370001,27.27,27.34,33500,24.587805
2010-03-30,27.440001,27.5,27.299999,27.440001,58000,24.677744
2010-03-31,27.360001,27.450001,27.299999,27.32,49000,24.569822
2010-04-01,27.51,27.59,27.299999,27.459999,25600,24.695723
2010-04-05,27.67,27.76,27.51,27.73,127500,24.938547
2010-04-06,27.68,27.84,27.639999,27.790001,42500,24.992516
2010-04-07,27.780001,27.780001,27.49,27.620001,40700,24.839626
2010-04-08,27.57,27.74,27.48,27.719999,31700,24.929546
2010-04-09,27.780001,27.870001,27.719999,27.860001,37500,25.055454
2010-04-12,27.9,27.969999,27.860001,27.92,30700,25.109413
