date,open,high,low,close,volume,adjusted
2017-10-12,25.08,25.08,25.01,25.030001,1040600,24.212915
2017-10-13,25.110001,25.129999,25.040001,25.049999,958000,24.232267
2017-10-16,25.16,25.16,25.044001,25.09,699800,24.270962
2017-10-17,25.1,25.110001,25.059999,25.101,322200,24.281603
2017-10-18,25.17,25.17,25.1,25.110001,412100,24.290308
2017-10-19,25.059999,25.122,24.986,25.120001,374500,24.299982
2017-10-20,25.23,25.25,25.186001,25.25,257400,24.425735
2017-10-23,25.389999,25.389999,25.15,25.16,322700,24.338673
2017-10-24,25.24,25.24,25.15,25.200001,177600,24.377369
2017-10-25,25.17,25.18,24.948999,25.079,236400,24.260319
2017-10-26,25.200001,25.200001,25.105,25.120001,160900,24.299982
2017-10-27,25.290001,25.32,25.160999,25.299999,175500,24.474102
2017-10-30,25.290001,25.32,25.200001,25.24,159200,24.416063
2017-10-31,25.290001,25.299999,25.219999,25.27,121800,24.445084
2017-11-01,25.370001,25.389999,25.26,25.299999,127500,24.474102
2017-11-02,25.34,25.34,25.191,25.309999,149600,24.483778
2017-11-03,25.360001,25.379999,25.271999,25.379999,146700,24.551491
2017-11-06,25.4,25.450001,25.379999,25.43,206300,24.599859
2017-11-07,25.459999,25.471001,25.354,25.4,204500,24.570841
2017-11-08,25.41,25.451,25.351,25.43,92100,24.599859
2017-11-09,25.34,25.371,25.174999,25.33,193100,24.503122
2017-11-10,25.33,25.360001,25.280001,25.33,146400,24.503122
2017-11-13,25.280001,25.389999,25.25,25.370001,159000,24.541819
2017-11-14,25.309999,25.32,25.219,25.309999,104200,24.483778
2017-11-15,25.25,25.26,25.110001,25.200001,137900,24.377369
2017-11-16,25.290001,25.438,25.290001,25.4,104300,24.570841
2017-11-17,25.379999,25.379999,25.34,25.35,125000,24.522472
2017-11-20,25.389999,25.41,25.35,25.4,249600,24.570841
2017-11-21,25.49,25.559999,25.488001,25.559999,174600,24.725616
2017-11-22,25.58,25.584999,25.52,25.540001,129600,24.706272
2017-11-24,25.59,25.610001,25.572001,25.596001,72900,24.760439
2017-11-27,25.620001,25.629999,25.551001,25.58,196100,24.744961
2017-11-28,25.629999,25.837999,25.620001,25.83,127100,24.986803
2017-11-29,25.870001,25.92,25.75,25.83,149100,24.986803
2017-11-30,25.940001,26.129999,25.860001,26.049999,164400,25.199619
2017-12-01,26.040001,26.059999,25.6,25.99,156200,25.141575
2017-12-04,26.209999,26.23,25.959999,25.959999,284400,25.112558
2017-12-05,26,26.040001,25.83,25.860001,92300,25.015825
2017-12-06,25.879999,25.879999,25.799999,25.83,155900,24.986803
2017-12-07,25.870001,25.961,25.825001,25.93,106500,25.083538
2017-12-08,26.040001,26.08,26.01,26.08,76700,25.228643
2017-12-11,26.1,26.15,26.075001,26.15,122600,25.296354
2017-12-12,26.200001,26.243,26.16,26.17,196900,25.315702
2017-12-13,26.27,26.27,26.16,26.16,141500,25.30603
2017-12-14,26.24,26.24,26.07,26.07,132800,25.218969
2017-12-15,26.26,26.35,26.173,26.280001,114500,25.422113
2017-12-18,26.450001,26.450001,26.370001,26.389999,212600,25.60354
2017-12-19,26.48,26.48,26.285,26.299999,126500,25.516222
2017-12-20,26.41,26.431999,26.23,26.280001,213200,25.496819
2017-12-21,26.360001,26.41,26.309999,26.33,127200,25.545328
2017-12-22,26.360001,26.360001,26.275,26.32,89700,25.535625
2017-12-26,26.370001,26.370001,26.280001,26.299999,106100,25.516222
2017-12-27,26.33,26.35,26.281,26.309999,115200,25.530781
2017-12-28,26.379999,26.379999,26.32,26.370001,101200,25.589003
2017-12-29,26.450001,26.450001,26.26,26.26,135100,25.482258
2018-01-02,26.4,26.450001,26.33,26.450001,172800,25.666634
2018-01-03,26.549999,26.629999,26.49,26.610001,216400,25.821896
2018-01-04,26.700001,26.775999,26.679001,26.725,205200,25.933489
2018-01-05,26.82,26.9,26.768,26.889999,165900,26.093599
2018-01-08,26.9,26.969999,26.860001,26.950001,196700,26.151823
2018-01-09,27.02,27.08,26.969999,26.99,165000,26.190641
2018-01-10,26.950001,27,26.85,26.969999,187100,26.171232
2018-01-11,27.030001,27.17,27.017,27.17,187500,26.365307
2018-01-12,27.24,27.341999,27.195,27.325001,202500,26.51572
2018-01-16,27.48,27.540001,27.17,27.228001,303500,26.421591
2018-01-17,27.35,27.530001,27.26,27.459999,103200,26.646717
2018-01-18,27.49,27.5,27.398001,27.440001,169000,26.627312
2018-01-19,27.52,27.559999,27.455,27.559999,89000,26.743757
2018-01-22,27.559999,27.790001,27.551001,27.789,215900,26.965975
2018-01-23,27.809999,27.879999,27.771999,27.860001,233100,27.034874
2018-01-24,27.940001,27.989,27.690001,27.85,141900,27.025169000000002
2018-01-25,27.950001,27.950001,27.77,27.83,136500,27.005762
2018-01-26,27.91,28.139999,27.900999,28.125999,315800,27.292995
2018-01-29,28.139999,28.139999,27.959999,27.99,241800,27.161022
2018-01-30,27.790001,27.82,27.620001,27.68,267900,26.860205
2018-01-31,27.77,27.83,27.559999,27.688999,204200,26.868937
2018-02-01,27.67,27.809,27.6,27.68,164300,26.860205
2018-02-02,27.540001,27.549999,27.059999,27.07,473800,26.26827
2018-02-05,26.889999,27.1,25.92,26.025,595600,25.254217
2018-02-06,25.629999,26.49,25.48,26.370001,482200,25.589003
2018-02-07,26.41,26.75,26.309999,26.309999,330500,25.530781
2018-02-08,26.33,26.33,25.360001,25.360001,223100,24.608913
2018-02-09,25.65,25.889999,24.879999,25.68,457500,24.919437
2018-02-12,25.940001,26.190001,25.75,26.049999,339300,25.278477
2018-02-13,25.9,26.177999,25.889999,26.139999,134600,25.365814
2018-02-14,25.98,26.540001,25.98,26.48,224100,25.695744
2018-02-15,26.700001,26.83,26.450001,26.83,277600,26.035376
2018-02-16,26.84,27.059,26.798,26.83,796600,26.035376
2018-02-20,26.790001,26.9,26.610001,26.68,255700,25.889822
2018-02-21,26.780001,27,26.530001,26.530001,688700,25.744265
2018-02-22,26.620001,26.799999,26.540001,26.540001,134100,25.753967
2018-02-23,26.74,26.99,26.658001,26.99,51200,26.190641
2018-02-26,27.110001,27.280001,27.040001,27.280001,317100,26.472052
2018-02-27,27.27,27.379999,26.91,26.91,147600,26.11301
2018-02-28,27.09,27.1,26.66,26.66,178200,25.870415
2018-03-01,26.709999,26.790001,26.139999,26.33,241300,25.550188
2018-03-02,26.1,26.5,26.028,26.440001,285900,25.656933
2018-03-05,26.360001,26.83,26.322001,26.77,128900,25.977158
2018-03-06,26.91,26.91,26.700001,26.85,246300,26.054785
2018-03-07,26.65,26.889999,26.559999,26.870001,123500,26.074194
2018-03-08,26.940001,26.999001,26.83,26.950001,93400,26.151823
2018-03-09,27.09,27.42,27.09,27.41,285800,26.5982
2018-03-12,27.5,27.540001,27.374001,27.42,179200,26.607904
2018-03-13,27.549999,27.57,27.16,27.25,110200,26.44294
2018-03-14,27.309999,27.33,27.035,27.09,89800,26.287678
2018-03-15,27.16,27.209999,27.02,27.09,94600,26.287678
2018-03-16,27.09,27.120001,27.01,27.030001,38700,26.312016
2018-03-19,26.940001,26.940001,26.48,26.66,138800,25.951843
2018-03-20,26.790001,26.790001,26.65,26.719999,99400,26.010244
2018-03-21,26.75,26.889,26.66,26.67,39600,25.961575
2018-03-22,26.49,26.49,26,26.030001,173400,25.338577
2018-03-23,26.02,26.030001,25.450001,25.450001,203100,24.773983
2018-03-26,25.870001,26.16,25.591,26.16,216400,25.465124
2018-03-27,26.200001,26.283001,25.559999,25.639999,98200,24.958935
2018-03-28,25.68,25.805,25.540001,25.66,100500,24.978405
2018-03-29,25.77,26.132999,25.66,26,114100,25.309374
2018-04-02,25.92,25.92,25.120001,25.389999,214600,24.715576
2018-04-03,25.549999,25.73,25.346001,25.709999,102300,25.027077
2018-04-04,25.309999,26.023001,25.309999,25.98,88900,25.289906
2018-04-05,26.18,26.268,26.056,26.200001,159700,25.504065
2018-04-06,25.93,26.1,25.450001,25.58,210800,24.900528
2018-04-09,25.790001,26.072001,25.700001,25.709999,86900,25.027077
2018-04-10,26.02,26.18,25.921,26.110001,98200,25.416452
2018-04-11,26,26.15,25.91,26,63500,25.309374
2018-04-12,26.110001,26.290001,26.094999,26.190001,78300,25.494326
2018-04-13,26.32,26.42,26.037001,26.120001,81400,25.426186
2018-04-16,26.309999,26.403999,26.212,26.34,153200,25.640343
2018-04-17,26.540001,26.67,26.469999,26.610001,144000,25.903172
2018-04-18,26.709999,26.73,26.610001,26.66,73600,25.951843
2018-04-19,26.6,26.6,26.405001,26.5,70700,25.796091
2018-04-20,26.58,26.58,26.209999,26.280001,92700,25.581936
2018-04-23,26.34,26.413,26.200001,26.285999,101200,25.587776
2018-04-24,26.4,26.423,25.795,25.959999,142000,25.270433
2018-04-25,25.959999,26.049999,25.74,26,106000,25.309374
2018-04-26,26.120001,26.326,26.049999,26.25,55900,25.552734
2018-04-27,26.370001,26.370001,26.16,26.296,49700,25.597511
2018-04-30,26.33,26.389999,26.049999,26.049999,57000,25.358044
2018-05-01,26.030001,26.120001,25.853001,26.120001,168100,25.426186
2018-05-02,26.110001,26.176001,25.924999,25.941999,42200,25.252914
2018-05-03,25.879999,25.966,25.575001,25.9,104700,25.212029
2018-05-04,25.799999,26.295,25.771,26.24,154300,25.542999
2018-05-07,26.32,26.436001,26.290001,26.33,142400,25.63061
2018-05-08,26.33,26.354,26.209999,26.34,40600,25.640343
2018-05-09,26.42,26.615,26.358,26.563999,83600,25.858391
2018-05-10,26.629999,26.85,26.629999,26.809999,104700,26.097858
2018-05-11,26.860001,26.93,26.809999,26.879999,61400,26.165998
2018-05-14,26.98,27.017,26.847,26.9,104300,26.185467
2018-05-15,26.75,26.811001,26.631001,26.73,73600,26.019981
2018-05-16,26.700001,26.879999,26.700001,26.83,68700,26.117325
2018-05-17,26.82,26.940001,26.75,26.82,66500,26.107594
2018-05-18,26.809999,26.83,26.74,26.773001,80300,26.061842
2018-05-21,26.940001,27.025,26.900999,26.965,65900,26.248739
2018-05-22,27.040001,27.049999,26.855,26.870001,188100,26.156265
2018-05-23,26.780001,26.950001,26.74,26.950001,52300,26.234138
2018-05-24,26.92,26.934,26.715,26.9,64300,26.185467
2018-05-25,26.92,26.92,26.785,26.85,40700,26.136795
2018-05-29,26.690001,26.739,26.441,26.57,112800,25.864231
2018-05-30,26.719999,26.944,26.68,26.91,70300,26.195204
2018-05-31,26.889999,26.889999,26.68,26.719999,53400,26.010244
2018-06-01,26.870001,27.024,26.870001,26.99,61400,26.273079
2018-06-04,27.049999,27.125999,27.049999,27.120001,108600,26.399624
2018-06-05,27.139999,27.179001,27.065001,27.139999,42200,26.419092
2018-06-06,27.209999,27.360001,27.146999,27.360001,53000,26.633247
2018-06-07,27.41,27.455,27.264999,27.355,56300,26.62838
2018-06-08,27.290001,27.450001,27.290001,27.440001,82800,26.711123
2018-06-11,27.49,27.549999,27.475,27.49,97200,26.759796
2018-06-12,27.559999,27.566,27.469,27.540001,109000,26.808472
2018-06-13,27.59,27.59,27.440001,27.440001,114900,26.711123
2018-06-14,27.559999,27.559999,27.450001,27.504999,51000,26.774397
2018-06-15,27.48,27.52,27.35,27.486,69100,26.755899
2018-06-18,27.33,27.459,27.27,27.450001,61700,26.720856
2018-06-19,27.33,27.35,27.15,27.35,112700,26.623514
2018-06-20,27.48,27.48,27.379999,27.405001,112700,26.677053
2018-06-21,27.41,27.41,27.194,27.23,110600,26.506702
2018-06-22,27.4,27.4,27.25,27.25,39900,26.526171
2018-06-25,27.190001,27.190001,26.73,26.879999,155100,26.165998
2018-06-26,26.83,26.900999,26.74,26.82,108300,26.227608
2018-06-27,26.940001,27.033001,26.58,26.58,42100,25.992908
2018-06-28,26.639999,26.785999,26.51,26.74,35900,26.149372
2018-06-29,26.85,26.99,26.775,26.775,74400,26.183599
2018-07-02,26.68,26.85,26.6,26.85,86500,26.256945
2018-07-03,26.9,26.943001,26.736,26.736,50000,26.145464
2018-07-05,26.889999,26.969999,26.76,26.969999,55500,26.374296
2018-07-06,26.98,27.219999,26.927999,27.200001,55600,26.599215
2018-07-09,27.299999,27.43,27.299999,27.43,86000,26.824135
2018-07-10,27.5,27.549999,27.450001,27.525,89300,26.917036
2018-07-11,27.450001,27.450001,27.299999,27.34,37400,26.73612
2018-07-12,27.49,27.57,27.4,27.57,129300,26.96104
2018-07-13,27.57,27.625999,27.507,27.59,60300,26.9806
2018-07-16,27.559999,27.59,27.509001,27.540001,60200,26.931707
2018-07-17,27.49,27.700001,27.485001,27.665001,90200,27.053944
2018-07-18,27.690001,27.75,27.629999,27.74,275800,27.127285
2018-07-19,27.690001,27.700001,27.6,27.65,71200,27.039276
2018-07-20,27.639999,27.67,27.591,27.601999,48900,26.992334
2018-07-23,27.59,27.667,27.549999,27.639999,37500,27.029497
2018-07-24,27.75,27.844999,27.641001,27.73,84700,27.117508
2018-07-25,27.73,27.99,27.690001,27.950001,105800,27.332651
2018-07-26,27.870001,27.982,27.870001,27.91,39000,27.293531
2018-07-27,27.959999,27.968,27.643999,27.719999,78400,27.107727
2018-07-30,27.77,27.77,27.500999,27.549999,244600,26.941481
2018-07-31,27.65,27.775999,27.607,27.705,110100,27.093058
2018-08-01,27.73,27.780001,27.6,27.67,86000,27.058832
2018-08-02,27.549999,27.839001,27.51,27.836,68500,27.221165
2018-08-03,27.860001,27.950001,27.837999,27.950001,76500,27.332651
2018-08-06,27.950001,28.077,27.921,28.059999,220400,27.440218
2018-08-07,28.120001,28.18,28.120001,28.139999,124200,27.518452
2018-08-08,28.15,28.17,28.086,28.139999,94600,27.518452
2018-08-09,28.15,28.18,28.09,28.1,47800,27.479334
2018-08-10,28,28.004999,27.855,27.93,92400,27.313089
2018-08-13,27.940001,28.011,27.780001,27.809999,83100,27.19574
2018-08-14,27.91,28.01,27.856001,27.98,54900,27.361984
2018-08-15,27.879999,27.879999,27.617001,27.780001,84300,27.166403
2018-08-16,27.940001,28.063999,27.940001,27.975,127000,27.357096
2018-08-17,27.969999,28.139999,27.934999,28.07,138000,27.449997
2018-08-20,28.16,28.181,28.1,28.15,96300,27.528229
2018-08-21,28.209999,28.33,28.209999,28.24,97900,27.616243
2018-08-22,28.219999,28.27,28.18,28.24,419700,27.616243
2018-08-23,28.17,28.292999,28.160999,28.18,399100,27.55757
2018-08-24,28.25,28.35,28.25,28.35,170100,27.723814
2018-08-27,28.5,28.579,28.457001,28.57,117900,27.938953
2018-08-28,28.6,28.636,28.533001,28.558001,98400,27.927219
2018-08-29,28.610001,28.76,28.580999,28.736,140600,28.10129
2018-08-30,28.700001,28.719999,28.587,28.611,62500,27.97905
2018-08-31,28.6,28.662001,28.540001,28.629999,66700,27.997627
2018-09-04,28.6,28.605,28.469999,28.58,65300,27.948732
2018-09-05,28.57,28.57,28.381001,28.5,65000,27.870501
2018-09-06,28.469999,28.559,28.305,28.41,37700,27.782488
2018-09-07,28.33,28.450001,28.290001,28.35,89700,27.723814
2018-09-10,28.469999,28.469999,28.385,28.41,91300,27.782488
2018-09-11,28.360001,28.540001,28.360001,28.5,63300,27.870501
2018-09-12,28.51,28.549999,28.42,28.51,52200,27.880278
2018-09-13,28.610001,28.690001,28.6,28.65,49000,28.017185
2018-09-14,28.690001,28.709999,28.6,28.67,117900,28.036747
2018-09-17,28.700001,28.700001,28.471001,28.49,55200,27.860718
2018-09-18,28.57,28.709,28.57,28.67,65500,28.036747
2018-09-19,28.690001,28.714001,28.646,28.67,35400,28.036747
2018-09-20,28.74,28.92,28.74,28.889999,74000,28.251886
2018-09-21,29,29,28.860001,28.879999,82500,28.242107
2018-09-24,28.799999,28.809,28.716999,28.76,74700,28.124756
2018-09-25,28.73,28.73,28.610001,28.629999,80600,28.112972
2018-09-26,28.68,28.75,28.52,28.540001,53100,28.024601
2018-09-27,28.620001,28.735001,28.587,28.620001,38500,28.103157
2018-09-28,28.620001,28.66,28.555,28.620001,34400,28.103157
2018-10-01,28.74,28.815001,28.639999,28.697001,184400,28.178764
2018-10-02,28.690001,28.747,28.635,28.67,152700,28.152252
2018-10-03,28.76,28.82,28.657,28.68,49400,28.162071
2018-10-04,28.66,28.66,28.285999,28.459999,161900,27.946043
2018-10-05,28.49,28.521999,28.129999,28.290001,200000,27.779118
2018-10-08,28.24,28.299999,28.040001,28.27,263500,27.759476
2018-10-09,28.25,28.360001,28.17,28.219999,84200,27.710381
2018-10-10,28.18,28.18,27.290001,27.309999,354500,26.816811
2018-10-11,27.23,27.389999,26.57,26.75,368100,26.266924
2018-10-12,27.200001,27.249001,26.75,27.08,305100,26.590965
2018-10-15,27.09,27.190001,26.961,26.98,106500,26.492771
2018-10-16,27.18,27.58,27.15,27.559999,163400,27.062298
2018-10-17,27.559999,27.594999,27.301001,27.549999,157500,27.052479
2018-10-18,27.469999,27.48,27.014999,27.15,111600,26.6597
2018-10-19,27.24,27.374001,27.07,27.110001,82300,26.620424
2018-10-22,27.15,27.209999,26.937,26.98,68100,26.492771
2018-10-23,26.629999,26.937,26.360001,26.84,187100,26.355301
2018-10-24,26.790001,26.84,25.99,25.99,168600,25.520649
2018-10-25,26.219999,26.629999,26.17,26.5,133300,26.021439
2018-10-26,26.120001,26.34,25.761999,26.030001,389800,25.559927
2018-10-29,26.370001,26.504999,25.516001,25.857,186400,25.390053
2018-10-30,25.84,26.290001,25.799999,26.290001,167300,25.815233
2018-10-31,26.57,26.808001,26.540001,26.57,201200,26.090174
2018-11-01,26.68,26.885,26.59,26.879999,285200,26.394579
2018-11-02,27.01,27.039,26.5,26.690001,184200,26.208008
2018-11-05,26.790001,26.909,26.662001,26.860001,136800,26.374939
2018-11-06,26.879999,27.030001,26.875,27.02,84200,26.532051
2018-11-07,27.24,27.573,27.207001,27.57,335700,27.072119
2018-11-08,27.52,27.583,27.41,27.51,74300,27.013199
2018-11-09,27.459999,27.459999,27.091,27.26,129900,26.767715
2018-11-12,27.190001,27.190001,26.690001,26.719999,106300,26.237465
2018-11-13,26.799999,27,26.614,26.690001,175400,26.208008
2018-11-14,26.860001,26.9,26.35,26.49,218000,26.01162
2018-11-15,26.35,26.799999,26.200001,26.780001,148000,26.296383
2018-11-16,26.700001,26.91,26.645,26.85,741100,26.36512
2018-11-19,26.82,26.82,26.297001,26.389999,96900,25.913425
2018-11-20,26.030001,26.17,25.815001,25.91,2642700,25.442093
2018-11-21,26.040001,26.224001,26.02,26.02,87300,25.550108
2018-11-23,25.870001,26.025,25.870001,25.879999,66700,25.412634
2018-11-26,26.129999,26.290001,26.08,26.280001,169400,25.805414
2018-11-27,26.200001,26.34,26.117001,26.34,166700,25.86433
2018-11-28,26.51,26.940001,26.360001,26.940001,174200,26.453495
2018-11-29,26.9,27.049999,26.76,26.9,169200,26.414217
2018-11-30,26.9,27.120001,26.879999,27.110001,119500,26.620424
2018-12-03,27.57,27.57,27.24,27.415001,394500,26.919916
2018-12-04,27.32,27.368999,26.5,26.540001,227300,26.060717
2018-12-06,26.16,26.489,25.775999,26.483,252200,26.004745
2018-12-07,26.43,26.6,25.790001,25.91,282600,25.442093
2018-12-10,25.83,25.976,25.41,25.9,1009900,25.432274
2018-12-11,26.290001,26.33,25.76,25.889999,250400,25.422455
2018-12-12,26.07,26.256001,25.93,25.93,280700,25.576328
2018-12-13,26.040001,26.059999,25.790001,25.91,248600,25.556599
2018-12-14,25.700001,25.764999,25.375,25.440001,395900,25.093012
2018-12-17,25.34,25.434999,24.76,24.9,928400,24.560375
2018-12-18,25.110001,25.18,24.75,24.9,471000,24.560375
2018-12-19,24.93,25.290001,24.360001,24.5,429200,24.165831
2018-12-20,24.370001,24.540001,23.879999,24.1,936700,23.77129
2018-12-21,24.16,24.469999,23.549999,23.6,764200,23.278109
2018-12-24,23.440001,23.525999,23.01,23.02,937600,22.70602
