date,open,high,low,close,volume,adjusted
2011-07-14,50.02,50.040001,49.98,49.98,3400,41.724014
2011-07-15,49.900002,49.990002,49.889999,49.990002,19500,41.732361
2011-07-18,50,50,49.91,49.91,19000,41.665565
2011-07-19,49.889999,49.98,49.869999,49.98,13300,41.724014
2011-07-20,50,50.130001,49.970001,49.98,3100,41.724014
2011-07-21,49.93,49.93,49.889999,49.91,48900,41.665565
2011-07-22,49.919998,49.98,49.919998,49.98,9800,41.724014
2011-07-25,49.900002,49.939999,49.889999,49.900002,10600,41.65723
2011-07-26,49.919998,49.970001,49.919998,49.959999,4300,41.707325
2011-07-27,49.939999,49.950001,49.91,49.919998,8500,41.673927
2011-07-28,50.029999,50.040001,50,50.040001,12500,41.774097
2011-07-29,49.759998,50.299999,49.759998,50.299999,22800,41.991131
2011-08-01,50.130001,50.41,50.130001,50.400002,30400,42.101414
2011-08-02,50.5,50.73,50.48,50.73,25400,42.377083
2011-08-03,50.740002,50.830002,50.720001,50.77,44800,42.410496
2011-08-04,50.779999,51.009998,50.779999,51.009998,34900,42.61095
2011-08-05,50.880001,50.93,50.709999,50.779999,32700,42.418842
2011-08-08,50.41,50.970001,50.41,50.939999,11800,42.552505
2011-08-09,50.889999,51.259998,50.849998,51.16,86000,42.736294
2011-08-10,51.27,51.34,51.240002,51.34,12700,42.886662
2011-08-11,51.389999,51.389999,50.990002,51.029999,18500,42.62767
2011-08-12,51.049999,51.099998,50.970001,51.099998,27700,42.686161
2011-08-15,51.110001,51.130001,51,51.040001,21100,42.636028
2011-08-16,51.080002,51.150002,51,51.130001,25400,42.711212
2011-08-17,51.18,51.299999,51.18,51.279999,19400,42.836521
2011-08-18,51.450001,51.52,51.360001,51.5,104800,43.020309
2011-08-19,51.200001,51.310001,51.200001,51.299999,26100,42.853222
2011-08-22,51.32,51.330002,51.209999,51.25,21700,42.811478
2011-08-23,51.220001,51.240002,51.09,51.139999,29200,42.719589
2011-08-24,51.099998,51.099998,50.939999,50.950001,26100,42.560863
2011-08-25,50.91,51.009998,50.889999,51,20100,42.602631
2011-08-26,51.099998,51.130001,51.009998,51.060001,20700,42.652748
2011-08-29,50.950001,51.240002,50.849998,50.93,38100,42.544151
2011-08-30,51.200001,51.27,51.130001,51.259998,49800,42.81982
2011-08-31,51.200001,51.23,51.16,51.16,68000,42.736294
2011-09-01,51.18,51.25,51.07,51.23,30900,42.856731
2011-09-02,51.299999,51.509998,51.299999,51.48,43700,43.065872
2011-09-06,51.599998,51.599998,51.5,51.57,68800,43.141186
2011-09-07,51.299999,51.419998,51.220001,51.360001,72600,42.965492
2011-09-08,51.599998,51.599998,51.330002,51.419998,14800,43.015659
2011-09-09,51.549999,51.560001,51.419998,51.549999,27500,43.124435
2011-09-12,51.650002,51.650002,51.48,51.509998,26100,43.090969
2011-09-13,51.540001,51.549999,51.41,51.48,31200,43.065872
2011-09-14,51.450001,51.470001,51.400002,51.450001,107700,43.040783
2011-09-15,51.369999,51.380001,51.25,51.25,29800,42.873486
2011-09-16,51.330002,51.330002,51.16,51.25,20900,42.873486
2011-09-19,51.459999,51.529999,51.290001,51.48,29200,43.065872
2011-09-20,51.509998,51.669998,51.450001,51.490002,61600,43.074242
2011-09-21,51.549999,51.66,51.419998,51.630001,111800,43.191387
2011-09-22,51.740002,51.830002,51.639999,51.779999,14600,43.316837
2011-09-23,51.900002,51.900002,51.560001,51.560001,22300,43.132805
2011-09-26,51.540001,51.540001,51.369999,51.389999,16000,42.990597
2011-09-27,51.349998,51.349998,51.200001,51.290001,92900,42.906948
2011-09-28,51.360001,51.360001,51.080002,51.189999,23700,42.823261
2011-09-29,51.110001,51.25,51.099998,51.099998,29500,42.747986
2011-09-30,51.48,51.48,51.220001,51.380001,25000,42.982239
2011-10-03,51.43,51.459999,51.299999,51.439999,14800,43.082722
2011-10-04,51.470001,51.470001,51.310001,51.349998,8900,43.007355
2011-10-05,51.32,51.32,51.150002,51.240002,50500,42.915226
2011-10-06,51.220001,51.220001,51.110001,51.110001,4600,42.806343
2011-10-07,51,51,50.869999,50.91,19900,42.638832
2011-10-10,50.860001,50.860001,50.73,50.830002,26500,42.571838
2011-10-11,50.84,50.939999,50.830002,50.939999,53900,42.663963
2011-10-12,50.919998,50.919998,50.759998,50.84,34800,42.5802
2011-10-13,50.919998,50.93,50.82,50.84,19600,42.5802
2011-10-14,50.830002,50.93,50.810001,50.889999,57200,42.622089
2011-10-17,51.16,51.189999,50.900002,51.060001,43700,42.764458
2011-10-18,51.080002,51.119999,51.02,51.040001,33000,42.747707
2011-10-19,51.040001,51.110001,51.009998,51.09,32300,42.789608
2011-10-20,51.110001,51.130001,51.029999,51.080002,16900,42.781216
2011-10-21,51.09,51.150002,51.080002,51.119999,26100,42.814697
2011-10-24,51.16,51.16,51.049999,51.049999,268200,42.756096
2011-10-25,51.09,51.209999,51.009998,51.209999,149100,42.890087
2011-10-26,51.279999,51.279999,51.009998,51.060001,82200,42.764458
2011-10-27,51.07,51.07,50.889999,50.98,59500,42.697468
2011-10-28,51.119999,51.119999,50.98,51.099998,63100,42.797958
2011-10-31,51.32,51.380001,51.23,51.380001,76900,43.03249
2011-11-01,51.599998,51.599998,51.450001,51.560001,21500,43.239635
2011-11-02,51.549999,51.57,51.439999,51.57,64100,43.248024
2011-11-03,51.48,51.490002,51.41,51.490002,548500,43.180916
2011-11-04,51.490002,51.5,51.279999,51.419998,165500,43.122189
2011-11-07,51.389999,51.5,51.330002,51.419998,55500,43.122189
2011-11-08,51.5,51.5,51.290001,51.290001,77000,43.013199
2011-11-09,51.5,51.52,51.360001,51.459999,42000,43.155746
2011-11-10,51.099998,51.419998,51.02,51.389999,45100,43.097057
2011-11-11,51.369999,51.400002,51.130001,51.27,74500,42.996414
2011-11-14,51.360001,51.360001,51.299999,51.360001,21500,43.071892
2011-11-15,51.380001,51.380001,51.259998,51.299999,18300,43.021576
2011-11-16,51.400002,51.400002,51.27,51.360001,32100,43.071892
2011-11-17,51.349998,51.400002,51.27,51.380001,23000,43.088684
2011-11-18,51.34,51.34,51.27,51.299999,35200,43.021576
2011-11-21,51.310001,51.360001,51.310001,51.34,20100,43.055126
2011-11-22,51.360001,51.360001,51.279999,51.349998,22500,43.063503
2011-11-23,51.310001,51.419998,51.310001,51.419998,27800,43.122189
2011-11-25,51.389999,51.389999,51.32,51.34,11200,43.055126
2011-11-28,51.220001,51.349998,51.169998,51.349998,40200,43.063503
2011-11-29,51.360001,51.360001,51.220001,51.299999,76200,43.021576
2011-11-30,51.23,51.25,51.16,51.200001,48600,42.937714
2011-12-01,51.099998,51.099998,50.939999,50.98,113300,42.812584
2011-12-02,51.040001,51.25,51.02,51.25,55000,43.039326
2011-12-05,51.209999,51.259998,51.169998,51.25,52000,43.039326
2011-12-06,51.25,51.279999,51.18,51.240002,33100,43.030937
2011-12-07,51.290001,51.34,51.119999,51.32,49100,43.098099
2011-12-08,51.360001,51.459999,51.279999,51.459999,36000,43.215691
2011-12-09,51.470001,51.470001,51.349998,51.360001,20300,43.131706
2011-12-12,51.419998,51.459999,51.419998,51.450001,28500,43.207291
2011-12-13,51.450001,51.540001,51.389999,51.529999,27200,43.274467
2011-12-14,51.599998,51.73,51.57,51.720001,35400,43.434025
2011-12-15,52.419998,52.419998,51.52,51.57,224900,43.308064
2011-12-16,51.720001,51.73,51.639999,51.720001,29100,43.434025
2011-12-19,51.759998,51.790001,51.700001,51.779999,33600,43.484413
2011-12-20,51.73,51.73,51.619999,51.639999,36400,43.366848
2011-12-21,51.630001,51.630001,51.48,51.509998,81900,43.257679
2011-12-22,51.599998,51.610001,51.400002,51.41,102500,43.173683
2011-12-23,51.619999,51.619999,51.380001,51.419998,32800,43.182091
2011-12-27,51.52,51.52,51.43,51.490002,55600,43.240868
2011-12-28,51.439999,51.610001,51.439999,51.59,38400,43.398193
2011-12-29,51.650002,51.709999,51.560001,51.68,134400,43.473885
2011-12-30,51.689999,51.75,51.66,51.700001,90200,43.490719
2012-01-03,51.68,51.75,51.459999,51.470001,301200,43.297237
2012-01-04,51.639999,51.639999,51.459999,51.5,168200,43.322475
2012-01-05,51.560001,51.580002,51.400002,51.5,134800,43.322475
2012-01-06,51.540001,51.599998,51.529999,51.57,22900,43.381359
2012-01-09,51.59,51.689999,51.57,51.630001,471700,43.431828
2012-01-10,51.5,51.599998,51.450001,51.560001,264900,43.372963
2012-01-11,51.669998,51.669998,51.57,51.639999,36000,43.440258
2012-01-12,51.860001,51.860001,51.650002,51.73,64100,43.515949
2012-01-13,51.869999,51.900002,51.82,51.900002,22400,43.65897
2012-01-17,51.790001,51.900002,51.790001,51.82,63200,43.591682
2012-01-18,51.91,51.970001,51.830002,51.84,73700,43.608479
2012-01-19,51.82,51.82,51.66,51.740002,103800,43.524368
2012-01-20,51.709999,51.709999,51.610001,51.619999,30600,43.423409
2012-01-23,51.619999,51.619999,51.560001,51.57,46500,43.381359
2012-01-24,51.57,51.610001,51.549999,51.560001,26500,43.372963
2012-01-25,51.650002,51.779999,51.57,51.720001,24400,43.507542
2012-01-26,51.869999,51.869999,51.75,51.779999,76500,43.55801
2012-01-27,51.970001,51.970001,51.889999,51.970001,14800,43.71785
2012-01-30,52.099998,52.110001,52.009998,52.02,200200,43.759892
2012-01-31,52.049999,52.130001,52.02,52.130001,39100,43.852455
2012-02-01,52.060001,52.060001,51.84,51.900002,107400,43.721867
2012-02-02,52.009998,52.009998,51.849998,51.950001,107600,43.763973
2012-02-03,51.900002,51.959999,51.759998,51.869999,95300,43.696583
2012-02-06,51.860001,51.919998,51.830002,51.91,35800,43.730297
2012-02-07,51.889999,51.889999,51.830002,51.869999,47500,43.696583
2012-02-08,51.82,51.82,51.66,51.790001,74800,43.629189
2012-02-09,51.84,51.84,51.549999,51.630001,83200,43.494408
2012-02-10,51.82,51.849998,51.759998,51.82,15800,43.654476
2012-02-13,51.75,51.900002,51.75,51.880001,18600,43.705021
2012-02-14,51.900002,51.959999,51.849998,51.93,36400,43.747139
2012-02-15,51.98,52,51.900002,51.939999,46100,43.755569
2012-02-16,51.91,51.939999,51.779999,51.830002,66400,43.662903
2012-02-17,51.75,51.790001,51.73,51.779999,44600,43.620762
2012-02-21,51.790001,51.790001,51.650002,51.669998,47000,43.528126
2012-02-22,51.779999,51.860001,51.759998,51.860001,35800,43.688168
2012-02-23,51.77,51.900002,51.759998,51.889999,81300,43.713417
2012-02-24,51.900002,51.919998,51.849998,51.91,22500,43.730297
2012-02-27,52.02,52.02,51.970001,52.009998,22200,43.814518
2012-02-28,52.080002,52.09,52,52,41600,43.806103
2012-02-29,51.939999,52.02,51.900002,52.009998,124900,43.814518
2012-03-01,51.84,51.84,51.720001,51.830002,65300,43.725105
2012-03-02,51.900002,51.950001,51.889999,51.950001,58600,43.826332
2012-03-05,51.959999,51.970001,51.880001,51.900002,69500,43.784168
2012-03-06,51.970001,51.990002,51.93,51.959999,38800,43.834778
2012-03-07,51.950001,51.970001,51.919998,51.939999,25300,43.817909
2012-03-08,51.919998,51.93,51.810001,51.880001,32800,43.767296
2012-03-09,51.849998,51.849998,51.639999,51.759998,65400,43.666058
2012-03-12,51.880001,51.880001,51.77,51.830002,32500,43.725105
2012-03-13,51.790001,51.799999,51.700001,51.700001,32600,43.615429
2012-03-14,51.59,51.59,51.369999,51.43,54000,43.387653
2012-03-15,51.400002,51.439999,51.369999,51.41,55600,43.370789
2012-03-16,51.369999,51.41,51.299999,51.41,39000,43.370789
2012-03-19,51.41,51.41,51.189999,51.290001,55500,43.26955
2012-03-20,50.959999,51.279999,50.959999,51.25,41200,43.235798
2012-03-21,51.220001,51.41,51.220001,51.41,23400,43.370789
2012-03-22,51.470001,51.470001,51.43,51.450001,37200,43.404533
2012-03-23,51.5,51.549999,51.470001,51.529999,21600,43.472027
2012-03-26,51.540001,51.540001,51.439999,51.5,30700,43.446724
2012-03-27,51.549999,51.639999,51.549999,51.639999,35700,43.564831
2012-03-28,51.610001,51.639999,51.52,51.57,81300,43.505775
2012-03-29,51.650002,51.689999,51.529999,51.619999,479400,43.547951
2012-03-30,51.73,51.73,51.48,51.490002,32900,43.438271
2012-04-02,51.470001,51.57,51.360001,51.389999,42400,43.428123
2012-04-03,51.52,51.540001,51.279999,51.290001,56400,43.343628
2012-04-04,51.259998,51.389999,51.259998,51.380001,46500,43.419662
2012-04-05,51.470001,51.48,51.400002,51.43,28900,43.461929
2012-04-09,51.75,51.75,51.549999,51.549999,58400,43.563324
2012-04-10,51.75,51.75,51.610001,51.639999,188900,43.639412
2012-04-11,51.799999,51.799999,51.59,51.650002,35000,43.647842
2012-04-12,51.77,51.77,51.630001,51.709999,17300,43.698555
2012-04-13,51.849998,51.849998,51.669998,51.709999,26200,43.698555
2012-04-16,51.830002,51.869999,51.77,51.799999,30500,43.774605
2012-04-17,51.869999,51.869999,51.779999,51.779999,29900,43.757721
2012-04-18,51.82,51.82,51.759998,51.779999,24000,43.757721
2012-04-19,51.849998,51.880001,51.810001,51.849998,24100,43.816872
2012-04-20,51.860001,51.860001,51.779999,51.830002,38000,43.799969
2012-04-23,51.959999,51.959999,51.869999,51.91,43800,43.867565
2012-04-24,51.970001,51.970001,51.849998,51.880001,42400,43.84222
2012-04-25,51.880001,51.880001,51.799999,51.849998,13700,43.816872
2012-04-26,51.959999,51.959999,51.869999,51.889999,15600,43.850658
2012-04-27,51.889999,51.93,51.849998,51.93,33100,43.884487
2012-04-30,52.029999,52.029999,51.98,52.009998,473900,43.952068
2012-05-01,51.950001,51.950001,51.84,51.900002,90000,43.943611
2012-05-02,52,52,51.950001,51.98,35000,44.011345
2012-05-03,51.98,52.009998,51.970001,51.98,28000,44.011345
2012-05-04,52.060001,52.119999,52.029999,52.119999,110100,44.129883
2012-05-07,52.119999,52.139999,52.049999,52.049999,57000,44.070599
2012-05-08,52.139999,52.150002,52.099998,52.119999,30200,44.129883
2012-05-09,52.200001,52.25,52.119999,52.169998,26000,44.172218
2012-05-10,52.09,52.09,51.970001,52.060001,47600,44.079071
2012-05-11,51.900002,52.110001,51.900002,52.07,18000,44.087559
2012-05-14,52.16,52.200001,52.049999,52.130001,41200,44.138348
2012-05-15,52.189999,52.189999,52.029999,52.060001,44000,44.079071
2012-05-16,52.040001,52.110001,51.970001,52.110001,23100,44.121414
2012-05-17,52.009998,52.150002,52.009998,52.130001,34400,44.138348
2012-05-18,52.09,52.150002,52.07,52.139999,23500,44.146832
2012-05-21,52.080002,52.110001,52.040001,52.099998,47600,44.112953
2012-05-22,52.080002,52.080002,51.950001,52.029999,180800,44.053692
2012-05-23,51.970001,52.110001,51.970001,52.07,44000,44.087559
2012-05-24,52.009998,52.080002,52,52.049999,39300,44.070599
2012-05-25,52.049999,52.07,52,52.07,17000,44.087559
2012-05-29,52.080002,52.119999,52.049999,52.080002,26200,44.096004
2012-05-30,52.209999,52.240002,52.139999,52.189999,19500,44.189159
2012-05-31,52.330002,52.470001,52.259998,52.380001,68800,44.35004
2012-06-01,52.16,52.470001,52.16,52.43,331900,44.474709
2012-06-04,52.419998,52.459999,52.360001,52.43,168500,44.474709
2012-06-05,52.369999,52.380001,52.310001,52.330002,43500,44.389904
2012-06-06,52.23,52.290001,52.16,52.169998,42600,44.254158
2012-06-07,52.209999,52.209999,52.110001,52.130001,44400,44.220261
2012-06-08,52.27,52.290001,52.110001,52.119999,55800,44.211769
2012-06-11,52.209999,52.240002,52.119999,52.200001,68200,44.279621
2012-06-12,52.18,52.209999,52.099998,52.130001,15500,44.220261
2012-06-13,52.16,52.259998,52.139999,52.25,56300,44.322033
2012-06-14,52.25,52.259998,52.18,52.240002,16800,44.313564
2012-06-15,52.279999,52.32,52.23,52.32,18600,44.381413
2012-06-18,52.369999,52.380001,52.330002,52.380001,68900,44.432308
2012-06-19,52.259998,52.389999,52.259998,52.389999,124500,44.440777
2012-06-20,52.290001,52.349998,52.220001,52.299999,71400,44.364452
