date,open,high,low,close,volume,adjusted
2006-12-21,0.14197,0.14197,0.14197,0.14197,0,0.116122
2006-12-22,0.15072,0.15072,0.15072,0.15072,0,0.123279
2006-12-26,NA,NA,NA,NA,NA,NA
2006-12-27,0.16919,0.16919,0.16919,0.16919,0,0.138386
2006-12-28,0.18086,0.18086,0.18086,0.18086,0,0.147932
2006-12-29,0.17017,0.17017,0.17017,0.17017,0,0.139188
2007-01-03,0.1935,0.1935,0.1935,0.1935,0,0.15827
2007-01-04,0.1935,0.1935,0.1935,0.1935,0,0.15827
2007-01-05,0.18961,0.18961,0.18961,0.18961,0,0.155088
2007-01-08,0.17795,0.17795,0.17795,0.17795,0,0.145551
2007-01-09,0.176,0.176,0.176,0.176,0,0.143956
2007-01-10,0.18184,0.18184,0.18184,0.18184,0,0.148733
2007-01-11,0.18572,0.18572,0.18572,0.18572,0,0.151907
2007-01-12,0.18572,0.18572,0.18572,0.18572,0,0.151907
2007-01-16,0.20031,0.20031,0.20031,0.20031,0,0.16384
2007-01-17,0.20031,0.20031,0.20031,0.20031,0,0.16384
2007-01-18,0.20128,0.20128,0.20128,0.20128,0,0.164634
2007-01-19,0.20128,0.20128,0.20128,0.20128,0,0.164634
2007-01-22,0.20128,0.20128,0.20128,0.20128,0,0.164634
2007-01-23,0.2431,0.2431,0.2431,0.2431,0,0.19884
2007-01-24,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-01-25,0.26254,0.26254,0.26254,0.26254,0,0.21474
2007-01-26,0.23629,0.23629,0.23629,0.23629,0,0.19327
2007-01-29,0.25282,0.25282,0.25282,0.25282,0,0.20679
2007-01-30,0.26254,0.26254,0.26254,0.26254,0,0.21474
2007-01-31,0.28199,0.28199,0.28199,0.28199,0,0.230649
2007-02-01,0.30144,0.30144,0.30144,0.30144,0,0.246558
2007-02-02,0.30144,0.30144,0.30144,0.30144,0,0.246558
2007-02-05,0.30144,0.30144,0.30144,0.30144,0,0.246558
2007-02-06,0.30144,0.30144,0.30144,0.30144,0,0.246558
2007-02-07,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-02-08,0.26254,0.26254,0.26254,0.26254,0,0.21474
2007-02-09,0.28199,0.28199,0.28199,0.28199,0,0.230649
2007-02-12,0.26254,0.26254,0.26254,0.26254,0,0.21474
2007-02-13,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-02-14,0.28199,0.28199,0.28199,0.28199,0,0.230649
2007-02-15,0.30144,0.30144,0.30144,0.30144,0,0.246558
2007-02-16,0.28199,0.28199,0.28199,0.28199,0,0.230649
2007-02-20,0.29171,0.29171,0.29171,0.29171,0,0.238599
2007-02-21,0.29171,0.29171,0.29171,0.29171,0,0.238599
2007-02-22,0.28199,0.28199,0.28199,0.28199,0,0.230649
2007-02-23,0.29171,0.29171,0.29171,0.29171,0,0.238599
2007-02-26,0.29171,0.29171,0.29171,0.29171,0,0.238599
2007-02-27,0.28199,0.28199,0.28199,0.28199,0,0.230649
2007-02-28,0.25282,0.25282,0.25282,0.25282,0,0.20679
2007-03-01,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-03-02,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-03-05,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-03-06,0.26254,0.26254,0.26254,0.26254,0,0.21474
2007-03-07,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-03-08,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-03-09,0.28199,0.28199,0.28199,0.28199,0,0.230649
2007-03-12,0.30144,0.30144,0.30144,0.30144,0,0.246558
2007-03-13,0.28199,0.28199,0.28199,0.28199,0,0.230649
2007-03-14,0.31116,0.31116,0.31116,0.31116,0,0.254508
2007-03-15,0.31116,0.31116,0.31116,0.31116,0,0.254508
2007-03-16,0.26254,0.26254,0.26254,0.26254,0,0.21474
2007-03-19,0.27227,0.27227,0.27227,0.27227,0,0.222699
2007-03-20,0.27227,0.27227,0.27227,0.27227,0,0.222699
