date,open,high,low,close,volume,adjusted
2006-04-28,12.9,13.98,12.87,13.812,23432000,13.812
2006-05-01,13.92,14.179,13.75,13.87,14835000,13.87
2006-05-02,14.245,14.4,14.1,14.365,12511000,14.365
2006-05-03,14.45,14.464,13.413,13.925,15141000,13.925
2006-05-04,13.95,14.287,13.68,14,11075000,14
2006-05-05,14,14.03,13.75,13.995,6586000,13.995
2006-05-08,13.8,14,13.506,14,9453000,14
2006-05-09,14.098,14.625,14.06,14.5,11054000,14.5
2006-05-10,14.29,14.575,14.25,14.526,13913000,14.526
2006-05-11,15.082,15.25,14.8,14.86,12533000,14.86
2006-05-12,14.89,14.9,14.217,14.464,10129000,14.464
2006-05-15,13.394,13.78,13.204,13.27,12581000,13.27
2006-05-16,13.51,13.675,13.275,13.58,7200000,13.58
2006-05-17,13.555,13.748,12.921,13.09,7821000,13.09
2006-05-18,13.22,13.365,12.602,12.602,8020000,12.602
2006-05-19,12.291,12.683,12.168,12.6,8460000,12.6
2006-05-22,12.398,12.6,12.254,12.515,5949000,12.515
2006-05-23,12.985,13.252,12.89,13.045,8188000,13.045
2006-05-24,12.698,12.895,12.423,12.545,5349000,12.545
2006-05-25,12.555,12.79,12.439,12.685,4998000,12.685
2006-05-26,12.769,12.777,12.49,12.67,3477000,12.67
2006-05-30,13.2,13.36,13.028,13.097,6204000,13.097
2006-05-31,13.065,13.13,12.366,12.628,6342000,12.628
2006-06-01,11.825,12.256,11.81,12.04,8007000,12.04
2006-06-02,12.19,12.311,12.003,12.175,3807000,12.175
2006-06-05,12.28,12.38,12.076,12.092,4317000,12.092
2006-06-06,11.868,11.948,11.68,11.835,6764000,11.835
2006-06-07,11.595,12.043,11.53,11.87,6712000,11.87
2006-06-08,11.688,11.7,11.134,11.235,6754000,11.235
2006-06-09,11.5,11.55,11.103,11.192,4204000,11.192
2006-06-12,11.26,11.323,10.916,10.93,5380000,10.93
2006-06-13,10.373,10.45,9.563,9.625,20708000,9.625
2006-06-14,9.88,9.987,9.549,9.67,9620000,9.67
2006-06-15,10.14,10.351,10.025,10.264,8796000,10.264
2006-06-16,10.167,10.337,9.859,10.29,4103000,10.29
2006-06-19,10.002,10.092,9.915,9.947,3696000,9.947
2006-06-20,10.06,10.35,9.969,10.286,2978000,10.286
2006-06-21,10.264,10.626,10.246,10.5,3908000,10.5
2006-06-22,10.4,10.489,10.245,10.257,2434000,10.257
2006-06-23,10.205,10.475,10.187,10.353,5332000,10.353
2006-06-26,10.42,10.445,10.132,10.317,2010000,10.317
2006-06-27,10.499,10.688,10.214,10.214,5217000,10.214
2006-06-28,10.385,10.387,10.185,10.245,2816000,10.245
2006-06-29,10.409,10.8,10.409,10.782,6410000,10.782
2006-06-30,11.007,11.155,10.934,11.139,7536000,11.139
2006-07-03,11.319,11.468,11.27,11.38,2103000,11.38
2006-07-05,11.498,11.525,11.249,11.47,3619000,11.47
2006-07-06,11.42,11.675,11.325,11.599,3919000,11.599
2006-07-07,11.5,11.51,11.3,11.325,3436000,11.325
2006-07-10,11.157,11.258,11.051,11.084,2749000,11.084
2006-07-11,11.315,11.62,11.289,11.57,2908000,11.57
2006-07-12,11.73,11.83,11.375,11.592,5695000,11.592
2006-07-13,11.659,11.66,11.361,11.65,4515000,11.65
2006-07-14,11.652,11.71,11.474,11.499,2867000,11.499
2006-07-17,11.258,11.3,10.856,10.897,6461000,10.897
2006-07-18,11.069,11.078,10.47,10.595,4719000,10.595
2006-07-19,10.683,11.171,10.658,11.139,2368000,11.139
2006-07-20,11.001,11.29,10.891,10.9,2429000,10.9
2006-07-21,11.244,11.244,10.717,10.838,2633000,10.838
2006-07-24,10.803,10.92,10.63,10.918,3195000,10.918
2006-07-25,10.972,11,10.78,10.993,2733000,10.993
2006-07-26,10.944,11.178,10.865,11.107,2060000,11.107
2006-07-27,11.456,11.489,11.269,11.375,2943000,11.375
2006-07-28,11.35,11.425,11.301,11.4,1826000,11.4
2006-07-31,11.415,11.456,11.243,11.415,2537000,11.415
2006-08-01,11.414,11.766,11.4,11.76,2751000,11.76
2006-08-02,11.899,12.253,11.899,12.17,4575000,12.17
2006-08-03,12.115,12.225,11.995,12.08,2456000,12.08
2006-08-04,12.482,12.58,12.291,12.383,3716000,12.383
2006-08-07,12.475,12.475,12.164,12.31,3070000,12.31
2006-08-08,12.227,12.359,12.2,12.26,1655000,12.26
2006-08-09,12.43,12.65,12.43,12.518,3686000,12.518
2006-08-10,12.327,12.397,12.06,12.121,3909000,12.121
2006-08-11,12.266,12.372,11.776,11.919,4086000,11.919
2006-08-14,11.911,12.225,11.839,12.048,3472000,12.048
2006-08-15,12.015,12.127,11.95,12.105,1557000,12.105
2006-08-16,12.329,12.43,12.25,12.324,2334000,12.324
2006-08-17,12.205,12.205,11.905,11.967,2984000,11.967
2006-08-18,12.085,12.121,11.85,12.06,2293000,12.06
2006-08-21,12.371,12.442,12.321,12.412,2415000,12.412
2006-08-22,12.176,12.32,12.101,12.295,2165000,12.295
2006-08-23,12.6,12.635,12.412,12.5,3628000,12.5
2006-08-24,12.568,12.599,12.289,12.36,2887000,12.36
2006-08-25,12.346,12.435,12.292,12.42,1733000,12.42
2006-08-28,12.41,12.414,11.98,12.032,4205000,12.032
2006-08-29,12.059,12.29,11.853,12.275,3214000,12.275
2006-08-30,12.44,12.525,12.336,12.511,2982000,12.511
2006-08-31,12.656,12.917,12.62,12.908,4310000,12.908
2006-09-01,12.825,12.978,12.675,12.96,4296000,12.96
2006-09-05,13.177,13.22,12.936,12.975,6456000,12.975
2006-09-06,13.066,13.225,12.97,12.988,3501000,12.988
2006-09-07,12.8,12.838,12.39,12.57,5737000,12.57
2006-09-08,12.118,12.24,12.001,12.13,7386000,12.13
2006-09-11,11.654,11.7,11.055,11.075,12051000,11.075
2006-09-12,11.123,11.276,10.959,11.019,5852000,11.019
2006-09-13,11.19,11.28,11,11.185,3694000,11.185
2006-09-14,11.22,11.25,10.656,10.7,7086000,10.7
2006-09-15,10.691,10.943,10.461,10.799,6352000,10.799
2006-09-18,10.801,11.21,10.801,11.17,6093000,11.17
2006-09-19,11.113,11.188,10.731,10.788,5779000,10.788
2006-09-20,11.002,11.145,10.854,10.886,3960000,10.886
2006-09-21,10.887,11.2,10.844,11.185,3542000,11.185
2006-09-22,11.358,11.368,11.064,11.151,2708000,11.151
2006-09-25,11.08,11.275,11.03,11.188,2775000,11.188
2006-09-26,11.275,11.465,11.195,11.378,2550000,11.378
2006-09-27,11.584,11.65,11.45,11.62,2676000,11.62
2006-09-28,11.657,11.68,11.5,11.541,2480000,11.541
2006-09-29,11.43,11.494,11.2,11.451,2786000,11.451
2006-10-02,11.63,11.674,11.414,11.435,2158000,11.435
2006-10-03,11.143,11.143,10.792,10.81,4700000,10.81
2006-10-04,10.925,10.928,10.541,10.8,6287000,10.8
2006-10-05,11.09,11.1,10.903,11.078,3305000,11.078
2006-10-06,10.96,11.137,10.777,11.095,2112000,11.095
2006-10-09,11.4,11.412,11.21,11.278,1821000,11.278
2006-10-10,11.14,11.27,11.06,11.118,1644000,11.118
2006-10-11,11.275,11.42,11.155,11.173,2093000,11.173
2006-10-12,11.11,11.35,11.11,11.291,1273000,11.291
2006-10-13,11.51,11.639,11.453,11.639,2600000,11.639
2006-10-16,11.783,11.85,11.735,11.845,5366000,11.845
2006-10-17,11.898,11.898,11.563,11.688,4617000,11.688
2006-10-18,11.808,11.875,11.674,11.722,2932000,11.722
2006-10-19,11.911,12.073,11.901,12.07,2958000,12.07
2006-10-20,11.983,12.055,11.801,11.877,1949000,11.877
2006-10-23,11.63,11.732,11.563,11.639,2789000,11.639
2006-10-24,11.393,11.822,11.225,11.789,3779000,11.789
2006-10-25,11.748,11.924,11.671,11.895,3547000,11.895
2006-10-26,12.063,12.198,12.042,12.106,4842000,12.106
2006-10-27,12.116,12.134,11.941,12.011,1943000,12.011
2006-10-30,12.12,12.23,12.073,12.106,3466000,12.106
2006-10-31,12.024,12.27,11.996,12.268,3581000,12.268
2006-11-01,12.49,12.513,12.289,12.444,4034000,12.444
2006-11-02,12.499,12.6,12.49,12.515,3494000,12.515
2006-11-03,12.48,12.608,12.414,12.552,3447000,12.552
2006-11-06,12.518,12.735,12.502,12.61,3112000,12.61
2006-11-07,12.625,12.715,12.561,12.595,4536000,12.595
2006-11-08,12.604,12.692,12.385,12.417,3494000,12.417
2006-11-09,12.752,13.035,12.711,13.028,6290000,13.028
2006-11-10,13.003,13.074,12.833,12.967,3935000,12.967
2006-11-13,12.721,12.9,12.69,12.86,3321000,12.86
2006-11-14,12.957,12.968,12.701,12.776,5012000,12.776
2006-11-15,12.59,12.918,12.571,12.863,6295000,12.863
2006-11-16,13.088,13.125,12.735,12.755,5420000,12.755
2006-11-17,12.719,12.836,12.671,12.764,3239000,12.764
2006-11-20,12.906,12.964,12.7,12.705,3309000,12.705
2006-11-21,13.002,13.074,12.925,13.03,4085000,13.03
2006-11-22,13.079,13.211,12.955,13.033,3126000,13.033
2006-11-24,13.48,13.495,13.385,13.411,2422000,13.411
2006-11-27,13.5,13.544,13.432,13.495,2921000,13.495
2006-11-28,13.525,13.736,13.396,13.734,5954000,13.734
2006-11-29,13.633,13.705,13.507,13.568,4715000,13.568
2006-11-30,13.825,13.968,13.79,13.968,5011000,13.968
2006-12-01,13.935,14.047,13.9,13.958,4149000,13.958
2006-12-04,13.962,14.09,13.91,14.085,2519000,14.085
2006-12-05,14.136,14.17,13.751,13.816,5819000,13.816
2006-12-06,13.67,13.813,13.508,13.57,6175000,13.57
2006-12-07,13.636,13.9,13.43,13.886,5499000,13.886
2006-12-08,13.884,13.968,13.638,13.68,5636000,13.68
2006-12-11,13.66,13.88,13.651,13.815,3395000,13.815
2006-12-12,13.834,13.875,13.765,13.813,2183000,13.813
2006-12-13,13.627,13.794,13.548,13.75,3561000,13.75
2006-12-14,13.789,13.832,13.702,13.717,2041000,13.717
2006-12-15,13.663,13.663,12.749,12.815,15330000,12.815
2006-12-18,12.55,12.635,12.259,12.447,17189000,12.447
2006-12-19,12.419,12.686,12.41,12.65,9772000,12.65
2006-12-20,12.53,12.552,12.363,12.46,8333000,12.46
2006-12-21,12.422,12.472,12.314,12.35,3443000,12.35
2006-12-22,12.501,12.589,12.441,12.589,3586000,12.589
2006-12-26,12.685,12.74,12.588,12.623,2273000,12.623
2006-12-27,12.74,12.804,12.678,12.78,1885000,12.78
2006-12-28,12.845,12.863,12.753,12.802,2410000,12.802
2006-12-29,12.78,12.864,12.735,12.864,2390000,12.864
2007-01-03,12.996,13.116,12.47,12.558,7480000,12.558
2007-01-04,12.604,12.797,12.545,12.58,3220000,12.58
2007-01-05,12.363,12.38,12.005,12.175,10127000,12.175
2007-01-08,12.226,12.31,12.054,12.218,2836000,12.218
2007-01-09,12.195,12.5,12.195,12.425,3176000,12.425
2007-01-10,12.307,12.421,12.151,12.373,3109000,12.373
2007-01-11,12.391,12.494,12.275,12.29,2752000,12.29
2007-01-12,12.443,12.843,12.44,12.78,4004000,12.78
2007-01-16,12.785,12.8,12.506,12.542,2397000,12.542
2007-01-17,12.525,12.865,12.524,12.737,4836000,12.737
2007-01-18,12.812,12.879,12.55,12.602,3570000,12.602
2007-01-19,12.656,12.83,12.603,12.801,1943000,12.801
2007-01-22,12.853,13.1,12.84,12.874,3507000,12.874
2007-01-23,13.146,13.257,13.06,13.249,4278000,13.249
2007-01-24,13.098,13.23,13.002,13.205,5075000,13.205
