date,open,high,low,close,volume,adjusted
2010-01-05,35,35,35,35,100,32.986633
2010-01-06,40,44.990002,35,41,65928,38.641483
2010-01-07,41,41,41,41,0,38.641483
2010-01-08,37.23,38.490002,36.049999,37.990002,35981,35.804634
2010-01-11,37,39.599998,36.810001,39,60816,36.756535
2010-01-12,39.959999,40,38.575001,39,124034,36.756535
2010-01-13,39.259998,40.880001,38.849998,40.880001,284900,38.528389
2010-01-14,40.889999,42.799999,39.52,40,101599,37.699009
2010-01-15,40.400002,44.5,39.799999,43.799999,119352,41.280411
2010-01-19,43.869999,45.389999,41.849998,44.450001,115796,41.893021
2010-01-20,45,45,41,43.189999,101674,40.705509
2010-01-21,42.32,43.299999,42.099998,42.209999,112356,39.781872
2010-01-22,42.32,43,40.34,40.779999,163752,38.434139
2010-01-25,41.290001,41.299999,39.919998,40.009998,87984,37.708427
2010-01-26,40,40.150002,38.25,38.639999,101697,36.417233
2010-01-27,37.25,39.709999,35.060001,36.5,255224,34.400345
2010-01-28,36.759998,37.689999,35.799999,36.25,52869,34.164726
2010-01-29,36.75,37.939999,36.009998,36.310001,40927,34.221275
2010-02-01,36.759998,38,35.5,35.900002,54554,33.834862
2010-02-02,36.849998,36.900002,36,36.5,25680,34.400345
2010-02-03,35.330002,36.98,35.330002,36.77,132934,34.654812
2010-02-04,36.509998,37.040001,35.27,36.91,220723,34.786758
2010-02-05,37.009998,39.299999,36.18,36.630001,183732,34.522869
2010-02-08,36.990002,37.5,36.169998,36.169998,82642,34.089321
2010-02-09,36.700001,36.700001,36,36,74350,33.929104
2010-02-10,35.990002,36.099998,35.25,35.669998,74532,33.618092
2010-02-11,35.709999,36.009998,35,35.439999,52641,33.401321
2010-02-12,35.299999,35.605,33.060001,34.490002,98824,32.505966
2010-02-16,35.360001,35.389999,33.919998,34.040001,55923,32.081856
2010-02-17,33.900002,35,33.169998,34.999901,115547,32.986538
2010-02-18,34.73,35.77,34.169998,34.880001,97362,32.873528
2010-02-19,34.990002,37,33.98,36.919998,258486,34.796185
2010-02-22,37.98,38,37.139999,37.5,166847,35.342823
2010-02-23,37.939999,37.939999,36.330002,36.529999,173303,34.428616
2010-02-24,37.470001,38.310001,37.200001,37.75,294428,35.578434
2010-02-25,37.990002,41,37.785,40.5,837320,38.170246
2010-02-26,41.450001,42.75,40.810001,42,107607,39.583954
2010-03-01,42,43.5,41.77,42.529999,96965,40.083469
2010-03-02,42.990002,43,42.529999,42.549999,69565,40.102318
2010-03-03,42.029999,42.75,41.209999,41.810001,140447,39.404884
2010-03-04,42.360001,42.380001,41.619999,41.75,69063,39.348339
2010-03-05,42.009998,42.009998,40.5,40.995998,70004,38.637711
2010-03-08,42.439999,42.439999,40.34,40.5,23283,38.170246
2010-03-09,40.990002,40.990002,38.889999,39.25,104736,36.992153
2010-03-10,38.91,39.66,38.650002,39.400002,48528,37.133522
2010-03-11,39.700001,39.91,39.169998,39.407501,13475,37.140594
2010-03-12,39.25,39.560001,37.861,37.974998,58440,35.790493
2010-03-15,38.209999,39.299999,37.25,37.720001,149341,35.550159
2010-03-16,37.639999,39.099998,36.799999,38.560001,440327,36.341843
2010-03-17,39,40.279999,38.759998,39.639999,150611,37.359718
2010-03-18,40.900002,41.900002,40.759998,41.130001,71481,38.764004
2010-03-19,40.389999,41.25,40.380001,40.59,61954,38.25507
2010-03-22,40.889999,41.990002,39.075001,41.16,324694,38.792278
2010-03-23,41.869999,42.5,41.369999,41.369999,147331,38.990196
2010-03-24,41.5,41.68,40.5,40.7425,7673,38.398792
2010-03-25,40.84,42,39.419998,40.310001,271005,37.991177
2010-03-26,40.689999,41.07,38.75,39.360001,41042,37.095825
2010-03-29,40.779999,41.23,40.080002,40.799999,54372,38.452991
2010-03-30,41.18,41.450001,40.360001,41.009998,70321,38.650906
2010-03-31,40.830002,41.25,40.68,40.68,101834,38.33989
2010-04-01,41,41.2999,40.049999,40.389999,149864,38.06657
2010-04-05,40.59,41.057999,40.470001,40.59,46318,38.25507
2010-04-06,41.299999,41.435001,40.590099,41.119999,161489,38.754574
2010-04-07,41.209999,41.599998,40.25,40.48,150156,38.151398
2010-04-08,40.25,41.240002,40.07,40.900002,46363,38.547234
2010-04-09,41.209999,42.099998,40.924999,42.099998,85439,39.6782
2010-04-12,41.950001,42.389999,41.150002,42.25,82377,39.81958
2010-04-13,42.150002,42.880001,42.150002,42.759998,18081,40.300236
2010-04-14,43,43.25,42.850101,43.240002,107821,40.752636
2010-04-15,43.240002,44.5,42.955002,44.299999,76027,41.751652
2010-04-16,44.290001,44.75,43.799999,44.369999,112386,41.817623
2010-04-19,44.580002,44.740002,43.52,44.34,178247,41.789352
2010-04-20,44.610001,44.610001,44.080002,44.450001,88729,41.893021
2010-04-21,44.470001,48.880001,44.310101,46.75,536143,44.060715
2010-04-22,46.77,47.1385,45.736,46.459999,95022,43.787395
2010-04-23,46.759998,47.970001,46.41,46.580002,79636,43.900497
2010-04-26,46.939999,47.610001,46.139999,46.900002,93109,44.202084
2010-04-27,46.939999,46.939999,45.349998,45.990002,114114,43.344437
2010-04-28,46.16,46.759998,44.111,45.799999,77595,43.165363
2010-04-29,46.139999,46.57,45.669998,46,155145,43.353859
2010-04-30,46.119999,46.119999,43.939999,44.900002,131889,42.317142
2010-05-03,44.82,45.610001,43.380001,45.150002,116841,42.55275
2010-05-04,44.689999,45.16,43.549999,45.049999,91159,42.458504
2010-05-05,44.599998,45.119999,43.200001,44,458817,41.46891
2010-05-06,43.830002,44,39.049999,42.990002,120233,40.516998
2010-05-07,42.810001,42.810001,39.880001,40.279999,53016,37.962898
2010-05-10,39.919998,40.599899,38.959999,40.169998,173754,37.85923
2010-05-11,40,40.764999,38.5,40.02,162763,37.717861
2010-05-12,40.009998,40.540001,39.389999,39.650002,226751,37.369144
2010-05-13,39.290001,40.59,37.98,38.830002,301280,36.59631
2010-05-14,39.130001,39.130001,36.380001,37.869999,93041,35.691532
2010-05-17,37.700001,38.080002,34.610001,35.799999,271554,33.740612
2010-05-18,35.939999,36.84,33.52,34.200001,248060,32.232647
2010-05-19,33.939999,34.639999,33.060001,33.700001,275286,31.761421
2010-05-20,33.299999,33.490002,31.790001,32.98,92991,31.08283
2010-05-21,32.91,33,31.200001,31.85,237328,30.017836
2010-05-24,31.959999,31.969999,28.15,28.450001,356064,26.813421
2010-05-25,28.120001,28.120001,25,26.52,505093,24.994442
2010-05-26,26.690001,28.73,26.67,27.58,656938,25.993465
2010-05-27,28.43,30.360001,28.129999,29.85,360805,28.132885
2010-05-28,29.85,30.66,28.870001,30.129999,211693,28.396778
2010-06-01,30,31.110001,27.290001,27.389999,304965,25.814394
2010-06-02,27.85,27.924999,26.540001,27.299999,232887,25.72957
2010-06-03,27.120001,27.74,26.15,27.495001,254254,25.913355
2010-06-04,26.790001,27.402599,26.181601,26.309999,105001,24.796524
2010-06-07,26.49,27.049999,26.120001,26.15,127055,24.645723
2010-06-08,26.139999,26.200001,24.26,25.1,266541,23.656128
2010-06-09,25.25,25.790001,25.02,25.02,201699,23.580732
2010-06-10,25.35,25.909901,24.469999,25.209999,160402,23.759794
2010-06-11,25.09,25.09,23.83,24.290001,118676,22.892723
2010-06-14,24.620001,25.08,23.860001,24.43,79358,23.024668
