date,open,high,low,close,volume,adjusted
2011-10-04,19.745001,21.049999,19.65,21.049999,40600,21.049999
2011-10-05,21.764999,22.82,21.725,22.695,17800,22.695
2011-10-06,22.715,23.165001,22.4,23.165001,11200,23.165001
2011-10-07,23.594999,23.594999,22.389999,23.344999,36400,23.344999
2011-10-10,23.75,24.299999,23.700001,24.299999,30000,24.299999
2011-10-11,24.125,24.825001,24.120001,24.629999,32800,24.629999
2011-10-12,25.58,26.75,25.5,26.344999,27600,26.344999
2011-10-13,26,26.135,25.469999,26.135,29200,26.135
2011-10-14,27.695,27.889999,27.004999,27.875,26400,27.875
2011-10-17,27.450001,27.455,24.809999,24.809999,21200,24.809999
2011-10-18,24.75,26.135,24.145,25.67,20800,25.67
2011-10-19,25.889999,25.905001,23.605,23.959999,39600,23.959999
2011-10-20,23.825001,23.825001,22.924999,23.754999,20600,23.754999
2011-10-21,24.639999,24.924999,24.33,24.924999,15000,24.924999
2011-10-24,25.469999,26.530001,25.469999,26.530001,20600,26.530001
2011-10-25,26.115,26.115,24.725,24.73,36800,24.73
2011-10-26,25.65,25.754999,24.42,25.559999,44800,25.559999
2011-10-27,28.35,29.275,27.825001,28.915001,63800,28.915001
2011-10-28,28.415001,29.389999,28.290001,29.389999,46200,29.389999
2011-10-31,27.879999,28.08,26.219999,26.219999,95400,26.219999
2011-11-01,22.200001,23.264999,21.535,22.315001,270800,22.315001
2011-11-02,23.235001,23.24,22.34,23.055,44400,23.055
2011-11-03,23.719999,24.219999,22.315001,24.18,124400,24.18
2011-11-04,23.525,24.1,22.764999,23.705,107200,23.705
2011-11-07,23.514999,23.879999,23.01,23.860001,41200,23.860001
2011-11-08,24.225,25.004999,23.535,25.004999,73400,25.004999
2011-11-09,23.105,23.315001,20.110001,20.209999,138600,20.209999
2011-11-10,21.370001,21.5,20.360001,21.450001,97800,21.450001
2011-11-11,22.299999,22.615,22.215,22.375,147400,22.375
2011-11-14,22.07,22.075001,21.43,21.82,51000,21.82
2011-11-15,21.424999,22.219999,21.254999,22.045,241600,22.045
2011-11-16,21.334999,22.139999,20.875,20.995001,174800,20.995001
2011-11-17,20.785,20.934999,19.584999,19.985001,421800,19.985001
2011-11-18,20.5,20.65,19.975,20.625,431800,20.625
2011-11-21,19.535,20.514999,19.5,20.42,237400,20.42
2011-11-22,20.215,20.855,20.120001,20.834999,207800,20.834999
2011-11-23,20.379999,20.469999,19.85,19.889999,291800,19.889999
2011-11-25,19.870001,20.200001,19.559999,19.625,69200,19.625
2011-11-28,20.915001,20.98,20.33,20.504999,147000,20.504999
2011-11-29,20.709999,21.035,20.445,20.889999,135800,20.889999
