date,open,high,low,close,volume,adjusted
2011-09-22,25.09,25.190001,25.09,25.190001,3200,22.675163
2011-09-23,24.9,24.9,24.889999,24.889999,200,22.405109
2011-09-26,24.889999,24.889999,24.889999,24.889999,0,22.405109
2011-09-27,25.07,25.07,24.870001,25.040001,3100,22.540136
2011-09-28,25.040001,25.139999,25.040001,25.139999,14000,22.630152
2011-09-29,24.860001,25.09,24.84,24.91,3929600,22.423117
2011-09-30,24.92,25.08,24.879999,25.02,8500,22.522141
2011-10-03,25.08,25.139999,25.08,25.129999,2000,22.621147
2011-10-04,25.09,25.09,24.92,24.940001,123900,22.450123
2011-10-05,24.92,24.92,24.799999,24.91,34200,22.423117
2011-10-06,24.940001,24.950001,24.889999,24.92,13800,22.432117
2011-10-07,24.92,24.92,24.83,24.870001,2500,22.38711
2011-10-10,24.9,24.99,24.9,24.99,3000,22.495129
2011-10-11,24.879999,24.879999,24.76,24.85,6900,22.369106
2011-10-12,24.719999,24.780001,24.709999,24.77,6600,22.297092
2011-10-13,24.77,24.77,24.690001,24.690001,10800,22.225084
2011-10-14,24.74,24.74,24.690001,24.74,9400,22.270088
2011-10-17,24.75,25.200001,24.75,24.790001,3700,22.315098
2011-10-18,24.83,24.83,24.790001,24.82,52500,22.34211
2011-10-19,24.83,24.84,24.83,24.84,99500,22.360102
2011-10-20,24.85,24.879999,24.84,24.84,2600,22.360102
2011-10-21,24.85,24.91,24.85,24.85,236600,22.369106
2011-10-24,24.91,24.91,24.860001,24.860001,44400,22.378107
2011-10-25,24.950001,25.02,24.950001,25.02,322400,22.522141
2011-10-26,24.99,24.99,24.950001,24.959999,6100,22.468124
2011-10-27,24.93,24.950001,24.84,24.870001,14900,22.38711
2011-10-28,24.889999,24.959999,24.85,24.940001,7600,22.450123
2011-10-31,25.08,25.15,25.049999,25.15,12700,22.639154
2011-11-01,25.33,25.33,25.120001,25.27,26000,22.77071
2011-11-02,25.27,25.4,25.23,25.4,15800,22.887861
2011-11-03,25.26,25.280001,25.219999,25.280001,40800,22.779728
2011-11-04,25.35,25.43,25.32,25.43,66300,22.914892
2011-11-07,25.379999,25.459999,25.379999,25.389999,70600,22.878847
2011-11-08,25.35,25.370001,25.309999,25.370001,21700,22.860832
2011-11-09,25.34,25.35,25.280001,25.280001,9700,22.779728
2011-11-10,25.280001,25.35,25.23,25.35,13800,22.8428
2011-11-11,25.309999,25.32,25.18,25.32,4300,22.815771
2011-11-14,25.280001,25.34,25.24,25.27,6600,22.77071
2011-11-15,25.209999,25.27,25.129999,25.27,5500,22.77071
2011-11-16,25.190001,25.23,25.190001,25.23,10500,22.734676
2011-11-17,25.209999,25.209999,25.07,25.200001,50100,22.707644
2011-11-18,25.200001,25.530001,25.200001,25.530001,14500,23.005005
2011-11-21,25.16,25.17,25.16,25.17,23700,22.680605
2011-11-22,25.18,25.58,24.809999,25.129999,16600,22.644562
2011-11-23,25.24,25.309999,24.93,25.309999,20800,22.806761
2011-11-25,25.24,25.24,25.24,25.24,6400,22.743683
2011-11-28,25.200001,25.290001,25.15,25.290001,11600,22.788733
2011-11-29,25.190001,25.290001,25.139999,25.24,13800,22.743683
2011-11-30,25.27,25.32,25.219999,25.290001,5400,22.788733
2011-12-01,25.219999,25.25,25.200001,25.23,10900,22.749969
2011-12-02,25.25,25.33,25.18,25.27,32300,22.786022
2011-12-05,25.34,25.34,25.34,25.34,38900,22.84915
2011-12-06,25.27,25.299999,25.200001,25.299999,19900,22.813084
2011-12-07,25.25,25.35,25.24,25.35,4600,22.858166
2011-12-08,25.309999,25.389999,24.98,24.98,48800,22.524534
2011-12-09,25.27,25.27,25.24,25.25,91400,22.768003
2011-12-12,25.309999,25.32,25.25,25.32,30300,22.83112
2011-12-13,25.34,25.34,25.34,25.34,6400,22.84915
2011-12-14,25.290001,25.290001,25.219999,25.290001,23100,22.804064
2011-12-15,25.360001,25.360001,25.209999,25.209999,40400,22.73193
2011-12-16,25.299999,25.309999,25.299999,25.309999,8200,22.822102
2011-12-19,25.389999,25.389999,25.33,25.389999,11100,22.894234
2011-12-20,25.309999,25.389999,25.309999,25.389999,25800,22.894234
2011-12-21,25.42,25.42,25.309999,25.33,10100,22.840137
2011-12-22,25.280001,25.34,25.280001,25.33,59500,22.840137
2011-12-23,25.41,25.41,25.299999,25.299999,11700,22.813084
2011-12-27,25.219999,25.309999,25.190001,25.25,15600,22.768003
2011-12-28,25.280001,25.33,25.280001,25.33,12500,22.849184
2011-12-29,25.27,25.35,25.209999,25.209999,79400,22.74094
2011-12-30,25.35,25.41,25.299999,25.299999,8900,22.822124
2012-01-03,25.25,25.25,25.25,25.25,28100,22.777021
2012-01-04,25.32,25.32,25.32,25.32,19600,22.840157
2012-01-05,25.32,25.450001,25.32,25.450001,21200,22.957428
2012-01-06,25.459999,25.469999,25.379999,25.379999,14300,22.894285
2012-01-09,25.379999,25.48,25.33,25.48,11600,22.984486
2012-01-10,25.35,25.35,25.32,25.32,9100,22.840157
2012-01-11,25.41,25.5,25.41,25.5,15600,23.002537
2012-01-12,25.34,25.35,25.24,25.35,22000,22.867222
2012-01-13,25.200001,25.25,25.200001,25.23,13600,22.75898
2012-01-17,25.34,25.5,25.33,25.450001,20900,22.957428
2012-01-18,25.34,25.440001,25.34,25.440001,15000,22.948414
2012-01-19,25.43,25.440001,25.280001,25.440001,7600,22.948414
2012-01-20,25.34,25.34,25.34,25.34,5000,22.8582
2012-01-23,25.33,25.33,25.32,25.32,6900,22.840157
2012-01-24,25.370001,25.370001,25.280001,25.370001,50400,22.885269
2012-01-25,25.299999,25.549999,25.290001,25.549999,19700,23.047636
2012-01-26,25.6,25.620001,25.57,25.620001,27200,23.110781
2012-01-27,25.67,25.67,25.67,25.67,25200,23.155886
2012-01-30,25.74,25.74,25.620001,25.74,692000,23.21903
2012-01-31,25.780001,25.780001,25.780001,25.780001,19300,23.255112
2012-02-01,25.719999,25.780001,25.719999,25.780001,12700,23.255112
2012-02-02,25.700001,25.809999,25.700001,25.809999,16000,23.282171
2012-02-03,25.719999,25.719999,25.68,25.68,16100,23.164906
2012-02-06,25.59,25.75,25.59,25.75,57400,23.22805
2012-02-07,25.76,25.76,25.66,25.68,14200,23.164906
2012-02-08,25.299999,25.66,25.299999,25.66,21000,23.146864
2012-02-09,25.610001,25.610001,25.610001,25.610001,14500,23.101765
2012-02-10,25.6,25.68,25.6,25.68,11300,23.164906
2012-02-13,25.66,25.73,25.629999,25.68,17000,23.164906
2012-02-14,25.73,25.73,25.73,25.73,15500,23.210005
2012-02-15,25.76,25.76,25.67,25.67,51200,23.155886
2012-02-16,25.639999,25.690001,25.639999,25.690001,31500,23.173923
2012-02-17,25.67,25.67,25.57,25.57,21400,23.065674
2012-02-21,25.639999,25.700001,25.57,25.67,44800,23.155886
2012-02-22,25.639999,25.75,25.639999,25.73,44500,23.210005
2012-02-23,25.66,25.83,25.66,25.790001,41700,23.264132
2012-02-24,25.809999,25.809999,25.68,25.77,33200,23.246094
2012-02-27,25.83,25.83,25.76,25.82,106600,23.291197
2012-02-28,25.84,25.85,25.75,25.82,56200,23.291197
2012-02-29,25.799999,25.799999,25.690001,25.74,59800,23.21903
2012-03-01,25.690001,25.73,25.6,25.709999,57000,23.191961
2012-03-02,25.719999,25.76,25.66,25.709999,82700,23.191961
2012-03-05,25.74,25.77,25.6,25.67,18200,23.155886
2012-03-06,25.719999,25.75,25.629999,25.709999,23200,23.191961
2012-03-07,25.74,25.75,25.629999,25.719999,66100,23.200985
2012-03-08,25.76,25.77,25.66,25.74,40900,23.21903
2012-03-09,25.77,25.780001,25.67,25.75,31400,23.22805
2012-03-12,25.799999,25.809999,25.73,25.77,28700,23.246094
2012-03-13,25.780001,25.790001,25.65,25.719999,25000,23.200985
2012-03-14,25.559999,25.639999,25.559999,25.57,26700,23.065674
2012-03-15,25.610001,25.610001,25.49,25.59,8900,23.083715
2012-03-16,25.48,25.6,25.469999,25.530001,28000,23.029594
2012-03-19,25.48,25.549999,25.41,25.5,36900,23.002537
2012-03-20,25.52,25.52,25.43,25.5,24900,23.002537
2012-03-21,25.530001,25.549999,25.43,25.52,30400,23.020573
2012-03-22,25.530001,25.549999,25.48,25.549999,15600,23.047636
2012-03-23,25.549999,25.620001,25.51,25.59,50000,23.083715
2012-03-26,25.59,25.59,25.5,25.549999,21100,23.047636
2012-03-27,25.59,25.620001,25.52,25.6,34000,23.092741
2012-03-28,25.6,25.639999,25.59,25.59,26000,23.083715
2012-03-29,25.67,25.67,25.59,25.610001,9000,23.101765
2012-03-30,25.65,25.66,25.549999,25.610001,29100,23.101765
2012-04-02,25.610001,25.690001,25.610001,25.610001,42300,23.101765
2012-04-03,25.700001,25.74,25.49,25.549999,20100,23.047636
2012-04-04,25.51,25.6,25.450001,25.540001,25900,23.038622
2012-04-05,25.549999,25.629999,25.51,25.559999,10200,23.056652
2012-04-09,25.82,25.82,25.620001,25.67,8800,23.155886
2012-04-10,25.719999,25.799999,25.719999,25.75,22900,23.22805
2012-04-11,25.85,25.860001,25.74,25.83,21400,23.300215
2012-04-12,25.860001,25.870001,25.790001,25.790001,7900,23.264132
2012-04-13,25.82,25.85,25.82,25.85,17200,23.318256
2012-04-16,25.889999,25.889999,25.83,25.860001,23200,23.327269
2012-04-17,25.860001,25.860001,25.82,25.860001,40200,23.327269
2012-04-18,25.879999,25.879999,25.790001,25.860001,42900,23.327269
2012-04-19,25.860001,25.860001,25.799999,25.799999,75200,23.273153
2012-04-20,25.809999,25.870001,25.77,25.83,164500,23.300215
2012-04-23,25.98,25.98,25.879999,25.879999,40000,23.34532
2012-04-24,25.860001,25.879999,25.84,25.879999,25100,23.34532
2012-04-25,25.9,25.9,25.84,25.879999,9200,23.34532
2012-04-26,25.889999,25.93,25.879999,25.91,51000,23.372377
2012-04-27,25.91,25.98,25.91,25.940001,122700,23.399435
2012-04-30,25.93,26.02,25.93,26,45000,23.453566
2012-05-01,26,26.01,25.93,25.959999,43000,23.43461
2012-05-02,25.99,25.99,25.959999,25.98,68000,23.452656
2012-05-03,25.99,25.99,25.940001,25.959999,36000,23.43461
2012-05-04,25.950001,25.969999,25.940001,25.959999,40700,23.43461
2012-05-07,26.030001,26.030001,25.92,25.950001,44000,23.425575
2012-05-08,25.98,26.01,25.969999,25.969999,49500,23.44363
2012-05-09,26.02,26.040001,25.969999,25.99,117500,23.461683
2012-05-10,25.959999,26,25.959999,25.969999,32300,23.44363
2012-05-11,25.98,26,25.969999,25.98,40000,23.452656
2012-05-14,25.950001,26.030001,25.950001,26.030001,33400,23.497797
2012-05-15,26.040001,26.040001,26.02,26.02,17000,23.488768
2012-05-16,26,26,25.98,25.98,36700,23.452656
2012-05-17,25.91,26.030001,25.91,26.02,16100,23.488768
2012-05-18,25.969999,26.040001,25.950001,26.030001,81200,23.497797
2012-05-21,26.040001,26.07,25.99,26.040001,8900,23.506826
2012-05-22,26.02,26.02,25.950001,26,27300,23.470716
2012-05-23,25.959999,25.99,25.959999,25.99,5200,23.461683
2012-05-24,25.969999,25.969999,25.969999,25.969999,20100,23.44363
2012-05-25,26,26.030001,25.950001,25.950001,2600,23.425575
2012-05-29,26.01,26.040001,25.940001,25.940001,29900,23.41655
2012-05-30,25.99,26.01,25.99,26.01,5200,23.479746
2012-05-31,25.99,26.08,25.99,26.08,7200,23.542929
2012-06-01,25.98,25.98,25.870001,25.950001,11100,23.546556
2012-06-04,25.93,25.93,25.85,25.85,35600,23.455828
2012-06-05,25.91,25.91,25.91,25.91,192500,23.510269
2012-06-06,25.870001,25.870001,25.82,25.84,7900,23.446753
2012-06-07,25.879999,25.879999,25.879999,25.879999,9800,23.483042
2012-06-08,25.99,25.99,25.91,25.91,6600,23.510269
2012-06-11,25.940001,25.98,25.92,25.940001,37200,23.537487
2012-06-12,25.889999,25.969999,25.85,25.879999,48800,23.483042
2012-06-13,25.84,25.969999,25.84,25.92,52600,23.519341
2012-06-14,25.98,25.98,25.879999,25.879999,53600,23.483042
2012-06-15,25.9,26.030001,25.9,26.030001,5900,23.619154
2012-06-18,26.09,26.09,26.01,26.030001,26900,23.619154
2012-06-19,26.120001,26.120001,26,26.01,26600,23.601011
2012-06-20,26.1,26.1,25.969999,25.969999,8400,23.564707
2012-06-21,25.950001,25.98,25.870001,25.879999,44500,23.483042
2012-06-22,25.9,25.9,25.76,25.799999,50700,23.410458
2012-06-25,25.870001,25.870001,25.799999,25.84,74000,23.446753
2012-06-26,25.74,25.85,25.74,25.799999,16300,23.410458
2012-06-27,25.82,25.82,25.799999,25.809999,8300,23.419527
2012-06-28,25.85,25.860001,25.790001,25.860001,24300,23.464897
2012-06-29,25.790001,25.889999,25.790001,25.889999,48600,23.492119
2012-07-02,25.870001,25.889999,25.76,25.82,663100,23.495762
2012-07-03,25.780001,25.9,25.780001,25.809999,28700,23.486654
2012-07-05,25.82,25.9,25.82,25.84,47500,23.51396
2012-07-06,25.860001,25.959999,25.860001,25.91,32700,23.577658
2012-07-09,25.870001,25.940001,25.870001,25.92,15400,23.586754
2012-07-10,25.940001,25.969999,25.93,25.940001,72500,23.604954
2012-07-11,25.99,25.99,25.940001,25.959999,39400,23.623159
2012-07-12,25.969999,25.969999,25.93,25.93,33900,23.595861
2012-07-13,25.940001,26,25.940001,25.959999,30000,23.623159
2012-07-16,26.1,26.1,25.99,26,16300,23.659555
2012-07-17,26.110001,26.110001,25.91,25.91,174000,23.577658
2012-07-18,26,26.110001,25.959999,25.98,24600,23.641352
2012-07-19,26.049999,26.049999,25.969999,25.99,9100,23.650455
2012-07-20,26.08,26.08,26,26.01,50700,23.668657
2012-07-23,26.040001,26.040001,25.99,26,11400,23.659555
2012-07-24,26.08,26.08,25.950001,25.99,25200,23.650455
2012-07-25,26.07,26.07,25.93,25.940001,19900,23.604954
2012-07-26,25.950001,25.969999,25.91,25.93,10700,23.595861
2012-07-27,26.02,26.02,25.9,25.9,127100,23.568552
2012-07-30,25.969999,25.969999,25.969999,25.969999,22100,23.632256
2012-07-31,26.059999,26.059999,26.059999,26.059999,22200,23.714151
2012-08-01,26.17,26.17,26.040001,26.040001,57000,23.695955
2012-08-02,26.030001,26.030001,26,26.030001,47600,23.686857
2012-08-03,26.01,26.01,26.01,26.01,15400,23.668657
2012-08-06,26.120001,26.120001,26.049999,26.049999,27100,23.705053
2012-08-07,26.049999,26.059999,26.030001,26.030001,25700,23.686857
2012-08-08,25.99,26,25.969999,25.969999,90500,23.632256
2012-08-09,25.969999,25.969999,25.940001,25.940001,8800,23.604954
2012-08-10,25.950001,25.950001,25.950001,25.950001,8200,23.614059
2012-08-13,26.030001,26.030001,25.950001,25.950001,12100,23.614059
2012-08-14,25.889999,25.889999,25.879999,25.879999,3500,23.550354
2012-08-15,25.809999,25.809999,25.780001,25.790001,8000,23.468464
2012-08-16,25.799999,25.809999,25.74,25.77,55700,23.450258
2012-08-17,25.76,25.76,25.75,25.75,55200,23.432058
2012-08-20,25.780001,25.780001,25.73,25.76,37800,23.44116
2012-08-21,25.73,25.790001,25.719999,25.790001,19600,23.468464
2012-08-22,25.870001,25.92,25.85,25.85,82700,23.52306
2012-08-23,25.99,26.01,25.889999,26.01,173600,23.668657
2012-08-24,25.99,25.99,25.959999,25.98,48700,23.641352
2012-08-27,26.07,26.07,26.02,26.040001,13500,23.695955
2012-08-28,26.049999,26.07,26.049999,26.07,16100,23.723263
2012-08-29,26,26.049999,25.99,26.030001,423600,23.686857
2012-08-30,26.08,26.08,26.030001,26.030001,544700,23.686857
2012-08-31,26.139999,26.139999,26.139999,26.139999,245200,23.786957
2012-09-04,26.23,26.23,26.120001,26.129999,125500,23.777855
2012-09-05,26.15,26.16,26.110001,26.16,306600,23.805151
2012-09-06,26.09,26.110001,26.07,26.07,287600,23.723263
2012-09-07,26.18,26.219999,26.129999,26.129999,176800,23.777855
2012-09-10,26.24,26.26,26.16,26.17,181900,23.814249
2012-09-11,26.209999,26.26,26.18,26.26,240900,23.896149
2012-09-12,26.290001,26.290001,26.139999,26.139999,237100,23.786957
2012-09-13,26.27,26.34,26.040001,26.34,105500,23.968952
2012-09-14,26.42,26.58,26.42,26.58,113900,24.187347
2012-09-17,26.780001,26.780001,26.389999,26.389999,43300,24.014448
2012-09-18,26.610001,26.610001,26.33,26.48,64000,24.096346
2012-09-19,26.43,26.43,26.280001,26.280001,90800,23.914352
2012-09-20,26.41,26.41,26.25,26.299999,193300,23.932547
2012-09-21,26.290001,26.33,26.27,26.27,129800,23.905254
2012-09-24,26.379999,26.379999,26.25,26.27,187500,23.905254
2012-09-25,26.25,26.33,26.25,26.290001,227000,23.92345
2012-09-26,26.299999,26.299999,26.24,26.299999,172900,23.932547
2012-09-27,26.32,26.34,26.26,26.27,143600,23.905254
2012-09-28,26.35,26.370001,26.23,26.27,300600,23.905254
2012-10-01,26.27,26.33,26.27,26.299999,182600,23.932547
2012-10-02,26.299999,26.360001,26.27,26.360001,150700,23.987148
2012-10-03,26.34,26.42,26.34,26.370001,79400,23.996248
2012-10-04,26.440001,26.459999,26.4,26.450001,90900,24.069054
2012-10-05,26.59,26.59,26.43,26.450001,63000,24.069054
2012-10-08,26.549999,26.549999,26.440001,26.469999,93100,24.087238
2012-10-09,26.48,26.49,26.389999,26.389999,68500,24.014448
2012-10-10,26.360001,26.43,26.360001,26.4,33800,24.023556
2012-10-11,26.42,26.43,26.35,26.360001,53100,23.987148
2012-10-12,26.379999,26.389999,26.32,26.33,41300,23.959852
2012-10-15,26.360001,26.360001,26.33,26.360001,35900,23.987148
2012-10-16,26.4,26.4,26.290001,26.309999,113200,23.941654
