date,open,high,low,close,volume,adjusted
2018-01-30,19.92,19.969999,19.809999,19.879999,154300,19.757217
2018-01-31,20.1,20.120001,19.82,19.92,654500,19.79697
2018-02-01,20.07,20.07,19.809999,19.92,1085800,19.79697
2018-02-02,20,20,19.450001,19.459999,745100,19.339811
2018-02-05,19.49,19.555,18.719999,18.75,605700,18.634197
2018-02-06,18.65,19.139999,18.35,19.120001,677800,19.001913
2018-02-07,19.16,19.32,18.969999,18.969999,567300,18.852837
2018-02-08,19.18,19.280001,18.190001,18.190001,422500,18.077656
2018-02-09,18.440001,18.58,17.799999,18.41,485900,18.296297
2018-02-12,18.799999,18.870001,18.525,18.757,269900,18.641153
2018-02-13,18.75,18.870001,18.65,18.84,191600,18.72364
2018-02-14,18.799999,19.17,18.75,19.139999,126600,19.021788
2018-02-15,19.389999,19.49,19.103001,19.379999,227600,19.260305
2018-02-16,19.459999,19.57,19.332001,19.4,160900,19.280182
2018-02-20,19.4,19.530001,19.299999,19.370001,182900,19.250368
2018-02-21,19.43,19.59,19.25,19.280001,138700,19.160925
2018-02-22,19.370001,19.65,19.26,19.299999,95700,19.180799
2018-02-23,19.440001,19.620001,19.35,19.620001,90200,19.498825
2018-02-26,19.799999,19.91,19.700001,19.874001,144300,19.751255
2018-02-27,19.9,19.950001,19.700001,19.700001,103600,19.578331
2018-02-28,19.790001,19.969999,19.511,19.540001,98500,19.419319
2018-03-01,19.6,19.610001,19.070999,19.209999,106500,19.091354
2018-03-02,19.059999,19.34,18.938,19.32,119100,19.200676
2018-03-05,19.25,19.530001,19.150999,19.52,107400,19.399441
2018-03-06,19.6,19.65,19.450001,19.530001,55000,19.40938
2018-03-07,19.25,19.629999,19.25,19.594999,64600,19.473978
2018-03-08,19.690001,19.74,19.610001,19.719999,67300,19.598206
2018-03-09,19.940001,20.1,19.790001,20.1,65000,19.975859
2018-03-12,20.15,20.190001,20.077999,20.15,128700,20.025549
2018-03-13,20.18,20.232,19.860001,19.950001,90100,19.826786
2018-03-14,20.1,20.1,19.83,19.91,54400,19.787033
2018-03-15,19.950001,20.030001,19.85,19.93,41000,19.80691
2018-03-16,19.950001,19.999001,19.874001,19.885,41200,19.762188
2018-03-19,19.83,19.83,19.382,19.459999,81900,19.339811
2018-03-20,19.540001,19.559999,19.455999,19.549999,47700,19.429255
2018-03-21,19.610001,19.639999,19.410999,19.469999,46400,19.349749
2018-03-22,19.370001,19.370001,18.940001,18.969999,100500,18.852837
2018-03-23,18.91,19,18.52,18.540001,94800,18.425495
2018-03-26,18.67,19.16,18.611,19.16,80100,19.041664
2018-03-27,19.389999,19.389999,18.5,18.59,120900,18.475185
2018-03-28,18.780001,18.780001,18.382,18.530001,110100,18.415556
2018-03-29,18.780001,18.945,18.48,18.82,62000,18.703764
2018-04-02,18.82,18.82,18.15,18.33,118900,18.216791
2018-04-03,18.49,18.549999,18.26,18.504999,53900,18.390709
2018-04-04,18.440001,18.84,18.242001,18.799999,87900,18.683887
2018-04-05,19.139999,19.139999,18.801001,18.959999,85600,18.842899
2018-04-06,18.879999,18.940001,18.43,18.559999,43300,18.44537
2018-04-09,18.719999,18.879999,18.530001,18.59,81500,18.475185
2018-04-10,18.92,19,18.75,18.940001,50400,18.823025
2018-04-11,19,19.009001,18.792,18.860001,32900,18.743519
2018-04-12,18.959999,19.08,18.898001,19,31700,18.882652
2018-04-13,19.219999,19.219999,18.809999,18.889999,23100,18.773331
2018-04-16,19.139999,19.15,19,19.15,45400,19.031727
2018-04-17,19.34,19.5,19.226999,19.49,36100,19.369627
2018-04-18,19.58,19.58,19.415001,19.5,33500,19.379564
2018-04-19,19.370001,19.5,19.351,19.459999,30700,19.339811
2018-04-20,19.540001,19.540001,19.15,19.27,23800,19.150986
2018-04-23,19.35,19.35,19.073999,19.174999,31600,19.056572
2018-04-24,19.18,19.233999,18.700001,18.83,64500,18.713703
2018-04-25,18.91,18.91,18.58,18.825001,26600,18.708735
2018-04-26,19.02,19.25,18.992001,19.200001,43800,19.081419
2018-04-27,19.35,19.377001,19.129999,19.209999,27100,19.091354
2018-04-30,19.209999,19.389,19.082001,19.120001,38000,19.001913
2018-05-01,19.15,19.27,19,19.27,40800,19.150986
2018-05-02,19.33,19.379999,19.1,19.1,37500,18.982035
2018-05-03,19.18,19.18,18.860001,19.120001,28100,19.001913
2018-05-04,19.129999,19.479,19.058001,19.42,40600,19.300058
2018-05-07,19.549999,19.629999,19.450001,19.52,108000,19.399441
2018-05-08,19.58,19.58,19.42,19.49,42800,19.369627
2018-05-09,19.65,19.719999,19.5,19.67,62400,19.548515
2018-05-10,19.860001,19.92,19.76,19.92,73800,19.79697
2018-05-11,19.959999,19.969999,19.879999,19.9,50100,19.777094
2018-05-14,20,20.07,19.91,19.91,114800,19.787033
2018-05-15,19.9,19.9,19.650999,19.74,47900,19.618082
2018-05-16,19.809999,19.85,19.778999,19.83,16600,19.707527
2018-05-17,19.870001,19.879999,19.695,19.77,62800,19.647898
2018-05-18,19.77,19.77,19.676001,19.73,22200,19.608143
2018-05-21,19.91,19.93,19.780001,19.85,35100,19.727404
2018-05-22,19.959999,19.959999,19.780001,19.799999,20200,19.677711
2018-05-23,19.674999,19.889999,19.674999,19.889999,15300,19.767155
2018-05-24,19.92,19.923,19.75,19.889999,12400,19.767155
2018-05-25,19.92,19.938999,19.860001,19.879999,14000,19.757217
2018-05-29,19.82,19.879999,19.618,19.75,45800,19.628021
2018-05-30,19.940001,19.959999,19.771,19.91,50600,19.787033
2018-05-31,19.98,19.98,19.9,19.9,26500,19.777094
2018-06-01,20,20.15,20,20.15,30200,20.025549
2018-06-04,20.25,20.35,20.205,20.33,62900,20.204439
2018-06-05,20.440001,20.440001,20.299999,20.4,37900,20.274006
2018-06-06,20.51,20.559999,20.362,20.559999,27800,20.433018
2018-06-07,20.66,20.66,20.35,20.450001,50600,20.323698
2018-06-08,20.459999,20.5,20.360001,20.5,18000,20.373388
2018-06-11,20.559999,20.559999,20.451,20.549999,28700,20.423079
2018-06-12,20.629999,20.629999,20.52,20.6,83700,20.472771
2018-06-13,20.68,20.700001,20.5,20.613001,40500,20.485691
2018-06-14,20.65,20.73,20.6,20.73,40300,20.601967
2018-06-15,20.52,20.700001,20.52,20.690001,34600,20.562216
2018-06-18,20.5,20.65,20.5,20.629999,25900,20.502584
2018-06-19,20.35,20.601999,20.35,20.52,49900,20.393265
2018-06-20,20.719999,20.73,20.611,20.66,50600,20.5324
2018-06-21,20.66,20.73,20.51,20.540001,31800,20.413143
2018-06-22,20.73,20.73,20.41,20.49,39300,20.363449
2018-06-25,20.299999,20.309999,19.950001,20.120001,135800,19.995737
2018-06-26,20.219999,20.299999,20.129999,20.219999,33800,20.095118
