date,open,high,low,close,volume,adjusted
2014-02-04,25.02,25.15,25.02,25.040001,36500,23.908447
2014-02-05,25.030001,25.030001,25.02,25.030001,2500,23.898897
2014-02-06,25.030001,25.030001,25.030001,25.030001,3100,23.898897
2014-02-07,25.030001,25.030001,25.030001,25.030001,500,23.898897
2014-02-10,25.02,25.02,25.02,25.02,4100,23.889353
2014-02-11,25.030001,25.030001,25.02,25.02,13000,23.889353
2014-02-12,25.030001,25.030001,25.02,25.02,1500,23.889353
2014-02-13,25.02,25.030001,24.98,25.030001,10500,23.898897
2014-02-14,24.98,24.98,24.98,24.98,300,23.851151
2014-02-18,24.969999,24.969999,24.969999,24.969999,100,23.841612
2014-02-19,24.99,25.02,24.99,25.02,600,23.889353
2014-02-20,25.02,25.02,25.02,25.02,0,23.889353
2014-02-21,25.02,25.02,25.02,25.02,500,23.889353
2014-02-24,25.02,25.02,25.02,25.02,0,23.889353
2014-02-25,25.02,25.02,25.02,25.02,500,23.889353
2014-02-26,25.02,25.02,25.02,25.02,0,23.889353
2014-02-27,25.01,25.02,25.01,25.02,1200,23.889353
2014-02-28,25.02,25.02,25.02,25.02,200,23.889353
2014-03-03,25.02,25.02,25.02,25.02,0,23.889353
2014-03-04,25.02,25.02,25.02,25.02,0,23.889353
2014-03-05,25,25.02,24.98,25.02,3000,23.889353
2014-03-06,25.02,25.02,25.02,25.02,0,23.889353
2014-03-07,25.02,25.02,25.02,25.02,0,23.889353
2014-03-10,25.02,25.02,25.02,25.02,0,23.889353
2014-03-11,25.02,25.02,25.02,25.02,0,23.889353
2014-03-12,25.02,25.02,25.02,25.02,0,23.889353
2014-03-13,25.02,25.02,25.02,25.02,400,23.889353
2014-03-14,25.01,25.01,25.01,25.01,100,23.879805
2014-03-17,25,25,25,25,200,23.870255
2014-03-18,25,25,25,25,0,23.870255
2014-03-19,25,25,25,25,0,23.870255
2014-03-20,25,25,25,25,0,23.870255
2014-03-21,24.959999,24.959999,24.959999,24.959999,200,23.83206
2014-03-24,24.959999,24.959999,24.959999,24.959999,0,23.83206
2014-03-25,24.959999,24.959999,24.959999,24.959999,0,23.83206
2014-03-26,25,25,25,25,300,23.870255
2014-03-27,24.959999,24.959999,24.959999,24.959999,300,23.83206
2014-03-28,24.959999,24.959999,24.959999,24.959999,0,23.83206
2014-03-31,24.959999,24.959999,24.959999,24.959999,0,23.83206
2014-04-01,24.959999,24.959999,24.959999,24.959999,0,23.83206
2014-04-02,25.01,25.01,25.01,25.01,100,23.879805
2014-04-03,25.01,25.01,25.01,25.01,0,23.879805
2014-04-04,25.01,25.01,25.01,25.01,0,23.879805
2014-04-07,25.01,25.01,25.01,25.01,0,23.879805
2014-04-08,25.01,25.01,25.01,25.01,0,23.879805
2014-04-09,25.01,25.01,25.01,25.01,0,23.879805
2014-04-10,25.01,25.01,25.01,25.01,0,23.879805
2014-04-11,25.01,25.01,25.01,25.01,0,23.879805
2014-04-14,25.01,25.01,25.01,25.01,0,23.879805
2014-04-15,25.01,25.01,25.01,25.01,0,23.879805
2014-04-16,25.01,25.01,25.01,25.01,0,23.879805
2014-04-17,25.01,25.01,25.01,25.01,0,23.879805
2014-04-21,24.969999,24.969999,24.969999,24.969999,200,23.841612
2014-04-22,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-04-23,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-04-24,25.01,25.01,24.98,25,52600,23.870255
2014-04-25,25,25,25,25,0,23.870255
2014-04-28,25.01,25.01,24.969999,24.969999,29300,23.841612
2014-04-29,25.01,25.01,24.98,25,3200,23.870255
2014-04-30,25.01,25.01,24.969999,24.969999,4900,23.841612
2014-05-01,25.01,25.01,24.969999,24.969999,55000,23.841612
2014-05-02,25,25,24.969999,24.969999,27000,23.841612
2014-05-05,24.969999,25,24.969999,25,2800,23.870255
2014-05-06,24.969999,24.969999,24.969999,24.969999,1100,23.841612
2014-05-07,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-05-08,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-05-09,24.969999,24.969999,24.969999,24.969999,100,23.841612
2014-05-12,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-05-13,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-05-14,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-05-15,25,25,24.98,25,4000,23.870255
2014-05-16,25,25,25,25,0,23.870255
2014-05-19,25,25,25,25,0,23.870255
2014-05-20,25,25,25,25,0,23.870255
2014-05-21,25,25,25,25,0,23.870255
2014-05-22,25,25,25,25,200,23.870255
2014-05-23,25,25,25,25,0,23.870255
2014-05-27,25,25,25,25,0,23.870255
2014-05-28,25,25,25,25,0,23.870255
2014-05-29,24.950001,24.950001,24.950001,24.950001,1800,23.822515
2014-05-30,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-02,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-03,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-04,24.99,24.99,24.99,24.99,7000,23.860704
2014-06-05,24.99,24.99,24.99,24.99,0,23.860704
2014-06-06,24.99,24.99,24.99,24.99,0,23.860704
2014-06-09,24.950001,24.950001,24.950001,24.950001,500,23.822515
2014-06-10,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-11,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-12,24.950001,24.950001,24.950001,24.950001,100,23.822515
2014-06-13,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-16,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-17,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-18,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-19,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-20,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-23,24.950001,24.950001,24.950001,24.950001,800,23.822515
2014-06-24,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-25,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-06-26,24.98,24.98,24.98,24.98,100,23.851151
2014-06-27,24.98,24.98,24.98,24.98,0,23.851151
2014-06-30,24.98,24.98,24.98,24.98,0,23.851151
2014-07-01,24.98,24.98,24.98,24.98,0,23.851151
2014-07-02,24.98,24.98,24.98,24.98,0,23.851151
2014-07-03,24.98,24.98,24.98,24.98,0,23.851151
2014-07-07,24.98,24.98,24.98,24.98,0,23.851151
2014-07-08,24.98,24.98,24.98,24.98,0,23.851151
2014-07-09,24.98,24.98,24.98,24.98,0,23.851151
2014-07-10,24.98,24.98,24.98,24.98,0,23.851151
2014-07-11,24.98,24.98,24.98,24.98,0,23.851151
2014-07-14,24.940001,24.940001,24.940001,24.940001,1600,23.81296
2014-07-15,24.940001,24.940001,24.940001,24.940001,0,23.81296
2014-07-16,24.940001,24.940001,24.940001,24.940001,0,23.81296
2014-07-17,24.940001,24.940001,24.940001,24.940001,0,23.81296
2014-07-18,24.98,24.98,24.950001,24.969999,21000,23.841612
2014-07-21,24.98,24.98,24.959999,24.969999,4400,23.841612
2014-07-22,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-07-23,24.98,24.98,24.98,24.98,300,23.851151
2014-07-24,24.98,24.98,24.98,24.98,0,23.851151
2014-07-25,24.99,24.99,24.99,24.99,300,23.860704
2014-07-28,24.940001,24.98,24.940001,24.98,1600,23.851151
2014-07-29,24.950001,24.950001,24.940001,24.940001,300,23.81296
2014-07-30,24.940001,24.940001,24.940001,24.940001,0,23.81296
2014-07-31,24.98,24.98,24.98,24.98,100,23.851151
2014-08-01,24.98,24.98,24.98,24.98,0,23.851151
2014-08-04,24.98,24.98,24.98,24.98,100,23.851151
2014-08-05,24.98,24.98,24.98,24.98,100,23.851151
2014-08-06,24.98,24.98,24.98,24.98,100,23.851151
2014-08-07,24.98,24.98,24.98,24.98,0,23.851151
2014-08-08,24.98,24.98,24.98,24.98,400,23.851151
2014-08-11,24.98,24.98,24.98,24.98,0,23.851151
2014-08-12,24.98,24.98,24.98,24.98,100,23.851151
2014-08-13,24.98,24.98,24.98,24.98,0,23.851151
2014-08-14,24.98,24.98,24.98,24.98,100,23.851151
2014-08-15,24.99,24.99,24.99,24.99,100,23.860704
2014-08-18,24.99,24.99,24.99,24.99,0,23.860704
2014-08-19,24.99,24.99,24.99,24.99,0,23.860704
2014-08-20,24.99,24.99,24.99,24.99,0,23.860704
2014-08-21,24.99,24.99,24.99,24.99,0,23.860704
2014-08-22,24.99,24.99,24.99,24.99,0,23.860704
2014-08-25,24.99,24.99,24.99,24.99,0,23.860704
2014-08-26,24.99,24.99,24.99,24.99,0,23.860704
2014-08-27,24.99,24.99,24.99,24.99,0,23.860704
2014-08-28,24.99,24.99,24.99,24.99,0,23.860704
2014-08-29,24.99,24.99,24.99,24.99,0,23.860704
2014-09-02,24.959999,24.99,24.959999,24.99,200,23.860704
2014-09-03,25,25,24.950001,24.950001,2200,23.822515
2014-09-04,25,25,24.959999,24.969999,800,23.841612
2014-09-05,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-09-08,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-09,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-10,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-11,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-12,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-15,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-16,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-17,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-18,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-19,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-22,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-23,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-24,24.99,24.99,24.950001,24.950001,4100,23.822515
2014-09-25,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-26,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-29,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-09-30,24.969999,24.969999,24.969999,24.969999,100,23.841612
2014-10-01,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-10-02,24.950001,24.950001,24.950001,24.950001,100,23.822515
2014-10-03,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-06,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-07,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-08,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-09,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-10,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-13,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-14,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-15,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-16,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-17,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-20,24.950001,24.950001,24.950001,24.950001,0,23.822515
2014-10-21,24.969999,24.969999,24.969999,24.969999,400,23.841612
2014-10-22,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-10-23,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-10-24,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-10-27,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-10-28,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-10-29,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-10-30,24.969999,24.969999,24.969999,24.969999,0,23.841612
2014-10-31,24.870001,24.870001,24.870001,24.870001,200,23.746126
2014-11-03,24.870001,24.870001,24.870001,24.870001,0,23.746126
2014-11-04,24.870001,24.870001,24.870001,24.870001,0,23.746126
2014-11-05,24.870001,24.870001,24.870001,24.870001,0,23.746126
2014-11-06,24.870001,24.870001,24.870001,24.870001,0,23.746126
2014-11-07,24.870001,24.870001,24.870001,24.870001,0,23.746126
2014-11-10,24.870001,24.870001,24.870001,24.870001,0,23.746126
2014-11-11,24.870001,24.870001,24.870001,24.870001,0,23.746126
2014-11-12,24.85,24.85,24.85,24.85,2500,23.727028
2014-11-13,24.91,24.91,24.91,24.91,100,23.784317
2014-11-14,24.91,24.91,24.91,24.91,0,23.784317
2014-11-17,24.91,24.91,24.91,24.91,0,23.784317
2014-11-18,24.91,24.91,24.91,24.91,0,23.784317
2014-11-19,24.91,24.91,24.91,24.91,0,23.784317
2014-11-20,24.85,24.870001,24.85,24.870001,15100,23.746126
2014-11-21,24.85,24.85,24.85,24.85,200,23.727028
2014-11-24,24.85,24.85,24.85,24.85,0,23.727028
2014-11-25,24.9,24.9,24.85,24.879999,1000,23.755674
2014-11-26,24.879999,24.879999,24.879999,24.879999,0,23.755674
2014-11-28,24.879999,24.879999,24.879999,24.879999,0,23.755674
2014-12-01,24.85,24.85,24.85,24.85,0,23.727028
2014-12-02,24.85,24.85,24.85,24.85,0,23.727028
2014-12-03,24.84,24.84,24.84,24.84,0,23.717485
2014-12-04,24.84,24.84,24.84,24.84,0,23.717485
2014-12-05,24.84,24.84,24.84,24.84,0,23.717485
2014-12-08,24.84,24.84,24.84,24.84,0,23.717485
2014-12-09,24.9,24.9,24.84,24.84,400,23.717485
2014-12-10,24.84,24.84,24.84,24.84,0,23.717485
2014-12-11,24.66,24.66,24.66,24.66,0,23.545616
2014-12-12,24.84,24.84,24.84,24.84,0,23.717485
2014-12-15,24.84,24.84,24.84,24.84,0,23.717485
2014-12-16,24.85,24.85,24.85,24.85,0,23.727028
2014-12-17,24.93,24.93,24.879999,24.879999,400,23.755674
