date,open,high,low,close,volume,adjusted
2011-10-04,242700000,244800000,205800000,205800000,0,205800000
2011-10-05,197460000,198900000,181380000,181380000,0,181380000
2011-10-06,181140000,187800000,174000000,174000000,0,174000000
2011-10-07,170580000,185760000,168480000,176520000,0,176520000
2011-10-10,165480000,165600000,155940000,155940000,0,155940000
2011-10-11,157020000,157260000,149100000,150600000,0,150600000
2011-10-12,139440000,139440000,124860000,128760000,0,128760000
2011-10-13,133200000,140220000,129660000,129660000,0,129660000
2011-10-14,117360000,124140000,114840000,116880000,0,116880000
2011-10-17,115740000,139500000,115740000,139500000,0,139500000
2011-10-18,138480000,147720000,119100000,130200000,0,130200000
2011-10-19,126000000,148320000,123600000,144660000,0,144660000
2011-10-20,146520000,156780000,142800000,144900000,0,144900000
2011-10-21,135240000,140100000,130200000,130200000,0,130200000
2011-10-24,127020000,127020000,113820000,114360000,0,114360000
2011-10-25,117420000,131100000,117420000,129300000,0,129300000
2011-10-26,118980000,137460000,117720000,119040000,0,119040000
2011-10-27,94380000,99180000,85620000,87300000,0,87300000
2011-10-28,90480000,91860000,84660000,85740000,0,85740000
2011-10-31,93840000,103980000,92340000,103980000,0,103980000
2011-11-01,135600000,140880000,126180000,134460000,0,134460000
2011-11-02,124800000,135180000,123240000,126180000,0,126180000
2011-11-03,118860000,134160000,113220000,114300000,0,114300000
2011-11-04,120120000,127140000,115260000,118620000,0,118620000
2011-11-07,119940000,126000000,116400000,116460000,0,116460000
2011-11-08,113280000,119640000,105000000,105480000,0,105480000
2011-11-09,121260000,146100000,119700000,144540000,0,144540000
2011-11-10,127500000,142500000,125400000,126240000,0,126240000
2011-11-11,116880000,117060000,112800000,115740000,0,115740000
2011-11-14,119160000,125880000,118680000,121260000,0,121260000
2011-11-15,125640000,127920000,116940000,118920000,0,118920000
2011-11-16,126360000,132060000,117600000,130440000,0,130440000
2011-11-17,132420000,147900000,130080000,142860000,0,142860000
2011-11-18,134700000,142680000,133080000,133080000,0,133080000
2011-11-21,147240000,147660000,134760000,136380000,0,136380000
2011-11-22,137820000,140520000,129960000,130680000,0,130680000
2011-11-23,136920000,143040000,135060000,142440000,0,142440000
2011-11-25,143400000,147120000,137880000,146100000,0,146100000
2011-11-28,126660000,135000000,124440000,132180000,0,132180000
2011-11-29,129660000,132240000,124020000,126600000,0,126600000
2011-11-30,109560000,111420000,103620000,104160000,0,104160000
2011-12-01,105000000,105480000,98040000,99420000,0,99420000
2011-12-02,93660000,99300000,90420000,98820000,0,98820000
2011-12-05,90720000,100620000,90480000,98520000,0,98520000
2011-12-06,98520000,99780000,95100000,97620000,0,97620000
2011-12-07,100500000,108300000,100440000,103800000,0,103800000
2011-12-08,109560000,114960000,108000000,113400000,0,113400000
2011-12-09,110280000,110520000,97260000,97680000,0,97680000
2011-12-12,101220000,105000000,97920000,97920000,0,97920000
2011-12-13,94020000,100980000,89880000,97140000,0,97140000
2011-12-14,96840000,101640000,94380000,97500000,0,97500000
2011-12-15,90720000,92700000,87900000,90240000,0,90240000
2011-12-16,84300000,91440000,84300000,89220000,0,89220000
2011-12-19,87300000,88800000,83700000,87240000,0,87240000
2011-12-20,79620000,79620000,76500000,76560000,0,76560000
2011-12-21,75060000,77280000,66240000,66480000,0,66480000
2011-12-22,63540000,67800000,61020000,66420000,0,66420000
2011-12-23,64560000,70920000,64380000,69600000,0,69600000
2011-12-27,69000000,69480000,66960000,68820000,0,68820000
2011-12-28,67980000,74700000,67980000,74280000,0,74280000
2011-12-29,73320000,73440000,70500000,70740000,0,70740000
2011-12-30,70740000,73020000,70200000,72960000,0,72960000
2012-01-03,66240000,67020000,64500000,65280000,0,65280000
2012-01-04,67140000,68220000,62580000,62760000,0,62760000
2012-01-05,64440000,65700000,59700000,59880000,0,59880000
2012-01-06,58860000,61200000,56760000,57960000,0,57960000
2012-01-09,56880000,57840000,55620000,56220000,0,56220000
2012-01-10,52800000,54480000,51780000,53880000,0,53880000
2012-01-11,54780000,55920000,54480000,55440000,0,55440000
2012-01-12,55020000,59040000,53880000,54000000,0,54000000
2012-01-13,56640000,60120000,56400000,56880000,0,56880000
2012-01-17,53220000,56640000,51480000,56040000,0,56040000
2012-01-18,55320000,56580000,51840000,52080000,0,52080000
2012-01-19,50580000,51660000,48960000,49140000,0,49140000
2012-01-20,49620000,50040000,45960000,46260000,0,46260000
2012-01-23,46020000,46560000,43200000,43800000,0,43800000
2012-01-24,45960000,46320000,43680000,44100000,0,44100000
2012-01-25,44100000,45240000,40140000,40440000,0,40440000
