date,open,high,low,close,volume,adjusted
2004-01-30,48.470001,48.52,48.470001,48.52,211800,40.320805
2004-02-02,48.68,48.68,48.439999,48.529999,10500,40.329124
2004-02-03,48.34,48.59,48.34,48.34,1500,40.171234
2004-02-04,48.34,48.34,48.099998,48.099998,400,39.971794
2004-02-05,48.279999,48.470001,48.279999,48.470001,3100,40.27927
2004-02-06,48.509998,49.130001,48.509998,49.130001,2500,40.827736
2004-02-09,49.130001,49.130001,49.130001,49.130001,0,40.827736
2004-02-10,49.540001,49.59,49.540001,49.59,600,41.210003
2004-02-11,49.599998,50.279999,49.599998,50.279999,9300,41.783398
2004-02-12,50.099998,50.099998,50.099998,50.099998,700,41.633808
2004-02-13,50.029999,50.029999,49.470001,49.470001,1000,41.110279
2004-02-17,49.82,50.060001,49.82,50.060001,500,41.600586
2004-02-18,50,50,50,50,100,41.550716
2004-02-19,50.169998,50.169998,50.060001,50.060001,300,41.600586
2004-02-20,49.5,49.549999,49.380001,49.549999,1900,41.176754
2004-02-23,49.529999,49.529999,49.5,49.5,200,41.135197
2004-02-24,49.049999,49.049999,49,49,500,40.7197
2004-02-25,49.080002,49.080002,49.080002,49.080002,400,40.78619
2004-02-26,49.310001,49.759998,49.310001,49.73,2000,41.32634
2004-02-27,49.799999,49.799999,49.799999,49.799999,1000,41.384514
2004-03-01,50.18,50.299999,50.099998,50.299999,1300,41.800014
2004-03-02,50.049999,50.299999,50.049999,50.169998,1100,41.691994
2004-03-03,50.110001,50.110001,49.880001,49.880001,300,41.450996
2004-03-04,50.369999,50.509998,50.369999,50.509998,600,41.974541
2004-03-05,50.630001,50.799999,50.459999,50.740002,2000,42.165668
2004-03-08,50.779999,50.860001,50.560001,50.560001,1600,42.016075
2004-03-09,50.16,50.16,49.950001,49.950001,1200,41.509159
2004-03-10,49.849998,49.900002,49.48,49.48,1600,41.118595
2004-03-11,49.02,49.09,48.610001,48.610001,2800,40.395611
2004-03-12,48.73,49.009998,48.700001,49.009998,1100,40.728016
2004-03-15,48.84,48.84,48.25,48.25,2500,40.096439
2004-03-16,48.5,48.5,48.310001,48.419998,1400,40.23772
2004-03-17,48.740002,49.119999,48.73,49.119999,2400,40.81942
2004-03-18,48.91,48.939999,48.689999,48.939999,1200,40.669846
2004-03-19,48.799999,49.009998,48.779999,48.779999,1700,40.536884
2004-03-22,48.060001,48.060001,48.060001,48.060001,1000,39.938557
2004-03-23,48.200001,48.200001,47.810001,48.02,2300,39.905312
2004-03-24,47.939999,48.02,47.880001,48.02,1100,39.905312
2004-03-25,48.290001,48.759998,48.290001,48.759998,500,40.520248
2004-03-26,48.950001,49.080002,48.950001,48.959999,600,40.686462
2004-03-29,49.470001,49.470001,49.290001,49.290001,400,40.960697
2004-03-30,49.529999,49.630001,49.529999,49.630001,200,41.243248
2004-03-31,49.759998,49.860001,49.759998,49.860001,4100,41.434372
2004-04-01,50.080002,50.080002,50.02,50.02,900,41.567337
2004-04-02,50.299999,50.360001,50.299999,50.360001,300,41.84988
2004-04-05,50.369999,50.639999,50.369999,50.639999,3400,42.082558
