date,open,high,low,close,volume,adjusted
2004-01-30,50.669998,50.720001,50.650002,50.650002,6800,35.671059
2004-02-02,50.68,50.68,50.68,50.68,200,35.692184
2004-02-03,50.68,50.68,50.68,50.68,0,35.692184
2004-02-04,50.900002,51.380001,50.900002,51.380001,3000,36.185177
2004-02-05,51.310001,51.490002,51.310001,51.490002,600,36.262634
2004-02-06,51.77,51.919998,51.77,51.919998,2600,36.565464
2004-02-09,51.939999,52.080002,51.939999,52.07,4800,36.67112
2004-02-10,52.009998,52.200001,52.009998,52.200001,400,36.762669
2004-02-11,52.18,52.18,52.060001,52.060001,6100,36.664066
2004-02-12,52.240002,52.27,52.200001,52.27,1500,36.81197
2004-02-13,52.34,52.360001,52.09,52.09,1600,36.685196
2004-02-17,52.459999,52.470001,52.459999,52.470001,700,36.952812
2004-02-18,52.490002,52.52,52.43,52.43,1400,36.924648
2004-02-19,52.509998,52.93,52.509998,52.779999,4200,37.171139
2004-02-20,52.810001,53.009998,52.790001,52.950001,3800,37.290867
2004-02-23,52.970001,53.27,52.970001,53.27,1600,37.516228
2004-02-24,53.130001,53.220001,52.75,52.75,3500,37.150005
2004-02-25,52.889999,53.09,52.889999,53.09,2800,37.389462
2004-02-26,52.970001,53.240002,52.970001,53.240002,3400,37.495106
2004-02-27,53.220001,53.549999,53.220001,53.549999,2300,37.713428
2004-03-01,53.5,53.98,53.450001,53.98,4900,38.016262
2004-03-02,53.900002,53.900002,53.549999,53.549999,3900,37.713428
2004-03-03,53.459999,53.669998,53.459999,53.669998,1700,37.797924
2004-03-04,53.700001,53.700001,53.5,53.599998,2500,37.748642
2004-03-05,53.48,53.759998,53.439999,53.68,1300,37.804981
2004-03-08,53.709999,53.91,53.689999,53.689999,4000,37.812019
2004-03-09,53.470001,53.700001,53.439999,53.68,3500,37.804981
2004-03-10,53.759998,54.099998,53.549999,53.57,3000,37.727516
2004-03-11,53.439999,53.439999,52.619999,52.619999,5700,37.058464
2004-03-12,52.619999,52.619999,52.16,52.540001,4600,37.002113
2004-03-15,52.580002,52.580002,52,52,3500,36.621811
2004-03-16,52.32,52.32,51.950001,51.950001,8100,36.586601
2004-03-17,52.369999,52.709999,52.369999,52.709999,1400,37.121845
2004-03-18,52.650002,52.689999,52.360001,52.630001,3100,37.065502
2004-03-19,52.5,52.5,52.5,52.5,100,36.973938
2004-03-22,51.68,51.919998,51.68,51.919998,1500,36.565464
2004-03-23,51.759998,51.970001,51.740002,51.900002,3000,36.551388
2004-03-24,51.790001,51.880001,51.580002,51.580002,2100,36.326027
2004-03-25,52.110001,52.450001,52.040001,52.450001,3200,36.938725
2004-03-26,52.349998,52.48,52.220001,52.220001,2200,36.776749
2004-03-29,52.400002,52.880001,52.400002,52.73,2600,37.135921
2004-03-30,52.830002,53.02,52.830002,53.02,1500,37.340168
2004-03-31,53.009998,53.220001,53.009998,53.220001,3100,37.481018
2004-04-01,53.150002,53.23,53.139999,53.16,4700,37.438766
2004-04-02,53.580002,53.580002,53.139999,53.150002,5100,37.431717
2004-04-05,53.25,53.43,53.25,53.43,1300,37.62891
2004-04-06,53.279999,53.59,53.279999,53.59,600,37.741596
2004-04-07,53.490002,53.490002,53.490002,53.490002,200,37.671173
2004-04-08,53.25,53.259998,53.25,53.259998,200,37.509174
2004-04-12,53.52,53.52,53.439999,53.439999,1200,37.635948
2004-04-13,53.599998,53.599998,53,53,1100,37.326084
2004-04-14,52.919998,52.919998,52.919998,52.919998,300,37.269741
2004-04-15,53.400002,53.459999,53.360001,53.450001,1600,37.643002
2004-04-16,53.709999,53.77,53.709999,53.77,5100,37.868366
2004-04-19,53.650002,53.950001,53.650002,53.93,3500,37.981049
2004-04-20,54.02,54.110001,54.02,54.110001,400,38.107815
2004-04-21,53.52,53.73,53.52,53.700001,2200,37.819069
2004-04-22,53.580002,54.16,53.580002,54.16,2200,38.143024
2004-04-23,53.959999,54.299999,53.959999,54.25,1700,38.206406
2004-04-26,54.32,54.450001,54.279999,54.279999,1500,38.227535
2004-04-27,54.279999,54.580002,54.27,54.330002,2700,38.26276
2004-04-28,54.25,54.25,53.700001,53.779999,2800,37.875404
2004-04-29,53.970001,53.970001,53.869999,53.869999,1900,37.938793
2004-04-30,54.169998,54.299999,53.98,54.130001,1400,38.121899
2004-05-03,54.099998,54.360001,54.099998,54.299999,6100,38.241619
2004-05-04,54.07,54.099998,54.060001,54.099998,600,38.100769
2004-05-05,54.240002,54.310001,54.220001,54.310001,1500,38.248669
2004-05-06,54.07,54.07,53.880001,53.990002,1100,38.023293
2004-05-07,54.07,54.07,53.639999,53.68,2000,37.804981
2004-05-10,53.450001,53.450001,53.150002,53.16,3200,37.438766
2004-05-11,53.16,53.16,52.939999,53.02,28900,37.340168
2004-05-12,52.860001,52.860001,52.150002,52.779999,44400,37.171139
2004-05-13,52.720001,52.720001,52.549999,52.549999,1100,37.009163
2004-05-14,52.310001,52.82,52.310001,52.82,4800,37.19931
2004-05-17,52.540001,52.57,52.389999,52.529999,1700,36.995075
2004-05-18,52.599998,52.759998,52.599998,52.75,2100,37.150005
2004-05-19,52.869999,52.880001,52.57,52.599998,7900,37.044373
2004-05-20,52.400002,52.580002,52.400002,52.580002,500,37.030293
2004-05-21,52.779999,52.889999,52.5,52.57,22000,37.023247
2004-05-24,52.799999,52.799999,52.150002,52.150002,700,36.727455
2004-05-25,52.52,52.52,52.52,52.52,100,36.988037
2004-05-26,53.009998,53.150002,52.91,53.130001,1500,37.417641
2004-05-27,53.709999,53.709999,53.540001,53.610001,3200,37.755676
2004-05-28,53.720001,53.720001,53.459999,53.549999,1300,37.713428
2004-06-01,53.400002,53.490002,53.380001,53.380001,1400,37.593704
2004-06-02,53.73,53.93,53.639999,53.93,2500,37.981049
2004-06-03,53.970001,54.200001,53.849998,53.849998,22900,37.924706
2004-06-04,54.049999,54.099998,53.869999,53.919998,22800,37.973999
2004-06-07,54.009998,54.349998,54.009998,54.349998,3400,38.276848
2004-06-08,54.299999,54.560001,54.299999,54.560001,2400,38.424732
2004-06-09,54.650002,54.650002,54.389999,54.389999,5400,38.304993
2004-06-10,54.389999,54.389999,54.299999,54.34,2700,38.269791
2004-06-14,54.09,54.27,54.09,54.119999,3800,38.114857
2004-06-15,54.43,54.43,54.34,54.34,400,38.269791
2004-06-16,54.380001,54.439999,54.360001,54.439999,2000,38.340218
2004-06-17,54.080002,54.290001,54.080002,54.290001,600,38.234585
2004-06-18,54.139999,54.369999,54.040001,54.040001,5100,38.058514
2004-06-21,54.369999,54.380001,54.27,54.380001,2200,38.297966
2004-06-22,54,54.41,53.990002,54.41,800,38.319088
2004-06-23,54.41,54.41,54.41,54.41,0,38.319088
2004-06-24,54.470001,54.470001,54.240002,54.240002,8400,38.199368
2004-06-25,54.25,54.25,54.139999,54.139999,1200,38.128944
2004-06-28,54.16,54.330002,53.950001,53.950001,3700,37.995144
2004-06-29,53.990002,54.139999,53.990002,53.990002,3000,38.023293
2004-06-30,54.139999,54.16,54.080002,54.16,3600,38.143024
2004-07-01,54.189999,54.189999,53.720001,53.869999,8700,37.938793
2004-07-02,53.84,54.080002,53.66,53.700001,3600,37.819069
2004-07-06,53.549999,53.709999,53.549999,53.669998,3100,37.797924
2004-07-07,53.810001,53.869999,53.720001,53.740002,3500,37.84724
2004-07-08,53.610001,53.970001,53.610001,53.669998,2800,37.797924
2004-07-09,53.830002,53.830002,53.669998,53.810001,2500,37.89653
2004-07-12,53.950001,53.950001,53.560001,53.560001,3600,37.720459
2004-07-13,53.799999,53.900002,53.799999,53.889999,1500,37.952885
2004-07-14,54.07,54.07,53.82,53.82,1600,37.903584
2004-07-15,53.82,53.82,53.68,53.68,1700,37.804981
2004-07-16,53.779999,53.779999,53.52,53.560001,2900,37.720459
2004-07-19,53.650002,53.650002,53.360001,53.439999,6300,37.635948
2004-07-20,53.400002,53.52,53.400002,53.439999,4900,37.635948
2004-07-21,53.389999,53.389999,52.919998,52.919998,10600,37.269741
2004-07-22,52.279999,52.330002,52.23,52.23,1600,36.783794
