date,open,high,low,close,volume,adjusted
2009-08-14,26.98,27.01,25.66,26.02,0,21.579576
2009-08-17,26.049999,29.469999,25.200001,25.23,0,20.924393
2009-08-18,26.99,26.99,25.52,25.75,0,21.355658
2009-08-19,25.83,26.24,25.57,26.129999,0,21.670803
2009-08-20,26.41,27.33,26.4,26.969999,0,22.367458
2009-08-21,27.35,27.57,27.049999,27.469999,0,22.782125
2009-08-24,27.42,27.540001,27.120001,27.280001,0,22.624556
2009-08-25,27.440001,27.459999,25.700001,25.700001,0,21.314184
2009-08-26,27.08,27.08,26.58,26.82,176800,22.243052
2009-08-27,27.01,27.01,26.6,26.780001,95800,22.209883
2009-08-28,27.33,27.4,26.809999,27.02,75800,22.408924
2009-08-31,27.02,27.280001,27.02,27.129999,57700,22.500151
2009-09-01,27.15,27.4,26.57,26.65,76500,22.102064
2009-09-02,26.59,26.93,26.58,26.83,43500,22.251347
2009-09-03,27.16,27.25,26.940001,27.15,49300,22.516737
2009-09-04,27.27,27.34,26.690001,26.99,35000,22.384041
2009-09-08,27.84,27.84,27.110001,27.370001,51100,22.699194
2009-09-09,27.450001,27.74,27.309999,27.549999,226000,22.848476
2009-09-10,27.58,27.74,27.4,27.65,21700,22.931408
2009-09-11,28.16,28.209999,27.9,28,84500,23.221684
2009-09-14,28.15,28.65,28.1,28.610001,94100,23.727585
2009-09-15,28.440001,28.620001,28.219999,28.620001,316300,23.735876
2009-09-16,28.48,28.870001,28.32,28.870001,103000,23.943214
2009-09-17,28.91,28.91,28.549999,28.620001,83000,23.735876
2009-09-18,29.1,29.1,28.709999,28.84,84800,23.918333
2009-09-21,28.91,29.690001,28.700001,29.209999,126600,24.225187
2009-09-22,29.49,29.6,29,29.139999,92800,24.167137
2009-09-23,28.889999,29.370001,28.700001,28.700001,89200,23.802223
2009-09-24,28.83,28.85,28.23,28.450001,70500,23.594891
2009-09-25,28.540001,28.92,28.5,28.709999,87600,23.81052
2009-09-28,28.799999,29.059999,28.6,29,84600,24.051025
2009-09-29,29.02,29.129999,28.879999,29.049999,151500,24.092495
2009-09-30,29.07,29.07,28.57,28.75,53400,23.843693
