date,open,high,low,close,volume,adjusted
2010-09-09,50.84,50.849998,50.73,50.73,1200,41.438572
2010-09-10,50.66,50.84,50.66,50.830002,28200,41.520279
2010-09-13,51.360001,51.490002,51.16,51.240002,17500,41.855175
2010-09-14,51.34,51.509998,51.029999,51.330002,49100,41.928699
2010-09-15,51.150002,51.360001,51.150002,51.349998,2400,41.945034
2010-09-16,51.18,51.360001,51.110001,51.360001,13500,41.953194
2010-09-17,51.43,51.43,51.220001,51.279999,11500,41.887856
2010-09-20,51.869999,52.049999,51.860001,52.049999,3800,42.516811
2010-09-21,52.099998,52.240002,51.849998,51.849998,7100,42.353455
2010-09-22,51.599998,51.759998,51.560001,51.759998,9900,42.279938
2010-09-23,51.16,51.509998,51.16,51.18,4100,41.806175
2010-09-24,51.639999,52.060001,51.639999,52.049999,2500,42.516811
2010-09-27,51.950001,52.060001,51.900002,52.060001,6700,42.524994
2010-09-28,51.630001,52.099998,51.439999,52.099998,24500,42.557671
2010-09-29,51.880001,52.080002,51.759998,51.759998,10500,42.279938
2010-09-30,52.18,52.380001,51.619999,51.779999,14200,42.296276
2010-10-01,52.099998,52.099998,51.830002,51.860001,3700,42.361629
2010-10-04,52.009998,52.009998,51.889999,51.889999,3100,42.386127
2010-10-05,52.5,52.900002,52.5,52.849998,2600,43.170303
2010-10-06,52.84,52.84,52.66,52.66,400,43.015099
2010-10-07,52.759998,52.759998,52.759998,52.759998,2000,43.096783
2010-10-08,52.900002,53.049999,52.900002,53.049999,1400,43.333675
2010-10-11,53.040001,53.09,52.919998,52.919998,2900,43.227486
2010-10-12,53.009998,53.34,52.740002,53.310001,3500,43.546059
2010-10-13,53.360001,53.630001,53.360001,53.560001,12800,43.750259
2010-10-14,53.189999,53.34,52.880001,52.959999,13500,43.260143
2010-10-15,53.41,53.41,52.709999,52.84,9100,43.162136
2010-10-18,53.119999,53.299999,53.119999,53.299999,1000,43.53788
2010-10-19,53,53.060001,52.389999,52.389999,3300,42.794548
2010-10-20,52.73,53.279999,52.73,53.279999,8700,43.521538
2010-10-21,53.52,53.529999,53.040001,53.240002,10400,43.488869
2010-10-22,53.189999,53.27,53.189999,53.23,2900,43.480701
2010-10-25,53.619999,53.619999,53.32,53.32,5200,43.554222
2010-10-26,53.25,53.25,53.25,53.25,1500,43.497036
2010-10-27,53.25,53.25,53.25,53.25,0,43.497036
2010-10-28,53.169998,53.169998,53.16,53.16,3000,43.423527
2010-10-29,53.16,53.16,53.16,53.16,1200,43.423527
2010-11-01,53.240002,53.240002,53.200001,53.200001,1900,43.4562
2010-11-02,53.34,53.34,53.34,53.34,200,43.570549
2010-11-03,53.470001,53.610001,53.279999,53.610001,19700,43.791111
2010-11-04,54.439999,54.459999,54.439999,54.450001,500,44.477253
2010-11-05,54.970001,55.240002,54.869999,55.060001,24600,44.975529
2010-11-08,55.040001,55.040001,54.880001,54.900002,2100,44.844826
2010-11-09,54.889999,54.889999,54.470001,54.490002,24900,44.509926
2010-11-10,54.130001,54.599998,54.130001,54.599998,2400,44.599785
2010-11-11,54.32,54.32,54.32,54.32,800,44.371067
2010-11-12,54.27,54.27,53.790001,53.84,2700,43.97897
2010-11-15,54.200001,54.380001,53.950001,53.950001,2300,44.06884
2010-11-16,53.09,53.09,53.040001,53.040001,1000,43.325504
2010-11-17,53.18,53.220001,53.049999,53.049999,2400,43.333675
2010-11-18,53.619999,53.950001,53.619999,53.889999,3700,44.019814
2010-11-19,53.869999,53.869999,53.869999,53.869999,300,44.003483
2010-11-22,53.220001,53.220001,53.220001,53.220001,1500,43.472534
2010-11-23,53,53,52.889999,52.889999,700,43.20298
2010-11-24,53.299999,53.5,53.299999,53.5,7700,43.701248
2010-11-26,53.5,53.5,53.5,53.5,0,43.701248
2010-11-29,52.68,52.84,52.68,52.790001,5000,43.121292
2010-11-30,52.759998,53.09,52.73,53.09,22200,43.366344
2010-12-01,53.639999,54,53.619999,54,48000,44.109676
2010-12-02,54.68,54.68,54.68,54.68,1500,44.665123
2010-12-03,54.610001,54.77,54.610001,54.77,1400,44.738636
2010-12-06,54.91,54.98,54.82,54.869999,17100,44.820324
2010-12-07,55.380001,55.380001,55.130001,55.130001,10500,45.032703
2010-12-08,55.130001,55.209999,54.889999,55.209999,2900,45.098053
2010-12-09,55.209999,55.209999,55.209999,55.209999,0,45.098053
2010-12-10,55.889999,55.889999,55.889999,55.889999,1000,45.653515
2010-12-13,56.450001,56.450001,56.139999,56.200001,9800,45.906734
2010-12-14,56.200001,56.200001,56.080002,56.080002,900,45.808712
2010-12-15,56.040001,56.040001,56.040001,56.040001,300,45.776024
2010-12-16,55.759998,56.200001,55.759998,56.150002,22100,45.865891
2010-12-17,56.040001,56.220001,56.009998,56.220001,3900,45.923065
2010-12-20,56.23,56.450001,56.110001,56.41,6500,46.078278
2010-12-21,56.650002,56.830002,56.650002,56.799999,25100,46.396843
2010-12-22,57.060001,57.080002,57.060001,57.080002,2300,46.625561
2010-12-23,57.060001,57.060001,56.959999,56.959999,500,46.527531
2010-12-27,56.639999,56.75,56.639999,56.75,1000,46.667332
2010-12-28,56.830002,56.830002,56.759998,56.759998,4300,46.675545
2010-12-29,56.959999,56.959999,56.959999,56.959999,800,46.840019
2010-12-30,57.029999,57.029999,56.75,56.779999,11200,46.692005
2010-12-31,56.73,56.73,56.73,56.73,200,46.650894
2011-01-03,57.509998,57.700001,57.400002,57.610001,10400,47.374542
2011-01-04,57.91,57.91,57.52,57.57,5400,47.341644
2011-01-05,57.540001,57.959999,57.459999,57.880001,75000,47.596573
2011-01-06,58.16,58.16,57.709999,57.709999,3100,47.45676
2011-01-07,57.900002,57.900002,57.509998,57.68,3200,47.432102
2011-01-10,57.32,57.619999,57.32,57.619999,2400,47.382748
2011-01-11,57.849998,57.919998,57.68,57.73,4400,47.473217
2011-01-12,58.18,58.18,58.16,58.16,1700,47.826836
2011-01-13,58.259998,58.27,58.23,58.240002,2100,47.892612
2011-01-14,58.82,58.82,58.82,58.82,1500,48.369568
