date,open,high,low,close,volume,adjusted
2006-11-16,50.509998,50.57,50.459999,50.459999,31200,33.903488
2006-11-17,50.599998,50.599998,50.259998,50.540001,46000,33.957233
2006-11-20,50.689999,50.689999,50.5,50.560001,17300,33.970673
2006-11-21,50.740002,50.740002,50.450001,50.5,9900,33.930355
2006-11-22,50.599998,50.599998,50.450001,50.509998,14700,33.937077
2006-11-24,50.599998,50.599998,50.380001,50.43,4000,33.883327
2006-11-27,50.290001,50.290001,49.82,49.900002,13000,33.527233
2006-11-28,49.889999,50.07,49.889999,50.049999,4100,33.628006
2006-11-29,50.25,50.59,50.25,50.59,16300,33.990837
2006-11-30,50.66,50.77,50.369999,50.68,20300,34.051296
2006-12-01,50.73,50.73,50.25,50.380001,8400,33.849743
2006-12-04,50.599998,50.849998,50.599998,50.849998,2200,34.165512
2006-12-05,50.990002,51.060001,50.939999,51.060001,16700,34.306614
2006-12-06,51.049999,51.07,50.98,50.98,5000,34.252865
2006-12-07,50.98,50.990002,50.880001,50.889999,5200,34.19239
2006-12-08,50.849998,51.060001,50.740002,51,5100,34.2663
2006-12-11,50.990002,51.119999,50.98,51.049999,5100,34.299885
2006-12-12,51.09,51.189999,50.93,51.18,6800,34.38723
2006-12-13,51.380001,51.380001,51.25,51.310001,8900,34.474594
2006-12-14,51.419998,51.779999,51.380001,51.779999,19500,34.790382
2006-12-15,51.900002,51.950001,51.830002,51.849998,45100,34.837406
2006-12-18,51.959999,51.959999,51.73,51.75,8900,34.770222
2006-12-19,51.720001,51.919998,51.689999,51.919998,2700,34.884441
2006-12-20,51.98,52.029999,51.880001,51.889999,5500,34.864288
2006-12-21,51.869999,51.919998,51.700001,51.73,3000,34.756783
2006-12-22,51.639999,51.639999,51.360001,51.369999,3900,34.63205
2006-12-26,51.349998,51.68,51.349998,51.68,5700,34.841061
2006-12-27,51.900002,52.060001,51.869999,52.040001,9900,35.083744
2006-12-28,52.080002,52.080002,51.919998,52.049999,10500,35.090492
2006-12-29,51.950001,51.970001,51.669998,51.709999,13900,34.861282
2007-01-03,51.959999,52.09,51.470001,51.720001,35000,34.868015
2007-01-04,51.400002,51.700001,51.389999,51.59,11400,34.78038
2007-01-05,51.5,51.5,51.16,51.23,10500,34.537682
2007-01-08,51.189999,51.290001,51,51.240002,21800,34.544422
2007-01-09,51.240002,51.290001,51.029999,51.200001,34400,34.517448
2007-01-10,51.139999,51.18,50.93,51.139999,7600,34.476994
2007-01-11,51.259998,51.48,51.259998,51.330002,49600,34.605091
2007-01-12,51.380001,51.52,51.299999,51.5,54100,34.7197
2007-01-16,51.5,51.630001,51.400002,51.5,10900,34.7197
2007-01-17,51.560001,51.68,51.470001,51.529999,16600,34.739925
2007-01-18,51.68,51.68,51.52,51.540001,8200,34.746666
2007-01-19,51.639999,51.75,51.599998,51.720001,10400,34.868015
2007-01-22,51.790001,51.790001,51.470001,51.540001,23100,34.746666
2007-01-23,51.490002,51.75,51.459999,51.669998,10600,34.834316
2007-01-24,51.849998,52.080002,51.799999,52.080002,9900,35.11071
2007-01-25,52.060001,52.060001,51.48,51.509998,11200,34.726452
2007-01-26,51.630001,51.630001,51.299999,51.450001,3700,34.685993
2007-01-29,51.540001,51.66,51.450001,51.48,4600,34.706219
2007-01-30,51.59,51.66,51.5,51.66,9600,34.827572
2007-01-31,51.700001,52.459999,51.599998,52,31000,35.056789
2007-02-01,52.110001,52.34,52.07,52.34,20000,35.286011
2007-02-02,52.299999,52.419998,52.25,52.419998,6100,35.339947
2007-02-05,52.369999,52.439999,52.23,52.380001,15900,35.312973
2007-02-06,52.5,52.5,52.360001,52.439999,14800,35.35342
2007-02-07,52.490002,52.509998,52.290001,52.369999,12400,35.306217
2007-02-08,52.32,52.34,52.130001,52.34,23200,35.286011
2007-02-09,52.450001,52.450001,52,52.16,38000,35.16465
2007-02-12,52.169998,52.169998,51.98,52.049999,11300,35.090492
2007-02-13,52.220001,52.450001,52.220001,52.450001,9600,35.360153
2007-02-14,52.529999,52.830002,52.529999,52.790001,5900,35.589378
2007-02-15,52.779999,52.779999,52.689999,52.740002,109900,35.555668
2007-02-16,52.709999,52.709999,52.619999,52.689999,7200,35.521965
2007-02-20,52.610001,52.860001,52.57,52.790001,41500,35.589378
2007-02-21,52.669998,52.75,52.549999,52.639999,14800,35.488251
2007-02-22,52.66,52.669998,52.490002,52.599998,5400,35.461277
2007-02-23,52.650002,52.650002,52.34,52.48,8900,35.380379
2007-02-26,52.84,52.84,52.560001,52.599998,22100,35.461277
2007-02-27,52.32,52.32,50.900002,51.07,43600,34.429817
