date,open,high,low,close,volume,adjusted
2015-03-24,25.83,26.35,25.75,25.75,412600,24.229414
2015-03-25,25.780001,25.790001,25.299999,25.32,188600,23.824808
2015-03-26,25.4,26.09,24.9,25.139999,581400,23.655436
2015-03-27,25.15,25.32,25.15,25.309999,304900,23.815397
2015-03-30,25.4,25.52,25.4,25.51,260200,24.003586
2015-03-31,25.34,25.379999,25.252001,25.305,87100,23.810696
2015-04-01,25.58,25.58,25.1,25.139999,111400,23.655436
2015-04-02,25.23,25.372,25.219999,25.370001,126300,23.871855
2015-04-06,25.85,25.85,25.475,25.51,170400,24.003586
2015-04-07,25.530001,25.67,25.530001,25.535,101500,24.027111
2015-04-08,25.6,25.719999,25.6,25.629999,122700,24.116501
2015-04-09,25.68,25.790001,25.66,25.76,121600,24.238823
2015-04-10,25.799999,25.93,25.799999,25.91,189800,24.379967
2015-04-13,25.969999,25.99,25.950001,25.950001,126200,24.417608
2015-04-14,26.33,26.33,25.85,25.865999,102100,24.338564
2015-04-15,25.959999,26.09,25.92,26.049999,124600,24.5117
2015-04-16,26.049999,26.139999,26.01,26.110001,141200,24.568159
2015-04-17,25.860001,25.875,25.708,25.714001,107200,24.195543
2015-04-20,25.82,25.92,25.809999,25.879999,83000,24.351734
2015-04-21,26.08,26.08,26.02,26.02,87100,24.483471
2015-04-22,26.08,26.120001,25.951,26.110001,88500,24.568159
2015-04-23,26.02,26.27,25.99,26.254999,112400,24.704594
2015-04-24,26.26,26.27,26.15,26.15,112300,24.605795
2015-04-27,26.280001,26.370001,26,26,79600,24.464653
2015-04-28,26.530001,26.530001,25.799999,25.969,86300,24.435482
2015-04-29,25.809999,25.9,25.754999,25.819,65400,24.29434
2015-04-30,25.85,25.85,25.527,25.57,55800,24.060045
2015-05-01,25.709999,25.860001,25.709999,25.860001,49200,24.33292
2015-05-04,25.99,26.059999,25.948999,25.969999,103500,24.436422
2015-05-05,25.950001,25.950001,25.57,25.620001,84900,24.107094
2015-05-06,25.799999,25.83,25.469999,25.59,84400,24.078865
2015-05-07,25.5,25.67,25.5,25.65,62600,24.135317
2015-05-08,25.950001,26.105,25.950001,26.059999,808100,24.521111
2015-05-11,26.030001,26.08,25.974001,25.99,62300,24.45524
2015-05-12,25.99,26.025,25.808001,25.969999,52600,24.436422
2015-05-13,26.030001,26.139999,26.02,26.049999,36000,24.5117
2015-05-14,26.209999,26.34,26.136999,26.34,81300,24.784578
2015-05-15,26.34,26.35,26.259001,26.35,56100,24.793987
2015-05-18,26.34,26.450001,26.309999,26.440001,48900,24.878672
2015-05-19,26.43,26.43,26.341,26.360001,68600,24.803394
2015-05-20,26.379999,26.530001,26.32,26.43,79700,24.869259
2015-05-21,26.440001,26.540001,26.436001,26.514999,63700,24.949238
2015-05-22,26.379999,26.48,26.365999,26.450001,68000,24.888081
2015-05-26,26.35,26.35,26.139999,26.145,70500,24.601089
2015-05-27,26.18,26.459999,26.16,26.447001,67800,24.885256
2015-05-28,26.43,26.469999,26.35,26.459999,81200,24.89749
2015-05-29,26.440001,26.443001,26.25,26.309999,104300,24.756346
2015-06-01,26.42,26.42,26.174,26.27,73800,24.71871
2015-06-02,26.33,26.440001,26.26,26.34,45900,24.784578
2015-06-03,26.440001,26.549999,26.414,26.450001,94500,24.888081
2015-06-04,26.950001,26.950001,26.15,26.190001,54500,24.643436
2015-06-05,26.15,26.15,25.959999,26.120001,55900,24.577568
2015-06-08,26.139999,26.139999,26,26.01,32100,24.47406
2015-06-09,25.950001,25.98,25.862,25.93,44300,24.398788
2015-06-10,26.15,26.34,26.059999,26.32,51900,24.765757
2015-06-11,26.370001,26.4,26.294001,26.379999,48100,24.82221
2015-06-12,26.24,26.24,26.15,26.200001,45800,24.652845
2015-06-15,25.950001,26.059999,25.895,26.055,51900,24.516405
2015-06-16,26.030001,26.128,26,26.1,59200,24.55875
2015-06-17,26.15,26.24,26.006001,26.16,44200,24.615202
2015-06-18,26.16,26.59,26.16,26.52,42500,24.953947
2015-06-19,26.299999,26.559999,26.27,26.5,58500,24.935127
2015-06-22,26.67,26.729,26.66,26.700001,49700,25.123316
2015-06-23,26.709999,26.709999,26.559999,26.610001,77600,25.038633
2015-06-24,26.41,26.41,26.18,26.202,46000,24.783251
2015-06-25,26.25,26.27,26.110001,26.16,83600,24.743525
2015-06-26,26.16,26.16,25.98,26.049999,45500,24.639481
2015-06-29,25.76,25.871,25.370001,25.389999,59500,24.015217
2015-06-30,25.57,25.57,25.360001,25.469999,54600,24.090885
2015-07-01,25.639999,25.67,25.48,25.559999,43700,24.176014
2015-07-02,25.26,25.629999,25.26,25.6,43900,24.213846
2015-07-06,25.299999,25.509001,25.26,25.370001,46400,23.996302
2015-07-07,25.290001,25.379999,24.91,25.379999,72200,24.00576
2015-07-08,24.959999,25.129999,24.9,24.91,53900,23.561211
2015-07-09,25.059999,25.35,25.030001,25.059999,90200,23.703085
2015-07-10,25.48,25.59,25.444,25.549999,41900,24.166555
2015-07-13,25.67,25.799999,25.67,25.799999,52400,24.403019
2015-07-14,25.85,26.030001,25.82,26.025,132800,24.615837
2015-07-15,26.09,26.09,25.83,25.879999,69500,24.478682
2015-07-16,26.07,26.15,26.02,26.139999,86800,24.724607
2015-07-17,26.139999,26.15,26.07,26.15,43500,24.734066
2015-07-20,26.15,26.17,26.02,26.1,100500,24.686775
2015-07-21,26.01,26.1,25.889999,25.950001,57400,24.544897
2015-07-22,25.780001,25.85,25.75,25.841,42300,24.441797
2015-07-23,25.84,25.98,25.791,25.799999,39700,24.403019
2015-07-24,25.940001,25.940001,25.5,25.5,45700,24.119261
2015-07-27,25.469999,25.469999,25.209999,25.25,94800,23.882799
2015-07-28,25.26,25.575001,25.23,25.540001,107800,24.157099
2015-07-29,25.59,25.799999,25.562,25.76,48700,24.365181
2015-07-30,25.709999,25.799999,25.6,25.76,33400,24.365181
2015-07-31,25.74,25.969,25.74,25.84,30400,24.440853
2015-08-03,25.709999,25.860001,25.645,25.77,56400,24.374643
2015-08-04,25.629999,25.83,25.629999,25.66,84400,24.270599
2015-08-05,25.77,25.99,25.77,25.950001,52500,24.544897
2015-08-06,26,26,25.559,25.6,67700,24.213846
2015-08-07,25.59,25.59,25.360001,25.5,26100,24.119261
2015-08-10,25.57,25.91,25.57,25.85,368300,24.45031
2015-08-11,25.66,25.677,25.450001,25.540001,47100,24.157099
2015-08-12,25.27,25.576,25.129999,25.559999,38900,24.176014
2015-08-13,25.51,25.573999,25.49,25.5,23900,24.119261
2015-08-14,25.139999,25.559999,25.139999,25.549999,32000,24.166555
2015-08-17,25.48,25.700001,25.389999,25.700001,22600,24.30843
2015-08-18,25.690001,25.690001,25.549999,25.620001,27200,24.232765
2015-08-19,25.51,25.51,25.24,25.450001,38800,24.07197
2015-08-20,25.16,25.25,24.75,24.75,84000,23.409876
2015-08-21,24.469999,24.65,24.049999,24.049999,99500,22.747774
2015-08-24,22.799999,23.885,22.07,23.379999,133500,22.114052
2015-08-25,24.1,24.110001,23.219999,23.24,80100,21.981634
2015-08-26,23.639999,23.950001,23.280001,23.950001,66200,22.653191
2015-08-27,24.360001,24.59,24.23,24.59,42200,23.258533
2015-08-28,24.42,24.6,24.42,24.6,28200,23.267996
2015-08-31,24.469999,24.540001,24.4,24.4,22100,23.078821
2015-09-01,23.809999,23.982,23.555,23.677,43100,22.394972
2015-09-02,23.969999,24.139999,23.732,24.139999,53100,22.832901
2015-09-03,24.219999,24.379999,24.107,24.15,34000,22.842361
2015-09-04,23.85,23.91,23.66,23.82,33900,22.530226
2015-09-08,24.209999,24.51,24.209999,24.51,22600,23.182867
2015-09-09,24.620001,24.799999,24.193001,24.200001,42400,22.889656
2015-09-10,24.09,24.49,24.044001,24.42,31800,23.097738
2015-09-11,24.190001,24.469999,24.155001,24.459999,35900,23.135574
2015-09-14,24.34,24.34,24.15,24.24,26000,22.927488
2015-09-15,24.316999,24.555,24.316999,24.5,36400,23.173407
2015-09-16,24.51,24.716,24.5,24.690001,34800,23.353121
2015-09-17,24.629999,24.948999,24.629999,24.83,31800,23.48554
2015-09-18,24.450001,24.52,24.209999,24.309999,23900,22.993698
2015-09-21,24.379999,24.540001,24.139999,24.24,35000,22.927488
2015-09-22,23.85,23.85,23.639999,23.809999,26100,22.520767
2015-09-23,23.870001,23.870001,23.587999,23.67,28100,22.388351
2015-09-24,23.5,23.621,23.309999,23.58,59400,22.303226
2015-09-25,23.77,23.889999,23.346001,23.360001,30000,22.095135
2015-09-28,23.33,23.33,22.695,22.77,56400,21.537083
2015-09-29,22.700001,22.98,22.57,22.695999,37500,21.467085
2015-09-30,23,23.27,23,23.23,39800,21.972172
2015-10-01,23.35,23.35,23.01,23.16,37000,21.905966
2015-10-02,23.030001,23.530001,22.959999,23.464001,22900,22.193502
2015-10-05,23.799999,24.02,23.799999,23.969999,39700,22.672104
2015-10-06,23.950001,23.950001,23.677999,23.85,32400,22.558601
2015-10-07,23.950001,24.1,23.950001,24.08,24700,22.776148
2015-10-08,23.99,24.299,23.99,24.24,19600,22.927488
2015-10-09,24.299999,24.389999,24.224001,24.280001,19100,22.965321
2015-10-12,24.309999,24.309999,24.184,24.24,20400,22.927488
2015-10-13,24.030001,24.194,23.959999,23.959999,20300,22.662645
2015-10-14,24.059999,24.135,23.929001,24.030001,27800,22.728855
2015-10-15,24,24.4,24,24.4,37100,23.078821
2015-10-16,24.34,24.41,24.309999,24.41,35100,23.088282
2015-10-19,24.389999,24.48,24.299999,24.436001,24800,23.112873
2015-10-20,24.360001,24.360001,24.25,24.291,27100,22.975725
2015-10-21,24.41,24.41,24.1,24.129999,42100,22.823446
2015-10-22,24.299999,24.502001,24.299999,24.5,25600,23.173407
2015-10-23,24.639999,24.870001,24.629999,24.825001,23600,23.48081
2015-10-26,24.75,24.879999,24.75,24.827,24200,23.4827
2015-10-27,24.74,24.76,24.667,24.690001,25300,23.353121
2015-10-28,24.74,24.988001,24.73,24.976999,34500,23.62458
2015-10-29,24.870001,24.98,24.85,24.870001,31100,23.523376
2015-10-30,24.9,25.054001,24.9,25,16500,23.646336
2015-11-02,24.969999,25.33,24.969999,25.290001,27000,23.920631
2015-11-03,25.25,25.360001,25.15,25.309999,45300,23.939547
2015-11-04,25.360001,25.360001,25.188999,25.219999,39600,23.854424
2015-11-05,25.299999,25.299999,25.141001,25.209999,26800,23.844961
2015-11-06,25.23,25.249001,25.09,25.209999,22800,23.844961
2015-11-09,25.24,25.24,24.959999,25.069,28200,23.711599
2015-11-10,24.99,25.004999,24.868999,25.004999,33700,23.65106
2015-11-11,25.139999,25.139999,24.99,25.02,33800,23.665253
2015-11-12,24.790001,24.882,24.74,24.746,27000,23.406088
2015-11-13,24.565001,24.67,24.450001,24.49,31400,23.163948
2015-11-16,24.35,24.809999,24.35,24.754,39000,23.413656
2015-11-17,24.870001,25.030001,24.809999,24.92,80500,23.570667
2015-11-18,24.950001,25.26,24.950001,25.201,39300,23.836451
2015-11-19,25.4,25.4,25.25,25.301001,33900,23.93104
2015-11-20,25.358999,25.370001,25.27,25.299999,30100,23.93009
2015-11-23,25.35,25.370001,25.209999,25.27,59200,23.901716
2015-11-24,25.02,25.27,24.969999,25.24,36100,23.873339
2015-11-25,25.200001,25.344999,25.200001,25.280001,46200,23.911171
2015-11-27,25.32,25.42,25.32,25.360001,22100,23.986841
2015-11-30,25.32,25.35,25.18,25.18,43700,23.816591
2015-12-01,25.389999,25.49,25.299999,25.475,35700,24.095617
2015-12-02,25.52,25.555,25.280001,25.280001,43500,23.911171
2015-12-03,25.26,25.414,24.83,24.959999,28300,23.608498
2015-12-04,25.164,25.370001,25.122,25.356001,40900,23.983059
2015-12-07,25.309999,25.309999,25.02,25.076,28500,23.718218
2015-12-08,24.860001,24.99,24.860001,24.959999,64200,23.608498
2015-12-09,25.030001,25.08,24.65,24.747999,44400,23.40798
2015-12-10,24.700001,24.940001,24.700001,24.799999,91100,23.457165
2015-12-11,24.540001,24.58,24.32,24.35,229800,23.031532
2015-12-14,24.450001,24.450001,24.25,24.41,223000,23.088282
2015-12-15,24.540001,24.74,24.540001,24.669001,323800,23.33326
2015-12-16,24.84,25.110001,24.764999,25.09,453600,23.731462
2015-12-17,25.18,25.18,24.809999,24.809999,161500,23.466623
2015-12-18,24.799999,24.870001,24.548,24.6,51400,23.267996
2015-12-21,24.52,24.530001,24.35,24.447001,338700,23.307079
2015-12-22,24.559999,24.75,24.5,24.67,379000,23.519684
2015-12-23,24.780001,25.01,24.780001,25.01,245200,23.84383
2015-12-24,25.049999,25.1,25.030001,25.030001,93400,23.862896
2015-12-28,24.940001,24.948999,24.82,24.92,145100,23.758028
2015-12-29,25.1,25.27,25.09,25.23,62100,24.053572
2015-12-30,25.27,25.27,25.08,25.110001,80700,23.939167
2015-12-31,25,25.030001,24.83,24.83,49800,23.672224
2016-01-04,24.51,24.542999,24.17,24.343,66700,23.207932
2016-01-05,24.43,24.461,24.292,24.42,62700,23.28134
2016-01-06,24.07,24.139999,23.870001,24.030001,31100,22.909523
2016-01-07,23.620001,23.82,23.389999,23.469999,95000,22.375637
2016-01-08,23.75,23.75,23.145,23.18,62900,22.099161
2016-01-11,23.32,23.33,22.780001,23.025,66400,21.951387
2016-01-12,23.18,23.32,22.9,23.197001,97500,22.115368
2016-01-13,23.25,23.370001,22.530001,22.57,68800,21.517601
2016-01-14,22.620001,23.059999,22.360001,22.93,88300,21.860819
2016-01-15,22.219999,22.43,22,22.280001,154000,21.241123
2016-01-19,22.52,22.559999,22.030001,22.219999,350000,21.183924
2016-01-20,21.889999,22.35,21.455,22.18,300800,21.145786
2016-01-21,22.27,22.493999,22.129999,22.24,127400,21.202991
2016-01-22,22.629999,22.809999,22.59,22.745001,56100,21.684443
2016-01-25,22.73,22.77,22.440001,22.440001,354000,21.393665
2016-01-26,22.540001,22.77,22.415001,22.74,282000,21.679674
2016-01-27,22.700001,22.893,22.421,22.49,102000,21.441332
2016-01-28,22.66,22.66,22.200001,22.33,193200,21.288792
2016-01-29,22.35,22.870001,22.35,22.870001,116800,21.803617
2016-02-01,22.76,23.02,22.66,22.959999,132500,21.889416
2016-02-02,22.700001,22.704,22.33,22.440001,149600,21.393665
2016-02-03,22.58,22.65,22.110001,22.639999,95800,21.584339
2016-02-04,22.52,22.885,22.469999,22.74,43300,21.679674
2016-02-05,22.52,22.52,22.02,22.059999,34800,21.031385
2016-02-08,21.799999,21.799999,21.25,21.5,69600,20.497496
2016-02-09,21.25,21.629999,21.25,21.450001,96600,20.449829
2016-02-10,21.75,21.82,21.51,21.51,49000,20.50703
