date,open,high,low,close,volume,adjusted
2011-01-27,25.545,25.790001,25.525,25.75,44200,24.121723
2011-01-28,25.75,25.75,25.75,25.75,0,24.121723
2011-01-31,24.940001,25.02,24.940001,25.02,400,23.437889
2011-02-01,25.200001,25.34,25.200001,25.34,800,23.737652
2011-02-02,25.035,25.035,24.85,24.85,600,23.278641
2011-02-03,24.85,24.85,24.85,24.85,0,23.278641
2011-02-04,25.129999,25.129999,24.815001,24.815001,19200,23.245852
2011-02-07,24.815001,24.815001,24.815001,24.815001,0,23.245852
2011-02-08,25.17,25.18,25.17,25.18,1800,23.58777
2011-02-09,25.254999,25.325001,25.190001,25.27,82400,23.672083
2011-02-10,25.219999,25.495001,25.195,25.465,54000,23.854753
2011-02-11,25.525,25.870001,25.52,25.834999,57200,24.201359
2011-02-14,26.094999,26.094999,25.82,25.905001,19800,24.266928
2011-02-15,25.934999,26.125,25.92,26.110001,23000,24.458961
2011-02-16,26.35,26.42,26.225,26.360001,66400,24.693153
2011-02-17,26.43,26.48,26.309999,26.48,8000,24.805567
2011-02-18,26.584999,26.584999,26.375,26.375,3800,24.707209
2011-02-22,25.83,25.834999,25.334999,25.334999,5800,23.732967
2011-02-23,24.93,24.93,24.450001,24.764999,12600,23.199017
2011-02-24,24.645,24.955,24.52,24.895,11000,23.320795
2011-02-25,25.065001,25.1,25.040001,25.094999,37000,23.508142
2011-02-28,25.18,25.264999,25.135,25.195,15400,23.601822
2011-03-01,24.934999,25.155001,24.594999,24.665001,15000,23.105337
2011-03-02,24.725,24.915001,24.620001,24.780001,6400,23.213064
2011-03-03,25.465,25.504999,25.465,25.48,5200,23.868801
2011-03-04,25.605,25.605,25.035,25.07,5400,23.484734
2011-03-07,25.58,25.58,24.775,25.02,13200,23.437889
2011-03-08,25.110001,25.870001,25.084999,25.860001,11800,24.224766
2011-03-09,25.555,25.754999,25.549999,25.66,7600,24.037416
2011-03-10,25.315001,25.655001,25.15,25.594999,11200,23.97653
2011-03-11,25.540001,25.735001,25.43,25.735001,15600,24.107679
2011-03-14,25.469999,25.469999,25.235001,25.280001,5800,23.681446
2011-03-15,24.775,25.200001,24.775,25.15,3600,23.559669
2011-03-16,25.315001,25.315001,24.91,24.91,10400,23.334843
2011-03-17,25.205,25.205,25.025,25.030001,4200,23.447258
