date,open,high,low,close,volume,adjusted
2016-11-01,1000,1000,1000,1000,0,1000
2016-11-02,988.820984,988.820984,988.820984,988.820984,0,988.820984
2016-11-03,984.836975,984.836975,984.836975,984.836975,0,984.836975
2016-11-04,979.721008,979.721008,979.721008,979.721008,0,979.721008
2016-11-07,999.27002,999.27002,999.27002,999.27002,0,999.27002
2016-11-08,1003.599976,1003.599976,1003.599976,1003.599976,0,1003.599976
2016-11-09,1004.380005,1004.380005,1004.380005,1004.380005,0,1004.380005
2016-11-10,1011.27002,1011.27002,1011.27002,1011.27002,0,1011.27002
2016-11-11,1005.76001,1005.76001,1005.76001,1005.76001,0,1005.76001
2016-11-14,1007.960022,1007.960022,1007.960022,1007.960022,0,1007.960022
2016-11-15,1014.630005,1014.630005,1014.630005,1014.630005,0,1014.630005
2016-11-16,1015.320007,1015.320007,1015.320007,1015.320007,0,1015.320007
2016-11-17,1019.650024,1019.650024,1019.650024,1019.650024,0,1019.650024
2016-11-18,1019.109985,1019.109985,1019.109985,1019.109985,0,1019.109985
2016-11-21,1025.469971,1025.469971,1025.469971,1025.469971,0,1025.469971
2016-11-22,1029.72998,1029.72998,1029.72998,1029.72998,0,1029.72998
2016-11-23,1031.97998,1031.97998,1031.97998,1031.97998,0,1031.97998
2016-11-24,1033.26001,1033.26001,1033.26001,1033.26001,0,1033.26001
2016-11-25,1037.079956,1037.079956,1037.079956,1037.079956,0,1037.079956
2016-11-28,1032.209961,1032.209961,1032.209961,1032.209961,0,1032.209961
2016-11-29,1033.51001,1033.51001,1033.51001,1033.51001,0,1033.51001
2016-11-30,1034.949951,1034.949951,1034.949951,1034.949951,0,1034.949951
2016-12-01,1031.969971,1031.969971,1031.969971,1031.969971,0,1031.969971
2016-12-02,1029.47998,1029.47998,1029.47998,1029.47998,0,1029.47998
2016-12-05,1034.390015,1034.390015,1034.390015,1034.390015,0,1034.390015
2016-12-06,1039.709961,1039.709961,1039.709961,1039.709961,0,1039.709961
2016-12-07,1051.290039,1051.290039,1051.290039,1051.290039,0,1051.290039
2016-12-08,1058.189941,1058.189941,1058.189941,1058.189941,0,1058.189941
2016-12-09,1064.300049,1064.300049,1064.300049,1064.300049,0,1064.300049
2016-12-12,1062.469971,1062.469971,1062.469971,1062.469971,0,1062.469971
2016-12-13,1069.719971,1069.719971,1069.719971,1069.719971,0,1069.719971
2016-12-14,1062.680054,1062.680054,1062.680054,1062.680054,0,1062.680054
2016-12-15,1068.51001,1068.51001,1068.51001,1068.51001,0,1068.51001
2016-12-16,1067.969971,1067.969971,1067.969971,1067.969971,0,1067.969971
2016-12-19,1066.630005,1066.630005,1066.630005,1066.630005,0,1066.630005
