date,open,high,low,close,volume,adjusted
2018-03-14,5.00682,5.00682,5.00682,5.00682,0,5.00682
2018-03-15,5.00668,5.00668,5.00668,5.00668,0,5.00668
2018-03-16,5.0057,5.0057,5.0057,5.0057,0,5.0057
2018-03-19,5.0058,5.0058,5.0058,5.0058,0,5.0058
2018-03-20,5.0004,5.0004,5.0004,5.0004,0,5.0004
2018-03-21,4.9965,4.9965,4.9965,4.9965,0,4.9965
2018-03-22,5.018,5.035,5.017,5.033,631800,5.033
2018-03-23,5.016,5.016,5.016,5.016,2000,5.016
2018-03-26,5.016,5.016,5.016,5.016,0,5.016
2018-03-27,5.016,5.016,5.016,5.016,0,5.016
2018-03-28,5.048,5.048,5.048,5.048,3,5.048
2018-03-29,5.027,5.027,5.027,5.027,2000,5.027
2018-04-03,4.9945,5.048,4.9945,5.048,150000,5.048
2018-04-04,5.048,5.048,5.048,5.048,0,5.048
2018-04-05,5.048,5.048,5.048,5.048,0,5.048
2018-04-06,5.021,5.021,5.021,5.021,2000,5.021
2018-04-09,5.019,5.02,5.019,5.02,6000,5.02
2018-04-10,5.023,5.025,5.023,5.025,3000,5.025
2018-04-11,5.025,5.025,5.025,5.025,0,5.025
2018-04-12,5.025,5.025,5.025,5.025,0,5.025
2018-04-13,5.025,5.025,5.025,5.025,0,5.025
2018-04-16,5.025,5.025,5.025,5.025,0,5.025
2018-04-17,5.018,5.018,5.018,5.018,2000,5.018
2018-04-18,5.018,5.018,5.018,5.018,0,5.018
2018-04-19,5.018,5.018,5.018,5.018,0,5.018
2018-04-20,5,5,4.997,4.997,6000,4.997
2018-04-23,4.997,4.997,4.997,4.997,0,4.997
2018-04-24,4.997,4.997,4.997,4.997,0,4.997
2018-04-25,4.997,4.997,4.997,4.997,0,4.997
2018-04-26,4.997,4.997,4.997,4.997,0,4.997
2018-04-27,4.997,4.997,4.997,4.997,0,4.997
2018-04-30,4.991,4.991,4.991,4.991,2000,4.991
2018-05-02,4.991,4.991,4.991,4.991,0,4.991
2018-05-03,4.995,4.995,4.995,4.995,2000,4.995
2018-05-04,4.989,4.989,4.989,4.989,2000,4.989
2018-05-07,4.989,4.989,4.989,4.989,0,4.989
2018-05-08,5,5,4.985,4.985,4600,4.985
2018-05-09,4.985,4.985,4.985,4.985,0,4.985
2018-05-11,4.995,4.995,4.995,4.995,38400,4.995
2018-05-14,4.9795,4.9795,4.9795,4.9795,2000,4.9795
2018-05-15,4.9795,4.9795,4.9795,4.9795,0,4.9795
2018-05-16,4.9795,4.9795,4.9795,4.9795,0,4.9795
2018-05-17,4.9795,4.9795,4.9795,4.9795,0,4.9795
2018-05-18,4.957,4.957,4.957,4.957,2000,4.957
2018-05-22,4.968,4.968,4.968,4.968,48500,4.968
2018-05-23,4.968,4.968,4.968,4.968,0,4.968
2018-05-24,4.974,4.979,4.974,4.979,6000,4.979
2018-05-25,4.9775,4.9795,4.9775,4.9795,6000,4.9795
2018-05-28,4.9795,4.9795,4.9795,4.9795,0,4.9795
2018-05-29,4.9995,5.002,4.991,4.991,10000,4.991
2018-05-30,4.991,4.991,4.991,4.991,0,4.991
2018-05-31,4.991,4.991,4.991,4.991,0,4.991
