date,open,high,low,close,volume,adjusted
2009-12-22,114.419998,114.419998,114.419998,114.419998,22005,114.419998
2009-12-23,115.410004,115.410004,115.410004,115.410004,13590,115.410004
2009-12-24,NA,NA,NA,NA,NA,NA
2009-12-28,116.550003,117.379997,116.550003,116.550003,2555,116.550003
2009-12-29,116.300003,116.790001,116.220001,116.300003,1030,116.300003
2009-12-30,114.919998,115.449997,114.919998,114.919998,527,114.919998
2009-12-31,NA,NA,NA,NA,NA,NA
2010-01-04,118.209999,118.269997,116.919998,118.209999,14445,118.209999
2010-01-05,118.379997,118.639999,117.980003,118.379997,3888,118.379997
2010-01-06,119.43,119.5,118.269997,119.43,2695,119.43
2010-01-07,118.889999,119.18,118.669998,118.889999,23005,118.889999
2010-01-08,118.169998,119.43,117.879997,118.269997,7899,118.269997
2010-01-11,121.43,121.43,121.18,121.43,645,121.43
2010-01-12,121.529999,121.529999,120.480003,120.599998,1465,120.599998
2010-01-13,117.879997,119.379997,117.849998,117.879997,15673,117.879997
2010-01-14,118.949997,119.769997,118.949997,118.949997,6304,118.949997
2010-01-15,119.029999,119.440002,118.379997,119.029999,1336,119.029999
2010-01-18,119.139999,119.309998,118.910004,119.139999,2355,119.139999
2010-01-19,118.900002,119.089996,118.660004,118.669998,8473,118.669998
2010-01-20,116.379997,118.050003,116.379997,116.379997,85,116.379997
2010-01-21,114.989998,116.919998,114.989998,114.989998,1435,114.989998
2010-01-22,113.480003,115.120003,113.480003,113.480003,1340,113.480003
2010-01-25,114.889999,115.349998,114.889999,114.889999,270,114.889999
2010-01-26,114.470001,115.040001,114,114.470001,1895,114.470001
2010-01-27,114.599998,115.330002,114.550003,114.599998,4510,114.599998
2010-01-28,114.410004,114.529999,113.410004,114.410004,11672,114.410004
2010-01-29,113.699997,113.93,113.07,113.699997,10940,113.699997
2010-02-01,114.82,114.989998,113.269997,114.82,3018,114.82
2010-02-02,116.68,116.870003,115.699997,116.68,2465,116.68
2010-02-03,116.760002,117.5,116.589996,116.760002,1145,116.760002
2010-02-04,112.5,115.919998,112.440002,112.5,1435,112.5
2010-02-05,111.360001,111.360001,109.970001,111.360001,21555,111.360001
2010-02-08,111.470001,112.029999,111.470001,111.470001,1390,111.470001
