date,open,high,low,close,volume,adjusted
2017-07-17,14.805,14.805,14.805,14.805,2382,14.805
2017-07-18,14.785,14.785,14.78,14.78,418,14.78
2017-07-19,NA,NA,NA,NA,NA,NA
2017-07-20,14.86,14.86,14.86,14.86,396,14.86
2017-07-21,14.975,14.975,14.975,14.975,359,14.975
2017-07-24,14.87,14.87,14.85,14.85,2600,14.85
2017-07-25,NA,NA,NA,NA,NA,NA
2017-07-26,NA,NA,NA,NA,NA,NA
2017-07-27,14.865,14.865,14.865,14.865,400,14.865
2017-07-28,NA,NA,NA,NA,NA,NA
2017-07-31,14.82,14.82,14.82,14.82,906,14.82
2017-08-02,14.8,14.8,14.8,14.8,1200,14.8
2017-08-03,NA,NA,NA,NA,NA,NA
2017-08-04,NA,NA,NA,NA,NA,NA
2017-08-07,14.975,14.975,14.975,14.975,14600,14.975
2017-08-08,14.975,14.975,14.975,14.975,0,14.975
2017-08-09,14.93,14.93,14.93,14.93,80,14.93
2017-08-10,14.93,14.93,14.93,14.93,0,14.93
2017-08-11,14.93,14.93,14.93,14.93,0,14.93
2017-08-14,14.705,14.705,14.705,14.705,3956,14.705
2017-08-15,14.705,14.705,14.705,14.705,0,14.705
2017-08-16,14.705,14.705,14.705,14.705,0,14.705
2017-08-17,14.66,14.66,14.66,14.705,630,14.705
2017-08-18,14.555,14.555,14.555,14.555,19023,14.555
2017-08-21,14.63,14.645,14.625,14.625,1290,14.625
2017-08-22,14.655,14.655,14.655,14.655,351,14.655
2017-08-23,14.695,14.695,14.695,14.695,3926,14.695
2017-08-24,14.695,14.695,14.695,14.695,0,14.695
2017-08-25,14.72,14.72,14.715,14.715,647,14.715
2017-08-28,14.75,14.75,14.75,14.75,1500,14.75
2017-08-29,14.75,14.75,14.75,14.75,0,14.75
2017-08-30,14.7,14.765,14.7,14.765,1717,14.765
2017-08-31,14.83,14.83,14.83,14.83,500,14.83
2017-09-01,14.83,14.83,14.83,14.83,0,14.83
2017-09-04,14.83,14.83,14.83,14.83,0,14.83
2017-09-05,14.845,14.845,14.845,14.845,20200,14.845
2017-09-06,14.765,14.765,14.665,14.665,6065,14.665
2017-09-07,14.665,14.665,14.665,14.665,0,14.665
2017-09-08,14.665,14.665,14.665,14.665,0,14.665
2017-09-11,14.725,14.725,14.64,14.64,1114,14.64
2017-09-12,14.64,14.64,14.64,14.64,0,14.64
2017-09-13,14.64,14.64,14.64,14.64,0,14.64
2017-09-14,14.725,14.725,14.485,14.485,13186,14.485
2017-09-15,14.485,14.485,14.485,14.485,0,14.485
2017-09-18,14.895,14.895,14.815,14.815,545,14.815
2017-09-19,14.815,14.815,14.815,14.815,0,14.815
2017-09-20,14.815,14.815,14.815,14.815,0,14.815
2017-09-21,14.995,14.995,14.995,14.995,134,14.995
2017-09-22,14.995,14.995,14.995,14.995,0,14.995
2017-09-25,15.1,15.1,15.1,15.1,52,15.1
2017-09-26,15.1,15.1,15.1,15.1,0,15.1
2017-09-27,15.24,15.24,15.175,15.175,9298,15.175
2017-09-28,15.365,15.365,15.315,15.315,11869,15.315
2017-09-29,15.315,15.315,15.315,15.315,0,15.315
2017-10-02,15.315,15.315,15.315,15.315,0,15.315
2017-10-03,15.475,15.475,15.465,15.465,1350,15.465
2017-10-04,15.495,15.495,15.495,15.495,1500,15.495
2017-10-05,15.495,15.495,15.495,15.495,0,15.495
2017-10-06,15.525,15.525,15.525,15.525,300,15.525
2017-10-09,15.525,15.525,15.525,15.525,0,15.525
2017-10-10,15.53,15.53,15.53,15.53,1723,15.53
2017-10-11,15.42,15.42,15.42,15.42,1889,15.42
2017-10-12,15.525,15.525,15.405,15.405,1067,15.405
2017-10-13,15.42,15.42,15.42,15.42,2400,15.42
2017-10-16,15.5,15.57,15.5,15.57,5650,15.57
2017-10-17,15.5,15.58,15.5,15.58,20050,15.58
2017-10-18,15.5,15.5,15.5,15.5,1147,15.5
2017-10-19,15.545,15.545,15.545,15.545,300,15.545
2017-10-20,15.545,15.545,15.545,15.545,0,15.545
2017-10-23,15.545,15.545,15.545,15.545,0,15.545
2017-10-24,15.545,15.545,15.545,15.545,0,15.545
2017-10-25,15.545,15.545,15.545,15.545,0,15.545
2017-10-26,15.675,15.675,15.6,15.6,1000,15.6
2017-10-27,15.6,15.6,15.6,15.6,0,15.6
2017-10-30,15.6,15.6,15.6,15.6,0,15.6
2017-10-31,15.765,15.765,15.765,15.765,0,15.765
2017-11-01,NA,NA,NA,NA,NA,NA
2017-11-02,15.825,15.825,15.815,15.815,13415,15.815
2017-11-03,15.815,15.815,15.815,15.815,0,15.815
2017-11-06,15.74,15.74,15.74,15.74,600,15.74
2017-11-07,15.91,15.91,15.81,15.815,10072,15.815
2017-11-08,15.815,15.815,15.815,15.815,0,15.815
2017-11-09,15.815,15.815,15.815,15.815,0,15.815
2017-11-10,15.815,15.815,15.815,15.815,0,15.815
2017-11-13,15.815,15.815,15.815,15.815,0,15.815
2017-11-14,15.68,15.68,15.68,15.68,450,15.68
2017-11-15,15.62,15.685,15.62,15.685,5054,15.685
2017-11-16,15.76,15.76,15.76,15.76,300,15.76
2017-11-17,15.66,15.76,15.66,15.695,2277,15.695
2017-11-20,15.865,15.865,15.815,15.815,2232,15.815
2017-11-21,15.815,15.815,15.815,15.815,0,15.815
2017-11-22,15.91,15.91,15.91,15.91,4600,15.91
2017-11-23,15.895,15.895,15.895,15.895,1000,15.895
2017-11-24,15.935,15.935,15.935,15.935,3600,15.935
2017-11-27,15.935,15.935,15.935,15.935,0,15.935
2017-11-28,15.935,15.935,15.935,15.935,0,15.935
2017-11-29,15.935,15.935,15.935,15.935,0,15.935
2017-11-30,15.845,15.875,15.845,15.875,1075,15.875
2017-12-01,15.875,15.875,15.875,15.875,0,15.875
2017-12-04,15.87,15.87,15.87,15.87,133,15.87
2017-12-05,15.745,15.745,15.745,15.745,7754,15.745
2017-12-06,15.745,15.745,15.745,15.745,0,15.745
2017-12-07,15.725,15.81,15.725,15.81,10047,15.81
2017-12-08,15.855,15.855,15.855,15.855,101,15.855
2017-12-11,15.855,15.855,15.855,15.855,0,15.855
2017-12-12,15.91,15.91,15.91,15.91,1103,15.91
2017-12-13,15.975,16.07,15.975,16.07,7800,16.07
2017-12-14,16.030001,16.030001,16.030001,16.030001,400,16.030001
2017-12-15,15.82,15.82,15.82,15.82,900,15.82
2017-12-18,15.82,15.82,15.82,15.82,0,15.82
2017-12-19,15.82,15.82,15.82,15.82,0,15.82
2017-12-20,16.025,16.025,15.945,15.945,6749,15.945
2017-12-21,16.030001,16.040001,16.030001,16.040001,8200,16.040001
2017-12-22,16.040001,16.040001,16.040001,16.040001,0,16.040001
2017-12-27,15.94,15.955,15.94,15.955,8200,15.955
2017-12-28,15.995,15.995,15.995,15.995,250,15.995
2017-12-29,16.094999,16.094999,16.094999,16.094999,3100,16.094999
2018-01-03,16.094999,16.094999,16.094999,16.094999,0,16.094999
2018-01-04,16.17,16.17,16.17,16.17,1341,16.17
2018-01-05,16.17,16.17,16.17,16.17,0,16.17
2018-01-08,16.17,16.17,16.17,16.17,0,16.17
2018-01-09,16.148001,16.17,16.148001,16.17,2080,16.17
2018-01-10,16.156,16.200001,16.156,16.200001,5040,16.200001
2018-01-11,16.209999,16.209999,16.110001,16.184,10030,16.184
2018-01-12,16.139999,16.233999,16.139999,16.233999,3600,16.233999
2018-01-15,16.174,16.174,16.174,16.174,43,16.174
2018-01-16,16.322001,16.322001,16.205999,16.205999,7912,16.205999
2018-01-17,16.205999,16.205999,16.205999,16.205999,0,16.205999
2018-01-18,16.158001,16.261999,16.158001,16.236,24350,16.236
2018-01-19,16.236,16.236,16.236,16.236,0,16.236
2018-01-22,16.236,16.236,16.236,16.236,0,16.236
2018-01-23,16.236,16.236,16.236,16.236,0,16.236
2018-01-24,16.296,16.296,16.17,16.252001,15680,16.252001
2018-01-25,16.252001,16.252001,16.252001,16.252001,0,16.252001
2018-01-26,16.087999,16.087999,16.01,16.01,17600,16.01
2018-01-29,16.146,16.146,15.992,15.992,2642,15.992
2018-01-30,15.992,15.992,15.992,15.992,0,15.992
2018-01-31,15.946,15.946,15.946,15.946,250,15.946
2018-02-01,15.832,15.88,15.806,15.806,13669,15.806
2018-02-02,15.75,15.75,15.642,15.642,4191,15.642
2018-02-05,15.494,15.494,15.4,15.42,5229,15.42
2018-02-06,14.854,14.854,14.854,14.854,10000,14.854
2018-02-07,15.232,15.232,15.222,15.222,1454,15.222
2018-02-08,15.232,15.232,15.232,15.232,9600,15.232
2018-02-09,15.07,15.07,14.838,14.838,14550,14.838
2018-02-12,15.09,15.09,14.946,14.946,6484,14.946
2018-02-13,14.946,14.946,14.946,14.946,0,14.946
2018-02-14,14.946,14.946,14.946,14.946,0,14.946
2018-02-15,15.278,15.29,15.272,15.272,12499,15.272
2018-02-16,15.272,15.272,15.272,15.272,0,15.272
2018-02-19,15.332,15.332,15.332,15.332,9750,15.332
2018-02-20,15.332,15.332,15.332,15.332,0,15.332
2018-02-21,15.242,15.386,15.242,15.386,12772,15.386
2018-02-22,15.404,15.488,15.37,15.488,5873,15.488
2018-02-23,15.488,15.488,15.488,15.488,0,15.488
2018-02-26,15.604,15.604,15.604,15.604,396,15.604
2018-02-27,15.646,15.646,15.562,15.562,21038,15.562
2018-02-28,15.562,15.562,15.562,15.562,0,15.562
2018-03-01,15.344,15.36,15.344,15.36,6400,15.36
2018-03-02,15.292,15.294,15.292,15.294,2660,15.294
2018-03-05,15.254,15.254,15.174,15.174,775,15.174
2018-03-06,15.452,15.452,15.452,15.452,3687,15.452
2018-03-07,15.316,15.316,15.316,15.316,130,15.316
2018-03-08,15.428,15.428,15.428,15.428,8760,15.428
2018-03-09,15.434,15.434,15.388,15.388,1495,15.388
2018-03-12,15.528,15.528,15.434,15.472,3712,15.472
2018-03-13,15.518,15.518,15.51,15.51,1254,15.51
2018-03-14,15.51,15.51,15.51,15.51,0,15.51
2018-03-15,15.51,15.51,15.51,15.51,0,15.51
2018-03-16,15.65,15.65,15.65,15.65,900,15.65
2018-03-19,15.65,15.65,15.65,15.65,0,15.65
2018-03-20,15.458,15.508,15.458,15.508,2058,15.508
2018-03-21,15.508,15.508,15.508,15.508,0,15.508
2018-03-22,15.508,15.508,15.508,15.508,0,15.508
2018-03-23,15.214,15.262,15.214,15.262,3409,15.262
2018-03-26,15.262,15.262,15.262,15.262,0,15.262
2018-03-27,15.262,15.262,15.262,15.262,0,15.262
2018-03-28,15.128,15.19,15.072,15.076,14297,15.076
2018-03-29,15.076,15.076,15.076,15.076,0,15.076
2018-04-03,15.076,15.076,15.076,15.076,0,15.076
2018-04-04,14.964,14.964,14.91,14.91,275,14.91
