date,open,high,low,close,volume,adjusted
2018-02-15,37.799999,37.91,37.66,37.66,0,36.870872
2018-02-16,38,38.16,38,38.16,0,37.360397
2018-02-19,38.23,38.23,37.91,37.91,0,37.115635
2018-02-20,37.970001,38.099998,37.900002,38.099998,0,37.301651
2018-02-21,38.049999,38.189999,37.889999,38.16,0,37.360397
2018-02-22,37.860001,38.119999,37.849998,37.950001,0,37.154797
2018-02-23,38.220001,38.259998,38.080002,38.259998,0,37.458302
2018-02-26,38.575001,38.575001,38.369999,38.48,250,37.673691
2018-02-27,38.439999,38.48,38.150002,38.25,0,37.448513
2018-02-28,38.119999,38.360001,38.040001,38.060001,0,37.262493
2018-03-01,37.93,38,37.349998,37.349998,0,36.567368
2018-03-02,37.290001,37.34,36.810001,36.959999,0,36.185539
2018-03-05,36.73,37.290001,36.68,37.23,0,36.449883
2018-03-06,37.360001,37.529999,37.09,37.259998,0,36.479256
2018-03-07,36.939999,37.400002,36.939999,37.25,0,36.469463
2018-03-08,37.389999,37.810001,37.380001,37.689999,0,36.900246
2018-03-09,37.700001,38.009998,37.700001,37.900002,0,37.105846
2018-03-12,38.119999,38.130001,38.029999,38.029999,0,37.23312
2018-03-13,38.029999,38.130001,37.43,37.43,100,36.645695
2018-03-14,37.470001,37.869999,37.470001,37.580002,0,36.792553
2018-03-15,37.68,37.91,37.66,37.75,0,36.958988
2018-03-16,37.919998,38.040001,37.630001,37.860001,0,37.066685
2018-03-19,37.779999,37.799999,37.32,37.32,0,36.537998
2018-03-20,37.599998,37.740002,37.509998,37.720001,0,36.929619
2018-03-21,37.700001,37.75,37.439999,37.439999,0,36.655483
2018-03-22,37.439999,37.540001,36.959999,36.990002,0,36.214916
2018-03-23,36.630001,36.93,36.540001,36.59,0,35.823296
2018-03-26,36.68,36.990002,36.439999,36.610001,0,35.842876
2018-03-27,36.959999,37.080002,36.860001,36.860001,0,36.087639
2018-03-28,36.610001,37.200001,36.57,37.200001,0,36.420513
2018-03-29,37.099998,37.529999,37.099998,37.419998,0,36.635902
2018-04-03,37.099998,37.259998,36.93,37.07,0,36.293236
2018-04-04,37.110001,37.130001,36.700001,37,0,36.224705
2018-04-05,37.470001,37.860001,37.470001,37.77,0,36.978569
2018-04-06,37.66,37.849998,37.639999,37.639999,13,36.851292
2018-04-09,37.785,37.785,37.785,37.785,0,36.993256
2018-04-10,37.785,37.785,37.785,37.785,0,36.993256
2018-04-11,37.785,37.785,37.785,37.785,0,36.993256
2018-04-12,37.785,37.785,37.785,37.785,0,36.993256
2018-04-13,38.099998,38.389999,38.099998,38.200001,0,37.399559000000004
2018-04-16,37.785,37.785,37.785,37.785,0,36.993256
2018-04-17,37.785,37.785,37.785,37.785,0,36.993256
2018-04-18,37.785,37.785,37.785,37.785,0,36.993256
2018-04-19,38.634998,38.634998,38.584999,38.584999,8,37.776489
2018-04-20,38.580002,38.615002,38.580002,38.615002,30,37.805866
2018-04-23,38.615002,38.615002,38.615002,38.615002,0,37.805866
2018-04-24,38.615002,38.615002,38.615002,38.615002,0,37.805866
2018-04-25,38.615002,38.615002,38.615002,38.615002,0,37.805866
2018-04-26,38.615002,38.615002,38.615002,38.615002,0,37.805866
2018-04-27,38.970001,38.970001,38.955002,38.955002,240,38.138741
2018-04-30,38.970001,39.025002,38.970001,39.025002,25,38.207272
2018-05-02,39.375,39.375,39.255001,39.255001,225,38.432453
2018-05-03,39.264999,39.264999,39,39,261,38.182796
2018-05-04,39,39,39,39,0,38.182796
2018-05-07,39.334999,39.59,39.334999,39.59,192,38.760433
2018-05-08,39.59,39.59,39.59,39.59,0,38.760433
2018-05-09,39.59,39.59,39.59,39.59,0,38.760433
2018-05-11,39.59,39.59,39.59,39.59,0,38.760433
2018-05-14,39.59,39.59,39.59,39.59,0,38.760433
2018-05-15,39.59,39.59,39.59,39.59,0,38.760433
2018-05-16,39.720001,40,39.630001,39.98,0,39.142262
2018-05-17,39.950001,40.209999,39.919998,40,0,39.161842
2018-05-18,40.07,40.220001,39.990002,40,0,39.161842
2018-05-22,40.130001,40.5,40.130001,40.360001,0,39.514297
2018-05-23,40.189999,40.189999,39.77,39.84,0,39.005196
2018-05-24,39.849998,40.07,39.580002,39.75,0,38.91708
2018-05-25,39.860001,40,39.57,39.57,25,38.740852
2018-05-28,39.830002,39.919998,39.439999,39.490002,0,38.662529
2018-05-29,39.419998,39.419998,38.860001,38.860001,0,38.045731
2018-05-30,39.040001,39.25,39.040001,39.23,0,38.407974
2018-05-31,39.200001,39.389999,38.939999,39.02,0,38.202377
2018-06-01,39.09,39.549999,39.09,39.400002,0,38.574417
2018-06-04,39.560001,39.66,39.389999,39.389999,0,38.564625
2018-06-05,39.41,39.860001,39.259998,39.330002,0,38.505882
2018-06-06,39.400002,39.529999,39.220001,39.490002,0,38.662529
2018-06-07,39.560001,39.599998,39.049999,39.080002,0,38.26112
2018-06-08,39.09,39.360001,39.07,39.34,0,38.515671
2018-06-11,39.360001,39.619999,39.349998,39.560001,0,38.731064
2018-06-12,39.630001,39.689999,39.540001,39.549999,0,38.721272
2018-06-13,39.48,39.700001,39.470001,39.470001,0,38.642948
2018-06-14,39.330002,40.16,39.279999,40.139999,0,39.298908
2018-06-15,40.07,40.139999,39.599998,39.610001,0,38.780014
2018-06-18,39.805,39.805,39.240002,39.34,25,38.515671
2018-06-19,38.939999,39.119999,38.93,39.110001,0,38.290493
2018-06-20,39.290001,39.485001,39.139999,39.150002,178,38.329655
2018-06-21,39.299999,39.349998,38.77,38.810001,0,37.996777
2018-06-22,38.860001,39.310001,38.860001,39.279999,0,38.456928
2018-06-25,39.09,39.09,38.349998,38.509998,0,37.70306
2018-06-26,38.560001,38.66,38.439999,38.59,0,37.781387
2018-06-27,38.52,38.970001,38.25,38.580002,0,37.771599
2018-06-28,38.709999,38.860001,38.25,38.439999,0,37.634529
