date,open,high,low,close,volume,adjusted
2014-12-17,16.58,16.58,16.58,16.58,6527,16.58
2014-12-18,NA,NA,NA,NA,NA,NA
2014-12-19,NA,NA,NA,NA,NA,NA
2014-12-22,NA,NA,NA,NA,NA,NA
2014-12-23,NA,NA,NA,NA,NA,NA
2014-12-29,NA,NA,NA,NA,NA,NA
2014-12-30,NA,NA,NA,NA,NA,NA
2015-01-05,NA,NA,NA,NA,NA,NA
2015-01-06,NA,NA,NA,NA,NA,NA
2015-01-07,16.844999,16.844999,16.844999,16.844999,9392,16.844999
2015-01-08,NA,NA,NA,NA,NA,NA
2015-01-09,NA,NA,NA,NA,NA,NA
2015-01-12,NA,NA,NA,NA,NA,NA
2015-01-13,NA,NA,NA,NA,NA,NA
2015-01-14,NA,NA,NA,NA,NA,NA
2015-01-15,NA,NA,NA,NA,NA,NA
2015-01-16,NA,NA,NA,NA,NA,NA
2015-01-19,NA,NA,NA,NA,NA,NA
2015-01-20,NA,NA,NA,NA,NA,NA
2015-01-21,NA,NA,NA,NA,NA,NA
2015-01-22,NA,NA,NA,NA,NA,NA
2015-01-23,NA,NA,NA,NA,NA,NA
2015-01-26,NA,NA,NA,NA,NA,NA
2015-01-27,NA,NA,NA,NA,NA,NA
2015-01-28,NA,NA,NA,NA,NA,NA
2015-01-29,NA,NA,NA,NA,NA,NA
2015-01-30,16.98,16.98,16.98,16.98,2000,16.98
2015-02-02,NA,NA,NA,NA,NA,NA
2015-02-03,NA,NA,NA,NA,NA,NA
2015-02-04,NA,NA,NA,NA,NA,NA
2015-02-05,NA,NA,NA,NA,NA,NA
2015-02-06,NA,NA,NA,NA,NA,NA
2015-02-09,NA,NA,NA,NA,NA,NA
2015-02-10,16.950001,16.959999,16.950001,16.959999,42000,16.959999
2015-02-11,NA,NA,NA,NA,NA,NA
2015-02-12,16.879999,16.879999,16.879999,16.879999,21000,16.879999
2015-02-13,16.940001,16.98,16.940001,16.98,42965,16.98
2015-02-16,NA,NA,NA,NA,NA,NA
2015-02-17,NA,NA,NA,NA,NA,NA
2015-02-18,NA,NA,NA,NA,NA,NA
2015-02-19,16.9,16.9,16.9,16.9,1511,16.9
2015-02-20,16.940001,16.950001,16.940001,16.950001,33000,16.950001
2015-02-23,NA,NA,NA,NA,NA,NA
2015-02-24,17.09,17.09,17.09,17.09,44000,17.09
2015-02-25,17.280001,17.299999,17.25,17.299999,30065,17.299999
2015-02-26,17.280001,17.280001,17.280001,17.280001,2059,17.280001
2015-02-27,17.25,17.25,17.25,17.25,1362,17.25
2015-03-02,17.25,17.280001,17.040001,17.040001,74000,17.040001
2015-03-03,16.91,16.91,16.860001,16.860001,44000,16.860001
2015-03-04,NA,NA,NA,NA,NA,NA
2015-03-05,16.865,16.9,16.865,16.9,1578,16.9
2015-03-06,16.870001,16.870001,16.719999,16.719999,17861,16.719999
