date,open,high,low,close,volume,adjusted
2010-11-24,360.399994,360.399994,360.399994,360.399994,30,360.399994
2010-11-25,NA,NA,NA,NA,NA,NA
2010-11-26,NA,NA,NA,NA,NA,NA
2010-11-29,NA,NA,NA,NA,NA,NA
2010-11-30,NA,NA,NA,NA,NA,NA
2010-12-01,NA,NA,NA,NA,NA,NA
2010-12-02,NA,NA,NA,NA,NA,NA
2010-12-03,NA,NA,NA,NA,NA,NA
2010-12-06,NA,NA,NA,NA,NA,NA
2010-12-07,NA,NA,NA,NA,NA,NA
2010-12-08,NA,NA,NA,NA,NA,NA
2010-12-09,NA,NA,NA,NA,NA,NA
2010-12-10,NA,NA,NA,NA,NA,NA
2010-12-13,NA,NA,NA,NA,NA,NA
2010-12-14,NA,NA,NA,NA,NA,NA
2010-12-15,NA,NA,NA,NA,NA,NA
2010-12-16,NA,NA,NA,NA,NA,NA
2010-12-17,NA,NA,NA,NA,NA,NA
2010-12-20,NA,NA,NA,NA,NA,NA
2010-12-21,NA,NA,NA,NA,NA,NA
2010-12-22,NA,NA,NA,NA,NA,NA
2010-12-23,NA,NA,NA,NA,NA,NA
2010-12-27,NA,NA,NA,NA,NA,NA
2010-12-28,NA,NA,NA,NA,NA,NA
2010-12-29,NA,NA,NA,NA,NA,NA
2010-12-30,NA,NA,NA,NA,NA,NA
2011-01-03,NA,NA,NA,NA,NA,NA
2011-01-04,NA,NA,NA,NA,NA,NA
2011-01-05,NA,NA,NA,NA,NA,NA
2011-01-06,NA,NA,NA,NA,NA,NA
2011-01-07,NA,NA,NA,NA,NA,NA
2011-01-10,NA,NA,NA,NA,NA,NA
2011-01-11,NA,NA,NA,NA,NA,NA
2011-01-12,NA,NA,NA,NA,NA,NA
2011-01-13,NA,NA,NA,NA,NA,NA
2011-01-14,NA,NA,NA,NA,NA,NA
2011-01-17,NA,NA,NA,NA,NA,NA
2011-01-18,NA,NA,NA,NA,NA,NA
2011-01-19,NA,NA,NA,NA,NA,NA
2011-01-20,NA,NA,NA,NA,NA,NA
2011-01-21,NA,NA,NA,NA,NA,NA
2011-01-24,NA,NA,NA,NA,NA,NA
2011-01-25,NA,NA,NA,NA,NA,NA
2011-01-26,393.51001,393.51001,393.51001,393.51001,15,393.51001
2011-01-27,NA,NA,NA,NA,NA,NA
2011-01-28,NA,NA,NA,NA,NA,NA
2011-01-31,NA,NA,NA,NA,NA,NA
2011-02-01,NA,NA,NA,NA,NA,NA
2011-02-02,NA,NA,NA,NA,NA,NA
2011-02-03,NA,NA,NA,NA,NA,NA
2011-02-04,NA,NA,NA,NA,NA,NA
2011-02-07,NA,NA,NA,NA,NA,NA
2011-02-08,NA,NA,NA,NA,NA,NA
2011-02-09,NA,NA,NA,NA,NA,NA
2011-02-10,NA,NA,NA,NA,NA,NA
2011-02-11,NA,NA,NA,NA,NA,NA
2011-02-14,NA,NA,NA,NA,NA,NA
2011-02-15,NA,NA,NA,NA,NA,NA
2011-02-16,NA,NA,NA,NA,NA,NA
2011-02-17,NA,NA,NA,NA,NA,NA
2011-02-18,NA,NA,NA,NA,NA,NA
2011-02-21,NA,NA,NA,NA,NA,NA
2011-02-22,NA,NA,NA,NA,NA,NA
2011-02-23,NA,NA,NA,NA,NA,NA
2011-02-24,NA,NA,NA,NA,NA,NA
2011-02-25,NA,NA,NA,NA,NA,NA
2011-02-28,NA,NA,NA,NA,NA,NA
2011-03-01,NA,NA,NA,NA,NA,NA
2011-03-02,NA,NA,NA,NA,NA,NA
2011-03-03,390.690002,390.690002,390.690002,390.690002,275,390.690002
2011-03-04,NA,NA,NA,NA,NA,NA
2011-03-07,NA,NA,NA,NA,NA,NA
2011-03-08,NA,NA,NA,NA,NA,NA
2011-03-09,NA,NA,NA,NA,NA,NA
2011-03-10,NA,NA,NA,NA,NA,NA
2011-03-11,NA,NA,NA,NA,NA,NA
2011-03-14,NA,NA,NA,NA,NA,NA
2011-03-15,NA,NA,NA,NA,NA,NA
2011-03-16,NA,NA,NA,NA,NA,NA
2011-03-17,NA,NA,NA,NA,NA,NA
2011-03-18,NA,NA,NA,NA,NA,NA
2011-03-21,NA,NA,NA,NA,NA,NA
2011-03-22,NA,NA,NA,NA,NA,NA
2011-03-23,NA,NA,NA,NA,NA,NA
2011-03-24,NA,NA,NA,NA,NA,NA
2011-03-25,NA,NA,NA,NA,NA,NA
2011-03-28,NA,NA,NA,NA,NA,NA
2011-03-29,NA,NA,NA,NA,NA,NA
2011-03-30,NA,NA,NA,NA,NA,NA
2011-03-31,NA,NA,NA,NA,NA,NA
2011-04-01,NA,NA,NA,NA,NA,NA
2011-04-04,NA,NA,NA,NA,NA,NA
2011-04-05,NA,NA,NA,NA,NA,NA
2011-04-06,NA,NA,NA,NA,NA,NA
2011-04-07,NA,NA,NA,NA,NA,NA
2011-04-08,NA,NA,NA,NA,NA,NA
2011-04-11,NA,NA,NA,NA,NA,NA
2011-04-12,NA,NA,NA,NA,NA,NA
2011-04-13,NA,NA,NA,NA,NA,NA
2011-04-14,NA,NA,NA,NA,NA,NA
2011-04-15,NA,NA,NA,NA,NA,NA
2011-04-18,NA,NA,NA,NA,NA,NA
2011-04-19,NA,NA,NA,NA,NA,NA
2011-04-20,NA,NA,NA,NA,NA,NA
2011-04-21,NA,NA,NA,NA,NA,NA
2011-04-26,NA,NA,NA,NA,NA,NA
2011-04-27,NA,NA,NA,NA,NA,NA
2011-04-28,NA,NA,NA,NA,NA,NA
2011-04-29,NA,NA,NA,NA,NA,NA
2011-05-02,NA,NA,NA,NA,NA,NA
2011-05-03,NA,NA,NA,NA,NA,NA
2011-05-04,NA,NA,NA,NA,NA,NA
2011-05-05,NA,NA,NA,NA,NA,NA
2011-05-06,NA,NA,NA,NA,NA,NA
2011-05-09,NA,NA,NA,NA,NA,NA
2011-05-10,NA,NA,NA,NA,NA,NA
2011-05-11,NA,NA,NA,NA,NA,NA
2011-05-12,NA,NA,NA,NA,NA,NA
2011-05-13,NA,NA,NA,NA,NA,NA
2011-05-16,NA,NA,NA,NA,NA,NA
2011-05-17,419.850006,419.850006,419.850006,419.850006,17,419.850006
2011-05-18,NA,NA,NA,NA,NA,NA
2011-05-19,NA,NA,NA,NA,NA,NA
2011-05-20,NA,NA,NA,NA,NA,NA
2011-05-23,NA,NA,NA,NA,NA,NA
2011-05-24,NA,NA,NA,NA,NA,NA
2011-05-25,NA,NA,NA,NA,NA,NA
2011-05-26,NA,NA,NA,NA,NA,NA
2011-05-27,NA,NA,NA,NA,NA,NA
2011-05-30,NA,NA,NA,NA,NA,NA
2011-05-31,NA,NA,NA,NA,NA,NA
2011-06-01,NA,NA,NA,NA,NA,NA
2011-06-03,436.079987,436.079987,436.079987,436.079987,1700,436.079987
2011-06-06,436,436,436,436,1700,436
2011-06-07,NA,NA,NA,NA,NA,NA
2011-06-08,NA,NA,NA,NA,NA,NA
2011-06-09,NA,NA,NA,NA,NA,NA
2011-06-10,NA,NA,NA,NA,NA,NA
2011-06-14,NA,NA,NA,NA,NA,NA
2011-06-15,NA,NA,NA,NA,NA,NA
2011-06-16,NA,NA,NA,NA,NA,NA
2011-06-17,NA,NA,NA,NA,NA,NA
2011-06-20,NA,NA,NA,NA,NA,NA
2011-06-21,NA,NA,NA,NA,NA,NA
2011-06-22,NA,NA,NA,NA,NA,NA
2011-06-23,NA,NA,NA,NA,NA,NA
2011-06-24,NA,NA,NA,NA,NA,NA
2011-06-27,NA,NA,NA,NA,NA,NA
2011-06-28,NA,NA,NA,NA,NA,NA
2011-06-29,NA,NA,NA,NA,NA,NA
2011-06-30,NA,NA,NA,NA,NA,NA
2011-07-01,NA,NA,NA,NA,NA,NA
2011-07-04,NA,NA,NA,NA,NA,NA
2011-07-05,NA,NA,NA,NA,NA,NA
2011-07-06,NA,NA,NA,NA,NA,NA
2011-07-07,416.899994,416.899994,416.899994,416.899994,1700,416.899994
2011-07-08,NA,NA,NA,NA,NA,NA
2011-07-11,NA,NA,NA,NA,NA,NA
2011-07-12,NA,NA,NA,NA,NA,NA
2011-07-13,NA,NA,NA,NA,NA,NA
2011-07-14,NA,NA,NA,NA,NA,NA
2011-07-15,NA,NA,NA,NA,NA,NA
2011-07-18,NA,NA,NA,NA,NA,NA
2011-07-19,NA,NA,NA,NA,NA,NA
2011-07-20,NA,NA,NA,NA,NA,NA
2011-07-21,NA,NA,NA,NA,NA,NA
2011-07-22,NA,NA,NA,NA,NA,NA
2011-07-25,NA,NA,NA,NA,NA,NA
2011-07-26,NA,NA,NA,NA,NA,NA
2011-07-27,NA,NA,NA,NA,NA,NA
2011-07-28,400.480011,400.480011,399.350006,399.380005,3398,399.380005
2011-07-29,NA,NA,NA,NA,NA,NA
2011-08-02,395.25,395.25,395.25,395.25,1699,395.25
2011-08-03,389.850006,389.850006,389.850006,389.850006,160,389.850006
2011-08-04,NA,NA,NA,NA,NA,NA
2011-08-05,358.559998,358.559998,358.559998,358.559998,1700,358.559998
2011-08-08,NA,NA,NA,NA,NA,NA
2011-08-09,348.75,352.440002,330.649994,330.649994,6799,330.649994
2011-08-10,NA,NA,NA,NA,NA,NA
2011-08-11,319.459991,319.459991,311.519989,311.519989,3398,311.519989
2011-08-12,NA,NA,NA,NA,NA,NA
2011-08-15,NA,NA,NA,NA,NA,NA
2011-08-16,NA,NA,NA,NA,NA,NA
2011-08-17,NA,NA,NA,NA,NA,NA
2011-08-18,NA,NA,NA,NA,NA,NA
2011-08-19,NA,NA,NA,NA,NA,NA
2011-08-22,NA,NA,NA,NA,NA,NA
2011-08-23,NA,NA,NA,NA,NA,NA
2011-08-24,NA,NA,NA,NA,NA,NA
2011-08-25,NA,NA,NA,NA,NA,NA
2011-08-26,NA,NA,NA,NA,NA,NA
2011-08-29,NA,NA,NA,NA,NA,NA
2011-08-30,NA,NA,NA,NA,NA,NA
2011-08-31,NA,NA,NA,NA,NA,NA
2011-09-01,NA,NA,NA,NA,NA,NA
2011-09-02,NA,NA,NA,NA,NA,NA
2011-09-05,NA,NA,NA,NA,NA,NA
2011-09-06,NA,NA,NA,NA,NA,NA
2011-09-07,NA,NA,NA,NA,NA,NA
2011-09-08,NA,NA,NA,NA,NA,NA
2011-09-09,NA,NA,NA,NA,NA,NA
2011-09-12,NA,NA,NA,NA,NA,NA
2011-09-13,NA,NA,NA,NA,NA,NA
2011-09-14,NA,NA,NA,NA,NA,NA
2011-09-15,NA,NA,NA,NA,NA,NA
2011-09-16,NA,NA,NA,NA,NA,NA
2011-09-19,NA,NA,NA,NA,NA,NA
2011-09-20,NA,NA,NA,NA,NA,NA
2011-09-21,NA,NA,NA,NA,NA,NA
2011-09-22,NA,NA,NA,NA,NA,NA
2011-09-23,NA,NA,NA,NA,NA,NA
2011-09-26,NA,NA,NA,NA,NA,NA
2011-09-27,NA,NA,NA,NA,NA,NA
2011-09-28,NA,NA,NA,NA,NA,NA
2011-09-29,NA,NA,NA,NA,NA,NA
2011-09-30,NA,NA,NA,NA,NA,NA
2011-10-03,NA,NA,NA,NA,NA,NA
2011-10-04,NA,NA,NA,NA,NA,NA
2011-10-05,NA,NA,NA,NA,NA,NA
2011-10-06,NA,NA,NA,NA,NA,NA
2011-10-07,NA,NA,NA,NA,NA,NA
2011-10-10,NA,NA,NA,NA,NA,NA
2011-10-11,NA,NA,NA,NA,NA,NA
2011-10-12,NA,NA,NA,NA,NA,NA
2011-10-13,NA,NA,NA,NA,NA,NA
2011-10-14,NA,NA,NA,NA,NA,NA
2011-10-17,NA,NA,NA,NA,NA,NA
2011-10-18,NA,NA,NA,NA,NA,NA
2011-10-19,NA,NA,NA,NA,NA,NA
2011-10-20,NA,NA,NA,NA,NA,NA
2011-10-21,NA,NA,NA,NA,NA,NA
2011-10-24,NA,NA,NA,NA,NA,NA
2011-10-25,NA,NA,NA,NA,NA,NA
2011-10-26,NA,NA,NA,NA,NA,NA
2011-10-27,NA,NA,NA,NA,NA,NA
2011-10-28,NA,NA,NA,NA,NA,NA
2011-10-31,NA,NA,NA,NA,NA,NA
2011-11-01,NA,NA,NA,NA,NA,NA
