date,open,high,low,close,volume,adjusted
2014-04-10,12.06,12.06,12.06,12.06,10000,12.06
2014-04-11,NA,NA,NA,NA,NA,NA
2014-04-14,NA,NA,NA,NA,NA,NA
2014-04-15,11.54,11.54,11.51,11.51,2300,11.51
2014-04-16,NA,NA,NA,NA,NA,NA
2014-04-17,NA,NA,NA,NA,NA,NA
2014-04-22,NA,NA,NA,NA,NA,NA
2014-04-23,NA,NA,NA,NA,NA,NA
2014-04-24,NA,NA,NA,NA,NA,NA
2014-04-25,NA,NA,NA,NA,NA,NA
2014-04-28,11.19,11.19,11.19,11.19,100,11.19
2014-04-29,NA,NA,NA,NA,NA,NA
2014-04-30,NA,NA,NA,NA,NA,NA
2014-05-02,11.27,11.27,11.27,11.27,500,11.27
2014-05-05,NA,NA,NA,NA,NA,NA
2014-05-06,NA,NA,NA,NA,NA,NA
2014-05-07,NA,NA,NA,NA,NA,NA
2014-05-08,NA,NA,NA,NA,NA,NA
2014-05-09,11.19,11.19,11.19,11.19,18000,11.19
2014-05-12,NA,NA,NA,NA,NA,NA
2014-05-13,11.26,11.26,11.26,11.26,5000,11.26
2014-05-14,NA,NA,NA,NA,NA,NA
2014-05-15,11.26,11.26,11.26,11.26,5000,11.26
2014-05-16,NA,NA,NA,NA,NA,NA
2014-05-19,NA,NA,NA,NA,NA,NA
2014-05-20,NA,NA,NA,NA,NA,NA
2014-05-21,NA,NA,NA,NA,NA,NA
2014-05-22,NA,NA,NA,NA,NA,NA
2014-05-23,NA,NA,NA,NA,NA,NA
2014-05-26,NA,NA,NA,NA,NA,NA
2014-05-27,11.2,11.2,11.2,11.2,5000,11.2
2014-05-28,NA,NA,NA,NA,NA,NA
2014-05-30,NA,NA,NA,NA,NA,NA
2014-06-02,NA,NA,NA,NA,NA,NA
2014-06-03,NA,NA,NA,NA,NA,NA
2014-06-04,NA,NA,NA,NA,NA,NA
2014-06-05,NA,NA,NA,NA,NA,NA
2014-06-06,NA,NA,NA,NA,NA,NA
2014-06-10,NA,NA,NA,NA,NA,NA
2014-06-11,11.38,11.38,11.38,11.38,40,11.38
2014-06-12,NA,NA,NA,NA,NA,NA
2014-06-13,NA,NA,NA,NA,NA,NA
2014-06-16,NA,NA,NA,NA,NA,NA
2014-06-17,11.5,11.5,11.5,11.5,1000,11.5
2014-06-18,NA,NA,NA,NA,NA,NA
2014-06-19,11.14,11.14,11.14,11.14,5000,11.14
2014-06-20,NA,NA,NA,NA,NA,NA
2014-06-23,11.21,11.21,11.21,11.21,7400,11.21
2014-06-24,NA,NA,NA,NA,NA,NA
2014-06-25,11.28,11.28,11.28,11.28,1000,11.28
2014-06-26,NA,NA,NA,NA,NA,NA
2014-06-27,NA,NA,NA,NA,NA,NA
