date,open,high,low,close,volume,adjusted
2009-07-03,101.952003,102.059998,102.012001,102.012001,10,102.012001
2009-07-06,102.510002,102.889999,102.510002,102.510002,0,102.510002
2009-07-07,102.699997,102.699997,102.519997,102.519997,200,102.519997
2009-07-08,102.489998,102.830002,102.489998,102.489998,0,102.489998
2009-07-09,102.389999,102.699997,102.389999,102.389999,0,102.389999
2009-07-10,102.580002,102.879997,102.580002,102.580002,0,102.580002
2009-07-13,102.529999,102.830002,102.529999,102.529999,0,102.529999
2009-07-14,102.330002,102.639999,102.330002,102.330002,0,102.330002
2009-07-15,102.190002,102.5,102.190002,102.190002,0,102.190002
2009-07-16,102.400002,102.555,102.099998,102.555,2314,102.555
2009-07-17,102.849998,102.849998,102.250999,102.250999,150,102.250999
2009-07-20,102.25,102.25,102.25,102.372002,64,102.372002
2009-07-21,102.709999,103.010002,102.709999,102.709999,0,102.709999
2009-07-22,103.230003,103.25,103.230003,102.903,149,102.903
2009-07-23,102.949997,102.949997,102.949997,102.482002,141,102.482002
2009-07-24,102.419998,102.720001,102.419998,102.419998,0,102.419998
2009-07-27,102.559998,102.639999,102.419998,102.457001,5204,102.457001
2009-07-28,102.669998,102.669998,102.5,103.027,90,103.027
2009-07-29,103.260002,103.260002,103.260002,102.920998,27,102.920998
2009-07-30,103.050003,103.349998,103.050003,103.050003,0,103.050003
2009-07-31,103.669998,103.699997,103.669998,103.917,1155,103.917
2009-08-03,103.599998,103.919998,103.599998,103.599998,0,103.599998
2009-08-04,104,104,104,103.158997,102,103.158997
2009-08-05,103.970001,103.970001,103.709999,103.713997,193,103.713997
2009-08-06,103.529999,103.849998,103.529999,103.529999,0,103.529999
2009-08-07,103.540001,103.540001,103.540001,102.810997,1000,102.810997
2009-08-10,102.830002,102.830002,102.830002,103.335999,7,103.335999
2009-08-11,103.550003,103.550003,103.550003,103.318001,38,103.318001
2009-08-12,103.169998,103.489998,103.169998,103.169998,0,103.169998
2009-08-13,103.32,103.639999,103.32,103.32,0,103.32
2009-08-14,103.650002,103.650002,103.650002,103.963997,16,103.963997
2009-08-17,104.110001,104.43,104.110001,104.110001,0,104.110001
2009-08-18,104.199997,104.199997,104.199997,104.083,170,104.083
2009-08-19,104.32,104.629997,104.32,104.32,0,104.32
2009-08-20,104.239998,104.559998,104.239998,104.239998,0,104.239998
2009-08-21,104.050003,104.370003,104.050003,104.050003,0,104.050003
2009-08-24,104.25,104.25,104.25,104.206001,1562,104.206001
