date,open,high,low,close,volume,adjusted
2009-07-03,64.709999,64.709999,64.709999,64.709999,10,64.709999
2009-07-06,63.27,63.27,63.09,63.099998,12000,63.099998
2009-07-07,62.400002,62.68,62.400002,62.400002,0,62.400002
2009-07-08,62.799999,62.939999,61.3624,61.3624,9000,61.3624
2009-07-09,62.549999,63.040001,61.495499,61.495499,6003,61.495499
2009-07-10,62.060001,62.060001,60.818298,60.818298,6000,60.818298
2009-07-13,61.990002,62.779999,61.672001,61.672001,9000,61.672001
2009-07-14,62.639999,62.919998,62.639999,62.639999,0,62.639999
2009-07-15,64.610001,64.629997,64.259201,64.259201,6000,64.259201
2009-07-16,65.449997,65.449997,64.385902,64.385902,300,64.385902
2009-07-17,65.400002,65.400002,64.588501,64.588501,3000,64.588501
2009-07-20,65.989998,65.989998,64.919998,65.211403,6185,65.211403
2009-07-21,66.800003,66.800003,66.800003,65.753502,3000,65.753502
2009-07-22,65.309998,66.620003,65.309998,65.309998,0,65.309998
2009-07-23,66.440002,67.75,66.440002,66.495903,12200,66.495903
2009-07-24,67.230003,67.230003,67.230003,66.482498,3000,66.482498
2009-07-27,66.370003,67.580002,66.370003,66.370003,0,66.370003
2009-07-28,67.760002,67.760002,67.25,65.984703,6000,65.984703
2009-07-29,67.379997,67.379997,67.379997,66.389702,1610,66.389702
2009-07-30,68.620003,68.620003,68.620003,67.755203,14,67.755203
2009-07-31,68.040001,68.040001,67.650002,68.309303,9000,68.309303
2009-08-03,70.220001,70.220001,70.220001,69.584801,3000,69.584801
2009-08-04,69.839996,70.120003,69.839996,69.839996,0,69.839996
2009-08-05,69.839996,69.839996,69.839996,69.826103,3000,69.826103
2009-08-06,70.860001,71.029999,70.860001,70.436203,6000,70.436203
2009-08-07,70.230003,70.230003,70.220001,70.701401,6000,70.701401
2009-08-10,70.800003,71.07,70.760002,71.0177,20093,71.0177
2009-08-11,71.580002,71.610001,71.580002,70.017197,10950,70.017197
2009-08-12,70.080002,70.080002,70.080002,70.604897,100,70.604897
2009-08-13,71.199997,71.199997,71.099998,71.803802,6000,71.803802
