date,open,high,low,close,volume,adjusted
2009-10-06,107.5,107.5,107.5,107.5,700,107.5
2009-10-07,107.910004,108.419998,107.629997,107.910004,8150,107.910004
2009-10-08,108.010002,109.379997,108.010002,108.010002,32868,108.010002
2009-10-09,108.629997,108.629997,108.169998,108.629997,8625,108.629997
2009-10-12,109.440002,109.529999,108.699997,109.440002,201972,109.440002
2009-10-13,109.650002,110.440002,109,109.650002,5591,109.650002
2009-10-14,109.769997,110.559998,109.440002,109.769997,9936,109.769997
2009-10-15,109.129997,109.529999,108.650002,109.129997,74175,109.129997
2009-10-16,108.139999,108.489998,108.139999,108.139999,6850,108.139999
2009-10-19,108.910004,109.209999,108.910004,108.910004,3830,108.910004
2009-10-20,109.760002,110.07,109.760002,109.760002,24765,109.760002
2009-10-21,109.639999,109.639999,108.760002,109.639999,10423,109.639999
2009-10-22,109.599998,109.599998,109.029999,109.599998,12042,109.599998
2009-10-23,109.699997,110.080002,109.550003,109.699997,15583,109.699997
2009-10-26,108.779999,109.470001,108.779999,108.779999,2996,108.779999
2009-10-27,107.470001,107.720001,107.230003,107.470001,7103,107.470001
2009-10-28,106.949997,107.309998,106.919998,106.949997,1734,106.949997
2009-10-29,107.360001,107.360001,106.800003,107.360001,2670,107.360001
2009-10-30,107.370003,108.169998,107.370003,107.370003,5657,107.370003
2009-11-02,109.709999,109.709999,108.169998,109.709999,11273,109.709999
2009-11-03,110.330002,110.330002,109.379997,110.330002,2590,110.330002
2009-11-04,113.099998,113.099998,112.5,113.099998,2685,113.099998
2009-11-05,112.669998,112.830002,112.669998,112.669998,1830,112.669998
2009-11-06,112.889999,113.230003,112.889999,112.889999,12436,112.889999
2009-11-09,114.300003,114.620003,114.300003,114.300003,5679,114.300003
2009-11-10,114.32,114.32,113.230003,114.32,19889,114.32
2009-11-11,115.25,115.32,115.129997,115.25,4315,115.25
2009-11-12,115,115.410004,115,115,397,115
2009-11-13,114.349998,114.629997,113.989998,114.349998,1623,114.349998
2009-11-16,117,117,116.459999,117,10495,117
2009-11-17,117.199997,117.199997,116.349998,117.199997,7405,117.199997
2009-11-18,118.699997,118.860001,117.889999,118.699997,29962,118.699997
2009-11-19,117.029999,117.610001,116.919998,117.029999,3912,117.029999
2009-11-20,117.739998,118.309998,117.349998,117.739998,4100,117.739998
2009-11-23,120.669998,120.970001,120.139999,120.669998,15839,120.669998
2009-11-24,120.660004,120.830002,120,120.660004,10860,120.660004
2009-11-25,122,122,121.589996,122,6620,122
2009-11-26,122,122.440002,122,122,2870,122
2009-11-27,121.010002,121.010002,118.160004,121.010002,22660,121.010002
2009-11-30,121.309998,121.309998,120.209999,121.309998,7920,121.309998
2009-12-01,123,123.459999,122.5,123,7579,123
2009-12-02,125.080002,125.260002,124.650002,125.080002,4238,125.080002
2009-12-03,124.610001,125.940002,124.610001,124.610001,15234,124.610001
2009-12-04,121.550003,124.550003,121.309998,121.550003,6590,121.550003
