date,open,high,low,close,volume,adjusted
2007-12-05,105.300003,107.5,105,106,243479,106
2007-12-06,105.5,105.699997,104.800003,105,162875,105
2007-12-07,105.300003,105.300003,104.5,104.5,137582,104.5
2007-12-10,104.900002,105,104.199997,104.599998,52723,104.599998
2007-12-11,104.599998,104.800003,104.199997,104.5,43636,104.5
2007-12-12,104.599998,104.800003,104.599998,104.699997,9235,104.699997
2007-12-13,104.599998,104.800003,104.400002,104.599998,50190,104.599998
2007-12-14,104.5,104.800003,104.199997,104.5,30019,104.5
2007-12-17,104.199997,104.599998,104,104.5,38406,104.5
2007-12-18,104.5,104.5,104.5,104.5,0,104.5
2007-12-19,104.400002,104.599998,104.199997,104.599998,51859,104.599998
2007-12-20,104.5,104.599998,103.300003,103.5,70434,103.5
2007-12-21,103.800003,104.5,103.199997,103.5,40447,103.5
2007-12-24,103.5,103.5,103.5,103.5,0,103.5
2007-12-27,104.5,104.599998,103,103.5,14385,103.5
2007-12-28,104,104,103,103,4044,103
2007-12-31,94.169998,94.169998,94.169998,94.169998,0,94.169998
2008-01-03,103.800003,104.5,103,104,25095,104
2008-01-04,104,104.199997,104,104,13553,104
2008-01-07,104,104.199997,103.5,104,16280,104
2008-01-08,103.5,104.5,103,104.5,25559,104.5
2008-01-09,104.199997,104.5,104,104.5,12877,104.5
2008-01-10,104.5,104.900002,104.199997,104.800003,13340,104.800003
2008-01-11,104.400002,104.599998,103.5,104.300003,32095,104.300003
2008-01-14,104.300003,104.5,103.5,104.5,40267,104.5
2008-01-15,104,104.400002,103.300003,104,4302,104
2008-01-16,104,104,103.5,104,3628,104
2008-01-17,104,104.199997,103.5,104,6125,104
2008-01-18,104,104.300003,103.599998,104.199997,6252,104.199997
2008-01-21,104,104.199997,103,104.099998,13909,104.099998
2008-01-22,104,104.099998,103,104.099998,8714,104.099998
2008-01-23,103.5,104.099998,103.5,103.800003,4783,103.800003
2008-01-24,104,104.199997,103.599998,104.099998,12791,104.099998
2008-01-25,104,104.099998,103.900002,104.099998,6476,104.099998
2008-01-28,104.099998,104.199997,103.800003,104,11681,104
2008-01-29,104,104.699997,103.699997,103.699997,42980,103.699997
2008-01-30,104.099998,104.5,103.699997,103.800003,10803,103.800003
2008-01-31,94.389999,94.389999,94.389999,94.389999,0,94.389999
2008-02-01,104,104.599998,104,104.599998,16120,104.599998
2008-02-04,104.5,104.900002,104.5,104.5,26761,104.5
2008-02-05,104.5,104.699997,104.099998,104.099998,15055,104.099998
2008-02-06,104,104,102.300003,103.300003,17411,103.300003
2008-02-07,103.5,103.800003,102.5,103,5475,103
2008-02-08,104,104.199997,103.199997,104,15227,104
2008-02-11,104,104.199997,103.5,103.599998,8264,103.599998
2008-02-12,104,104.5,103.300003,104.300003,6786,104.300003
2008-02-13,104.5,104.5,103.800003,104,11157,104
2008-02-14,104.099998,104.199997,103.599998,103.599998,19587,103.599998
2008-02-15,104,104.099998,103.5,103.5,12070,103.5
2008-02-18,104,104.199997,103.900002,104.099998,6918,104.099998
2008-02-19,104,104.199997,104,104.199997,7186,104.199997
2008-02-20,104.199997,104.300003,104.199997,104.300003,8137,104.300003
2008-02-21,104.199997,104.800003,103.5,104.300003,22293,104.300003
2008-02-22,104.5,104.5,104,104.300003,23706,104.300003
2008-02-25,104.5,104.5,103.5,103.5,12213,103.5
2008-02-26,103.5,104.5,103.5,103.5,16942,103.5
2008-02-27,103.599998,103.699997,103.099998,103.5,27585,103.5
2008-02-28,104.5,104.5,103.099998,103.800003,21757,103.800003
2008-02-29,94.610001,94.610001,94.610001,94.610001,0,94.610001
2008-03-03,104.699997,104.699997,103.800003,104,8700,104
2008-03-04,104,104.199997,103.5,104.199997,36573,104.199997
2008-03-05,104.099998,104.599998,103.599998,103.599998,17388,103.599998
2008-03-06,103.800003,104.599998,103.699997,103.800003,22146,103.800003
2008-03-07,103.800003,104.900002,103.800003,104.900002,6445,104.900002
2008-03-10,104.900002,104.900002,104.099998,104.199997,7520,104.199997
2008-03-11,104.300003,104.599998,104,104.199997,34192,104.199997
2008-03-12,104.199997,104.300003,104,104,14106,104
2008-03-13,104.099998,104.300003,103.5,104.199997,12221,104.199997
2008-03-14,104.099998,104.099998,103.699997,104,13429,104
2008-03-17,104.199997,104.199997,103.900002,103.900002,11576,103.900002
2008-03-18,104,104,103.5,103.5,4695,103.5
2008-03-19,104,104,103,103,14437,103
2008-03-20,103.5,103.699997,103.199997,103.699997,17489,103.699997
2008-03-25,104,104.300003,103.599998,104.099998,2235,104.099998
2008-03-26,104,104,103.599998,103.599998,8930,103.599998
2008-03-27,104,104,103.599998,103.900002,7627,103.900002
2008-03-28,103.900002,104,103.599998,103.599998,6092,103.599998
2008-03-31,94.830002,94.830002,94.830002,94.830002,0,94.830002
2008-04-01,103.400002,104.199997,103.400002,103.699997,6945,103.699997
2008-04-02,104,104.5,104,104.400002,15849,104.400002
2008-04-03,104.400002,104.5,104,104,21329,104
2008-04-04,104.400002,104.599998,104,104,16250,104
2008-04-07,104,104.5,104,104.300003,3134,104.300003
2008-04-08,104.5,104.5,104.300003,104.300003,4339,104.300003
2008-04-09,104.5,104.699997,104.5,104.5,3240,104.5
2008-04-10,104.5,104.800003,104.400002,104.800003,21325,104.800003
2008-04-11,105,105,104.5,104.800003,3773,104.800003
2008-04-14,105,105,104.099998,104.5,3233,104.5
2008-04-15,105,105,104.099998,104.099998,3411,104.099998
2008-04-16,105,105,104.5,104.5,12670,104.5
2008-04-17,104.900002,104.900002,104.5,104.5,3505,104.5
2008-04-18,105,105.400002,103.800003,103.800003,9895,103.800003
2008-04-21,104.599998,105.099998,104.599998,105.099998,1050,105.099998
2008-04-22,105.400002,105.5,104.900002,105.5,14664,105.5
2008-04-23,105.5,105.699997,105.300003,105.400002,15498,105.400002
2008-04-24,105.300003,105.599998,105.099998,105.599998,12800,105.599998
2008-04-25,105.5,106.300003,105.5,106,47128,106
2008-04-28,106,106.699997,105.5,106.699997,19475,106.699997
2008-04-29,106,106.5,106,106.099998,6273,106.099998
2008-04-30,95.040001,95.040001,95.040001,95.040001,0,95.040001
2008-05-02,106.5,106.900002,106.199997,106.900002,16544,106.900002
2008-05-05,106.300003,106.900002,106.199997,106.5,4847,106.5
2008-05-06,106.800003,107.5,106.300003,107.300003,12934,107.300003
2008-05-07,106.699997,107.5,106.5,106.5,11573,106.5
2008-05-08,106.599998,108,106.599998,107.599998,17937,107.599998
2008-05-09,107.599998,107.800003,107.199997,107.800003,22150,107.800003
2008-05-13,107.599998,108.5,107,108.300003,34973,108.300003
2008-05-14,108.5,109.5,108,109,29151,109
2008-05-15,109,109.699997,109,109,19707,109
2008-05-16,109.800003,109.800003,109.099998,109.5,35797,109.5
2008-05-19,109.699997,109.900002,109,109.5,25170,109.5
2008-05-20,109.5,110,109.5,110,33746,110
2008-05-21,110,110.300003,109.400002,110,21715,110
2008-05-22,110,110.699997,110,110,13230,110
2008-05-23,110,110.800003,110,110.099998,5470,110.099998
2008-05-26,110,111,110,110.5,20406,110.5
2008-05-27,109.699997,110,109.699997,110,14211,110
2008-05-28,110.5,110.800003,110,110.400002,23989,110.400002
2008-05-29,110.5,110.800003,109.900002,110.300003,22802,110.300003
2008-05-30,95.260002,95.260002,95.260002,95.260002,0,95.260002
2008-06-02,110.599998,111.5,110.099998,110.300003,10696,110.300003
2008-06-03,110.800003,111.199997,110.800003,110.800003,35540,110.800003
2008-06-04,110.900002,110.900002,110,110.800003,10471,110.800003
2008-06-05,110.800003,110.800003,110.5,110.699997,7999,110.699997
2008-06-06,110.800003,111.5,110.300003,111,10981,111
2008-06-09,111.199997,111.400002,110.400002,111,13487,111
2008-06-10,111,111.300003,110.900002,111.300003,7326,111.300003
2008-06-11,111,111.400002,111,111.099998,11698,111.099998
2008-06-12,111.099998,111.5,111.099998,111.5,8916,111.5
2008-06-13,111.400002,112,111.400002,112,30235,112
2008-06-16,110.400002,111.699997,110.400002,111.699997,1187,111.699997
2008-06-17,111.5,111.699997,110.599998,111.5,3871,111.5
2008-06-18,111.5,112.300003,111.5,112,36218,112
2008-06-19,112,112.300003,112,112.300003,5871,112.300003
2008-06-20,112.099998,112.800003,112,112.300003,10492,112.300003
2008-06-23,112.599998,112.699997,109,112.699997,13825,112.699997
2008-06-24,112.800003,113.5,111,113.400002,14701,113.400002
2008-06-25,113.400002,113.5,113,113.300003,4479,113.300003
2008-06-26,113,113.300003,112.599998,113.300003,7578,113.300003
2008-06-27,113,113.300003,111.599998,112.5,14912,112.5
2008-06-30,95.480003,95.480003,95.480003,95.480003,0,95.480003
2008-07-01,112.400002,113.400002,112.199997,113.199997,26095,113.199997
2008-07-02,112.5,113.199997,112,113,9894,113
