date,open,high,low,close,volume,adjusted
2018-10-12,153.539993,153.539993,153.539993,153.539993,237,153.539993
2018-10-15,153.539993,153.539993,153.539993,153.539993,0,153.539993
2018-10-16,152.199997,152.199997,152.199997,152.199997,0,152.199997
2018-10-17,152.199997,152.199997,152.199997,152.199997,0,152.199997
2018-10-18,153.440002,153.440002,153.440002,153.440002,0,153.440002
2018-10-19,153.440002,153.440002,153.440002,153.440002,0,153.440002
2018-10-22,153.440002,153.440002,153.440002,153.440002,0,153.440002
2018-10-23,152.580002,152.580002,152.580002,152.580002,0,152.580002
2018-10-24,149.660004,149.660004,149.660004,149.660004,0,149.660004
2018-10-25,148.940002,148.940002,148.940002,148.940002,0,148.940002
2018-10-26,148.940002,148.940002,148.940002,148.940002,0,148.940002
2018-10-29,148.279999,148.279999,148.279999,148.279999,0,148.279999
2018-10-30,149.160004,149.160004,149.160004,149.160004,0,149.160004
2018-10-31,149.160004,149.160004,149.160004,149.160004,0,149.160004
2018-11-01,152.699997,152.699997,152.699997,152.699997,0,152.699997
2018-11-02,152.779999,152.779999,152.779999,152.779999,0,152.779999
2018-11-05,153.860001,153.860001,153.860001,153.860001,0,153.860001
2018-11-06,153.860001,153.860001,153.860001,153.860001,0,153.860001
2018-11-07,154.300003,154.300003,154.300003,154.300003,0,154.300003
2018-11-08,156.860001,156.860001,156.860001,156.860001,0,156.860001
2018-11-09,156.860001,156.860001,156.860001,156.860001,0,156.860001
2018-11-12,156.860001,156.860001,156.860001,156.860001,0,156.860001
2018-11-13,155.880005,155.880005,155.880005,155.880005,0,155.880005
2018-11-14,156.020004,156.020004,156.020004,156.020004,0,156.020004
2018-11-15,155.059998,155.059998,155.059998,155.059998,0,155.059998
2018-11-16,154,154,154,154,0,154
2018-11-19,153.720001,153.720001,153.720001,153.720001,0,153.720001
2018-11-20,153.240005,153.240005,153.240005,153.240005,0,153.240005
2018-11-21,150.759995,150.759995,150.759995,150.759995,0,150.759995
2018-11-22,151.679993,151.679993,151.679993,151.679993,0,151.679993
2018-11-23,150.679993,150.679993,150.679993,150.679993,0,150.679993
2018-11-26,151.279999,151.279999,151.279999,151.279999,0,151.279999
2018-11-27,153.100006,153.100006,153.100006,153.100006,0,153.100006
2018-11-28,153.679993,153.679993,153.679993,153.679993,0,153.679993
2018-11-29,154.320007,154.320007,154.320007,154.320007,0,154.320007
2018-11-30,154.320007,154.320007,154.320007,154.320007,0,154.320007
2018-12-03,154.320007,154.320007,154.320007,154.320007,0,154.320007
2018-12-04,155.479996,155.479996,155.479996,155.479996,0,155.479996
2018-12-05,154,154,154,154,0,154
2018-12-06,152.100006,152.100006,152.100006,152.100006,0,152.100006
2018-12-07,146.100006,146.100006,146.100006,146.100006,0,146.100006
2018-12-10,146.100006,146.100006,146.100006,146.100006,0,146.100006
2018-12-11,142.919998,142.919998,142.919998,142.919998,0,142.919998
2018-12-12,143.899994,143.899994,143.899994,143.899994,0,143.899994
2018-12-13,144.559998,144.559998,144.559998,144.559998,0,144.559998
2018-12-14,144.559998,144.559998,144.559998,144.559998,0,144.559998
2018-12-17,144.559998,144.559998,144.559998,144.559998,0,144.559998
2018-12-18,143.300003,143.300003,143.300003,143.300003,0,143.300003
2018-12-19,141.839996,141.839996,141.839996,141.839996,0,141.839996
2018-12-20,141.539993,141.539993,141.539993,141.539993,0,141.539993
2018-12-21,138.679993,138.679993,138.679993,138.679993,0,138.679993
2018-12-27,138.300003,138.300003,138.300003,138.300003,0,138.300003
2018-12-28,136.779999,136.779999,136.779999,136.779999,0,136.779999
2019-01-03,138.240005,138.240005,138.240005,138.240005,0,138.240005
2019-01-04,138.539993,138.539993,138.539993,138.539993,0,138.539993
2019-01-07,141.440002,141.440002,141.440002,141.440002,0,141.440002
2019-01-08,142.199997,142.199997,142.199997,142.199997,0,142.199997
2019-01-09,142.199997,142.199997,142.199997,142.199997,0,142.199997
2019-01-10,142.580002,142.580002,142.580002,142.580002,0,142.580002
2019-01-11,143.660004,143.660004,143.660004,143.660004,0,143.660004
2019-01-14,143.880005,143.880005,143.880005,143.880005,0,143.880005
2019-01-15,144.279999,144.279999,144.279999,144.279999,0,144.279999
2019-01-16,145.740005,145.740005,145.740005,145.740005,0,145.740005
2019-01-17,148.860001,148.860001,148.860001,148.860001,0,148.860001
2019-01-18,148.860001,148.860001,148.860001,148.860001,0,148.860001
2019-01-21,151.580002,151.580002,151.580002,151.580002,0,151.580002
2019-01-22,151.580002,151.580002,151.580002,151.580002,0,151.580002
2019-01-23,151.5,151.5,151.5,151.5,0,151.5
2019-01-24,150.460007,150.460007,150.460007,150.460007,0,150.460007
2019-01-25,150.800003,150.800003,150.800003,150.800003,0,150.800003
2019-01-28,151.559998,151.559998,151.559998,151.559998,0,151.559998
2019-01-29,151,151,151,151,0,151
2019-01-30,151,151,151,151,0,151
2019-01-31,151,151,151,151,0,151
2019-02-01,150.059998,150.059998,150.059998,150.059998,0,150.059998
2019-02-04,151.419998,151.419998,151.419998,151.419998,20,151.419998
2019-02-05,151.419998,151.419998,151.419998,151.419998,0,151.419998
2019-02-06,151.619995,151.619995,151.619995,151.619995,0,151.619995
2019-02-07,151.919998,151.919998,151.919998,151.919998,0,151.919998
2019-02-08,150.899994,150.899994,150.899994,150.899994,0,150.899994
2019-02-11,150.320007,150.320007,150.320007,150.320007,0,150.320007
2019-02-12,150.919998,150.919998,150.919998,150.919998,0,150.919998
2019-02-13,152.580002,152.580002,152.580002,152.580002,0,152.580002
2019-02-14,153.5,153.5,153.5,153.5,0,153.5
2019-02-15,152.339996,152.339996,152.339996,152.339996,0,152.339996
2019-02-18,155.520004,155.520004,155.520004,155.520004,32,155.520004
