date,open,high,low,close,volume,adjusted
2017-09-27,5.02324,5.02324,5.02324,5.02324,0,5.02324
2017-09-28,5.03562,5.03562,5.03562,5.03562,0,5.03562
2017-09-29,5.11,5.11,5.11,5.11,0,5.11
2017-10-02,5.11,5.11,5.11,5.11,0,5.11
2017-10-03,5.11,5.11,5.11,5.11,0,5.11
2017-10-04,5.11,5.11,5.11,5.11,4836495,5.11
2017-10-05,5.12,5.13,5.12,5.12,7942435,5.12
2017-10-06,5.13,5.135,5.115,5.115,2511423,5.115
2017-10-09,5.115,5.115,5.115,5.115,0,5.115
2017-10-10,5.115,5.115,5.115,5.115,34384,5.115
2017-10-11,5.12,5.135,5.12,5.125,73632,5.125
2017-10-12,5.15,5.155,5.15,5.155,90913,5.155
2017-10-13,5.155,5.155,5.155,5.155,0,5.155
2017-10-16,5.145,5.145,5.145,5.145,853502,5.145
2017-10-17,5.145,5.145,5.145,5.145,0,5.145
2017-10-18,5.165,5.175,5.165,5.175,2003,5.175
2017-10-19,5.14,5.15,5.14,5.15,3622,5.15
2017-10-20,5.15,5.15,5.15,5.15,0,5.15
2017-10-23,5.225,5.225,5.205,5.205,92150,5.205
2017-10-24,5.205,5.205,5.205,5.205,4541,5.205
2017-10-25,5.21,5.225,5.21,5.225,3713,5.225
2017-10-26,5.22,5.22,5.22,5.22,1240,5.22
2017-10-27,5.22,5.22,5.22,5.22,0,5.22
2017-10-30,5.23,5.23,5.225,5.225,51823,5.225
2017-10-31,5.25,5.255,5.25,5.255,12595,5.255
2017-11-01,5.255,5.255,5.255,5.255,0,5.255
2017-11-02,5.24,5.24,5.24,5.24,47555,5.24
2017-11-03,5.265,5.29,5.265,5.29,27700,5.29
2017-11-06,5.28,5.28,5.28,5.28,54109,5.28
2017-11-07,5.28,5.28,5.28,5.28,0,5.28
2017-11-08,5.28,5.28,5.28,5.28,0,5.28
2017-11-09,5.3,5.3,5.255,5.255,16694,5.255
2017-11-10,5.255,5.255,5.255,5.255,0,5.255
2017-11-13,5.25,5.26,5.25,5.26,29846,5.26
2017-11-14,5.22,5.22,5.22,5.22,436,5.22
2017-11-15,5.2,5.2,5.2,5.2,39443,5.2
2017-11-16,5.245,5.25,5.245,5.25,842069,5.25
2017-11-17,5.24,5.24,5.24,5.24,89004,5.24
2017-11-20,5.24,5.275,5.24,5.26,88318,5.26
2017-11-21,5.26,5.26,5.26,5.26,0,5.26
2017-11-22,5.26,5.26,5.26,5.26,0,5.26
2017-11-23,5.29,5.29,5.27,5.27,20690,5.27
2017-11-24,5.29,5.3,5.29,5.3,6641,5.3
2017-11-27,5.28,5.28,5.275,5.275,5255,5.275
2017-11-28,5.3,5.3,5.28,5.285,4102,5.285
2017-11-29,5.335,5.34,5.335,5.34,16747,5.34
2017-11-30,5.34,5.34,5.32,5.32,15668,5.32
2017-12-01,5.31,5.33,5.31,5.33,11017,5.33
2017-12-04,5.35,5.35,5.35,5.35,79728,5.35
2017-12-05,5.3,5.315,5.295,5.315,136467,5.315
2017-12-06,5.265,5.265,5.265,5.265,683,5.265
2017-12-07,5.295,5.295,5.295,5.295,35500,5.295
2017-12-08,5.35,5.35,5.33,5.33,7695,5.33
2017-12-11,5.33,5.33,5.33,5.33,0,5.33
2017-12-12,5.365,5.37,5.345,5.345,33513,5.345
2017-12-13,5.345,5.345,5.345,5.345,0,5.345
2017-12-14,5.35,5.35,5.35,5.35,6524,5.35
2017-12-15,5.3,5.325,5.3,5.325,47070,5.325
2017-12-18,5.38,5.38,5.37,5.37,36624,5.37
2017-12-19,5.385,5.4,5.385,5.4,15493,5.4
2017-12-20,5.385,5.395,5.385,5.395,4538,5.395
2017-12-21,5.4,5.415,5.39,5.39,18315,5.39
2017-12-22,5.385,5.385,5.37,5.38,5699,5.38
2017-12-27,5.4,5.405,5.385,5.385,33491,5.385
2017-12-28,5.39,5.39,5.39,5.39,472,5.39
2017-12-29,5.39,5.39,5.39,5.39,0,5.39
2018-01-03,5.422,5.422,5.42,5.42,27500,5.42
