date,open,high,low,close,volume,adjusted
2012-11-06,115.639999,115.639999,115.639999,115.639999,429,115.134338
2012-11-07,NA,NA,NA,NA,NA,NA
2012-11-08,NA,NA,NA,NA,NA,NA
2012-11-09,NA,NA,NA,NA,NA,NA
2012-11-12,NA,NA,NA,NA,NA,NA
2012-11-13,NA,NA,NA,NA,NA,NA
2012-11-14,NA,NA,NA,NA,NA,NA
2012-11-15,NA,NA,NA,NA,NA,NA
2012-11-16,NA,NA,NA,NA,NA,NA
2012-11-19,NA,NA,NA,NA,NA,NA
2012-11-20,NA,NA,NA,NA,NA,NA
2012-11-21,NA,NA,NA,NA,NA,NA
2012-11-22,NA,NA,NA,NA,NA,NA
2012-11-23,115.440002,115.440002,115.440002,115.440002,130,114.935219
2012-11-26,NA,NA,NA,NA,NA,NA
2012-11-27,NA,NA,NA,NA,NA,NA
2012-11-28,NA,NA,NA,NA,NA,NA
2012-11-29,NA,NA,NA,NA,NA,NA
2012-11-30,NA,NA,NA,NA,NA,NA
2012-12-03,NA,NA,NA,NA,NA,NA
2012-12-04,NA,NA,NA,NA,NA,NA
2012-12-05,NA,NA,NA,NA,NA,NA
2012-12-06,NA,NA,NA,NA,NA,NA
2012-12-07,NA,NA,NA,NA,NA,NA
2012-12-10,NA,NA,NA,NA,NA,NA
2012-12-11,NA,NA,NA,NA,NA,NA
2012-12-12,NA,NA,NA,NA,NA,NA
2012-12-13,NA,NA,NA,NA,NA,NA
2012-12-14,NA,NA,NA,NA,NA,NA
2012-12-17,NA,NA,NA,NA,NA,NA
2012-12-18,NA,NA,NA,NA,NA,NA
2012-12-19,NA,NA,NA,NA,NA,NA
2012-12-20,NA,NA,NA,NA,NA,NA
2012-12-21,NA,NA,NA,NA,NA,NA
2012-12-27,NA,NA,NA,NA,NA,NA
2012-12-28,NA,NA,NA,NA,NA,NA
2013-01-03,NA,NA,NA,NA,NA,NA
2013-01-04,116.25,116.25,116.25,116.25,258,115.741669
2013-01-07,NA,NA,NA,NA,NA,NA
2013-01-08,NA,NA,NA,NA,NA,NA
2013-01-09,NA,NA,NA,NA,NA,NA
2013-01-10,116.870003,116.870003,116.870003,116.870003,400,116.358963
2013-01-11,NA,NA,NA,NA,NA,NA
2013-01-14,NA,NA,NA,NA,NA,NA
2013-01-15,NA,NA,NA,NA,NA,NA
2013-01-16,NA,NA,NA,NA,NA,NA
2013-01-17,119.470001,119.470001,119.470001,119.470001,1700,118.947594
2013-01-18,NA,NA,NA,NA,NA,NA
2013-01-21,NA,NA,NA,NA,NA,NA
2013-01-22,NA,NA,NA,NA,NA,NA
2013-01-23,NA,NA,NA,NA,NA,NA
2013-01-24,NA,NA,NA,NA,NA,NA
2013-01-25,NA,NA,NA,NA,NA,NA
2013-01-28,NA,NA,NA,NA,NA,NA
2013-01-29,NA,NA,NA,NA,NA,NA
2013-01-30,NA,NA,NA,NA,NA,NA
2013-01-31,NA,NA,NA,NA,NA,NA
2013-02-01,NA,NA,NA,NA,NA,NA
2013-02-04,NA,NA,NA,NA,NA,NA
2013-02-05,NA,NA,NA,NA,NA,NA
2013-02-06,NA,NA,NA,NA,NA,NA
2013-02-07,NA,NA,NA,NA,NA,NA
2013-02-08,NA,NA,NA,NA,NA,NA
2013-02-11,NA,NA,NA,NA,NA,NA
2013-02-12,NA,NA,NA,NA,NA,NA
2013-02-13,NA,NA,NA,NA,NA,NA
2013-02-14,NA,NA,NA,NA,NA,NA
2013-02-15,NA,NA,NA,NA,NA,NA
2013-02-18,NA,NA,NA,NA,NA,NA
2013-02-19,NA,NA,NA,NA,NA,NA
2013-02-20,115.68,115.68,115.68,115.68,1700,115.174164
2013-02-21,NA,NA,NA,NA,NA,NA
2013-02-22,NA,NA,NA,NA,NA,NA
2013-02-25,NA,NA,NA,NA,NA,NA
2013-02-26,NA,NA,NA,NA,NA,NA
2013-02-27,NA,NA,NA,NA,NA,NA
2013-02-28,NA,NA,NA,NA,NA,NA
2013-03-01,NA,NA,NA,NA,NA,NA
2013-03-04,NA,NA,NA,NA,NA,NA
2013-03-05,NA,NA,NA,NA,NA,NA
2013-03-06,NA,NA,NA,NA,NA,NA
2013-03-07,NA,NA,NA,NA,NA,NA
2013-03-08,NA,NA,NA,NA,NA,NA
2013-03-11,NA,NA,NA,NA,NA,NA
2013-03-12,NA,NA,NA,NA,NA,NA
2013-03-13,NA,NA,NA,NA,NA,NA
2013-03-14,NA,NA,NA,NA,NA,NA
2013-03-15,NA,NA,NA,NA,NA,NA
2013-03-18,NA,NA,NA,NA,NA,NA
2013-03-19,NA,NA,NA,NA,NA,NA
