date,open,high,low,close,volume,adjusted
2019-05-14,5.01,5.01,5.01,5.01,0,5.01
2019-05-15,5.02,5.02,5.02,5.02,0,5.02
2019-05-16,5,5,5,5,0,5
2019-05-17,5.034,5.034,5.034,5.034,0,5.034
2019-05-20,5.034,5.034,5.034,5.034,0,5.034
2019-05-21,5.034,5.034,5.034,5.034,0,5.034
2019-05-22,5.041,5.041,5.041,5.041,0,5.041
2019-05-23,5.045,5.045,5.045,5.045,0,5.045
2019-05-24,5.039,5.039,5.039,5.039,0,5.039
2019-05-27,5.039,5.039,5.039,5.039,0,5.039
2019-05-28,5.039,5.039,5.039,5.039,0,5.039
2019-05-29,5.042,5.042,5.042,5.042,0,5.042
2019-05-30,5.042,5.042,5.042,5.042,0,5.042
2019-05-31,5.042,5.042,5.042,5.042,0,5.042
2019-06-03,5.042,5.051,5.042,5.051,8200,5.051
2019-06-04,5.068,5.068,5.068,5.068,2200,5.068
2019-06-05,5.096,5.096,5.096,5.096,30000,5.096
2019-06-06,5.107,5.107,5.107,5.107,30000,5.107
2019-06-07,5.107,5.107,5.107,5.107,0,5.107
2019-06-10,5.107,5.107,5.107,5.107,0,5.107
2019-06-11,5.122,5.122,5.122,5.122,0,5.122
2019-06-12,5.127,5.127,5.127,5.127,0,5.127
2019-06-13,5.134,5.134,5.134,5.134,4100,5.134
2019-06-14,5.134,5.134,5.134,5.134,0,5.134
2019-06-17,5.133,5.133,5.133,5.133,0,5.133
2019-06-18,5.17,5.17,5.17,5.17,8800,5.17
2019-06-19,5.17,5.17,5.17,5.17,0,5.17
2019-06-20,5.17,5.17,5.17,5.17,0,5.17
2019-06-21,5.232,5.232,5.232,5.232,0,5.232
2019-06-24,5.226,5.226,5.226,5.226,0,5.226
2019-06-25,5.222,5.222,5.222,5.222,0,5.222
2019-06-26,5.211,5.211,5.211,5.211,0,5.211
2019-06-27,5.2,5.2,5.2,5.2,0,5.2
2019-06-28,5.2,5.2,5.2,5.2,0,5.2
2019-07-01,5.211,5.211,5.211,5.211,0,5.211
2019-07-02,5.237,5.237,5.237,5.237,0,5.237
2019-07-03,5.241,5.241,5.241,5.241,0,5.241
2019-07-04,5.252,5.252,5.252,5.252,0,5.252
2019-07-05,5.265,5.265,5.265,5.265,0,5.265
2019-07-08,5.241,5.241,5.241,5.241,0,5.241
2019-07-09,5.241,5.241,5.241,5.241,0,5.241
2019-07-10,5.228,5.228,5.228,5.228,0,5.228
2019-07-11,5.228,5.228,5.228,5.228,0,5.228
2019-07-12,5.228,5.228,5.228,5.228,0,5.228
2019-07-15,5.223,5.223,5.223,5.223,0,5.223
2019-07-16,5.227,5.227,5.227,5.227,0,5.227
2019-07-17,5.227,5.227,5.227,5.227,0,5.227
2019-07-18,5.231,5.231,5.231,5.231,0,5.231
2019-07-19,5.226,5.226,5.226,5.226,0,5.226
2019-07-22,5.231,5.231,5.231,5.231,0,5.231
2019-07-23,5.245,5.245,5.245,5.245,0,5.245
2019-07-24,5.253,5.253,5.253,5.253,0,5.253
2019-07-25,5.293,5.293,5.293,5.293,1888,5.293
2019-07-26,5.293,5.293,5.293,5.293,0,5.293
2019-07-29,5.267,5.267,5.267,5.267,0,5.267
2019-07-30,5.264,5.264,5.264,5.264,0,5.264
2019-07-31,5.261,5.261,5.261,5.261,4750,5.261
2019-08-01,5.261,5.261,5.261,5.261,0,5.261
2019-08-02,5.261,5.261,5.261,5.261,0,5.261
2019-08-05,5.261,5.261,5.261,5.261,0,5.261
2019-08-06,5.22,5.22,5.22,5.22,0,5.22
2019-08-07,5.229,5.229,5.229,5.229,0,5.229
2019-08-08,5.256,5.256,5.256,5.256,0,5.256
2019-08-09,5.271,5.271,5.271,5.271,0,5.271
2019-08-12,5.29,5.29,5.29,5.29,0,5.29
2019-08-13,5.252,5.252,5.252,5.252,0,5.252
2019-08-14,5.239,5.239,5.239,5.239,0,5.239
2019-08-15,5.226,5.226,5.226,5.226,0,5.226
2019-08-16,5.226,5.226,5.226,5.226,0,5.226
2019-08-19,5.249,5.249,5.249,5.249,0,5.249
2019-08-20,5.249,5.249,5.249,5.249,0,5.249
