date,open,high,low,close,volume,adjusted
2012-05-07,22.780001,22.799999,22.620001,22.620001,6830,21.755428
2012-05-08,NA,NA,NA,NA,NA,NA
2012-05-09,NA,NA,NA,NA,NA,NA
2012-05-10,NA,NA,NA,NA,NA,NA
2012-05-11,NA,NA,NA,NA,NA,NA
2012-05-14,NA,NA,NA,NA,NA,NA
2012-05-15,NA,NA,NA,NA,NA,NA
2012-05-16,NA,NA,NA,NA,NA,NA
2012-05-18,NA,NA,NA,NA,NA,NA
2012-05-21,NA,NA,NA,NA,NA,NA
2012-05-22,NA,NA,NA,NA,NA,NA
2012-05-23,NA,NA,NA,NA,NA,NA
2012-05-24,NA,NA,NA,NA,NA,NA
2012-05-25,NA,NA,NA,NA,NA,NA
2012-05-29,NA,NA,NA,NA,NA,NA
2012-05-30,NA,NA,NA,NA,NA,NA
2012-05-31,NA,NA,NA,NA,NA,NA
2012-06-01,NA,NA,NA,NA,NA,NA
2012-06-04,NA,NA,NA,NA,NA,NA
2012-06-05,21.08,21.08,21.08,21.08,500,20.274288
2012-06-06,NA,NA,NA,NA,NA,NA
2012-06-07,21.59,21.6,21.59,21.6,8000,20.774414
2012-06-08,NA,NA,NA,NA,NA,NA
2012-06-11,NA,NA,NA,NA,NA,NA
2012-06-12,21.75,21.75,21.75,21.75,1200,20.918682
2012-06-13,NA,NA,NA,NA,NA,NA
2012-06-14,NA,NA,NA,NA,NA,NA
2012-06-15,NA,NA,NA,NA,NA,NA
2012-06-18,21.83,21.83,21.83,21.83,500,20.995623
2012-06-19,21.83,21.83,21.83,21.83,0,20.995623
2012-06-20,21.83,21.83,21.83,21.83,0,20.995623
2012-06-21,21.83,21.83,21.83,21.83,0,20.995623
2012-06-22,21.959999,21.959999,21.959999,21.959999,3000,21.120655
2012-06-25,21.959999,21.959999,21.959999,21.959999,0,21.120655
2012-06-26,21.959999,21.959999,21.959999,21.959999,0,21.120655
2012-06-27,22.09,22.09,22.09,22.09,305,21.245686
2012-06-28,22.09,22.09,22.09,22.09,0,21.245686
2012-06-29,22.09,22.09,22.09,22.09,0,21.245686
2012-07-02,22.09,22.09,22.09,22.09,0,21.245686
2012-07-03,22.09,22.09,22.09,22.09,0,21.245686
2012-07-04,22.09,22.09,22.09,22.09,0,21.245686
2012-07-05,22.09,22.09,22.09,22.09,0,21.245686
2012-07-06,22.09,22.09,22.09,22.09,0,21.245686
2012-07-09,22.09,22.09,22.09,22.09,0,21.245686
2012-07-10,22.09,22.09,22.09,22.09,0,21.245686
2012-07-11,22.09,22.09,22.09,22.09,0,21.245686
2012-07-12,22.09,22.09,22.09,22.09,0,21.245686
2012-07-13,22.09,22.09,22.09,22.09,0,21.245686
2012-07-16,22.09,22.09,22.09,22.09,0,21.245686
2012-07-17,22.09,22.09,22.09,22.09,0,21.245686
2012-07-18,22.09,22.09,22.09,22.09,0,21.245686
2012-07-19,22.09,22.09,22.09,22.09,0,21.245686
2012-07-20,22.25,22.25,21.6,21.6,1950,20.774414
