date,open,high,low,close,volume,adjusted
2015-10-20,12.5731,12.5731,12.5731,12.5731,0,12.5731
2015-10-21,12.6473,12.6473,12.6473,12.6473,0,12.6473
2015-10-22,12.9304,12.9304,12.9304,12.9304,0,12.9304
2015-10-23,13.2394,13.2394,13.2394,13.2394,0,13.2394
2015-10-26,13.2142,13.2142,13.2142,13.2142,0,13.2142
2015-10-27,13.0907,13.0907,13.0907,13.0907,0,13.0907
2015-10-28,13.2404,13.2404,13.2404,13.2404,0,13.2404
2015-10-29,13.2769,13.2769,13.2769,13.2769,0,13.2769
2015-10-30,13.2962,13.2962,13.2962,13.2962,0,13.2962
2015-11-02,13.3473,13.3473,13.3473,13.3473,0,13.3473
2015-11-03,13.3824,13.3824,13.3824,13.3824,0,13.3824
2015-11-04,13.3792,13.3792,13.3792,13.3792,0,13.3792
2015-11-05,13.457,13.457,13.457,13.457,0,13.457
2015-11-06,13.4652,13.4652,13.4652,13.4652,0,13.4652
2015-11-09,13.2797,13.2797,13.2797,13.2797,0,13.2797
2015-11-10,13.3126,13.3126,13.3126,13.3126,0,13.3126
2015-11-11,13.4393,13.4393,13.4393,13.4393,0,13.4393
2015-11-12,13.2561,13.2561,13.2561,13.2561,0,13.2561
2015-11-13,13.1327,13.1327,13.1327,13.1327,0,13.1327
2015-11-16,13.1651,13.1651,13.1651,13.1651,0,13.1651
2015-11-17,13.5117,13.5117,13.5117,13.5117,0,13.5117
2015-11-18,13.4439,13.4439,13.4439,13.4439,0,13.4439
2015-11-19,13.5035,13.5035,13.5035,13.5035,0,13.5035
2015-11-20,13.5453,13.5453,13.5453,13.5453,0,13.5453
2015-11-23,13.5216,13.5216,13.5216,13.5216,0,13.5216
2015-11-24,13.3307,13.3307,13.3307,13.3307,0,13.3307
2015-11-25,13.5717,13.5717,13.5717,13.5717,0,13.5717
2015-11-26,13.7023,13.7023,13.7023,13.7023,0,13.7023
2015-11-27,13.6751,13.6751,13.6751,13.6751,0,13.6751
2015-11-30,13.7292,13.7292,13.7292,13.7292,0,13.7292
2015-12-01,13.6189,13.6189,13.6189,13.6189,0,13.6189
2015-12-02,13.6498,13.6498,13.6498,13.6498,0,13.6498
2015-12-03,13.1868,13.1868,13.1868,13.1868,0,13.1868
2015-12-04,13.1602,13.1602,13.1602,13.1602,0,13.1602
2015-12-07,13.3574,13.3574,13.3574,13.3574,0,13.3574
2015-12-08,13.1272,13.1272,13.1272,13.1272,0,13.1272
2015-12-09,12.9861,12.9861,12.9861,12.9861,0,12.9861
2015-12-10,12.9561,12.9561,12.9561,12.9561,0,12.9561
2015-12-11,12.6971,12.6971,12.6971,12.6971,0,12.6971
2015-12-14,12.5107,12.5107,12.5107,12.5107,0,12.5107
2015-12-15,12.8696,12.8696,12.8696,12.8696,0,12.8696
2015-12-16,12.9012,12.9012,12.9012,12.9012,0,12.9012
2015-12-17,13.092,13.092,13.092,13.092,0,13.092
2015-12-18,12.9031,12.9031,12.9031,12.9031,0,12.9031
2015-12-21,12.7274,12.7274,12.7274,12.7274,0,12.7274
2015-12-22,12.7208,12.7208,12.7208,12.7208,0,12.7208
2015-12-23,12.973,12.973,12.973,12.973,0,12.973
2015-12-28,12.8872,12.8872,12.8872,12.8872,0,12.8872
2015-12-29,13.1272,13.1272,13.1272,13.1272,0,13.1272
2015-12-30,13.042,13.042,13.042,13.042,0,13.042
2016-01-04,12.5558,12.5558,12.5558,12.5558,0,12.5558
2016-01-05,12.5979,12.5979,12.5979,12.5979,0,12.5979
2016-01-06,12.4672,12.4672,12.4672,12.4672,0,12.4672
2016-01-07,12.2802,12.2802,12.2802,12.2802,0,12.2802
2016-01-08,12.1469,12.1469,12.1469,12.1469,0,12.1469
2016-01-11,12.1113,12.1113,12.1113,12.1113,0,12.1113
2016-01-12,12.3209,12.3209,12.3209,12.3209,0,12.3209
2016-01-13,12.3094,12.3094,12.3094,12.3094,0,12.3094
