date,open,high,low,close,volume,adjusted
2012-06-18,14.0741,14.0741,14.0741,14.0741,0,13.705162
2012-06-19,14.2512,14.2512,14.2512,14.2512,0,13.87762
2012-06-20,14.381,14.381,14.381,14.381,0,14.004017
2012-06-21,14.3082,14.3082,14.3082,14.3082,0,13.933125
2012-06-22,14.2445,14.2445,14.2445,14.2445,0,13.871096
2012-06-25,13.9152,13.9152,13.9152,13.9152,0,13.550428
2012-06-26,13.8156,13.8156,13.8156,13.8156,0,13.453439
2012-06-27,14.0727,14.0727,14.0727,14.0727,0,13.703798
2012-06-28,14.0294,14.0294,14.0294,14.0294,0,13.661634
2012-06-29,14.6964,14.6964,14.6964,14.6964,0,14.311149
2012-07-02,14.8915,14.8915,14.8915,14.8915,0,14.501136
2012-07-03,15.0211,15.0211,15.0211,15.0211,0,14.627337
2012-07-04,14.9949,14.9949,14.9949,14.9949,0,14.601825
2012-07-05,14.8482,14.8482,14.8482,14.8482,0,14.45897
2012-07-06,14.5844,14.5844,14.5844,14.5844,0,14.202085
2012-07-09,14.4945,14.4945,14.4945,14.4945,0,14.114542
2012-07-10,14.6324,14.6324,14.6324,14.6324,0,14.248827
2012-07-11,14.5164,14.5164,14.5164,14.5164,0,14.135868
2012-07-12,14.3565,14.3565,14.3565,14.3565,0,13.980159
2012-07-13,14.5888,14.5888,14.5888,14.5888,0,14.20637
2012-07-16,14.6337,14.6337,14.6337,14.6337,0,14.250093
2012-07-17,14.6867,14.6867,14.6867,14.6867,0,14.301703
2012-07-18,14.8368,14.8368,14.8368,14.8368,0,14.447868
2012-07-19,15.0146,15.0146,15.0146,15.0146,0,14.621008
2012-07-20,14.7425,14.7425,14.7425,14.7425,0,14.356041
2012-07-23,14.2737,14.2737,14.2737,14.2737,0,13.899529
2012-07-24,14.0991,14.0991,14.0991,14.0991,0,13.729507
2012-07-25,14.2064,14.2064,14.2064,14.2064,0,13.833994
2012-07-26,14.6508,14.6508,14.6508,14.6508,0,14.266745
2012-07-27,14.8202,14.8202,14.8202,14.8202,0,14.431705
2012-07-30,15.0268,15.0268,15.0268,15.0268,0,14.632889
