date,open,high,low,close,volume,adjusted
2017-08-03,10.015,10.015,10.015,10.015,3391,10.015
2017-08-04,10.025,10.085,10.025,10.085,554441,10.085
2017-08-07,10.14,10.14,10.14,10.14,8924,10.14
2017-08-08,10.17,10.17,10.17,10.17,3550,10.17
2017-08-09,10.06,10.06,10.06,10.06,205,10.06
2017-08-10,9.995,9.995,9.995,9.995,3426,9.995
2017-08-11,9.865,9.865,9.865,9.865,2149,9.865
2017-08-14,9.97,9.97,9.97,9.97,2777,9.97
2017-08-15,10.025,10.025,10.025,9.97,24073,9.97
2017-08-16,10.105,10.105,10.105,10.105,16872,10.105
2017-08-17,10.07,10.08,10.07,10.105,34026,10.105
2017-08-18,9.92,9.94,9.92,9.94,13218,9.94
2017-08-21,9.94,9.94,9.89,9.9,6709,9.9
2017-08-22,10,10,9.99,9.99,19548,9.99
2017-08-23,9.99,9.99,9.98,9.98,22801,9.98
2017-08-24,9.97,10.01,9.97,10.01,5836,10.01
2017-08-25,9.97,9.97,9.97,9.97,9590,9.97
2017-08-28,9.81,9.94,9.81,9.94,4631,9.94
2017-08-29,9.75,9.75,9.75,9.75,1257,9.75
2017-08-30,9.83,9.83,9.83,9.83,330,9.83
2017-08-31,9.91,9.91,9.91,9.91,2289,9.91
2017-09-01,9.96,10.02,9.95,9.95,7587,9.95
2017-09-04,9.95,9.95,9.95,9.95,0,9.95
2017-09-05,9.93,9.93,9.93,9.93,3046,9.93
2017-09-06,9.815,9.92,9.815,9.92,43136,9.92
2017-09-07,9.965,9.965,9.95,9.95,10988,9.95
2017-09-08,9.965,9.965,9.965,9.965,2000,9.965
2017-09-11,10.075,10.075,10.075,10.075,14551,10.075
2017-09-12,10.135,10.14,10.1,10.1,9618,10.1
2017-09-13,10.135,10.14,10.11,10.135,19454,10.135
2017-09-14,10.145,10.145,10.145,10.145,12719,10.145
2017-09-15,10.11,10.11,10.11,10.11,4827,10.11
2017-09-18,10.175,10.175,10.135,10.135,28654,10.135
2017-09-19,10.12,10.12,10.12,10.12,1,10.12
2017-09-20,10.165,10.165,10.13,10.13,12992,10.13
2017-09-21,10.16,10.19,10.15,10.15,29373,10.15
2017-09-22,10.17,10.215,10.165,10.215,15762,10.215
2017-09-25,10.185,10.185,10.185,10.185,4405,10.185
2017-09-26,10.17,10.17,10.17,10.17,4418,10.17
2017-09-27,10.22,10.22,10.215,10.215,12187,10.215
2017-09-28,10.23,10.23,10.23,10.23,206,10.23
2017-09-29,10.23,10.23,10.23,10.23,0,10.23
2017-10-02,10.31,10.31,10.285,10.285,3573,10.285
2017-10-03,10.355,10.355,10.35,10.35,1787,10.35
2017-10-04,10.32,10.32,10.32,10.32,2899,10.32
2017-10-05,10.305,10.305,10.305,10.305,1720,10.305
2017-10-06,10.355,10.355,10.355,10.355,5914,10.355
2017-10-09,10.34,10.35,10.34,10.35,1516,10.35
2017-10-10,10.35,10.35,10.33,10.33,111586,10.33
2017-10-11,10.36,10.36,10.36,10.36,20392,10.36
2017-10-12,10.34,10.34,10.34,10.34,3874,10.34
2017-10-13,10.36,10.395,10.36,10.39,11470,10.39
2017-10-16,10.36,10.39,10.36,10.39,15348,10.39
2017-10-17,10.39,10.41,10.39,10.41,15791,10.41
2017-10-18,10.4,10.4,10.4,10.4,408,10.4
2017-10-19,10.34,10.37,10.34,10.37,8810,10.37
2017-10-20,10.41,10.41,10.41,10.41,3117,10.41
2017-10-23,10.41,10.43,10.38,10.43,20300,10.43
2017-10-24,10.41,10.43,10.39,10.43,20943,10.43
2017-10-25,10.38,10.43,10.35,10.35,9938,10.35
2017-10-26,10.37,10.37,10.37,10.37,1700,10.37
2017-10-27,10.56,10.56,10.495,10.53,7627,10.53
2017-10-30,10.545,10.545,10.515,10.515,15017,10.515
2017-10-31,10.52,10.59,10.49,10.59,9920,10.59
2017-11-01,10.64,10.68,10.62,10.62,15485,10.62
2017-11-02,10.62,10.65,10.62,10.64,14407,10.64
2017-11-03,10.595,10.63,10.595,10.63,15304,10.63
2017-11-06,10.585,10.61,10.585,10.59,6004,10.59
2017-11-07,10.59,10.59,10.59,10.59,0,10.59
2017-11-08,10.545,10.545,10.545,10.545,3955,10.545
2017-11-09,10.53,10.565,10.53,10.565,7841,10.565
2017-11-10,10.4,10.425,10.4,10.425,13122,10.425
2017-11-13,10.345,10.345,10.255,10.345,7715,10.345
2017-11-14,10.305,10.31,10.305,10.31,7704,10.31
2017-11-15,10.2,10.2,10.18,10.18,21341,10.18
2017-11-16,10.18,10.18,10.18,10.18,0,10.18
2017-11-17,10.3,10.3,10.3,10.3,3509,10.3
2017-11-20,10.315,10.315,10.31,10.31,13107,10.31
2017-11-21,10.32,10.38,10.32,10.38,42234,10.38
2017-11-22,10.34,10.4,10.34,10.4,16087,10.4
2017-11-23,10.36,10.36,10.36,10.36,24226,10.36
2017-11-24,10.4,10.4,10.4,10.4,450,10.4
2017-11-27,10.4,10.4,10.4,10.4,0,10.4
2017-11-28,10.36,10.37,10.36,10.37,9762,10.37
2017-11-29,10.42,10.46,10.42,10.46,9324,10.46
2017-11-30,10.435,10.435,10.43,10.43,2226,10.43
2017-12-01,10.27,10.27,10.27,10.27,110,10.27
2017-12-04,10.355,10.355,10.355,10.355,100,10.355
2017-12-05,10.315,10.375,10.315,10.375,6502,10.375
2017-12-06,10.305,10.36,10.305,10.36,63168,10.36
2017-12-07,10.39,10.39,10.39,10.39,20311,10.39
2017-12-08,10.48,10.48,10.44,10.46,32719,10.46
2017-12-11,10.425,10.45,10.425,10.43,19884,10.43
2017-12-12,10.44,10.45,10.42,10.42,4575,10.42
2017-12-13,10.43,10.47,10.43,10.47,7087,10.47
2017-12-14,10.43,10.43,10.39,10.4,10787,10.4
2017-12-15,10.36,10.36,10.36,10.36,10525,10.36
2017-12-18,10.48,10.5,10.48,10.5,11824,10.5
2017-12-19,10.5,10.5,10.5,10.5,700,10.5
2017-12-20,10.44,10.44,10.38,10.38,19510,10.38
2017-12-21,10.36,10.42,10.33,10.42,18348,10.42
2017-12-22,10.36,10.4,10.36,10.4,6709,10.4
2017-12-27,10.38,10.395,10.38,10.39,26854,10.39
2017-12-28,10.39,10.39,10.39,10.39,0,10.39
2017-12-29,10.265,10.32,10.265,10.32,8005,10.32
2018-01-03,10.318,10.318,10.27,10.308,5292,10.308
2018-01-04,10.428,10.478,10.428,10.478,13692,10.478
2018-01-05,10.57,10.582,10.544,10.582,9210,10.582
2018-01-08,10.624,10.626,10.624,10.626,12476,10.626
2018-01-09,10.632,10.632,10.632,10.632,909,10.632
2018-01-10,10.63,10.63,10.586,10.62,14792,10.62
2018-01-11,10.592,10.634,10.592,10.634,23962,10.634
2018-01-12,10.628,10.628,10.584,10.586,10233,10.586
2018-01-15,10.586,10.586,10.586,10.586,0,10.586
2018-01-16,10.704,10.704,10.646,10.646,11921,10.646
2018-01-17,10.658,10.658,10.658,10.658,5826,10.658
2018-01-18,10.658,10.658,10.658,10.658,14794,10.658
2018-01-19,10.696,10.732,10.696,10.732,16696,10.732
2018-01-22,10.75,10.756,10.75,10.756,10000,10.756
2018-01-23,10.718,10.812,10.718,10.792,16294,10.792
2018-01-24,10.784,10.784,10.782,10.784,34123,10.784
2018-01-25,10.676,10.712,10.676,10.712,8150,10.712
2018-01-26,10.704,10.722,10.68,10.722,4984,10.722
2018-01-29,10.694,10.706,10.694,10.706,11185,10.706
2018-01-30,10.682,10.682,10.598,10.61,27815,10.61
2018-01-31,10.61,10.61,10.61,10.61,0,10.61
2018-02-01,10.648,10.674,10.56,10.56,18913,10.56
2018-02-02,10.554,10.554,10.4,10.414,26854,10.414
2018-02-05,10.26,10.284,10.238,10.238,46061,10.238
2018-02-06,10.05,10.134,10.042,10.126,56320,10.126
2018-02-07,10.078,10.106,10.078,10.178,10155,10.178
2018-02-08,10.124,10.134,10.116,10.108,18926,10.108
2018-02-09,9.942,9.942,9.915,9.915,9106,9.915
2018-02-12,9.992,10.002,9.973,9.973,17030,9.973
2018-02-13,9.988,9.988,9.906,9.926,11926,9.926
2018-02-14,9.967,10.03,9.935,10.014,9892,10.014
2018-02-15,10.084,10.128,10.072,10.026,13347,10.026
2018-02-16,10.156,10.156,10.156,10.156,1600,10.156
2018-02-19,10.162,10.162,10.122,10.126,16919,10.126
2018-02-20,10.142,10.208,10.142,10.208,16790,10.208
2018-02-21,10.166,10.166,10.134,10.162,15265,10.162
2018-02-22,10.106,10.18,10.094,10.18,4771,10.18
2018-02-23,10.218,10.22,10.214,10.214,3356,10.214
2018-02-26,10.252,10.28,10.252,10.272,17199,10.272
2018-02-27,10.248,10.258,10.248,10.252,2362,10.252
2018-02-28,10.222,10.228,10.22,10.224,9275,10.224
2018-03-01,10.104,10.108,10.084,10.084,9934,10.084
2018-03-02,9.892,9.893,9.844,9.844,40542,9.844
2018-03-05,9.903,9.926,9.903,9.926,28125,9.926
2018-03-06,10.018,10.054,10.008,10.008,22356,10.008
2018-03-07,9.961,10.036,9.961,10.036,66320,10.036
2018-03-08,10.038,10.154,10.038,10.152,8411,10.152
2018-03-09,10.152,10.152,10.152,10.152,2425,10.152
2018-03-12,10.236,10.236,10.182,10.182,6299,10.182
2018-03-13,10.206,10.206,10.078,10.092,14440,10.092
2018-03-14,10.092,10.092,10.092,10.092,0,10.092
2018-03-15,10.134,10.158,10.13,10.158,24808,10.158
2018-03-16,10.158,10.158,10.158,10.158,0,10.158
2018-03-19,10.15,10.15,10.114,10.114,20868,10.114
2018-03-20,10.128,10.128,10.124,10.124,7891,10.124
2018-03-21,10.152,10.152,10.074,10.098,78267,10.098
2018-03-22,9.931,9.94,9.89,9.89,24265,9.89
2018-03-23,9.881,9.881,9.877,9.877,8614,9.877
2018-03-26,9.876,9.893,9.811,9.811,14300,9.811
2018-03-27,9.899,9.913,9.899,9.908,12115,9.908
2018-03-28,9.788,9.914,9.788,9.893,7453,9.893
2018-03-29,9.988,10.044,9.981,10.004,49115,10.004
2018-04-03,9.898,9.952,9.897,9.952,21530,9.952
2018-04-04,9.84,9.904,9.84,9.904,2061,9.904
2018-04-05,10.126,10.126,10.126,10.126,3925,10.126
2018-04-06,10.12,10.158,10.12,10.158,21600,10.158
2018-04-09,10.164,10.164,10.106,10.106,87937,10.106
2018-04-10,10.192,10.204,10.17,10.204,101557,10.204
2018-04-11,10.216,10.216,10.186,10.186,56469,10.186
2018-04-12,10.144,10.23,10.144,10.23,3998,10.23
2018-04-13,10.252,10.258,10.252,10.258,14508,10.258
2018-04-16,10.258,10.258,10.202,10.202,6680,10.202
2018-04-17,10.31,10.32,10.31,10.32,12563,10.32
2018-04-18,10.314,10.314,10.314,10.314,18,10.314
2018-04-19,10.378,10.378,10.358,10.358,5407,10.358
2018-04-20,10.366,10.378,10.366,10.378,5971,10.378
2018-04-23,10.364,10.364,10.364,10.364,1728,10.364
2018-04-24,10.364,10.364,10.364,10.364,0,10.364
2018-04-25,10.294,10.296,10.288,10.296,2449,10.296
2018-04-26,10.374,10.4,10.374,10.4,1607,10.4
2018-04-27,10.446,10.452,10.446,10.452,5720,10.452
2018-04-30,10.454,10.476,10.454,10.472,34819,10.472
2018-05-02,10.552,10.584,10.552,10.578,63808,10.578
2018-05-03,10.538,10.542,10.472,10.472,11799,10.472
2018-05-04,10.54,10.544,10.506,10.544,10260,10.544
2018-05-07,10.61,10.622,10.61,10.622,38516,10.622
2018-05-08,10.578,10.592,10.564,10.592,51160,10.592
2018-05-09,10.612,10.648,10.606,10.606,71808,10.606
2018-05-11,10.688,10.688,10.646,10.686,14484,10.686
2018-05-14,10.678,10.68,10.678,10.68,6544,10.68
2018-05-15,10.668,10.688,10.662,10.688,13896,10.688
2018-05-16,10.668,10.668,10.668,10.668,6901,10.668
2018-05-17,10.694,10.72,10.694,10.72,4052,10.72
2018-05-18,10.706,10.732,10.706,10.728,12610,10.728
2018-05-22,10.786,10.814,10.746,10.81,38245,10.81
2018-05-23,10.636,10.67,10.636,10.67,1954,10.67
2018-05-24,10.704,10.704,10.704,10.704,4800,10.704
2018-05-25,10.704,10.704,10.704,10.704,0,10.704
2018-05-28,10.704,10.704,10.704,10.704,0,10.704
2018-05-29,10.368,10.386,10.368,10.386,15294,10.386
2018-05-30,10.426,10.426,10.426,10.426,435,10.426
2018-05-31,10.454,10.468,10.328,10.328,4299,10.328
2018-06-01,10.498,10.544,10.498,10.544,4161,10.544
2018-06-04,10.546,10.566,10.546,10.564,12999,10.564
2018-06-05,10.598,10.598,10.598,10.598,1874,10.598
2018-06-06,10.514,10.514,10.512,10.512,15292,10.512
2018-06-07,10.584,10.584,10.538,10.538,24582,10.538
2018-06-08,10.442,10.482,10.442,10.482,244,10.482
2018-06-11,10.54,10.542,10.54,10.54,6993,10.54
2018-06-12,10.594,10.594,10.584,10.54,3449,10.54
2018-06-13,10.568,10.596,10.568,10.596,23950,10.596
2018-06-14,10.61,10.676,10.61,10.676,36637,10.676
2018-06-15,10.672,10.672,10.672,10.672,4004,10.672
2018-06-18,10.558,10.558,10.524,10.524,4498,10.524
2018-06-19,10.44,10.456,10.44,10.456,3521,10.456
2018-06-20,10.516,10.516,10.452,10.452,32935,10.452
2018-06-21,10.398,10.4,10.368,10.368,11285,10.368
2018-06-22,10.408,10.408,10.408,10.408,1000,10.408
2018-06-25,10.408,10.408,10.408,10.408,0,10.408
2018-06-26,10.408,10.408,10.408,10.408,0,10.408
2018-06-27,10.336,10.378,10.336,10.378,6036,10.378
2018-06-28,10.378,10.378,10.378,10.378,0,10.378
2018-06-29,10.324,10.328,10.324,10.328,2950,10.328
2018-07-02,10.222,10.222,10.204,10.204,790,10.204
2018-07-03,10.292,10.292,10.292,10.292,50,10.292
2018-07-04,10.31,10.31,10.31,10.31,500,10.31
2018-07-05,10.394,10.412,10.384,10.384,5947,10.384
2018-07-06,10.428,10.43,10.428,10.43,3439,10.43
2018-07-09,10.478,10.478,10.45,10.45,19445,10.45
2018-07-10,10.502,10.522,10.502,10.504,387,10.504
2018-07-11,10.422,10.422,10.416,10.416,4534,10.416
2018-07-12,10.446,10.446,10.422,10.422,2143,10.422
