date,open,high,low,close,volume,adjusted
2015-11-18,162.960007,162.960007,162.960007,162.960007,10720,162.960007
2015-11-19,NA,NA,NA,NA,NA,NA
2015-11-20,NA,NA,NA,NA,NA,NA
2015-11-23,NA,NA,NA,NA,NA,NA
2015-11-24,NA,NA,NA,NA,NA,NA
2015-11-25,NA,NA,NA,NA,NA,NA
2015-11-26,NA,NA,NA,NA,NA,NA
2015-11-27,NA,NA,NA,NA,NA,NA
2015-11-30,NA,NA,NA,NA,NA,NA
2015-12-01,NA,NA,NA,NA,NA,NA
2015-12-02,NA,NA,NA,NA,NA,NA
2015-12-03,166.119995,166.149994,166.119995,166.149994,1950,166.149994
2015-12-04,NA,NA,NA,NA,NA,NA
2015-12-07,NA,NA,NA,NA,NA,NA
2015-12-08,NA,NA,NA,NA,NA,NA
2015-12-09,NA,NA,NA,NA,NA,NA
2015-12-10,NA,NA,NA,NA,NA,NA
2015-12-11,NA,NA,NA,NA,NA,NA
2015-12-14,NA,NA,NA,NA,NA,NA
2015-12-15,NA,NA,NA,NA,NA,NA
2015-12-16,NA,NA,NA,NA,NA,NA
2015-12-17,159.350006,159.350006,159.350006,159.350006,6134,159.350006
2015-12-18,NA,NA,NA,NA,NA,NA
2015-12-21,NA,NA,NA,NA,NA,NA
2015-12-22,NA,NA,NA,NA,NA,NA
2015-12-23,NA,NA,NA,NA,NA,NA
2015-12-28,NA,NA,NA,NA,NA,NA
2015-12-29,NA,NA,NA,NA,NA,NA
2015-12-30,NA,NA,NA,NA,NA,NA
2016-01-04,NA,NA,NA,NA,NA,NA
2016-01-05,NA,NA,NA,NA,NA,NA
2016-01-06,NA,NA,NA,NA,NA,NA
2016-01-07,NA,NA,NA,NA,NA,NA
2016-01-08,NA,NA,NA,NA,NA,NA
2016-01-11,NA,NA,NA,NA,NA,NA
2016-01-12,NA,NA,NA,NA,NA,NA
2016-01-13,NA,NA,NA,NA,NA,NA
2016-01-14,NA,NA,NA,NA,NA,NA
2016-01-15,NA,NA,NA,NA,NA,NA
2016-01-18,NA,NA,NA,NA,NA,NA
2016-01-19,NA,NA,NA,NA,NA,NA
2016-01-20,147.550003,147.550003,147.539993,147.539993,5268,147.539993
2016-01-21,NA,NA,NA,NA,NA,NA
2016-01-22,NA,NA,NA,NA,NA,NA
2016-01-25,152.139999,152.139999,152.139999,152.139999,1317,152.139999
2016-01-26,NA,NA,NA,NA,NA,NA
2016-01-27,152.009995,152.009995,152.009995,152.009995,33,152.009995
2016-01-28,NA,NA,NA,NA,NA,NA
2016-01-29,NA,NA,NA,NA,NA,NA
2016-02-01,NA,NA,NA,NA,NA,NA
2016-02-02,NA,NA,NA,NA,NA,NA
2016-02-03,NA,NA,NA,NA,NA,NA
2016-02-04,NA,NA,NA,NA,NA,NA
2016-02-05,NA,NA,NA,NA,NA,NA
2016-02-08,NA,NA,NA,NA,NA,NA
2016-02-09,NA,NA,NA,NA,NA,NA
2016-02-10,142.779999,142.779999,142.779999,142.779999,30,142.779999
2016-02-11,NA,NA,NA,NA,NA,NA
2016-02-12,142.259995,142.259995,142.259995,142.259995,384,142.259995
2016-02-15,NA,NA,NA,NA,NA,NA
2016-02-16,NA,NA,NA,NA,NA,NA
2016-02-17,NA,NA,NA,NA,NA,NA
2016-02-18,NA,NA,NA,NA,NA,NA
2016-02-19,NA,NA,NA,NA,NA,NA
2016-02-22,NA,NA,NA,NA,NA,NA
2016-02-23,NA,NA,NA,NA,NA,NA
2016-02-24,NA,NA,NA,NA,NA,NA
2016-02-25,NA,NA,NA,NA,NA,NA
2016-02-26,NA,NA,NA,NA,NA,NA
2016-02-29,NA,NA,NA,NA,NA,NA
2016-03-01,NA,NA,NA,NA,NA,NA
2016-03-02,NA,NA,NA,NA,NA,NA
2016-03-03,151.809998,151.809998,151.809998,151.809998,500,151.809998
2016-03-04,NA,NA,NA,NA,NA,NA
2016-03-07,NA,NA,NA,NA,NA,NA
2016-03-08,NA,NA,NA,NA,NA,NA
2016-03-09,152.710007,152.779999,152.639999,152.779999,6244,152.779999
2016-03-10,NA,NA,NA,NA,NA,NA
2016-03-11,NA,NA,NA,NA,NA,NA
2016-03-14,NA,NA,NA,NA,NA,NA
2016-03-15,NA,NA,NA,NA,NA,NA
2016-03-16,NA,NA,NA,NA,NA,NA
2016-03-17,NA,NA,NA,NA,NA,NA
