date,open,high,low,close,volume,adjusted
2013-11-27,19.290001,19.379999,19.290001,19.290001,20209,19.290001
2013-11-28,19.459999,19.5,19.440001,19.5,7029,19.5
2013-11-29,NA,NA,NA,NA,NA,NA
2013-12-02,NA,NA,NA,NA,NA,NA
2013-12-03,19.299999,19.299999,19.299999,19.299999,821,19.299999
2013-12-04,NA,NA,NA,NA,NA,NA
2013-12-05,NA,NA,NA,NA,NA,NA
2013-12-06,18.76,18.780001,18.76,18.780001,3625,18.780001
2013-12-09,NA,NA,NA,NA,NA,NA
2013-12-10,NA,NA,NA,NA,NA,NA
2013-12-11,NA,NA,NA,NA,NA,NA
2013-12-12,18.530001,18.530001,18.51,18.530001,965,18.530001
2013-12-13,NA,NA,NA,NA,NA,NA
2013-12-16,NA,NA,NA,NA,NA,NA
2013-12-17,NA,NA,NA,NA,NA,NA
2013-12-18,18.73,18.780001,18.65,18.709999,11292,18.709999
2013-12-19,NA,NA,NA,NA,NA,NA
2013-12-20,19.18,19.23,19.08,19.129999,64706,19.129999
2013-12-23,NA,NA,NA,NA,NA,NA
2013-12-27,NA,NA,NA,NA,NA,NA
2013-12-30,NA,NA,NA,NA,NA,NA
2014-01-03,NA,NA,NA,NA,NA,NA
2014-01-06,NA,NA,NA,NA,NA,NA
2014-01-07,NA,NA,NA,NA,NA,NA
2014-01-08,NA,NA,NA,NA,NA,NA
2014-01-09,NA,NA,NA,NA,NA,NA
2014-01-10,NA,NA,NA,NA,NA,NA
2014-01-13,NA,NA,NA,NA,NA,NA
2014-01-14,19.530001,19.77,19.530001,19.76,31680,19.76
2014-01-15,NA,NA,NA,NA,NA,NA
2014-01-16,NA,NA,NA,NA,NA,NA
2014-01-17,NA,NA,NA,NA,NA,NA
2014-01-20,NA,NA,NA,NA,NA,NA
2014-01-21,NA,NA,NA,NA,NA,NA
2014-01-22,NA,NA,NA,NA,NA,NA
2014-01-23,NA,NA,NA,NA,NA,NA
2014-01-24,NA,NA,NA,NA,NA,NA
2014-01-27,NA,NA,NA,NA,NA,NA
2014-01-28,19.370001,19.389999,19.16,19.389999,36631,19.389999
2014-01-29,NA,NA,NA,NA,NA,NA
2014-01-30,NA,NA,NA,NA,NA,NA
2014-01-31,NA,NA,NA,NA,NA,NA
2014-02-03,NA,NA,NA,NA,NA,NA
2014-02-04,18.9,19.01,18.860001,18.950001,19710,18.950001
2014-02-05,NA,NA,NA,NA,NA,NA
2014-02-06,19,19.290001,18.98,19.290001,19121,19.290001
2014-02-07,NA,NA,NA,NA,NA,NA
2014-02-10,NA,NA,NA,NA,NA,NA
2014-02-11,19.57,19.68,19.49,19.629999,213331,19.629999
2014-02-12,NA,NA,NA,NA,NA,NA
2014-02-13,NA,NA,NA,NA,NA,NA
2014-02-14,NA,NA,NA,NA,NA,NA
2014-02-17,NA,NA,NA,NA,NA,NA
2014-02-18,NA,NA,NA,NA,NA,NA
2014-02-19,NA,NA,NA,NA,NA,NA
2014-02-20,NA,NA,NA,NA,NA,NA
2014-02-21,NA,NA,NA,NA,NA,NA
2014-02-24,20,20.120001,19.940001,20.08,96498,20.08
2014-02-25,NA,NA,NA,NA,NA,NA
2014-02-26,20.17,20.190001,19.92,20.02,833044,20.02
2014-02-27,NA,NA,NA,NA,NA,NA
2014-02-28,NA,NA,NA,NA,NA,NA
2014-03-03,NA,NA,NA,NA,NA,NA
2014-03-04,NA,NA,NA,NA,NA,NA
2014-03-05,NA,NA,NA,NA,NA,NA
2014-03-06,NA,NA,NA,NA,NA,NA
2014-03-07,20.040001,20.110001,19.93,19.93,918532,19.93
2014-03-10,NA,NA,NA,NA,NA,NA
2014-03-11,19.860001,19.860001,19.73,19.805,204409,19.805
2014-03-12,NA,NA,NA,NA,NA,NA
2014-03-13,NA,NA,NA,NA,NA,NA
2014-03-14,NA,NA,NA,NA,NA,NA
2014-03-17,NA,NA,NA,NA,NA,NA
2014-03-18,19.485001,19.690001,19.370001,19.605,120209,19.605
2014-03-19,19.695,19.695,19.565001,19.615,108661,19.615
2014-03-20,NA,NA,NA,NA,NA,NA
2014-03-21,NA,NA,NA,NA,NA,NA
2014-03-24,NA,NA,NA,NA,NA,NA
2014-03-25,NA,NA,NA,NA,NA,NA
2014-03-26,NA,NA,NA,NA,NA,NA
2014-03-27,19.905001,19.934999,19.809999,19.91,282527,19.91
2014-03-28,NA,NA,NA,NA,NA,NA
2014-03-31,NA,NA,NA,NA,NA,NA
2014-04-01,NA,NA,NA,NA,NA,NA
2014-04-02,NA,NA,NA,NA,NA,NA
2014-04-03,20.33,20.469999,20.290001,20.440001,40064,20.440001
2014-04-04,20.48,20.58,20.41,20.49,195811,20.49
2014-04-07,NA,NA,NA,NA,NA,NA
2014-04-08,NA,NA,NA,NA,NA,NA
2014-04-09,NA,NA,NA,NA,NA,NA
2014-04-10,NA,NA,NA,NA,NA,NA
2014-04-11,NA,NA,NA,NA,NA,NA
2014-04-14,NA,NA,NA,NA,NA,NA
2014-04-15,NA,NA,NA,NA,NA,NA
2014-04-16,19.885,19.91,19.799999,19.879999,55111,19.879999
2014-04-17,20.02,20.09,19.879999,20.08,91446,20.08
2014-04-22,20.120001,20.370001,20.120001,20.370001,66805,20.370001
2014-04-23,NA,NA,NA,NA,NA,NA
2014-04-24,20.35,20.42,20.209999,20.209999,82843,20.209999
2014-04-25,NA,NA,NA,NA,NA,NA
2014-04-28,NA,NA,NA,NA,NA,NA
2014-04-29,20.280001,20.370001,20.200001,20.370001,39812,20.370001
2014-04-30,NA,NA,NA,NA,NA,NA
2014-05-02,20.41,20.42,20.33,20.33,112891,20.33
2014-05-05,20.33,20.33,20.07,20.08,219515,20.08
2014-05-06,20.309999,20.34,20.16,20.16,81982,20.16
2014-05-07,NA,NA,NA,NA,NA,NA
2014-05-08,NA,NA,NA,NA,NA,NA
2014-05-09,NA,NA,NA,NA,NA,NA
2014-05-12,NA,NA,NA,NA,NA,NA
2014-05-13,20.66,20.68,20.57,20.57,26311,20.57
2014-05-14,NA,NA,NA,NA,NA,NA
2014-05-15,NA,NA,NA,NA,NA,NA
2014-05-16,NA,NA,NA,NA,NA,NA
2014-05-19,NA,NA,NA,NA,NA,NA
2014-05-20,NA,NA,NA,NA,NA,NA
2014-05-21,20.32,20.469999,20.26,20.469999,146758,20.469999
2014-05-22,NA,NA,NA,NA,NA,NA
